Time,ChActive,HwActive,PrimT,HwTSet,PrimTSet,ActPow,HwTOutlet
2017-12-13T00:17:40.381Z,,,,50,,,33.4
2017-12-13T00:17:50.382Z,,,,50,,,33.4
2017-12-13T00:18:00.382Z,,,,50,,,33.4
2017-12-13T00:18:10.417Z,,,33.7,50,,,33.3
2017-12-13T00:18:20.381Z,,,,50,,,33.3
2017-12-13T00:18:30.382Z,,,,50,,,33.3
2017-12-13T00:18:40.382Z,,,,50,,,33.2
2017-12-13T00:18:50.381Z,,,33.8,50,,,33.2
2017-12-13T00:19:00.384Z,,,,50,,,33.1
2017-12-13T00:19:10.382Z,,,,50,,,33.1
2017-12-13T00:19:20.382Z,,,33.9,50,,,33.1
2017-12-13T00:19:30.386Z,,,34,50,,,32.9
2017-12-13T00:19:40.381Z,,,,50,,,32.9
2017-12-13T00:19:50.382Z,,,,50,,,32.9
2017-12-13T00:20:00.381Z,,,,50,,,32.8
2017-12-13T00:20:10.381Z,,,,50,,,32.8
2017-12-13T00:20:20.381Z,,,34.1,50,,,32.7
2017-12-13T00:20:30.388Z,,,,50,,,32.7
2017-12-13T00:20:40.384Z,,,34.2,50,,,32.7
2017-12-13T00:20:50.382Z,,,,50,,,32.6
2017-12-13T00:21:00.382Z,,,,50,,,32.6
2017-12-13T00:21:10.381Z,,,,50,,,32.6
2017-12-13T00:21:20.381Z,,,34.3,50,,,32.5
2017-12-13T00:21:30.382Z,0,0,,50,5,,32.5
2017-12-13T00:21:40.382Z,1,0,34.4,50,59,,32.5
2017-12-13T00:21:50.382Z,,,,50,,,32.4
2017-12-13T00:22:00.381Z,,,,50,,,32.4
2017-12-13T00:22:10.381Z,,,,50,,,32.3
2017-12-13T00:22:20.382Z,0,0,34.5,50,5,,32.3
2017-12-13T00:22:30.381Z,1,0,,50,59,,32.3
2017-12-13T00:22:40.381Z,,,,50,,,32.3
2017-12-13T00:22:50.381Z,,,34.6,50,,,32.2
2017-12-13T00:23:00.381Z,,,,50,,,32.2
2017-12-13T00:23:10.383Z,,,,50,,,32.2
2017-12-13T00:23:20.381Z,0,0,34.7,50,5,,32.1
2017-12-13T00:23:30.382Z,,,,50,,,32.1
2017-12-13T00:23:40.386Z,1,0,,50,59,,32.1
2017-12-13T00:23:50.382Z,,,,50,,,32
2017-12-13T00:24:00.381Z,,,,50,,,32
2017-12-13T00:24:10.381Z,0,0,,50,5,,32
2017-12-13T00:24:20.383Z,1,0,34.8,50,59,,31.9
2017-12-13T00:24:30.381Z,,,,50,,,31.9
2017-12-13T00:24:40.381Z,,,,50,,,31.9
2017-12-13T00:24:50.382Z,,,,50,,,31.9
2017-12-13T00:25:00.381Z,,,,50,,,31.8
2017-12-13T00:25:10.381Z,,,,50,,,31.8
2017-12-13T00:25:20.381Z,,,,50,,,31.8
2017-12-13T00:25:30.381Z,,,,50,,,31.6
2017-12-13T00:25:40.381Z,,,,50,,,31.6
2017-12-13T00:25:50.382Z,,,,50,,,31.6
2017-12-13T00:26:00.381Z,,,,50,,,31.6
2017-12-13T00:26:10.381Z,,,,50,,,31.5
2017-12-13T00:26:20.381Z,,,,50,,,31.5
2017-12-13T00:26:30.381Z,,,,50,,,31.5
2017-12-13T00:26:40.382Z,,,,50,,,31.5
2017-12-13T00:26:50.382Z,,,,50,,,31.4
2017-12-13T00:27:00.381Z,,,,50,,,31.4
2017-12-13T00:27:10.381Z,,,34.7,50,,,31.4
2017-12-13T00:27:20.381Z,,,,50,,,31.3
2017-12-13T00:27:30.381Z,,,,50,,,31.3
2017-12-13T00:27:40.381Z,,,,50,,,31.3
2017-12-13T00:27:50.381Z,,,,50,,,31.3
2017-12-13T00:28:00.381Z,,,,50,,,31.3
2017-12-13T00:28:10.381Z,,,,50,,,31.2
2017-12-13T00:28:20.381Z,,,,50,,,31.2
2017-12-13T00:28:30.386Z,,,,50,,,31.2
2017-12-13T00:28:40.381Z,,,34.6,50,,,31.2
2017-12-13T00:28:50.382Z,,,,50,,,31
2017-12-13T00:29:00.382Z,,,,50,,,31
2017-12-13T00:29:10.381Z,,,,50,,,31
2017-12-13T00:29:20.381Z,,,,50,,,31
2017-12-13T00:29:30.381Z,,,34.5,50,,,30.9
2017-12-13T00:29:40.382Z,,,,50,,,30.9
2017-12-13T00:29:50.382Z,,,,50,,,30.9
2017-12-13T00:30:00.381Z,,,,50,,,30.9
2017-12-13T00:30:10.381Z,,,,50,,,30.9
2017-12-13T00:30:20.381Z,,,,50,,,30.8
2017-12-13T00:30:30.381Z,,,34.4,50,,,30.8
2017-12-13T00:30:40.381Z,,,,50,,,30.8
2017-12-13T00:30:50.381Z,0,0,,50,5,,30.8
2017-12-13T00:31:00.381Z,,,,50,,,30.7
2017-12-13T00:31:10.381Z,,,,50,,,30.7
2017-12-13T00:31:20.381Z,,,,50,,,30.7
2017-12-13T00:31:30.381Z,,,34.3,50,,,30.7
2017-12-13T00:31:40.382Z,,,,50,,,30.7
2017-12-13T00:31:50.381Z,,,,50,,,30.6
2017-12-13T00:32:00.381Z,,,,50,,,30.6
2017-12-13T00:32:10.381Z,,,,50,,,30.6
2017-12-13T00:32:20.385Z,,,34.2,50,,,30.6
2017-12-13T00:32:30.381Z,,,,50,,,30.6
2017-12-13T00:32:40.381Z,,,,50,,,30.4
2017-12-13T00:32:50.381Z,,,,50,,,30.4
2017-12-13T00:33:00.382Z,,,,50,,,30.4
2017-12-13T00:33:10.381Z,,,,50,,,30.4
2017-12-13T00:33:20.381Z,,,34.1,50,,,30.3
2017-12-13T00:33:30.381Z,,,,50,,,30.4
2017-12-13T00:33:40.381Z,,,,50,,,30.3
2017-12-13T00:33:50.413Z,,,,50,,,30.3
2017-12-13T00:34:00.407Z,,,,50,,,30.3
2017-12-13T00:34:10.381Z,,,34,50,,,30.3
2017-12-13T00:34:20.386Z,,,,50,,,30.2
2017-12-13T00:34:30.381Z,,,,50,,,30.2
2017-12-13T00:34:40.381Z,,,,50,,,30.2
2017-12-13T00:34:50.381Z,,,,50,,,30.2
2017-12-13T00:35:00.381Z,,,33.9,50,,,30.2
2017-12-13T00:35:10.381Z,,,,50,,,30.2
2017-12-13T00:35:20.381Z,,,,50,,,30.1
2017-12-13T00:35:30.381Z,,,,50,,,30.1
2017-12-13T00:35:40.381Z,1,0,,50,59,,30.1
2017-12-13T00:35:50.392Z,1,0,37.6,50,,38,30.1
2017-12-13T00:36:00.382Z,,,38.8,50,,29,30.1
2017-12-13T00:36:10.382Z,,,35.8,50,,29,30
2017-12-13T00:36:20.381Z,,,33.8,50,,,30
2017-12-13T00:36:30.383Z,,,32.9,50,,,30
2017-12-13T00:36:40.381Z,,,31.9,50,,,30
2017-12-13T00:36:50.382Z,,,32,50,,,30
2017-12-13T00:37:00.381Z,,,32.3,50,,,30
2017-12-13T00:37:10.381Z,,,33.1,50,,,30
2017-12-13T00:37:20.381Z,,,33.2,50,,,29.8
2017-12-13T00:37:30.381Z,,,33.4,50,,,29.8
2017-12-13T00:37:40.381Z,,,33.6,50,,,29.8
2017-12-13T00:37:50.381Z,,,33.7,50,,,29.8
2017-12-13T00:38:00.381Z,,,34,50,,29,29.8
2017-12-13T00:38:10.381Z,,,34.1,50,,30,29.8
