Time,HwTSet,HwActive,PrimTSet,ActPow,PrimT,ChActive,HwTOutlet
2017-12-31T00:23:22.772Z,50,,,,,,26.2
2017-12-31T00:23:32.772Z,50,,,,,,26.2
2017-12-31T00:23:42.772Z,50,,,,,,26.2
2017-12-31T00:23:52.772Z,50,,,,,,26.2
2017-12-31T00:24:02.772Z,50,,,,,,26.2
2017-12-31T00:24:12.772Z,50,,,,,,26.2
2017-12-31T00:24:22.772Z,50,,,,39.6,,26.2
2017-12-31T00:24:32.772Z,50,,,,39.7,,26.2
2017-12-31T00:24:42.772Z,50,,,,39.6,,26.2
2017-12-31T00:24:52.772Z,50,,,,,,26.2
2017-12-31T00:25:02.772Z,50,,,,,,26.2
2017-12-31T00:25:12.773Z,50,,,,,,26.2
2017-12-31T00:25:22.772Z,50,,,,,,26.2
2017-12-31T00:25:32.772Z,50,,,,,,26.2
2017-12-31T00:25:42.773Z,50,,,,,,26.1
2017-12-31T00:25:52.772Z,50,,,,,,26.2
2017-12-31T00:26:02.772Z,50,,,,,,26.1
2017-12-31T00:26:12.772Z,50,,,,39.5,,26.1
2017-12-31T00:26:22.772Z,50,,,,,,26.1
2017-12-31T00:26:32.772Z,50,,,,,,26.1
2017-12-31T00:26:42.772Z,50,,,,,,26.1
2017-12-31T00:26:52.772Z,50,,,,,,26.1
2017-12-31T00:27:02.772Z,50,,,,,,26.1
2017-12-31T00:27:12.772Z,50,,,,,,26.1
2017-12-31T00:27:22.773Z,50,,,,,,26.1
2017-12-31T00:27:32.772Z,50,,,,,,26.1
2017-12-31T00:27:42.772Z,50,,,,,,26.1
2017-12-31T00:27:52.772Z,50,,,,,,26.1
2017-12-31T00:28:02.772Z,50,,,,,,26.1
2017-12-31T00:28:12.772Z,50,,,,39.4,,26.1
2017-12-31T00:28:22.772Z,50,,,,,,26.1
2017-12-31T00:28:32.772Z,50,,,,,,26.1
2017-12-31T00:28:42.772Z,50,,,,,,26.1
2017-12-31T00:28:52.773Z,50,,,,,,26.1
2017-12-31T00:29:02.772Z,50,,,,,,26.1
2017-12-31T00:29:12.773Z,50,,,,,,26
2017-12-31T00:29:22.772Z,50,,,,,,26
2017-12-31T00:29:32.772Z,50,,,,39.3,,26
2017-12-31T00:29:42.772Z,50,,,,39.4,,26
2017-12-31T00:29:52.772Z,50,,,,39.3,,26
2017-12-31T00:30:02.772Z,50,,,,,,26
2017-12-31T00:30:12.772Z,50,,,,,,26
2017-12-31T00:30:22.772Z,50,,,,,,26
2017-12-31T00:30:32.772Z,50,,,,,,26
2017-12-31T00:30:42.772Z,50,,,,,,26
2017-12-31T00:30:52.772Z,50,,,,,,26
2017-12-31T00:31:02.772Z,50,,,,,,26
2017-12-31T00:31:12.772Z,50,0,5,0,39.3,0,26
2017-12-31T00:31:22.772Z,50,,,,,,26
2017-12-31T00:31:32.772Z,50,,,,,,26
2017-12-31T00:31:42.772Z,50,,,,39.2,,26
2017-12-31T00:31:52.772Z,50,,,,,,26
2017-12-31T00:32:02.772Z,50,,,,,,26
2017-12-31T00:32:12.772Z,50,,,,,,26
2017-12-31T00:32:22.773Z,50,,,,,,26
2017-12-31T00:32:32.772Z,50,,,,,,26
2017-12-31T00:32:42.772Z,50,,,,,,26
2017-12-31T00:32:52.774Z,50,,,,,,25.9
2017-12-31T00:33:02.772Z,50,,,,,,25.9
2017-12-31T00:33:12.772Z,50,,,,,,25.9
2017-12-31T00:33:22.772Z,50,,,,,,25.9
2017-12-31T00:33:32.772Z,50,,,,39.1,,25.9
2017-12-31T00:33:42.772Z,50,,,,,,25.9
2017-12-31T00:33:52.772Z,50,,,,,,25.9
2017-12-31T00:34:02.772Z,50,,,,,,25.9
2017-12-31T00:34:12.772Z,50,,,,,,25.9
2017-12-31T00:34:22.772Z,50,,,,,,25.9
2017-12-31T00:34:32.772Z,50,,,,,,25.9
2017-12-31T00:34:42.772Z,50,,,,,,25.9
2017-12-31T00:34:52.842Z,50,,,,,,25.9
2017-12-31T00:35:02.782Z,50,,,,,,25.9
2017-12-31T00:35:12.833Z,50,,,,39.1,,25.9
2017-12-31T00:35:22.835Z,50,,,,38.9,,25.9
2017-12-31T00:35:32.807Z,50,,,,,,25.9
2017-12-31T00:35:42.785Z,50,,,,,,25.9
2017-12-31T00:35:52.786Z,50,,,,,,25.9
2017-12-31T00:36:02.772Z,50,,,,,,25.9
2017-12-31T00:36:12.772Z,50,,,,,,25.9
2017-12-31T00:36:22.772Z,50,,,,,,25.9
2017-12-31T00:36:32.771Z,50,,,,,,25.7
2017-12-31T00:36:42.779Z,50,,,,,,25.7
2017-12-31T00:36:52.772Z,50,,,,,,25.7
2017-12-31T00:37:02.772Z,50,,,,,,25.7
2017-12-31T00:37:12.772Z,50,,,,,,25.7
2017-12-31T00:37:22.772Z,50,,,,38.8,,25.7
2017-12-31T00:37:32.772Z,50,,,,,,25.7
2017-12-31T00:37:42.772Z,50,,,,,,25.7
2017-12-31T00:37:52.772Z,50,,,,,,25.7
2017-12-31T00:38:02.772Z,50,,,,,,25.7
2017-12-31T00:38:12.772Z,50,,,,,,25.7
2017-12-31T00:38:22.773Z,50,,,,,,25.7
2017-12-31T00:38:32.772Z,50,,,,,,25.7
2017-12-31T00:38:42.781Z,50,,,,,,25.7
2017-12-31T00:38:52.772Z,50,,,,,,25.7
2017-12-31T00:39:02.772Z,50,,,,,,25.7
2017-12-31T00:39:12.772Z,50,,,,38.7,,25.7
2017-12-31T00:39:22.772Z,50,,,,,,25.7
2017-12-31T00:39:32.771Z,50,,,,,,25.7
2017-12-31T00:39:42.772Z,50,,,,,,25.7
2017-12-31T00:39:52.772Z,50,,,,,,25.7
2017-12-31T00:40:02.772Z,50,,,,,,25.7
2017-12-31T00:40:12.771Z,50,,,,,,25.7
2017-12-31T00:40:22.771Z,50,,,,,,25.7
2017-12-31T00:40:32.772Z,50,,,,,,25.7
2017-12-31T00:40:42.772Z,50,,,,,,25.7
2017-12-31T00:40:52.772Z,50,,,,,,25.6
2017-12-31T00:41:02.772Z,50,,,,,,25.6
2017-12-31T00:41:12.772Z,50,,,,38.6,,25.6
2017-12-31T00:41:22.772Z,50,,,,,,25.6
2017-12-31T00:41:32.772Z,50,,,,,,25.6
2017-12-31T00:41:42.771Z,50,,,,,,25.6
2017-12-31T00:41:52.772Z,50,,,,,,25.6
2017-12-31T00:42:02.772Z,50,,,,,,25.6
2017-12-31T00:42:12.772Z,50,,,,,,25.6
2017-12-31T00:42:22.771Z,50,,,,,,25.6
2017-12-31T00:42:32.772Z,50,,,,,,25.6
2017-12-31T00:42:42.772Z,50,,,,,,25.6
2017-12-31T00:42:52.771Z,50,,,,,,25.6
2017-12-31T00:43:02.772Z,50,,,,38.5,,25.6
2017-12-31T00:43:12.772Z,50,,,,,,25.6
2017-12-31T00:43:22.772Z,50,,,,,,25.6
2017-12-31T00:43:32.773Z,50,,,,,,25.6
2017-12-31T00:43:42.771Z,50,,,,,,25.6
2017-12-31T00:43:52.771Z,50,,,,,,25.6
2017-12-31T00:44:02.772Z,50,,,,,,25.6
2017-12-31T00:44:12.771Z,50,,,,,,25.6
2017-12-31T00:44:22.771Z,50,,,,,,25.6
2017-12-31T00:44:32.771Z,50,,,,,,25.6
2017-12-31T00:44:42.772Z,50,,,,38.4,,25.6
2017-12-31T00:44:52.771Z,50,,,,,,25.6
2017-12-31T00:45:02.771Z,50,,,,,,25.5
2017-12-31T00:45:12.772Z,50,,,,,,25.5
2017-12-31T00:45:22.771Z,50,,,,,,25.5
2017-12-31T00:45:32.772Z,50,,,,,,25.5
2017-12-31T00:45:42.772Z,50,,,,,,25.5
2017-12-31T00:45:52.771Z,50,,,,,,25.5
2017-12-31T00:46:02.772Z,50,,,,,,25.5
