Time,ChActive,HwTOutlet,PrimTSet,PrimT,HwActive,HwTSet,ActPow
2017-11-08T00:26:55.811Z,,,,27.8,,,
2017-11-08T00:27:05.914Z,,24,,28,,52,
2017-11-08T00:27:15.810Z,,23.9,,,,52,
2017-11-08T00:27:25.814Z,,24,,28,,52,
2017-11-08T00:27:35.810Z,,24,,27.8,,52,
2017-11-08T00:27:45.811Z,,,,27.8,,,
2017-11-08T00:27:55.811Z,,24,,,,52,
2017-11-08T00:28:05.890Z,,,,28,,,
2017-11-08T00:28:15.810Z,,23.9,,27.8,,52,
2017-11-08T00:28:25.810Z,,23.9,,,,52,
2017-11-08T00:28:35.814Z,,23.9,,,,52,
2017-11-08T00:28:45.810Z,,23.9,,,,52,
2017-11-08T00:28:55.813Z,,23.9,,,,52,
2017-11-08T00:29:15.812Z,,23.9,,,,52,
2017-11-08T00:29:25.812Z,,23.9,,,,52,
2017-11-08T00:29:35.810Z,,23.9,,,,52,
2017-11-08T00:29:45.810Z,,23.9,,,,52,
2017-11-08T00:29:55.810Z,,23.9,,,,52,
2017-11-08T00:30:15.810Z,,23.9,,,,52,
2017-11-08T00:30:25.810Z,,23.9,,,,52,
2017-11-08T00:30:35.810Z,,23.9,,,,52,
2017-11-08T00:30:45.810Z,,23.9,,,,52,
2017-11-08T00:30:55.810Z,,23.9,,,,52,
2017-11-08T00:31:15.810Z,,23.9,,,,52,
2017-11-08T00:31:25.810Z,,23.9,,,,52,
2017-11-08T00:31:35.810Z,,23.9,,,,52,
2017-11-08T00:31:45.810Z,,23.9,,,,52,
2017-11-08T00:31:55.810Z,,23.9,,,,52,
2017-11-08T00:32:15.810Z,,23.9,,,,52,
2017-11-08T00:32:25.810Z,,23.9,,,,52,
2017-11-08T00:32:35.810Z,,23.9,,,,52,
2017-11-08T00:32:45.811Z,,23.9,,,,52,
2017-11-08T00:32:55.815Z,,23.9,,,,52,
2017-11-08T00:33:15.810Z,,23.9,,,,52,
2017-11-08T00:33:25.810Z,,23.9,,,,52,
2017-11-08T00:33:35.815Z,,23.8,,,,52,
2017-11-08T00:33:45.810Z,,23.9,,,,52,
2017-11-08T00:33:55.810Z,,23.9,,27.7,,52,
2017-11-08T00:34:15.810Z,,23.8,,,,52,
2017-11-08T00:34:25.811Z,,23.8,,,,52,
2017-11-08T00:34:35.813Z,,23.8,,,,52,
2017-11-08T00:34:45.810Z,,23.8,,,,52,
2017-11-08T00:34:55.810Z,,23.8,,,,52,
2017-11-08T00:35:15.843Z,,23.8,,,,52,
2017-11-08T00:35:35.925Z,,23.8,,,,52,
2017-11-08T00:35:45.810Z,,23.8,,,,52,
2017-11-08T00:35:55.827Z,,23.8,,,,52,
2017-11-08T00:36:15.810Z,,23.8,,,,52,
2017-11-08T00:36:25.813Z,,23.8,,,,52,
2017-11-08T00:36:35.811Z,,23.8,,,,52,
2017-11-08T00:36:45.810Z,,23.8,,,,52,
2017-11-08T00:36:55.812Z,,23.8,,,,52,
2017-11-08T00:37:15.810Z,,23.8,,,,52,
2017-11-08T00:37:35.812Z,,23.8,,,,52,
2017-11-08T00:37:55.813Z,,23.8,,,,52,
2017-11-08T00:38:15.813Z,,23.8,,,,52,
2017-11-08T00:38:25.810Z,,23.8,,,,52,
2017-11-08T00:38:35.812Z,,23.8,,,,52,
2017-11-08T00:38:45.810Z,,23.8,,,,52,
2017-11-08T00:38:55.813Z,,23.8,,,,52,
2017-11-08T00:39:15.810Z,,23.8,,,,52,
2017-11-08T00:39:35.813Z,,23.8,,,,52,
2017-11-08T00:39:55.811Z,,23.8,,,,52,
2017-11-08T00:40:15.810Z,,23.8,,,,52,
2017-11-08T00:40:25.814Z,,,,27.6,,,
2017-11-08T00:40:35.810Z,,23.8,,,,52,
2017-11-08T00:40:45.815Z,,23.7,,,,52,
2017-11-08T00:40:55.810Z,,23.7,,,,52,
2017-11-08T00:41:15.810Z,,23.7,,,,52,
2017-11-08T00:41:35.810Z,,23.7,,,,52,
2017-11-08T00:41:55.814Z,,23.7,,,,52,
2017-11-08T00:42:15.810Z,,23.7,,,,52,
2017-11-08T00:42:35.810Z,,23.7,,,,52,
2017-11-08T00:42:55.810Z,,23.7,,,,52,
2017-11-08T00:43:15.816Z,,23.7,,,,52,
2017-11-08T00:43:35.810Z,,23.7,,,,52,
2017-11-08T00:43:45.810Z,,23.7,,,,52,
2017-11-08T00:43:55.816Z,,23.7,,,,52,
2017-11-08T00:44:15.810Z,,23.7,,,,52,
2017-11-08T00:44:35.810Z,,23.7,,,,52,
2017-11-08T00:44:55.809Z,,23.7,,,,52,
2017-11-08T00:45:15.810Z,,23.7,,,,52,
2017-11-08T00:45:35.849Z,,23.7,,,,52,
2017-11-08T00:45:45.810Z,,23.7,,,,52,
2017-11-08T00:45:55.810Z,,23.7,,,,52,
2017-11-08T00:46:05.890Z,,,,27.5,,,
2017-11-08T00:46:25.810Z,,23.7,,27.5,,52,
2017-11-08T00:46:35.810Z,,23.7,,,,52,
2017-11-08T00:46:45.815Z,,23.7,,,,52,
2017-11-08T00:46:55.809Z,,23.6,,,,52,
2017-11-08T00:47:25.810Z,,23.7,,,,52,
2017-11-08T00:47:35.810Z,,23.6,,,,52,
2017-11-08T00:47:45.810Z,,23.6,,,,52,
2017-11-08T00:47:55.811Z,,23.6,,,,52,
2017-11-08T00:48:25.809Z,,23.6,,,,52,
2017-11-08T00:48:35.810Z,,23.6,,,,52,
2017-11-08T00:48:45.813Z,,23.6,,,,52,
2017-11-08T00:48:55.810Z,,23.6,,,,52,
2017-11-08T00:49:25.809Z,,23.6,,,,52,
2017-11-08T00:49:35.810Z,,23.6,,,,52,
2017-11-08T00:49:55.809Z,,23.6,,,,52,
2017-11-08T00:50:25.882Z,,23.6,,,,52,
2017-11-08T00:50:35.810Z,,23.6,,,,52,
2017-11-08T00:50:45.850Z,,23.6,,,,52,
2017-11-08T00:50:55.809Z,,23.6,,,,52,
2017-11-08T00:51:25.809Z,,23.6,,,,52,
2017-11-08T00:51:35.809Z,,23.6,,,,52,
2017-11-08T00:51:45.809Z,,23.6,,,,52,
2017-11-08T00:51:55.809Z,,23.6,,,,52,
2017-11-08T00:52:25.810Z,,23.6,,27.3,,52,
2017-11-08T00:52:35.810Z,,23.6,,,,52,
2017-11-08T00:52:45.810Z,,23.4,,,,52,
2017-11-08T00:52:55.809Z,,23.6,,,,52,
2017-11-08T00:53:25.809Z,,23.6,,,,52,
2017-11-08T00:53:35.809Z,,23.6,,,,52,
2017-11-08T00:53:55.814Z,,23.6,,,,52,
2017-11-08T00:54:25.809Z,,23.4,,,,52,
2017-11-08T00:54:35.809Z,,23.4,,,,52,
2017-11-08T00:54:45.809Z,,23.4,,,,52,
2017-11-08T00:54:55.811Z,,23.4,,,,52,
2017-11-08T00:55:25.809Z,,23.4,,,,52,
2017-11-08T00:55:35.809Z,,23.4,,,,52,
2017-11-08T00:55:45.809Z,,23.4,,,,52,
2017-11-08T00:55:55.810Z,,23.4,,,,52,
2017-11-08T00:56:25.811Z,,23.4,,,,52,
2017-11-08T00:56:35.810Z,,23.4,,,,52,
2017-11-08T00:56:45.811Z,,23.4,,,,52,
2017-11-08T00:56:55.809Z,,23.4,,,,52,
2017-11-08T00:57:25.809Z,,23.4,,,,52,
2017-11-08T00:57:35.810Z,,23.4,,,,52,
2017-11-08T00:57:45.810Z,,23.4,,,,52,
2017-11-08T00:57:55.811Z,,23.4,,,,52,
2017-11-08T00:58:25.811Z,,23.4,,,,52,
2017-11-08T00:58:35.813Z,,23.4,,,,52,
2017-11-08T00:58:45.809Z,,23.4,,27.2,,52,
2017-11-08T00:58:55.809Z,,23.4,,,,52,
2017-11-08T00:59:05.909Z,,,,27.3,,,
2017-11-08T00:59:25.811Z,,23.4,,27.2,,52,
2017-11-08T00:59:35.810Z,,23.4,,,,52,
2017-11-08T00:59:45.809Z,,23.4,,,,52,
2017-11-08T00:59:55.812Z,,23.4,,,,52,
2017-11-08T01:00:25.809Z,,23.4,,,,52,
2017-11-08T01:00:35.810Z,,23.4,,,,52,
2017-11-08T01:00:45.809Z,,23.3,,,,52,
2017-11-08T01:00:55.813Z,,23.4,,,,52,
2017-11-08T01:01:25.817Z,,23.3,,,,52,
2017-11-08T01:01:35.813Z,,23.4,,,,52,
2017-11-08T01:01:45.814Z,,23.3,,,,52,
2017-11-08T01:01:55.813Z,,23.3,,,,52,
2017-11-08T01:02:25.810Z,,23.3,,,,52,
2017-11-08T01:02:35.814Z,,23.3,,,,52,
2017-11-08T01:02:45.809Z,,23.3,,,,52,
2017-11-08T01:02:55.809Z,,23.3,,,,52,
2017-11-08T01:03:25.815Z,,23.3,,,,52,
2017-11-08T01:03:35.810Z,,23.3,,,,52,
2017-11-08T01:03:55.809Z,,23.3,,,,52,
2017-11-08T01:04:25.809Z,,23.3,,,,52,
2017-11-08T01:04:35.809Z,,23.3,,27.1,,52,
2017-11-08T01:04:45.809Z,,23.3,,27.2,,52,
2017-11-08T01:04:55.809Z,,23.3,,,,52,
2017-11-08T01:05:25.809Z,,23.3,,27.1,,52,
2017-11-08T01:05:35.809Z,,23.3,,,,52,
2017-11-08T01:05:55.809Z,,23.3,,,,52,
2017-11-08T01:06:25.809Z,,23.3,,,,52,
2017-11-08T01:06:35.809Z,,23.3,,,,52,
2017-11-08T01:06:45.809Z,,23.3,,,,52,
2017-11-08T01:06:55.814Z,,23.3,,,,52,
2017-11-08T01:07:25.809Z,,23.3,,,,52,
2017-11-08T01:07:35.813Z,,23.3,,,,52,
2017-11-08T01:07:45.809Z,,23.3,,,,52,
2017-11-08T01:07:55.810Z,,23.3,,,,52,
2017-11-08T01:08:25.810Z,,23.3,,,,52,
2017-11-08T01:08:35.809Z,,23.3,,,,52,
2017-11-08T01:08:45.809Z,,23.3,,,,52,
2017-11-08T01:08:55.809Z,,23.2,,,,52,
2017-11-08T01:09:25.810Z,,23.3,,,,52,
2017-11-08T01:09:35.809Z,,23.2,,,,52,
2017-11-08T01:09:45.809Z,,23.2,,,,52,
2017-11-08T01:09:55.809Z,,23.2,,,,52,
2017-11-08T01:10:25.809Z,,23.2,,,,52,
2017-11-08T01:10:35.815Z,,23.2,,,,52,
2017-11-08T01:10:55.810Z,,23.2,,,,52,
2017-11-08T01:11:05.908Z,,,,27,,,
2017-11-08T01:11:25.809Z,,23.2,,27.1,,52,
2017-11-08T01:11:35.809Z,,23.2,,27,,52,
2017-11-08T01:11:45.810Z,,23.2,,,,52,
2017-11-08T01:11:55.809Z,,23.2,,,,52,
2017-11-08T01:12:25.809Z,,23.2,,,,52,
2017-11-08T01:12:35.809Z,,23.2,,,,52,
2017-11-08T01:12:55.811Z,,23.2,,,,52,
2017-11-08T01:13:25.815Z,,23.2,,,,52,
2017-11-08T01:13:35.809Z,,23.2,,,,52,
2017-11-08T01:13:45.809Z,,23.2,,,,52,
2017-11-08T01:13:55.816Z,,23.2,,,,52,
2017-11-08T01:14:25.809Z,,23.2,,,,52,
2017-11-08T01:14:35.809Z,,23.2,,,,52,
2017-11-08T01:14:55.809Z,,23.2,,,,52,
2017-11-08T01:15:25.809Z,,23.2,,,,52,
2017-11-08T01:15:35.809Z,,23.2,,,,52,
2017-11-08T01:15:55.809Z,,23.2,,,,52,
2017-11-08T01:16:15.839Z,0,23.2,5,27,0,52,0
2017-11-08T01:16:25.809Z,,23.2,,,,52,
2017-11-08T01:16:35.812Z,,23.2,,,,52,
2017-11-08T01:16:45.809Z,,23.2,,27,,52,
2017-11-08T01:16:55.809Z,,23.2,,,,52,
2017-11-08T01:17:05.889Z,,23.1,,27,,52,
2017-11-08T01:17:15.810Z,,23.2,,26.9,,52,
2017-11-08T01:17:25.809Z,,23.2,,26.9,,52,
2017-11-08T01:17:35.810Z,,23.1,,27,,52,
2017-11-08T01:17:45.812Z,,,,26.9,,,
2017-11-08T01:18:05.889Z,,23.1,,,,52,
2017-11-08T01:18:15.808Z,,,,26.9,,,
2017-11-08T01:18:25.808Z,,23.1,,,,52,
2017-11-08T01:18:35.808Z,,23.1,,,,52,
2017-11-08T01:18:45.955Z,,23.1,,,,52,
2017-11-08T01:19:05.908Z,,23.1,,,,52,
2017-11-08T01:19:25.808Z,,23.1,,,,52,
2017-11-08T01:19:35.813Z,,23.1,,,,52,
2017-11-08T01:19:55.809Z,,23.1,,,,52,
2017-11-08T01:20:25.808Z,,23.1,,,,52,
2017-11-08T01:20:35.812Z,,23.1,,,,52,
2017-11-08T01:20:45.809Z,,23.1,,,,52,
2017-11-08T01:20:55.811Z,,23.1,,,,52,
2017-11-08T01:21:25.810Z,,23.1,,,,52,
2017-11-08T01:21:35.808Z,,23.1,,,,52,
2017-11-08T01:21:45.872Z,,23.1,,,,52,
2017-11-08T01:21:55.869Z,,23.1,,,,52,
2017-11-08T01:22:25.838Z,,23.1,,,,52,
2017-11-08T01:22:35.809Z,,23.1,,,,52,
2017-11-08T01:22:55.821Z,,23.1,,,,52,
2017-11-08T01:23:25.812Z,,23.1,,,,52,
2017-11-08T01:23:35.810Z,,23.1,,,,52,
2017-11-08T01:23:45.809Z,,23.1,,26.7,,52,
2017-11-08T01:23:55.809Z,,23.1,,,,52,
2017-11-08T01:24:05.909Z,,,,26.9,,,
2017-11-08T01:24:25.809Z,,23.1,,26.7,,52,
2017-11-08T01:24:35.809Z,,23.1,,,,52,
2017-11-08T01:24:45.813Z,,23.1,,,,52,
2017-11-08T01:24:55.813Z,,23.1,,,,52,
2017-11-08T01:25:25.808Z,,23.1,,,,52,
2017-11-08T01:25:35.812Z,,23.1,,,,52,
2017-11-08T01:25:45.809Z,,23.1,,,,52,
2017-11-08T01:25:55.808Z,,23.1,,,,52,
2017-11-08T01:26:25.808Z,,23.1,,,,52,
2017-11-08T01:26:35.812Z,,23,,,,52,
2017-11-08T01:26:55.809Z,,23,,,,52,
2017-11-08T01:27:25.818Z,,23,,,,52,
2017-11-08T01:27:35.808Z,,23,,,,52,
2017-11-08T01:27:55.809Z,,23,,,,52,
2017-11-08T01:28:25.809Z,,23,,,,52,
2017-11-08T01:28:35.811Z,,23,,,,52,
2017-11-08T01:28:45.808Z,,23,,,,52,
2017-11-08T01:28:55.809Z,,23,,,,52,
2017-11-08T01:29:25.808Z,,23,,,,52,
2017-11-08T01:29:35.808Z,,23,,,,52,
2017-11-08T01:29:45.808Z,,23,,26.7,,52,
2017-11-08T01:29:55.809Z,,23,,,,52,
2017-11-08T01:30:25.808Z,,23,,,,52,
2017-11-08T01:30:35.808Z,,23,,,,52,
2017-11-08T01:30:45.808Z,,,,26.6,,,
2017-11-08T01:30:55.808Z,,23,,,,52,
2017-11-08T01:31:25.808Z,,23,,,,52,
2017-11-08T01:31:35.809Z,,23,,,,52,
2017-11-08T01:31:45.808Z,,23,,,,52,
2017-11-08T01:31:55.808Z,,23,,,,52,
2017-11-08T01:32:25.808Z,,23,,,,52,
