Time,HwTSet,HwActive,ActPow,PrimT,PrimTSet,ChActive,HwTOutlet
2017-12-08T09:47:40.556Z,50,0,0,41.6,,2,30.9
2017-12-08T09:47:50.543Z,50,,,38.9,,,30.9
2017-12-08T09:48:00.540Z,50,,,37.9,,,30.9
2017-12-08T09:48:10.542Z,50,,,36.9,,,30.9
2017-12-08T09:48:20.546Z,50,,,36.8,,,30.9
2017-12-08T09:48:30.541Z,50,,,36.7,,,30.9
2017-12-08T09:48:40.550Z,50,,,,,,30.9
2017-12-08T09:48:50.542Z,50,,,,,,30.9
2017-12-08T09:49:00.540Z,50,,,,,,30.9
2017-12-08T09:49:10.554Z,50,,,36.6,,,30.9
2017-12-08T09:49:20.594Z,50,,,36.5,,,30.9
2017-12-08T09:49:30.583Z,50,,,36.4,,,30.9
2017-12-08T09:49:40.549Z,50,,,36.3,,,30.8
2017-12-08T09:49:50.584Z,50,,,,,,30.9
2017-12-08T09:50:00.568Z,50,,,,,,30.8
2017-12-08T09:50:10.548Z,50,,,,,,30.8
2017-12-08T09:50:20.541Z,50,,,,,,30.9
2017-12-08T09:50:30.542Z,50,,,36.2,,,30.8
2017-12-08T09:50:40.541Z,50,,,36.1,,,30.9
2017-12-08T09:50:50.548Z,50,,,,,,30.8
2017-12-08T09:51:00.541Z,50,,,,,,30.8
2017-12-08T09:51:10.544Z,50,,,,,,30.8
2017-12-08T09:51:20.548Z,50,,,,,,30.8
2017-12-08T09:51:30.548Z,50,,,,,,30.8
2017-12-08T09:51:40.542Z,50,,,,,,30.8
2017-12-08T09:51:50.553Z,50,,,,,,30.8
2017-12-08T09:52:00.544Z,50,,,,,,30.8
2017-12-08T09:52:10.540Z,50,,,,,,30.8
2017-12-08T09:52:20.541Z,50,,,36,,,30.8
2017-12-08T09:52:30.575Z,50,,,,,,30.8
2017-12-08T09:52:40.562Z,50,,,,,,30.8
2017-12-08T09:52:50.544Z,50,,,,,,30.8
2017-12-08T09:53:00.554Z,50,,,36.1,,,30.8
2017-12-08T09:53:10.543Z,50,,,,,,30.8
2017-12-08T09:53:20.554Z,50,,,,,,30.8
2017-12-08T09:53:30.541Z,50,,,,,,30.8
2017-12-08T09:53:40.548Z,50,,,,,,30.8
2017-12-08T09:53:50.563Z,50,,,,,,30.8
2017-12-08T09:54:00.552Z,50,,,,,,30.8
2017-12-08T09:54:10.599Z,50,,,,,,30.8
2017-12-08T09:54:20.567Z,50,,,36.2,,,30.8
2017-12-08T09:54:30.556Z,50,,,,,,30.8
2017-12-08T09:54:40.577Z,50,,,,,,30.8
2017-12-08T09:54:50.604Z,50,,,,,,30.8
2017-12-08T09:55:00.550Z,50,,,36.3,,,30.8
2017-12-08T09:55:10.558Z,50,,,,,,30.8
2017-12-08T09:55:20.540Z,50,,,,,,30.7
2017-12-08T09:55:30.543Z,50,,,,,,30.7
2017-12-08T09:55:40.543Z,50,,,,,,30.7
2017-12-08T09:55:50.545Z,50,,,,,,30.7
2017-12-08T09:56:00.580Z,50,,,36.4,,,30.7
2017-12-08T09:56:10.569Z,50,,,,,,30.7
2017-12-08T09:56:20.542Z,50,,,,,,30.7
2017-12-08T09:56:30.564Z,50,,,,,,30.7
2017-12-08T09:56:40.560Z,50,,,,,,30.7
2017-12-08T09:56:50.560Z,50,,,,,,30.7
2017-12-08T09:57:00.557Z,50,,,,,,30.7
2017-12-08T09:57:10.551Z,50,,,,,,30.7
2017-12-08T09:57:20.574Z,50,,,,,,30.7
2017-12-08T09:57:30.595Z,50,,,,,,30.6
2017-12-08T09:57:40.542Z,50,,,,,,30.7
2017-12-08T09:57:50.551Z,50,,,,,,30.6
2017-12-08T09:58:00.549Z,50,,,,,,30.6
2017-12-08T09:58:10.540Z,50,,,,,,30.6
2017-12-08T09:58:20.540Z,50,,,,,,30.6
2017-12-08T09:58:30.563Z,50,,,,,,30.6
2017-12-08T09:58:40.541Z,50,,,,,,30.6
2017-12-08T09:58:50.542Z,50,,,,,,30.6
2017-12-08T09:59:00.541Z,50,,,,,,30.6
2017-12-08T09:59:10.552Z,50,,,,,,30.6
2017-12-08T09:59:20.557Z,50,,,,,,30.6
2017-12-08T09:59:30.547Z,50,,,,,,30.6
2017-12-08T09:59:40.564Z,50,,,,,,30.6
2017-12-08T09:59:50.541Z,50,,,,,,30.6
2017-12-08T10:00:00.554Z,50,,,,,,30.6
2017-12-08T10:00:10.546Z,50,,,,,,30.6
2017-12-08T10:00:20.540Z,50,,,,,,30.6
2017-12-08T10:00:30.542Z,50,,,36.3,,,30.6
2017-12-08T10:00:40.541Z,50,,,,,,30.4
2017-12-08T10:00:50.541Z,50,,,,,,30.4
2017-12-08T10:01:00.553Z,50,,,,,,30.4
2017-12-08T10:01:10.557Z,50,,,,,,30.4
2017-12-08T10:01:20.564Z,50,,,,,,30.4
2017-12-08T10:01:30.548Z,50,,,,,,30.4
2017-12-08T10:01:40.540Z,50,,,,,,30.4
2017-12-08T10:01:50.540Z,50,,,,,,30.4
2017-12-08T10:02:00.541Z,50,,,,,,30.4
2017-12-08T10:02:10.550Z,50,,,,,,30.4
2017-12-08T10:02:20.541Z,50,,,36.2,,,30.4
2017-12-08T10:02:30.552Z,50,,,,,,30.3
2017-12-08T10:02:40.541Z,50,,,,,,30.3
2017-12-08T10:02:50.601Z,50,,,,,,30.3
2017-12-08T10:03:00.591Z,50,,,,,,30.3
2017-12-08T10:03:10.579Z,50,,,,,,30.3
2017-12-08T10:03:20.556Z,50,,,,,,30.3
2017-12-08T10:03:30.541Z,50,,,,,,30.3
2017-12-08T10:03:40.546Z,50,,,,,,30.3
2017-12-08T10:03:50.554Z,50,,,,,,30.3
2017-12-08T10:04:00.544Z,50,,,,,,30.3
2017-12-08T10:04:10.543Z,50,,,36.1,,,30.3
2017-12-08T10:04:20.544Z,50,,,,,,30.3
2017-12-08T10:04:30.541Z,50,,,,,,30.2
2017-12-08T10:04:40.562Z,50,,,,,,30.2
2017-12-08T10:04:50.557Z,50,,,,,,30.2
2017-12-08T10:05:00.572Z,50,,,,,,30.2
2017-12-08T10:05:10.605Z,50,,,,,,30.2
2017-12-08T10:05:20.592Z,50,,,,,,30.2
2017-12-08T10:05:30.564Z,50,,,36.1,,,30.2
2017-12-08T10:05:40.573Z,50,0,42,38.4,,2,30.2
2017-12-08T10:05:50.564Z,50,,34,42,,,30.2
2017-12-08T10:06:00.550Z,50,,29,39.8,,,30.2
2017-12-08T10:06:10.557Z,50,,,38.9,,,30.2
2017-12-08T10:06:20.550Z,50,,30,36.9,,,30.2
2017-12-08T10:06:30.542Z,50,,29,35.9,,,30.2
2017-12-08T10:06:40.546Z,50,,30,36,,,30.2
2017-12-08T10:06:50.549Z,50,,29,36.2,,,30.2
2017-12-08T10:07:00.543Z,50,,30,37.1,,,30.1
2017-12-08T10:07:10.543Z,50,,29,37.2,,,30.1
2017-12-08T10:07:20.540Z,50,,,37.5,,,30.1
2017-12-08T10:07:30.541Z,50,,,37.7,,,30.1
2017-12-08T10:07:40.541Z,50,,29,38,,,30.1
2017-12-08T10:07:50.542Z,50,,,,,,30.1
2017-12-08T10:08:00.541Z,50,,,38.2,,,30.1
2017-12-08T10:08:10.550Z,50,,,38.5,,,30.1
2017-12-08T10:08:20.619Z,50,,,38.7,,,30.1
2017-12-08T10:08:30.628Z,50,,30,39.1,,,30.1
2017-12-08T10:08:40.577Z,50,,29,,,,30.1
2017-12-08T10:08:50.583Z,50,,,39.3,,,30.1
2017-12-08T10:09:00.576Z,50,,,39.5,,,30.1
2017-12-08T10:09:10.550Z,50,,,39.6,,,30.1
2017-12-08T10:09:20.547Z,50,,,39.8,,,30.1
2017-12-08T10:09:30.541Z,50,,,40,,,30.1
2017-12-08T10:09:40.548Z,50,,30,,,,30.1
2017-12-08T10:09:50.541Z,50,,29,40.2,,,30.1
2017-12-08T10:10:00.542Z,50,,,40.3,,,30.1
2017-12-08T10:10:10.541Z,50,,,40.4,,,30.1
2017-12-08T10:10:20.549Z,50,,,40.6,,,30.1
2017-12-08T10:10:30.562Z,50,,30,40.7,,,30.1
2017-12-08T10:10:40.591Z,50,,29,40.9,,,30.1
2017-12-08T10:10:50.585Z,50,,30,41,,,30.1
2017-12-08T10:11:00.624Z,50,,29,41.2,,,30.1
2017-12-08T10:11:10.573Z,50,,30,41.3,,,30.1
2017-12-08T10:11:20.561Z,50,,29,41.5,,,30.1
2017-12-08T10:11:30.568Z,50,,,41.6,,,30.1
2017-12-08T10:11:40.555Z,50,,,41.8,,,30.1
2017-12-08T10:11:50.556Z,50,,,42,,,30.1
2017-12-08T10:12:00.553Z,50,,,42.1,,,30.1
2017-12-08T10:12:10.567Z,50,,30,42.2,,,30.2
2017-12-08T10:12:20.554Z,50,,29,42.4,,,30.2
2017-12-08T10:12:30.552Z,50,,30,42.7,,,30.2
