Time,HwTOutlet,HwTSet,PrimTSet,HwActive,PrimT,ChActive,ActPow
2018-01-01T00:18:52.740Z,24.8,50,,,,,
2018-01-01T00:19:02.739Z,24.8,50,,,,,
2018-01-01T00:19:12.739Z,24.8,50,,,,,
2018-01-01T00:19:22.739Z,24.8,50,,,,,
2018-01-01T00:19:32.740Z,24.8,50,,,,,
2018-01-01T00:19:42.739Z,24.8,50,,,,,
2018-01-01T00:19:52.742Z,24.7,50,,,,,
2018-01-01T00:20:02.739Z,24.7,50,,,30.6,,
2018-01-01T00:20:12.739Z,24.7,50,,,,,
2018-01-01T00:20:22.739Z,24.7,50,,,,,
2018-01-01T00:20:32.739Z,24.7,50,,,,,
2018-01-01T00:20:42.739Z,24.7,50,,,,,
2018-01-01T00:20:52.739Z,24.7,50,,,,,
2018-01-01T00:21:02.739Z,24.7,50,,,,,
2018-01-01T00:21:12.739Z,24.7,50,,,,,
2018-01-01T00:21:22.740Z,24.7,50,,,,,
2018-01-01T00:21:32.739Z,24.7,50,,,,,
2018-01-01T00:21:42.739Z,24.7,50,,,,,
2018-01-01T00:21:52.739Z,24.7,50,,,,,
2018-01-01T00:22:02.739Z,24.7,50,,,,,
2018-01-01T00:22:12.739Z,24.7,50,,,,,
2018-01-01T00:22:22.740Z,24.7,50,,,,,
2018-01-01T00:22:32.739Z,24.7,50,,,,,
2018-01-01T00:22:42.739Z,24.7,50,,,,,
2018-01-01T00:22:52.739Z,24.7,50,,,,,
2018-01-01T00:23:02.739Z,24.7,50,,,,,
2018-01-01T00:23:12.739Z,24.7,50,,,,,
2018-01-01T00:23:22.739Z,24.7,50,,,,,
2018-01-01T00:23:32.739Z,24.7,50,,,30.5,,
2018-01-01T00:23:42.739Z,24.5,50,,,,,
2018-01-01T00:23:52.739Z,24.5,50,,,,,
2018-01-01T00:24:02.739Z,24.5,50,,,,,
2018-01-01T00:24:12.739Z,24.5,50,,,,,
2018-01-01T00:24:22.739Z,24.5,50,,,,,
2018-01-01T00:24:32.777Z,24.5,50,,,,,
2018-01-01T00:24:42.739Z,24.5,50,,,,,
2018-01-01T00:24:52.751Z,24.5,50,,,,,
2018-01-01T00:25:02.739Z,24.5,50,,,,,
2018-01-01T00:25:12.739Z,24.5,50,,,,,
2018-01-01T00:25:22.739Z,24.5,50,,,,,
2018-01-01T00:25:32.739Z,24.5,50,,,,,
2018-01-01T00:25:42.739Z,24.5,50,,,,,
2018-01-01T00:25:52.739Z,24.5,50,,,,,
2018-01-01T00:26:02.739Z,24.5,50,,,,,
2018-01-01T00:26:12.738Z,24.5,50,,,,,
2018-01-01T00:26:22.739Z,24.5,50,,,,,
2018-01-01T00:26:32.739Z,24.5,50,,,,,
2018-01-01T00:26:42.739Z,24.5,50,,,,,
2018-01-01T00:26:52.739Z,24.5,50,,,,,
2018-01-01T00:27:02.739Z,24.5,50,,,,,
2018-01-01T00:27:12.739Z,24.5,50,,,,,
2018-01-01T00:27:22.739Z,24.5,50,,,30.4,,
2018-01-01T00:27:32.739Z,24.5,50,,,30.5,,
2018-01-01T00:27:42.739Z,24.4,50,,,30.4,,
2018-01-01T00:27:52.739Z,24.4,50,,,,,
2018-01-01T00:28:02.739Z,24.4,50,,,30.5,,
2018-01-01T00:28:12.739Z,24.4,50,,,30.4,,
2018-01-01T00:28:22.739Z,24.4,50,,,,,
2018-01-01T00:28:32.739Z,24.4,50,,,,,
2018-01-01T00:28:42.739Z,24.4,50,,,,,
2018-01-01T00:28:52.739Z,24.4,50,,,,,
2018-01-01T00:29:02.739Z,24.4,50,,,,,
2018-01-01T00:29:12.739Z,24.4,50,,,,,
2018-01-01T00:29:22.739Z,24.4,50,,,,,
2018-01-01T00:29:32.739Z,24.4,50,,,,,
2018-01-01T00:29:42.739Z,24.4,50,,,,,
2018-01-01T00:29:52.739Z,24.4,50,,,,,
2018-01-01T00:30:02.739Z,24.4,50,,,,,
2018-01-01T00:30:12.739Z,24.4,50,,,,,
2018-01-01T00:30:22.740Z,24.4,50,,,,,
2018-01-01T00:30:32.739Z,24.4,50,,,,,
2018-01-01T00:30:42.739Z,24.4,50,,,,,
2018-01-01T00:30:52.739Z,24.4,50,,,,,
2018-01-01T00:31:02.739Z,24.4,50,,,,,
2018-01-01T00:31:12.739Z,24.3,50,,,,,
2018-01-01T00:31:22.738Z,24.4,50,,,,,
2018-01-01T00:31:32.739Z,24.3,50,,,,,
2018-01-01T00:31:42.739Z,24.3,50,,,30.3,,
2018-01-01T00:31:52.739Z,24.3,50,,,,,
2018-01-01T00:32:02.739Z,24.3,50,,,,,
2018-01-01T00:32:12.739Z,24.3,50,,,,,
2018-01-01T00:32:22.739Z,24.3,50,,,,,
2018-01-01T00:32:32.738Z,24.3,50,,,,,
2018-01-01T00:32:42.739Z,24.3,50,,,,,
2018-01-01T00:32:52.739Z,24.3,50,,,,,
2018-01-01T00:33:02.739Z,24.3,50,,,,,
2018-01-01T00:33:12.739Z,24.3,50,,,,,
2018-01-01T00:33:22.739Z,24.3,50,5,0,30.3,0,0
2018-01-01T00:33:32.739Z,24.3,50,,,,,
2018-01-01T00:33:42.738Z,24.3,50,,,,,
2018-01-01T00:33:52.739Z,24.3,50,,,,,
2018-01-01T00:34:02.739Z,24.3,50,,,,,
2018-01-01T00:34:12.739Z,24.3,50,,,,,
2018-01-01T00:34:22.739Z,24.3,50,,,,,
2018-01-01T00:34:32.739Z,24.3,50,,,,,
2018-01-01T00:34:42.739Z,24.3,50,,,,,
2018-01-01T00:34:52.739Z,24.3,50,,,,,
2018-01-01T00:35:02.739Z,24.3,50,,,,,
2018-01-01T00:35:12.738Z,24.3,50,,,30.2,,
2018-01-01T00:35:22.739Z,24.3,50,,,30.3,,
2018-01-01T00:35:32.739Z,24.3,50,,,,,
2018-01-01T00:35:42.743Z,24.3,50,,,30.2,,
2018-01-01T00:35:52.739Z,24.3,50,,,,,
2018-01-01T00:36:02.739Z,24.2,50,,,,,
2018-01-01T00:36:12.738Z,24.2,50,,,,,
2018-01-01T00:36:22.739Z,24.2,50,,,,,
2018-01-01T00:36:32.738Z,24.2,50,,,,,
2018-01-01T00:36:42.739Z,24.2,50,,,,,
2018-01-01T00:36:52.739Z,24.2,50,,,,,
2018-01-01T00:37:02.739Z,24.2,50,,,,,
2018-01-01T00:37:12.739Z,24.2,50,,,,,
2018-01-01T00:37:22.739Z,24.2,50,,,,,
2018-01-01T00:37:32.739Z,24.2,50,,,,,
2018-01-01T00:37:42.739Z,24.2,50,,,,,
2018-01-01T00:37:52.739Z,24.2,50,,,,,
2018-01-01T00:38:02.739Z,24.2,50,,,,,
2018-01-01T00:38:12.739Z,24.2,50,,,,,
2018-01-01T00:38:22.739Z,24.2,50,,,,,
2018-01-01T00:38:32.739Z,24.2,50,,,,,
2018-01-01T00:38:42.739Z,24.2,50,,,,,
2018-01-01T00:38:52.739Z,24.2,50,,,,,
2018-01-01T00:39:02.739Z,24.2,50,,,,,
2018-01-01T00:39:12.739Z,24.2,50,,,,,
2018-01-01T00:39:22.738Z,24.2,50,,,,,
2018-01-01T00:39:32.739Z,24.2,50,,,,,
2018-01-01T00:39:42.739Z,24.2,50,,,30.1,,
2018-01-01T00:39:52.739Z,24.2,50,,,,,
2018-01-01T00:40:02.739Z,24.2,50,,,,,
2018-01-01T00:40:12.777Z,24.2,50,,,,,
2018-01-01T00:40:22.739Z,24.2,50,,,,,
2018-01-01T00:40:32.739Z,24.2,50,,,,,
2018-01-01T00:40:42.738Z,24,50,,,,,
2018-01-01T00:40:52.738Z,24.2,50,,,,,
2018-01-01T00:41:02.738Z,24,50,,,,,
2018-01-01T00:41:12.739Z,24.2,50,,,,,
2018-01-01T00:41:22.739Z,24,50,,,,,
2018-01-01T00:41:32.738Z,24,50,,,,,
2018-01-01T00:41:42.775Z,24,50,,,,,
2018-01-01T00:41:52.739Z,24,50,,,,,
2018-01-01T00:42:02.779Z,24,50,,,,,
2018-01-01T00:42:12.739Z,24,50,,,,,
2018-01-01T00:42:22.738Z,24,50,,,,,
