Time,PrimT,HwActive,PrimTSet,HwTOutlet,ActPow,HwTSet,ChActive
2017-11-25T00:19:31.196Z,,,,42.7,,52,
2017-11-25T00:19:41.183Z,,,,42.5,,52,
2017-11-25T00:20:01.183Z,45.9,,,42.4,,52,
2017-11-25T00:20:11.183Z,,,,42.3,,52,
2017-11-25T00:20:21.183Z,,,,42.2,,52,
2017-11-25T00:20:31.183Z,,,,42,,52,
2017-11-25T00:20:41.183Z,,,,42,,52,
2017-11-25T00:20:51.183Z,45.8,,,,,,
2017-11-25T00:21:01.183Z,45.8,,,41.8,,52,
2017-11-25T00:21:11.244Z,,,,41.7,,52,
2017-11-25T00:21:21.188Z,,,,41.6,,52,
2017-11-25T00:21:31.186Z,45.7,,,41.5,,52,
2017-11-25T00:21:41.183Z,,,,41.4,,52,
2017-11-25T00:21:51.183Z,,,,41.3,,52,
2017-11-25T00:22:01.188Z,,,,41.2,,52,
2017-11-25T00:22:11.183Z,45.6,,,,,,
2017-11-25T00:22:21.186Z,,,,40.9,,52,
2017-11-25T00:22:31.183Z,,,,40.8,,52,
2017-11-25T00:22:51.184Z,45.5,,,40.6,,52,
2017-11-25T00:23:01.183Z,,,,40.5,,52,
2017-11-25T00:23:11.184Z,45.3,,,,,,
2017-11-25T00:23:21.183Z,,,,40.4,,52,
2017-11-25T00:23:31.183Z,45.4,,,40.2,,52,
2017-11-25T00:23:41.183Z,,,,40.1,,52,
2017-11-25T00:23:51.186Z,,,,40.1,,52,
2017-11-25T00:24:01.183Z,45.3,,,40,,52,
2017-11-25T00:24:11.188Z,,,,39.9,,52,
2017-11-25T00:24:21.185Z,,,,39.8,,52,
2017-11-25T00:24:31.193Z,45.2,,,39.7,,52,
2017-11-25T00:24:41.184Z,,,,39.6,,52,
2017-11-25T00:25:01.183Z,45.1,,,39.5,,52,
2017-11-25T00:25:11.185Z,,,,39.3,,52,
2017-11-25T00:25:31.183Z,,0,5,39.3,,52,0
2017-11-25T00:25:41.183Z,45,,,39.1,,52,
2017-11-25T00:25:51.185Z,,0,58,,,,2
2017-11-25T00:26:01.185Z,,,,38.9,,52,
2017-11-25T00:26:11.183Z,,,,38.8,,52,
2017-11-25T00:26:31.187Z,44.9,0,5,38.3,,52,0
2017-11-25T00:26:41.188Z,,,,38.6,,52,
2017-11-25T00:26:51.184Z,44.8,0,58,,,,2
2017-11-25T00:27:01.186Z,,,,38.4,,52,
2017-11-25T00:27:11.183Z,,0,5,,,,0
2017-11-25T00:27:31.186Z,,0,58,38.3,,52,2
2017-11-25T00:27:41.183Z,,,,38.2,,52,
2017-11-25T00:27:51.192Z,44.7,,,38.2,,52,
2017-11-25T00:28:01.192Z,,,,38.1,,52,
2017-11-25T00:28:11.184Z,,,,38,,52,
2017-11-25T00:28:21.183Z,,,,37.9,,52,
2017-11-25T00:28:31.187Z,,,,37.9,,52,
2017-11-25T00:28:41.183Z,44.6,,,,,,
2017-11-25T00:28:51.183Z,,,,37.7,,52,
2017-11-25T00:29:01.186Z,,,,37.7,,52,
2017-11-25T00:29:11.187Z,44.5,,,,,,
2017-11-25T00:29:21.187Z,,,,37.6,,52,
2017-11-25T00:29:31.183Z,,,,37.5,,52,
2017-11-25T00:29:51.183Z,,,,37.1,,52,
2017-11-25T00:30:01.183Z,,,,37.3,,52,
2017-11-25T00:30:11.190Z,44.4,,,37.3,,52,
2017-11-25T00:30:21.183Z,,,,37.2,,52,
2017-11-25T00:30:31.183Z,,,,36.7,,52,
2017-11-25T00:30:41.187Z,,,,36.9,,52,
2017-11-25T00:31:01.183Z,44.3,0,5,36.9,,52,0
2017-11-25T00:31:11.182Z,,,,36.8,,52,
2017-11-25T00:31:21.182Z,,0,58,,,,2
2017-11-25T00:31:31.270Z,,,,36.7,,52,
2017-11-25T00:31:41.183Z,44.2,,,36.6,,52,
2017-11-25T00:31:51.188Z,,,,36.6,,52,
2017-11-25T00:32:01.183Z,,,,36.5,,52,
2017-11-25T00:32:11.188Z,,,,36.5,,52,
2017-11-25T00:32:21.183Z,,,,36.4,,52,
2017-11-25T00:32:31.183Z,,,,36.4,,52,
2017-11-25T00:32:41.183Z,44.1,,,,,,
2017-11-25T00:32:51.183Z,,,,36.3,,52,
2017-11-25T00:33:01.183Z,,,,36.2,,52,
2017-11-25T00:33:21.183Z,,,,36.1,,52,
2017-11-25T00:33:31.183Z,44,,,36,,52,
2017-11-25T00:33:41.183Z,,,,35.9,,52,
2017-11-25T00:33:51.182Z,,,,35.8,,52,
2017-11-25T00:34:01.183Z,,,,35.8,,52,
2017-11-25T00:34:21.183Z,44,,,,,,
2017-11-25T00:34:31.183Z,43.9,,,35.8,,52,
2017-11-25T00:34:41.222Z,,,,35.7,,52,
2017-11-25T00:34:51.183Z,,,,35.7,,52,
2017-11-25T00:35:01.198Z,,,,35.6,,52,
2017-11-25T00:35:11.183Z,,,,35.6,,52,
2017-11-25T00:35:21.183Z,,,,35.5,,52,
2017-11-25T00:35:31.183Z,,,,35.5,,52,
2017-11-25T00:35:41.187Z,43.8,,,35.4,,52,
2017-11-25T00:35:51.192Z,,,,35.4,,52,
2017-11-25T00:36:01.183Z,,,,35.3,,52,
2017-11-25T00:36:11.188Z,,,,35.3,,52,
2017-11-25T00:36:21.183Z,,,,35.2,,52,
2017-11-25T00:36:31.183Z,,,,35.2,,52,
2017-11-25T00:36:41.183Z,43.7,,,35.1,,52,
2017-11-25T00:36:51.183Z,,,,34.9,,52,
2017-11-25T00:37:01.183Z,,,,34.8,,52,
2017-11-25T00:37:11.183Z,47.1,0,,34.8,41,52,2
2017-11-25T00:37:21.183Z,48.9,,,34.8,33,52,
2017-11-25T00:37:31.183Z,42.7,,,34.7,30,52,
2017-11-25T00:37:41.183Z,39.9,,,,29,,
2017-11-25T00:37:51.186Z,38.9,,,34.7,30,52,
2017-11-25T00:38:01.182Z,35.9,,,,29,,
2017-11-25T00:38:11.183Z,35.4,,,,30,,
2017-11-25T00:38:21.183Z,,,,34.6,,52,
2017-11-25T00:38:31.183Z,33.7,,,34.6,29,52,
2017-11-25T00:38:41.183Z,34,,,34.4,,52,
2017-11-25T00:38:51.183Z,34.1,,,34.5,30,52,
2017-11-25T00:39:01.183Z,34.5,,,34.5,,52,
2017-11-25T00:39:11.183Z,35.1,,,34.4,29,52,
2017-11-25T00:39:21.190Z,,,,,30,,
2017-11-25T00:39:31.183Z,35.3,,,34.3,29,52,
2017-11-25T00:39:41.183Z,36.6,,,,,,
2017-11-25T00:39:51.183Z,35.8,,,34.3,,52,
2017-11-25T00:40:01.182Z,36,,,34.3,,52,
2017-11-25T00:40:11.183Z,,,,34.2,,52,
2017-11-25T00:40:21.182Z,36.4,,,34.2,30,52,
2017-11-25T00:40:31.183Z,36.8,,,34.1,29,52,
2017-11-25T00:40:41.183Z,37.1,,,33.9,,52,
2017-11-25T00:40:51.186Z,,,,34,,52,
2017-11-25T00:41:01.183Z,37.3,,,,,,
2017-11-25T00:41:11.183Z,37.8,,,34,,52,
2017-11-25T00:41:31.183Z,38,,,33.9,30,52,
2017-11-25T00:41:41.184Z,38.2,,,33.7,29,52,
2017-11-25T00:41:51.182Z,38.4,,,33.9,,52,
2017-11-25T00:42:01.183Z,38.6,,,33.8,,52,
2017-11-25T00:42:11.187Z,39.1,,,33.8,30,52,
2017-11-25T00:42:21.182Z,,,,33.7,,52,
2017-11-25T00:42:31.183Z,39.5,,,33.7,29,52,
2017-11-25T00:42:41.186Z,39.6,,,33.6,0,52,
2017-11-25T00:42:51.182Z,37.8,0,,,,,2
2017-11-25T00:43:01.182Z,37.3,,,33.6,,52,
2017-11-25T00:43:11.184Z,35.6,,,,,,
2017-11-25T00:43:31.183Z,34.8,,,33.6,,52,
2017-11-25T00:43:41.182Z,34.6,,,,,,
2017-11-25T00:43:51.184Z,,,,33.5,,52,
2017-11-25T00:44:01.182Z,,,,33.5,,52,
2017-11-25T00:44:11.183Z,34.5,,,,,,
2017-11-25T00:44:21.187Z,,,,33.4,,52,
2017-11-25T00:44:31.183Z,34.3,,,33.4,,52,
2017-11-25T00:44:41.182Z,34.2,,,33.4,,52,
2017-11-25T00:44:51.182Z,34.1,,,33.3,,52,
2017-11-25T00:45:01.182Z,,,,33.3,,52,
2017-11-25T00:45:11.182Z,,,,33.3,,52,
2017-11-25T00:45:31.182Z,,,,33.2,,52,
2017-11-25T00:45:41.183Z,,,,33.2,,52,
2017-11-25T00:45:51.192Z,34,,,,,,
2017-11-25T00:46:01.182Z,,,,33.2,,52,
2017-11-25T00:46:21.183Z,,,,33.1,,52,
2017-11-25T00:46:31.183Z,,,,33.1,,52,
2017-11-25T00:46:41.185Z,,,,32.9,,52,
2017-11-25T00:46:51.182Z,,,,32.9,,52,
2017-11-25T00:47:01.183Z,33.9,,,,,,
2017-11-25T00:47:11.183Z,,,,32.9,,52,
2017-11-25T00:47:21.182Z,34,,,,,,
2017-11-25T00:47:31.182Z,34,,,,,,
2017-11-25T00:47:41.182Z,,,,32.8,,52,
2017-11-25T00:47:51.182Z,,,,32.8,,52,
2017-11-25T00:48:11.182Z,,,,32.7,,52,
2017-11-25T00:48:21.182Z,,,,32.7,,52,
2017-11-25T00:48:31.183Z,34.1,,,32.7,,52,
2017-11-25T00:48:41.184Z,34.2,,,32.6,,52,
2017-11-25T00:48:51.183Z,34.3,0,58,32.6,0,52,2
2017-11-25T00:49:01.184Z,34.4,,,,,,
2017-11-25T00:49:11.184Z,,,,32.5,,52,
2017-11-25T00:49:21.182Z,34.6,,,32.5,,52,
2017-11-25T00:49:31.183Z,34.7,,,32.5,,52,
2017-11-25T00:49:41.182Z,35.4,,,32.5,,52,
2017-11-25T00:49:51.182Z,34.9,,,32.5,,52,
2017-11-25T00:50:01.183Z,35.1,,,,,,
2017-11-25T00:50:11.234Z,35.2,,,32.4,,52,
2017-11-25T00:50:21.222Z,,,,32.4,,52,
2017-11-25T00:50:31.182Z,35.5,,,32.4,,52,
2017-11-25T00:50:41.184Z,,,,32.3,,52,
2017-11-25T00:50:51.191Z,35.7,,,,,,
2017-11-25T00:51:01.182Z,35.9,,,32.3,,52,
2017-11-25T00:51:11.189Z,,,,32.3,,52,
2017-11-25T00:51:21.182Z,36.1,,,,,,
2017-11-25T00:51:31.185Z,36.2,,,32.2,,52,
2017-11-25T00:51:41.187Z,36.3,,,32.2,,52,
2017-11-25T00:51:51.182Z,36.4,,,32.2,,52,
2017-11-25T00:52:01.183Z,36.5,,,32.2,,52,
2017-11-25T00:52:11.182Z,36.6,,,32.1,,52,
2017-11-25T00:52:21.185Z,,,,32.1,,52,
2017-11-25T00:52:31.276Z,36.9,,,32.1,,52,
2017-11-25T00:52:41.182Z,37.1,,,32.1,,52,
2017-11-25T00:52:51.186Z,,,,32,,52,
2017-11-25T00:53:01.182Z,37.2,,,32,,52,
2017-11-25T00:53:11.202Z,37.3,,,32,,52,
2017-11-25T00:53:31.185Z,37.4,,,32,,52,
2017-11-25T00:53:41.184Z,,,,31.9,,52,
2017-11-25T00:53:51.186Z,,,,31.9,,52,
2017-11-25T00:54:11.186Z,,,,31.9,,52,
2017-11-25T00:54:21.182Z,,,,31.8,,52,
2017-11-25T00:54:31.187Z,,,,31.8,,52,
2017-11-25T00:54:41.188Z,,,,31.8,,52,
2017-11-25T00:54:51.185Z,,,,31.8,,52,
2017-11-25T00:55:01.183Z,37.3,,,31.8,,52,
2017-11-25T00:55:11.182Z,,,,31.6,,52,
2017-11-25T00:55:21.182Z,,,,31.6,,52,
2017-11-25T00:55:31.183Z,37.2,,,31.6,,52,
2017-11-25T00:55:41.183Z,,,,31.5,,52,
2017-11-25T00:55:51.186Z,,,,31.5,,52,
2017-11-25T00:56:01.182Z,37.1,,,,,,
2017-11-25T00:56:11.187Z,36.9,,,31.5,,52,
2017-11-25T00:56:31.183Z,,,,31.5,,52,
2017-11-25T00:56:41.182Z,,,,31.4,,52,
2017-11-25T00:56:51.182Z,36.8,,,31.4,,52,
2017-11-25T00:57:01.182Z,,,,31.4,,52,
2017-11-25T00:57:11.183Z,36.7,,,31.4,,52,
2017-11-25T00:57:21.182Z,,,,31.4,,52,
2017-11-25T00:57:31.182Z,36.6,,,31.3,,52,
2017-11-25T00:57:41.182Z,,,,31.3,,52,
2017-11-25T00:57:51.186Z,,,,31.3,,52,
2017-11-25T00:58:01.182Z,36.5,,,31.3,,52,
2017-11-25T00:58:11.183Z,,,,31.3,,52,
2017-11-25T00:58:21.184Z,,,,31.2,,52,
2017-11-25T00:58:31.186Z,36.2,,,31.2,,52,
2017-11-25T00:58:41.182Z,36.4,,,,,,
2017-11-25T00:58:51.183Z,36.3,,,31.2,,52,
2017-11-25T00:59:01.196Z,,,,31.2,,52,
2017-11-25T00:59:11.186Z,36.1,,,,,,
2017-11-25T00:59:21.183Z,,,,31,,52,
2017-11-25T00:59:31.183Z,36.1,,,,,,
2017-11-25T00:59:41.182Z,,,,31,,52,
2017-11-25T00:59:51.190Z,,,,30.9,,52,
2017-11-25T01:00:01.182Z,,,,30.9,,52,
2017-11-25T01:00:11.182Z,,,,30.9,,52,
2017-11-25T01:00:21.182Z,36,,,,,,
2017-11-25T01:00:31.186Z,35.9,,,,,,
