Time,HwTOutlet,ChActive,HwActive,PrimTSet,ActPow,PrimT,HwTSet
2017-12-27T00:18:55.905Z,27.4,,,,,,50
2017-12-27T00:19:05.904Z,27.4,,,,,,50
2017-12-27T00:19:15.904Z,27.4,,,,,,50
2017-12-27T00:19:25.904Z,27.3,,,,,37.7,50
2017-12-27T00:19:35.905Z,27.4,,,,,37.8,50
2017-12-27T00:19:45.904Z,27.3,,,,,37.7,50
2017-12-27T00:19:55.904Z,27.3,,,,,,50
2017-12-27T00:20:05.904Z,27.3,,,,,,50
2017-12-27T00:20:15.904Z,27.3,,,,,,50
2017-12-27T00:20:25.904Z,27.3,,,,,,50
2017-12-27T00:20:35.904Z,27.3,,,,,,50
2017-12-27T00:20:45.904Z,27.3,,,,,,50
2017-12-27T00:20:55.904Z,27.3,,,,,,50
2017-12-27T00:21:05.904Z,27.3,,,,,,50
2017-12-27T00:21:15.904Z,27.3,,,,,,50
2017-12-27T00:21:25.906Z,27.3,,,,,,50
2017-12-27T00:21:35.904Z,27.3,,,,,,50
2017-12-27T00:21:45.904Z,27.3,,,,,,50
2017-12-27T00:21:55.904Z,27.3,,,,,37.6,50
2017-12-27T00:22:05.904Z,27.2,,,,,,50
2017-12-27T00:22:15.904Z,27.2,,,,,,50
2017-12-27T00:22:25.904Z,27.2,,,,,,50
2017-12-27T00:22:35.905Z,27.2,,,,,,50
2017-12-27T00:22:45.904Z,27.2,,,,,,50
2017-12-27T00:22:55.930Z,27.2,0,0,5,0,37.6,50
2017-12-27T00:23:05.904Z,27.2,,,,,,50
2017-12-27T00:23:15.904Z,27.2,,,,,,50
2017-12-27T00:23:25.904Z,27.2,,,,,,50
2017-12-27T00:23:35.904Z,27.2,,,,,,50
2017-12-27T00:23:45.905Z,27.2,,,,,37.5,50
2017-12-27T00:23:55.904Z,27.2,,,,,,50
2017-12-27T00:24:05.904Z,27.2,,,,,,50
2017-12-27T00:24:15.904Z,27.2,,,,,,50
2017-12-27T00:24:25.904Z,27.2,,,,,,50
2017-12-27T00:24:35.906Z,27.2,,,,,,50
2017-12-27T00:24:45.904Z,27.2,,,,,,50
2017-12-27T00:24:55.904Z,27.2,,,,,,50
2017-12-27T00:25:05.904Z,27.1,,,,,,50
2017-12-27T00:25:15.907Z,27.2,,,,,,50
2017-12-27T00:25:25.903Z,27.1,,,,,,50
2017-12-27T00:25:35.904Z,27.1,,,,,,50
2017-12-27T00:25:45.904Z,27.1,,,,,,50
2017-12-27T00:25:55.904Z,27.1,,,,,37.4,50
2017-12-27T00:26:05.904Z,27.1,,,,,,50
2017-12-27T00:26:15.904Z,27.1,,,,,,50
2017-12-27T00:26:25.904Z,27.1,,,,,,50
2017-12-27T00:26:35.904Z,27.1,,,,,,50
2017-12-27T00:26:45.904Z,27.1,,,,,,50
2017-12-27T00:26:55.904Z,27.1,,,,,,50
2017-12-27T00:27:05.904Z,27.1,,,,,,50
2017-12-27T00:27:15.904Z,27.1,,,,,,50
2017-12-27T00:27:25.904Z,27.1,,,,,,50
2017-12-27T00:27:35.904Z,27.1,,,,,,50
2017-12-27T00:27:45.904Z,27.1,,,,,,50
2017-12-27T00:27:55.909Z,27.1,,,,,,50
2017-12-27T00:28:05.908Z,27.1,,,,,,50
2017-12-27T00:28:15.904Z,26.9,,,,,37.3,50
2017-12-27T00:28:25.904Z,26.9,,,,,,50
2017-12-27T00:28:35.904Z,26.9,,,,,,50
2017-12-27T00:28:45.904Z,26.9,,,,,,50
2017-12-27T00:28:55.904Z,26.9,,,,,,50
2017-12-27T00:29:05.904Z,26.9,,,,,,50
2017-12-27T00:29:15.905Z,26.9,,,,,,50
2017-12-27T00:29:25.903Z,26.9,,,,,,50
2017-12-27T00:29:35.903Z,26.9,,,,,,50
2017-12-27T00:29:45.909Z,26.9,,,,,,50
2017-12-27T00:29:55.905Z,26.9,,,,,,50
2017-12-27T00:30:05.903Z,26.9,,,,,,50
2017-12-27T00:30:15.906Z,26.9,,,,,,50
2017-12-27T00:30:25.904Z,26.9,,,,,37.2,50
2017-12-27T00:30:35.904Z,26.9,,,,,,50
2017-12-27T00:30:45.904Z,26.9,,,,,,50
2017-12-27T00:30:55.904Z,26.9,,,,,,50
2017-12-27T00:31:05.940Z,26.9,,,,,,50
2017-12-27T00:31:15.908Z,26.8,,,,,,50
2017-12-27T00:31:25.904Z,26.8,,,,,,50
2017-12-27T00:31:35.904Z,26.9,,,,,,50
2017-12-27T00:31:45.907Z,26.8,,,,,,50
2017-12-27T00:31:55.904Z,26.8,,,,,,50
2017-12-27T00:32:05.904Z,26.8,,,,,,50
2017-12-27T00:32:15.904Z,26.8,,,,,,50
2017-12-27T00:32:25.904Z,26.8,,,,,,50
2017-12-27T00:32:35.903Z,26.8,,,,,37.1,50
2017-12-27T00:32:45.904Z,26.8,,,,,,50
2017-12-27T00:32:55.904Z,26.8,,,,,,50
2017-12-27T00:33:05.903Z,26.8,,,,,,50
2017-12-27T00:33:15.904Z,26.8,,,,,,50
2017-12-27T00:33:25.904Z,26.8,,,,,,50
2017-12-27T00:33:35.904Z,26.8,,,,,,50
2017-12-27T00:33:45.904Z,26.8,,,,,,50
2017-12-27T00:33:55.908Z,26.8,,,,,,50
2017-12-27T00:34:05.904Z,26.8,,,,,,50
2017-12-27T00:34:15.908Z,26.8,,,,,,50
2017-12-27T00:34:25.904Z,26.8,,,,,,50
2017-12-27T00:34:35.904Z,26.7,,,,,,50
2017-12-27T00:34:45.908Z,26.8,,,,,37.1,50
2017-12-27T00:34:55.903Z,26.8,,,,,36.9,50
2017-12-27T00:35:05.903Z,26.8,,,,,36.9,50
2017-12-27T00:35:15.904Z,26.8,,,,,,50
2017-12-27T00:35:25.904Z,26.7,,,,,,50
2017-12-27T00:35:35.903Z,26.7,,,,,,50
2017-12-27T00:35:45.904Z,26.7,,,,,,50
2017-12-27T00:35:55.904Z,26.7,,,,,,50
2017-12-27T00:36:05.904Z,26.7,,,,,,50
2017-12-27T00:36:15.909Z,26.7,,,,,,50
2017-12-27T00:36:25.904Z,26.7,,,,,,50
2017-12-27T00:36:35.903Z,26.7,,,,,,50
2017-12-27T00:36:45.904Z,26.7,,,,,,50
2017-12-27T00:36:55.904Z,26.7,,,,,,50
2017-12-27T00:37:05.905Z,26.7,,,,,,50
2017-12-27T00:37:15.904Z,26.7,,,,,,50
2017-12-27T00:37:25.904Z,26.7,,,,,36.8,50
2017-12-27T00:37:35.903Z,26.7,,,,,,50
2017-12-27T00:37:45.904Z,26.7,,,,,,50
2017-12-27T00:37:55.904Z,26.7,,,,,,50
2017-12-27T00:38:05.904Z,26.7,,,,,,50
2017-12-27T00:38:15.904Z,26.7,,,,,,50
2017-12-27T00:38:25.903Z,26.7,,,,,,50
2017-12-27T00:38:35.903Z,26.7,,,,,,50
2017-12-27T00:38:45.904Z,26.7,,,,,,50
2017-12-27T00:38:55.903Z,26.7,,,,,,50
2017-12-27T00:39:05.904Z,26.6,,,,,,50
2017-12-27T00:39:15.904Z,26.6,,,,,,50
2017-12-27T00:39:25.903Z,26.6,,,,,36.7,50
2017-12-27T00:39:35.904Z,26.6,,,,,,50
2017-12-27T00:39:45.904Z,26.6,,,,,,50
2017-12-27T00:39:55.903Z,26.6,,,,,,50
2017-12-27T00:40:05.903Z,26.6,,,,,,50
2017-12-27T00:40:15.905Z,26.6,,,,,,50
2017-12-27T00:40:25.903Z,26.6,,,,,,50
2017-12-27T00:40:35.903Z,26.6,,,,,,50
2017-12-27T00:40:45.904Z,26.6,,,,,,50
2017-12-27T00:40:55.903Z,26.6,,,,,,50
2017-12-27T00:41:05.903Z,26.6,,,,,,50
2017-12-27T00:41:15.904Z,26.6,,,,,,50
2017-12-27T00:41:25.904Z,26.6,,,,,,50
2017-12-27T00:41:35.903Z,26.6,,,,,,50
2017-12-27T00:41:45.903Z,26.6,,,,,36.6,50
2017-12-27T00:41:55.903Z,26.6,,,,,,50
2017-12-27T00:42:05.904Z,26.6,,,,,,50
2017-12-27T00:42:15.904Z,26.6,,,,,,50
2017-12-27T00:42:25.903Z,26.6,,,,,,50
2017-12-27T00:42:35.903Z,26.5,,,,,,50
2017-12-27T00:42:45.904Z,26.6,,,,,,50
2017-12-27T00:42:55.904Z,26.5,,,,,,50
2017-12-27T00:43:05.903Z,26.5,,,,,,50
2017-12-27T00:43:15.908Z,26.5,,,,,,50
2017-12-27T00:43:25.904Z,26.5,,,,,,50
2017-12-27T00:43:35.904Z,26.5,,,,,,50
2017-12-27T00:43:45.904Z,26.5,,,,,,50
2017-12-27T00:43:55.903Z,26.5,,,,,36.5,50
2017-12-27T00:44:05.903Z,26.5,,,,,,50
2017-12-27T00:44:15.904Z,26.5,,,,,,50
2017-12-27T00:44:25.904Z,26.5,,,,,,50
2017-12-27T00:44:35.904Z,26.5,,,,,,50
2017-12-27T00:44:45.903Z,26.5,,,,,,50
2017-12-27T00:44:55.903Z,26.5,,,,,,50
2017-12-27T00:45:05.903Z,26.5,,,,,,50
2017-12-27T00:45:15.903Z,26.5,,,,,,50
2017-12-27T00:45:25.903Z,26.5,,,,,,50
2017-12-27T00:45:35.904Z,26.5,,,,,,50
2017-12-27T00:45:45.905Z,26.5,,,,,,50
2017-12-27T00:45:55.903Z,26.3,,,,,36.4,50
2017-12-27T00:46:05.905Z,26.3,,,,,36.5,50
2017-12-27T00:46:15.903Z,26.3,,,,,36.4,50
2017-12-27T00:46:25.903Z,26.3,,,,,,50
2017-12-27T00:46:35.903Z,26.3,,,,,,50
2017-12-27T00:46:45.904Z,26.3,,,,,,50
2017-12-27T00:46:55.903Z,26.3,,,,,,50
2017-12-27T00:47:05.903Z,26.3,,,,,,50
2017-12-27T00:47:15.904Z,26.3,,,,,,50
2017-12-27T00:47:25.904Z,26.3,,,,,,50
2017-12-27T00:47:35.905Z,26.3,,,,,,50
2017-12-27T00:47:45.904Z,26.3,,,,,,50
2017-12-27T00:47:55.905Z,26.3,,,,,,50
2017-12-27T00:48:05.903Z,26.3,,,,,,50
2017-12-27T00:48:15.904Z,26.3,,,,,,50
2017-12-27T00:48:25.903Z,26.3,,,,,36.3,50
2017-12-27T00:48:35.903Z,26.3,,,,,,50
2017-12-27T00:48:45.903Z,26.3,,,,,,50
2017-12-27T00:48:55.903Z,26.3,,,,,,50
2017-12-27T00:49:05.908Z,26.2,,,,,,50
2017-12-27T00:49:15.904Z,26.3,,,,,,50
2017-12-27T00:49:25.903Z,26.3,,,,,,50
2017-12-27T00:49:35.903Z,26.2,,,,,,50
2017-12-27T00:49:45.903Z,26.2,,,,,,50
2017-12-27T00:49:55.903Z,26.2,,,,,,50
2017-12-27T00:50:05.903Z,26.2,,,,,,50
2017-12-27T00:50:15.904Z,26.2,,,,,,50
2017-12-27T00:50:25.903Z,26.2,,,,,,50
2017-12-27T00:50:35.903Z,26.2,,,,,,50
2017-12-27T00:50:45.903Z,26.2,,,,,36.2,50
2017-12-27T00:50:55.904Z,26.2,,,,,,50
2017-12-27T00:51:05.907Z,26.2,,,,,,50
2017-12-27T00:51:15.903Z,26.2,,,,,,50
2017-12-27T00:51:25.908Z,26.2,,,,,,50
2017-12-27T00:51:35.908Z,26.2,,,,,,50
2017-12-27T00:51:45.903Z,26.2,,,,,,50
2017-12-27T00:51:55.908Z,26.2,,,,,,50
2017-12-27T00:52:05.909Z,26.2,,,,,,50
2017-12-27T00:52:15.904Z,26.2,,,,,,50
2017-12-27T00:52:25.903Z,26.2,,,,,,50
2017-12-27T00:52:35.903Z,26.1,,,,,,50
2017-12-27T00:52:45.903Z,26.2,,,,,,50
2017-12-27T00:52:55.903Z,26.1,,,,,,50
2017-12-27T00:53:05.903Z,26.1,,,,,36.1,50
2017-12-27T00:53:15.903Z,26.1,,,,,,50
2017-12-27T00:53:25.903Z,26.1,,,,,,50
2017-12-27T00:53:35.904Z,26.1,,,,,,50
2017-12-27T00:53:45.903Z,26.1,,,,,,50
2017-12-27T00:53:55.903Z,26.1,,,,,,50
2017-12-27T00:54:05.903Z,26.1,,,,,,50
2017-12-27T00:54:15.903Z,26.1,,,,,,50
2017-12-27T00:54:25.903Z,26.1,,,,,,50
2017-12-27T00:54:35.903Z,26.1,,,,,,50
2017-12-27T00:54:45.903Z,26.1,,,,,,50
2017-12-27T00:54:55.903Z,26.1,,,,,,50
2017-12-27T00:55:05.903Z,26.1,,,,,,50
2017-12-27T00:55:15.903Z,26.1,,,,,,50
2017-12-27T00:55:25.905Z,26.1,,,,,36,50
2017-12-27T00:55:35.903Z,26.1,,,,,,50
2017-12-27T00:55:45.903Z,26.1,,,,,,50
2017-12-27T00:55:55.904Z,26.1,,,,,,50
2017-12-27T00:56:05.903Z,26.1,,,,,,50
2017-12-27T00:56:15.903Z,26.1,,,,,,50
2017-12-27T00:56:25.911Z,26,,,,,,50
2017-12-27T00:56:35.903Z,26,,,,,,50
2017-12-27T00:56:45.904Z,26.1,,,,,,50
2017-12-27T00:56:55.903Z,26,,,,,,50
2017-12-27T00:57:05.903Z,26,,,,,,50
2017-12-27T00:57:15.903Z,26,,,,,35.9,50
2017-12-27T00:57:25.903Z,26,,,,,36,50
2017-12-27T00:57:35.903Z,26,,,,,36,50
2017-12-27T00:57:45.903Z,26,,,,,35.9,50
2017-12-27T00:57:55.908Z,26,,,,,,50
2017-12-27T00:58:05.903Z,26,,,,,,50
2017-12-27T00:58:15.903Z,26,,,,,,50
2017-12-27T00:58:25.903Z,26,,,,,,50
2017-12-27T00:58:35.903Z,26,,,,,,50
2017-12-27T00:58:45.903Z,26,,,,,,50
2017-12-27T00:58:55.905Z,26,,,,,,50
2017-12-27T00:59:05.903Z,26,,,,,,50
2017-12-27T00:59:15.905Z,26,,,,,,50
2017-12-27T00:59:25.903Z,26,,,,,,50
2017-12-27T00:59:35.903Z,26,,,,,,50
2017-12-27T00:59:45.903Z,26,,,,,35.8,50
2017-12-27T00:59:55.907Z,25.9,,,,,,50
2017-12-27T01:00:05.903Z,25.9,,,,,,50
2017-12-27T01:00:16.662Z,25.9,,,,,,50
2017-12-27T01:00:25.903Z,25.9,,,,,,50
2017-12-27T01:00:35.903Z,25.9,,,,,,50
2017-12-27T01:00:45.904Z,25.9,,,,,,50
2017-12-27T01:00:55.903Z,25.9,,,,,,50
2017-12-27T01:01:05.902Z,25.9,,,,,,50
2017-12-27T01:01:15.903Z,25.9,,,,,,50
2017-12-27T01:01:25.903Z,25.9,,,,,,50
2017-12-27T01:01:35.903Z,25.9,,,,,,50
2017-12-27T01:01:45.903Z,25.9,,,,,,50
2017-12-27T01:01:55.903Z,25.9,,,,,,50
2017-12-27T01:02:05.903Z,25.9,,,,,35.7,50
2017-12-27T01:02:15.903Z,25.9,,,,,,50
2017-12-27T01:02:25.908Z,25.9,,,,,,50
2017-12-27T01:02:35.903Z,25.9,,,,,,50
