Time,ActPow,ChActive,HwActive,PrimTSet,HwTSet,PrimT,HwTOutlet
2018-02-03T00:00:08.825Z,29,,,,50,34.2,37.9
2018-02-03T00:00:18.824Z,,,,,50,34.5,37.7
2018-02-03T00:00:28.824Z,,,,,50,,37.6
2018-02-03T00:00:38.825Z,30,,,,50,34.9,37.5
2018-02-03T00:00:48.825Z,29,,,,50,35.2,37.4
2018-02-03T00:00:58.829Z,0,1,0,,50,33.7,37.3
2018-02-03T00:01:08.824Z,,,,,50,32.7,37.2
2018-02-03T00:01:18.825Z,,,,,50,30.9,37.1
2018-02-03T00:01:28.824Z,,,,,,30.6,
2018-02-03T00:01:38.824Z,,,,,50,30.5,36.8
2018-02-03T00:01:48.824Z,,,,,50,,36.7
2018-02-03T00:02:08.824Z,,,,,50,30.4,36.5
2018-02-03T00:02:18.824Z,,,,,50,,36.4
2018-02-03T00:02:28.825Z,,,,,50,,36.3
2018-02-03T00:02:38.824Z,,,,,,30.2,
2018-02-03T00:02:48.824Z,,,,,50,30.1,36.2
2018-02-03T00:02:58.824Z,,,,,50,,36.1
2018-02-03T00:03:18.824Z,,,,,50,,35.9
2018-02-03T00:03:28.825Z,,,,,50,,35.8
2018-02-03T00:03:48.824Z,,,,,50,,35.6
2018-02-03T00:03:58.824Z,,,,,50,,35.5
2018-02-03T00:04:18.824Z,,,,,50,,35.4
2018-02-03T00:04:28.824Z,,,,,50,,35.3
2018-02-03T00:04:48.824Z,,,,,50,,35.1
2018-02-03T00:04:58.824Z,,,,,50,,34.9
2018-02-03T00:05:18.824Z,,,,,50,,34.8
2018-02-03T00:05:28.824Z,,,,,50,,34.7
2018-02-03T00:05:48.824Z,,,,,50,,34.5
2018-02-03T00:05:58.824Z,,,,,50,,34.4
2018-02-03T00:06:08.824Z,,,,,,30.3,
2018-02-03T00:06:18.824Z,,,,,50,30.4,34.3
2018-02-03T00:06:28.824Z,,,,,50,,34.2
2018-02-03T00:06:38.824Z,,,,,,30.7,
2018-02-03T00:06:48.824Z,,,,,50,30.9,34.1
2018-02-03T00:06:58.826Z,,,,,,31.1,
2018-02-03T00:07:08.824Z,,,,,50,31.3,33.9
2018-02-03T00:07:18.824Z,,,,,50,31.5,33.9
2018-02-03T00:07:28.824Z,,,,,50,,33.8
2018-02-03T00:07:38.824Z,,,,,50,31.9,33.7
2018-02-03T00:07:48.824Z,,,,,,32,
2018-02-03T00:07:58.824Z,,,,,50,32.3,33.6
2018-02-03T00:08:08.824Z,,,,,50,,33.6
2018-02-03T00:08:18.824Z,,,,,50,32.6,33.5
2018-02-03T00:08:28.824Z,,,,,50,32.8,33.4
2018-02-03T00:08:38.824Z,,,,,,33.1,
2018-02-03T00:08:48.824Z,,,,,50,33.3,33.3
2018-02-03T00:08:58.824Z,,,,,50,,33.3
2018-02-03T00:09:08.824Z,,,,,,33.6,
2018-02-03T00:09:18.825Z,,,,,50,33.8,33.1
2018-02-03T00:09:28.824Z,,,,,50,33.9,33.1
2018-02-03T00:09:38.824Z,,,,,,34,
2018-02-03T00:09:48.824Z,,,,,50,34.2,32.9
2018-02-03T00:09:58.828Z,,,,,50,,32.8
2018-02-03T00:10:08.823Z,,,,,,34.4,
2018-02-03T00:10:18.824Z,,,,,50,,32.7
2018-02-03T00:10:28.824Z,,,,,50,34.5,32.7
2018-02-03T00:10:38.824Z,,0,0,5,50,,32.6
2018-02-03T00:10:48.824Z,,1,0,59,,,
2018-02-03T00:10:58.824Z,,,,,50,,32.5
2018-02-03T00:11:08.824Z,,0,0,5,,,
2018-02-03T00:11:18.824Z,,,,,50,,32.4
2018-02-03T00:11:28.824Z,,,,,50,,32.4
2018-02-03T00:11:38.824Z,,1,0,59,50,34.4,32.3
2018-02-03T00:11:48.827Z,,0,0,5,,,
2018-02-03T00:11:58.824Z,,,,,50,,32.2
2018-02-03T00:12:08.825Z,,,,,50,,32.2
2018-02-03T00:12:18.825Z,,,,,50,34.3,32.1
2018-02-03T00:12:28.824Z,,1,0,59,,34.2,
2018-02-03T00:12:38.824Z,,,,,50,,32
2018-02-03T00:12:48.824Z,,,,,50,,32
2018-02-03T00:12:58.825Z,,,,,,34.1,
2018-02-03T00:13:08.824Z,,,,,50,34,31.9
2018-02-03T00:13:18.825Z,,,,,50,33.9,31.9
2018-02-03T00:13:38.824Z,,,,,50,33.8,31.8
2018-02-03T00:13:48.857Z,,,,,50,,31.6
2018-02-03T00:13:58.824Z,,,,,,33.7,
2018-02-03T00:14:08.824Z,,,,,50,,31.6
2018-02-03T00:14:18.824Z,,,,,50,33.6,31.5
2018-02-03T00:14:28.824Z,,,,,50,,31.5
2018-02-03T00:14:38.824Z,,,,,,33.5,
2018-02-03T00:14:48.824Z,,,,,50,,31.4
2018-02-03T00:14:58.824Z,,,,,50,,31.4
2018-02-03T00:15:08.823Z,,,,,,33.4,
2018-02-03T00:15:18.824Z,,,,,50,33.3,31.3
2018-02-03T00:15:28.824Z,,,,,50,,31.3
2018-02-03T00:15:38.824Z,,,,,,33.2,
2018-02-03T00:15:48.824Z,,,,,50,,31.2
2018-02-03T00:15:58.824Z,,,,,50,,31
2018-02-03T00:16:08.824Z,,,,,50,33.1,31
2018-02-03T00:16:18.824Z,,,,,50,32.9,31
2018-02-03T00:16:38.824Z,,,,,50,32.8,30.9
2018-02-03T00:16:48.824Z,,,,,50,,30.9
2018-02-03T00:16:58.825Z,,,,,,32.7,
2018-02-03T00:17:08.824Z,,,,,50,,30.8
2018-02-03T00:17:18.823Z,,,,,50,,30.8
2018-02-03T00:17:28.824Z,,,,,50,,30.7
2018-02-03T00:17:38.824Z,,,,,,32.6,
2018-02-03T00:17:48.824Z,,,,,50,32.5,30.7
2018-02-03T00:17:58.824Z,,,,,50,,30.6
2018-02-03T00:18:08.824Z,,,,,,32.4,
2018-02-03T00:18:18.824Z,,,,,50,,30.6
2018-02-03T00:18:28.824Z,,,,,50,,30.6
2018-02-03T00:18:38.824Z,,,,,,32.3,
2018-02-03T00:18:48.824Z,,,,,50,,30.4
2018-02-03T00:18:58.824Z,,,,,50,,30.4
2018-02-03T00:19:08.824Z,,,,,,32.2,
2018-02-03T00:19:18.824Z,,,,,50,,30.3
2018-02-03T00:19:28.824Z,,,,,50,,30.3
2018-02-03T00:19:38.824Z,,,,,,32.1,
2018-02-03T00:19:48.823Z,,,,,50,,30.2
2018-02-03T00:19:58.824Z,,,,,50,,30.2
2018-02-03T00:20:08.823Z,,,,,,32,
2018-02-03T00:20:18.824Z,,,,,50,,30.1
2018-02-03T00:20:28.824Z,,,,,50,,30.1
2018-02-03T00:20:39.007Z,,,,,,31.9,
2018-02-03T00:20:48.823Z,,,,,50,,30.1
2018-02-03T00:20:58.824Z,,,,,50,,30
2018-02-03T00:21:18.824Z,,,,,50,31.8,30
2018-02-03T00:21:28.824Z,,,,,50,,30
2018-02-03T00:21:48.824Z,,,,,50,,29.8
2018-02-03T00:21:58.823Z,,,,,50,,29.8
2018-02-03T00:22:08.824Z,,,,,,31.7,
2018-02-03T00:22:18.824Z,,,,,50,,29.8
