Time,HwTSet,PrimTSet,ChActive,ActPow,PrimT,HwTOutlet,HwActive
2017-11-22T00:24:11.279Z,52,,,,,27.9,
2017-11-22T00:24:31.284Z,52,,,,,27.8,
2017-11-22T00:24:41.359Z,52,,,,,27.8,
2017-11-22T00:24:51.279Z,52,,,,,27.8,
2017-11-22T00:25:01.279Z,52,,,,,27.8,
2017-11-22T00:25:11.279Z,52,,,,34,27.8,
2017-11-22T00:25:31.279Z,52,,,,,27.8,
2017-11-22T00:25:41.358Z,52,,,,,27.8,
2017-11-22T00:25:51.280Z,52,,,,,27.7,
2017-11-22T00:26:01.279Z,52,,,,,27.7,
2017-11-22T00:26:11.280Z,52,,,,,27.7,
2017-11-22T00:26:31.284Z,52,,,,,27.7,
2017-11-22T00:26:51.279Z,52,,,,,27.7,
2017-11-22T00:27:01.284Z,52,,,,,27.7,
2017-11-22T00:27:11.279Z,52,,,,,27.7,
2017-11-22T00:27:21.279Z,52,,,,,27.7,
2017-11-22T00:27:31.282Z,52,,,,,27.5,
2017-11-22T00:27:41.359Z,52,,,,,27.5,
2017-11-22T00:27:51.281Z,52,,,,34,27.5,
2017-11-22T00:28:01.377Z,,,,,34,,
2017-11-22T00:28:11.366Z,52,,,,,27.5,
2017-11-22T00:28:21.375Z,,,,,34,,
2017-11-22T00:28:31.383Z,52,,,,33.9,27.5,
2017-11-22T00:28:41.359Z,52,,,,,27.5,
2017-11-22T00:28:51.278Z,52,,,,,27.5,
2017-11-22T00:29:01.279Z,52,,,,,27.5,
2017-11-22T00:29:21.278Z,52,,,,,27.5,
2017-11-22T00:29:31.282Z,52,,,,,27.4,
2017-11-22T00:29:41.396Z,52,,,,,27.4,
2017-11-22T00:29:51.279Z,52,,,,,27.4,
2017-11-22T00:30:01.279Z,52,,,,,27.4,
2017-11-22T00:30:11.279Z,52,,,,,27.4,
2017-11-22T00:30:31.279Z,52,,,,,27.4,
2017-11-22T00:30:41.393Z,52,,,,,27.4,
2017-11-22T00:30:51.279Z,52,,,,,27.4,
2017-11-22T00:31:01.284Z,52,,,,,27.4,
2017-11-22T00:31:11.278Z,52,,,,,27.4,
2017-11-22T00:31:31.280Z,52,,,,33.9,27.3,
2017-11-22T00:31:41.406Z,52,,,,,27.3,
2017-11-22T00:31:51.283Z,52,,,,33.8,27.3,
2017-11-22T00:32:01.285Z,52,,,,,27.3,
2017-11-22T00:32:11.280Z,52,,,,,27.3,
2017-11-22T00:32:31.279Z,52,,,,,27.3,
2017-11-22T00:32:41.359Z,52,,,,,27.3,
2017-11-22T00:32:51.281Z,52,,,,,27.3,
2017-11-22T00:33:01.280Z,52,,,,,27.3,
2017-11-22T00:33:11.278Z,52,,,,,27.2,
2017-11-22T00:33:31.279Z,52,,,,,27.2,
2017-11-22T00:33:51.278Z,52,,,,,27.2,
2017-11-22T00:34:01.278Z,52,,,,,27.2,
2017-11-22T00:34:11.278Z,52,,,,,27.2,
2017-11-22T00:34:31.279Z,52,,,,,27.2,
2017-11-22T00:34:41.359Z,52,,,,,27.2,
2017-11-22T00:34:51.279Z,52,,,,,27.2,
2017-11-22T00:35:01.279Z,52,,,,,27.2,
2017-11-22T00:35:11.279Z,52,,,,33.7,27.1,
2017-11-22T00:35:31.279Z,52,,,,,27.1,
2017-11-22T00:35:51.279Z,52,,,,,27.1,
2017-11-22T00:36:01.280Z,52,,,,,27.1,
2017-11-22T00:36:11.279Z,52,,,,,27.1,
2017-11-22T00:36:31.279Z,52,,,,,27.1,
2017-11-22T00:36:41.360Z,52,,,,,27.1,
2017-11-22T00:36:51.282Z,52,,,,,27.1,
2017-11-22T00:37:01.279Z,52,,,,,27.1,
2017-11-22T00:37:11.278Z,52,,,,,27.1,
2017-11-22T00:37:31.278Z,52,,,,,26.9,
2017-11-22T00:37:41.358Z,52,,,,,26.9,
2017-11-22T00:37:51.280Z,52,,,,,26.9,
2017-11-22T00:38:01.328Z,52,,,,,26.9,
2017-11-22T00:38:11.280Z,52,,,,33.6,26.9,
2017-11-22T00:38:31.300Z,52,,,,33.7,26.9,
2017-11-22T00:38:41.358Z,52,,,,33.6,26.9,
2017-11-22T00:38:51.282Z,52,,,,,26.9,
2017-11-22T00:39:01.283Z,52,,,,,26.9,
2017-11-22T00:39:11.278Z,52,,,,,26.9,
2017-11-22T00:39:31.278Z,52,,,,,26.9,
2017-11-22T00:39:41.358Z,52,,,,,26.9,
2017-11-22T00:39:51.279Z,52,,,,,26.9,
2017-11-22T00:40:01.278Z,52,,,,,26.9,
2017-11-22T00:40:11.279Z,52,,,,,26.8,
2017-11-22T00:40:31.279Z,52,,,,,26.8,
2017-11-22T00:40:41.359Z,52,,,,,26.8,
2017-11-22T00:40:51.279Z,52,,,,,26.8,
2017-11-22T00:41:01.284Z,52,,,,,26.8,
2017-11-22T00:41:11.278Z,52,,,,,26.8,
2017-11-22T00:41:31.278Z,52,,,,,26.8,
2017-11-22T00:41:41.359Z,,,,,33.5,,
2017-11-22T00:41:51.278Z,52,,,,,26.8,
2017-11-22T00:42:01.278Z,52,,,,,26.8,
2017-11-22T00:42:11.278Z,52,,,,,26.8,
2017-11-22T00:42:31.278Z,52,,,,,26.7,
2017-11-22T00:42:41.359Z,52,,,,,26.7,
2017-11-22T00:42:51.283Z,52,,,,,26.7,
2017-11-22T00:43:01.281Z,52,,,,,26.7,
2017-11-22T00:43:11.316Z,52,,,,,26.7,
2017-11-22T00:43:21.278Z,,5,0,0,33.5,,0
2017-11-22T00:43:31.284Z,52,,,,,26.7,
2017-11-22T00:43:51.278Z,52,,,,,26.7,
2017-11-22T00:44:01.278Z,52,,,,,26.7,
2017-11-22T00:44:11.283Z,52,,,,,26.7,
2017-11-22T00:44:31.280Z,52,,,,,26.7,
2017-11-22T00:44:51.278Z,52,,,,33.4,26.7,
2017-11-22T00:45:01.278Z,52,,,,,26.7,
2017-11-22T00:45:11.278Z,52,,,,,26.7,
2017-11-22T00:45:31.278Z,52,,,,,26.6,
2017-11-22T00:45:41.358Z,52,,,,,26.6,
2017-11-22T00:45:51.278Z,52,,,,,26.6,
2017-11-22T00:46:01.283Z,52,,,,,26.6,
2017-11-22T00:46:11.278Z,52,,,,,26.6,
2017-11-22T00:46:31.284Z,52,,,,,26.6,
2017-11-22T00:46:41.360Z,52,,,,,26.6,
2017-11-22T00:46:51.279Z,52,,,,,26.6,
2017-11-22T00:47:01.283Z,52,,,,,26.6,
2017-11-22T00:47:11.281Z,52,,,,,26.6,
2017-11-22T00:47:31.279Z,52,,,,,26.6,
2017-11-22T00:47:51.278Z,52,,,,,26.6,
2017-11-22T00:48:01.279Z,52,,,,,26.6,
2017-11-22T00:48:11.278Z,52,,,,,26.6,
2017-11-22T00:48:31.279Z,52,,,,33.3,26.6,
2017-11-22T00:48:41.359Z,52,,,,,26.5,
2017-11-22T00:48:51.278Z,52,,,,,26.5,
2017-11-22T00:49:01.278Z,52,,,,,26.5,
2017-11-22T00:49:11.278Z,52,,,,,26.5,
2017-11-22T00:49:31.278Z,52,,,,,26.5,
2017-11-22T00:49:51.278Z,52,,,,,26.5,
2017-11-22T00:50:01.278Z,52,,,,,26.5,
2017-11-22T00:50:11.278Z,52,,,,,26.5,
2017-11-22T00:50:31.279Z,52,,,,,26.5,
2017-11-22T00:50:51.426Z,52,,,,,26.5,
2017-11-22T00:51:01.438Z,52,,,,,26.5,
2017-11-22T00:51:11.475Z,52,,,,,26.5,
2017-11-22T00:51:31.278Z,52,,,,,26.5,
2017-11-22T00:51:41.358Z,52,,,,33.2,26.5,
2017-11-22T00:51:51.278Z,52,,,,,26.5,
2017-11-22T00:52:01.281Z,52,,,,,26.5,
2017-11-22T00:52:11.278Z,52,,,,,26.5,
2017-11-22T00:52:31.279Z,52,,,,,26.5,
2017-11-22T00:52:41.431Z,52,,,,,26.3,
2017-11-22T00:52:51.278Z,52,,,,,26.3,
2017-11-22T00:53:01.278Z,52,,,,,26.3,
2017-11-22T00:53:11.278Z,52,,,,,26.3,
2017-11-22T00:53:31.282Z,52,,,,,26.3,
2017-11-22T00:53:41.358Z,52,,,,,26.3,
2017-11-22T00:53:51.278Z,52,,,,,26.3,
2017-11-22T00:54:01.278Z,52,,,,,26.3,
2017-11-22T00:54:11.278Z,52,,,,,26.3,
2017-11-22T00:54:31.278Z,52,,,,,26.3,
2017-11-22T00:54:51.282Z,52,,,,33.1,26.3,
2017-11-22T00:55:01.278Z,52,,,,,26.3,
2017-11-22T00:55:11.278Z,52,,,,,26.3,
2017-11-22T00:55:31.278Z,52,,,,,26.3,
2017-11-22T00:55:41.358Z,52,,,,,26.3,
2017-11-22T00:55:51.278Z,52,,,,,26.3,
2017-11-22T00:56:01.278Z,52,,,,,26.3,
2017-11-22T00:56:11.278Z,52,,,,,26.3,
2017-11-22T00:56:31.279Z,52,,,,,26.3,
2017-11-22T00:56:51.278Z,52,,,,,26.2,
2017-11-22T00:57:01.278Z,52,,,,,26.2,
2017-11-22T00:57:11.278Z,52,,,,,26.2,
2017-11-22T00:57:31.278Z,52,,,,,26.2,
2017-11-22T00:57:41.361Z,52,,,,,26.2,
2017-11-22T00:57:51.280Z,52,,,,,26.2,
2017-11-22T00:58:01.278Z,52,,,,,26.2,
2017-11-22T00:58:11.280Z,52,,,,33.1,26.2,
2017-11-22T00:58:21.280Z,,,,,32.9,,
2017-11-22T00:58:31.278Z,52,,,,33.1,26.2,
2017-11-22T00:58:41.364Z,,,,,32.9,,
2017-11-22T00:58:51.278Z,52,,,,,26.2,
2017-11-22T00:59:01.283Z,52,,,,,26.2,
2017-11-22T00:59:11.282Z,52,,,,,26.2,
2017-11-22T00:59:31.283Z,52,,,,,26.2,
2017-11-22T00:59:41.358Z,52,,,,,26.1,
2017-11-22T00:59:51.434Z,52,,,,,26.2,
2017-11-22T01:00:01.282Z,52,,,,,26.2,
2017-11-22T01:00:11.278Z,52,,,,,26.2,
2017-11-22T01:00:31.282Z,52,,,,,26.1,
2017-11-22T01:00:51.278Z,52,,,,,26.1,
2017-11-22T01:01:01.278Z,52,,,,,26.1,
2017-11-22T01:01:11.287Z,52,,,,,26.1,
2017-11-22T01:01:31.282Z,52,,,,,26.1,
2017-11-22T01:01:51.280Z,52,,,,,26.1,
2017-11-22T01:02:01.279Z,52,,,,,26.1,
2017-11-22T01:02:11.278Z,52,,,,32.8,26.1,
2017-11-22T01:02:31.278Z,52,,,,32.8,26.1,
2017-11-22T01:02:51.278Z,52,,,,,26.1,
2017-11-22T01:03:01.278Z,52,,,,,26.1,
2017-11-22T01:03:11.278Z,52,,,,,26.1,
2017-11-22T01:03:31.279Z,52,,,,,26.1,
2017-11-22T01:03:41.358Z,52,,,,,26.1,
2017-11-22T01:03:51.282Z,52,,,,,26.1,
2017-11-22T01:04:01.278Z,52,,,,,26.1,
2017-11-22T01:04:11.278Z,52,,,,,26,
2017-11-22T01:04:31.278Z,52,,,,,26,
2017-11-22T01:04:41.358Z,52,,,,,26,
2017-11-22T01:04:51.278Z,52,,,,,26,
2017-11-22T01:05:01.278Z,52,,,,,26,
2017-11-22T01:05:11.282Z,52,,,,,26,
2017-11-22T01:05:31.279Z,52,,,,,26,
2017-11-22T01:05:41.358Z,,,,,32.7,,
2017-11-22T01:05:51.278Z,52,,,,,26,
2017-11-22T01:06:01.278Z,52,,,,,26,
2017-11-22T01:06:11.278Z,52,,,,,26,
2017-11-22T01:06:31.278Z,52,,,,,26,
2017-11-22T01:06:41.358Z,52,,,,,26,
2017-11-22T01:06:51.277Z,52,,,,,26,
2017-11-22T01:07:01.280Z,52,,,,,26,
2017-11-22T01:07:11.278Z,52,,,,,26,
2017-11-22T01:07:31.278Z,52,,,,,26,
2017-11-22T01:07:51.282Z,52,,,,,26,
2017-11-22T01:08:01.298Z,52,,,,,26,
2017-11-22T01:08:11.278Z,52,,,,,26,
2017-11-22T01:08:31.400Z,52,,,,,26,
2017-11-22T01:08:51.309Z,52,,,,,26,
2017-11-22T01:09:01.278Z,52,,,,,25.9,
2017-11-22T01:09:11.284Z,52,,,,,25.9,
2017-11-22T01:09:31.367Z,52,,,,,25.9,
2017-11-22T01:09:41.358Z,52,,,,,25.9,
2017-11-22T01:09:51.278Z,52,,,,32.6,25.9,
2017-11-22T01:10:01.278Z,52,,,,32.7,25.9,
2017-11-22T01:10:11.282Z,52,,,,32.6,25.9,
2017-11-22T01:10:31.278Z,52,,,,,25.9,
2017-11-22T01:10:41.358Z,52,,,,,25.9,
2017-11-22T01:10:51.278Z,52,,,,,25.9,
2017-11-22T01:11:01.277Z,52,,,,,25.9,
2017-11-22T01:11:11.278Z,52,,,,,25.9,
2017-11-22T01:11:31.278Z,52,,,,,25.9,
2017-11-22T01:11:51.277Z,52,,,,,25.9,
2017-11-22T01:12:01.279Z,52,,,,,25.9,
2017-11-22T01:12:11.278Z,52,,,,,25.9,
2017-11-22T01:12:31.278Z,52,,,,,25.9,
2017-11-22T01:12:41.360Z,52,,,,,25.9,
2017-11-22T01:12:51.280Z,52,,,,,25.9,
2017-11-22T01:13:01.281Z,52,,,,32.5,25.9,
2017-11-22T01:13:11.277Z,52,,,,,25.9,
2017-11-22T01:13:31.283Z,52,,,,,25.9,
2017-11-22T01:13:41.361Z,52,,,,,25.7,
2017-11-22T01:13:51.278Z,52,,,,,25.9,
2017-11-22T01:14:01.278Z,52,,,,,25.9,
2017-11-22T01:14:11.277Z,52,,,,,25.7,
2017-11-22T01:14:31.284Z,52,,,,,25.7,
2017-11-22T01:14:41.358Z,52,,,,,25.7,
2017-11-22T01:14:51.277Z,52,,,,,25.7,
2017-11-22T01:15:01.278Z,52,,,,,25.7,
2017-11-22T01:15:11.277Z,52,,,,,25.7,
