Time,HwTSet,PrimTSet,ChActive,PrimT,HwTOutlet,ActPow,HwActive
2017-12-28T00:18:45.871Z,50,,,,27.1,,
2017-12-28T00:18:55.871Z,50,,,,26.9,,
2017-12-28T00:19:05.872Z,50,,,,26.9,,
2017-12-28T00:19:15.871Z,50,,,,26.9,,
2017-12-28T00:19:25.871Z,50,,,,26.9,,
2017-12-28T00:19:35.871Z,50,,,,26.9,,
2017-12-28T00:19:45.871Z,50,,,,26.9,,
2017-12-28T00:19:55.872Z,50,,,43.7,26.9,,
2017-12-28T00:20:05.871Z,50,,,,26.9,,
2017-12-28T00:20:15.880Z,50,,,,26.9,,
2017-12-28T00:20:25.872Z,50,,,,26.9,,
2017-12-28T00:20:35.871Z,50,,,,26.9,,
2017-12-28T00:20:45.873Z,50,,,,26.9,,
2017-12-28T00:20:55.871Z,50,,,,26.9,,
2017-12-28T00:21:05.871Z,50,,,,26.8,,
2017-12-28T00:21:15.871Z,50,,,,26.9,,
2017-12-28T00:21:25.871Z,50,,,43.6,26.9,,
2017-12-28T00:21:35.871Z,50,,,,26.8,,
2017-12-28T00:21:45.871Z,50,,,,26.8,,
2017-12-28T00:21:55.872Z,50,,,,26.8,,
2017-12-28T00:22:05.872Z,50,,,,26.8,,
2017-12-28T00:22:15.876Z,50,,,,26.8,,
2017-12-28T00:22:25.872Z,50,,,,26.8,,
2017-12-28T00:22:35.872Z,50,,,,26.8,,
2017-12-28T00:22:45.876Z,50,,,,26.8,,
2017-12-28T00:22:55.871Z,50,,,43.5,26.8,,
2017-12-28T00:23:05.871Z,50,,,,26.8,,
2017-12-28T00:23:15.872Z,50,,,,26.8,,
2017-12-28T00:23:25.871Z,50,,,,26.7,,
2017-12-28T00:23:35.871Z,50,,,,26.7,,
2017-12-28T00:23:45.871Z,50,,,,26.7,,
2017-12-28T00:23:55.871Z,50,,,,26.7,,
2017-12-28T00:24:05.871Z,50,,,43.4,26.7,,
2017-12-28T00:24:15.871Z,50,,,,26.7,,
2017-12-28T00:24:25.871Z,50,,,,26.7,,
2017-12-28T00:24:35.876Z,50,,,,26.7,,
2017-12-28T00:24:45.871Z,50,,,,26.7,,
2017-12-28T00:24:55.874Z,50,5,0,43.4,26.7,0,0
2017-12-28T00:25:05.871Z,50,,,,26.7,,
2017-12-28T00:25:15.871Z,50,,,,26.7,,
2017-12-28T00:25:25.877Z,50,,,,26.7,,
2017-12-28T00:25:35.871Z,50,,,43.3,26.7,,
2017-12-28T00:25:45.871Z,50,,,,26.6,,
2017-12-28T00:25:55.871Z,50,,,,26.6,,
2017-12-28T00:26:05.872Z,50,,,,26.6,,
2017-12-28T00:26:15.871Z,50,,,,26.6,,
2017-12-28T00:26:25.904Z,50,,,,26.6,,
2017-12-28T00:26:35.871Z,50,,,,26.6,,
2017-12-28T00:26:45.877Z,50,,,,26.6,,
2017-12-28T00:26:55.871Z,50,,,,26.6,,
2017-12-28T00:27:05.894Z,50,,,43.2,26.6,,
2017-12-28T00:27:15.871Z,50,,,,26.6,,
2017-12-28T00:27:25.871Z,50,,,,26.6,,
2017-12-28T00:27:35.871Z,50,,,,26.6,,
2017-12-28T00:27:45.871Z,50,,,,26.6,,
2017-12-28T00:27:55.871Z,50,,,,26.6,,
2017-12-28T00:28:05.872Z,50,,,,26.5,,
2017-12-28T00:28:15.871Z,50,,,,26.5,,
2017-12-28T00:28:25.871Z,50,,,,26.5,,
2017-12-28T00:28:35.871Z,50,,,,26.5,,
2017-12-28T00:28:45.874Z,50,,,43.1,26.5,,
2017-12-28T00:28:55.902Z,50,,,,26.5,,
2017-12-28T00:29:05.871Z,50,,,,26.5,,
2017-12-28T00:29:15.871Z,50,,,,26.5,,
2017-12-28T00:29:25.872Z,50,,,,26.5,,
2017-12-28T00:29:35.871Z,50,,,,26.5,,
2017-12-28T00:29:45.871Z,50,,,,26.5,,
2017-12-28T00:29:55.871Z,50,,,,26.5,,
2017-12-28T00:30:05.871Z,50,,,43,26.5,,
2017-12-28T00:30:15.876Z,50,,,,26.5,,
2017-12-28T00:30:25.871Z,50,,,,26.5,,
2017-12-28T00:30:35.873Z,50,,,,26.3,,
2017-12-28T00:30:45.891Z,50,,,,26.3,,
2017-12-28T00:30:55.875Z,50,,,,26.3,,
2017-12-28T00:31:05.871Z,50,,,,26.3,,
2017-12-28T00:31:15.874Z,50,,,,26.3,,
2017-12-28T00:31:25.872Z,50,,,,26.3,,
2017-12-28T00:31:35.871Z,50,,,42.9,26.3,,
2017-12-28T00:31:45.873Z,50,,,43,26.3,,
2017-12-28T00:31:55.871Z,50,,,42.9,26.3,,
2017-12-28T00:32:05.871Z,50,,,,26.3,,
2017-12-28T00:32:15.871Z,50,,,,26.3,,
2017-12-28T00:32:25.871Z,50,,,,26.3,,
2017-12-28T00:32:35.871Z,50,,,,26.3,,
2017-12-28T00:32:45.872Z,50,,,,26.3,,
2017-12-28T00:32:55.871Z,50,,,,26.2,,
2017-12-28T00:33:05.874Z,50,,,,26.2,,
2017-12-28T00:33:15.871Z,50,,,,26.2,,
2017-12-28T00:33:25.871Z,50,,,42.8,26.2,,
2017-12-28T00:33:35.871Z,50,,,,26.2,,
2017-12-28T00:33:45.871Z,50,,,,26.2,,
2017-12-28T00:33:55.874Z,50,,,,26.2,,
2017-12-28T00:34:05.871Z,50,,,,26.2,,
2017-12-28T00:34:15.873Z,50,,,,26.2,,
2017-12-28T00:34:25.871Z,50,,,,26.2,,
2017-12-28T00:34:35.874Z,50,,,42.7,26.2,,
2017-12-28T00:34:45.874Z,50,,,42.8,26.2,,
2017-12-28T00:34:55.874Z,50,,,42.7,26.2,,
2017-12-28T00:35:05.871Z,50,,,,26.2,,
2017-12-28T00:35:15.871Z,50,,,,26.2,,
2017-12-28T00:35:25.871Z,50,,,,26.1,,
2017-12-28T00:35:35.871Z,50,,,,26.1,,
2017-12-28T00:35:45.871Z,50,,,,26.1,,
2017-12-28T00:35:55.871Z,50,,,,26.1,,
2017-12-28T00:36:05.871Z,50,,,,26.1,,
2017-12-28T00:36:15.876Z,50,,,42.6,26.1,,
2017-12-28T00:36:25.871Z,50,,,,26.1,,
2017-12-28T00:36:35.871Z,50,,,,26.1,,
2017-12-28T00:36:45.871Z,50,,,,26.1,,
2017-12-28T00:36:55.876Z,50,,,,26.1,,
2017-12-28T00:37:05.871Z,50,,,,26.1,,
2017-12-28T00:37:15.871Z,50,,,,26.1,,
2017-12-28T00:37:25.872Z,50,,,,26.1,,
2017-12-28T00:37:35.871Z,50,,,,26.1,,
2017-12-28T00:37:45.871Z,50,,,42.4,26.1,,
2017-12-28T00:37:55.871Z,50,,,,26.1,,
2017-12-28T00:38:05.871Z,50,,,,26.1,,
2017-12-28T00:38:15.871Z,50,,,,26,,
2017-12-28T00:38:25.871Z,50,,,,26,,
2017-12-28T00:38:35.871Z,50,,,,26,,
2017-12-28T00:38:45.871Z,50,,,,26,,
2017-12-28T00:38:55.875Z,50,,,,26,,
2017-12-28T00:39:05.874Z,50,,,,26,,
2017-12-28T00:39:15.871Z,50,,,42.3,26,,
2017-12-28T00:39:25.871Z,50,,,,26,,
2017-12-28T00:39:35.871Z,50,,,,26,,
2017-12-28T00:39:45.873Z,50,,,,26,,
2017-12-28T00:39:55.871Z,50,,,,26,,
2017-12-28T00:40:05.871Z,50,,,,26,,
2017-12-28T00:40:15.871Z,50,,,,26,,
2017-12-28T00:40:25.871Z,50,,,,26,,
2017-12-28T00:40:35.871Z,50,,,,26,,
2017-12-28T00:40:45.871Z,50,,,,25.9,,
2017-12-28T00:40:55.871Z,50,,,42.2,25.9,,
2017-12-28T00:41:05.876Z,50,,,,25.9,,
2017-12-28T00:41:15.875Z,50,,,,25.9,,
2017-12-28T00:41:25.875Z,50,,,,25.9,,
2017-12-28T00:41:35.871Z,50,,,,25.9,,
2017-12-28T00:41:45.874Z,50,,,,25.9,,
2017-12-28T00:41:55.871Z,50,,,,25.9,,
2017-12-28T00:42:05.871Z,50,,,,25.9,,
2017-12-28T00:42:15.875Z,50,,,,25.9,,
2017-12-28T00:42:25.871Z,50,,,42.1,25.9,,
2017-12-28T00:42:35.876Z,50,,,,25.9,,
2017-12-28T00:42:45.874Z,50,,,,25.9,,
2017-12-28T00:42:55.871Z,50,,,,25.9,,
2017-12-28T00:43:05.871Z,50,,,,25.9,,
2017-12-28T00:43:15.871Z,50,,,,25.9,,
2017-12-28T00:43:25.871Z,50,,,,25.7,,
2017-12-28T00:43:35.873Z,50,,,,25.7,,
2017-12-28T00:43:45.871Z,50,,,,25.7,,
2017-12-28T00:43:55.871Z,50,,,42,25.7,,
2017-12-28T00:44:05.871Z,50,,,,25.7,,
2017-12-28T00:44:15.874Z,50,,,,25.7,,
2017-12-28T00:44:25.874Z,50,,,,25.7,,
2017-12-28T00:44:35.875Z,50,,,,25.7,,
2017-12-28T00:44:45.871Z,50,,,,25.7,,
2017-12-28T00:44:55.871Z,50,,,,25.7,,
2017-12-28T00:45:05.871Z,50,,,,25.7,,
2017-12-28T00:45:15.871Z,50,,,42,25.7,,
2017-12-28T00:45:25.871Z,50,,,41.9,25.7,,
2017-12-28T00:45:35.871Z,50,,,41.9,25.7,,
