Time,HwTSet,PrimTSet,PrimT,ActPow,ChActive,HwTOutlet,HwActive
2017-11-11T00:29:43.690Z,52,,,,,27.9,
2017-11-11T00:30:13.689Z,52,,41.7,,,27.9,
2017-11-11T00:30:23.687Z,52,,,,,27.9,
2017-11-11T00:30:33.689Z,52,,,,,27.9,
2017-11-11T00:30:43.688Z,52,,,,,27.9,
2017-11-11T00:31:13.687Z,52,,,,,27.9,
2017-11-11T00:31:23.774Z,52,,,,,27.9,
2017-11-11T00:31:43.690Z,52,,,,,27.9,
2017-11-11T00:32:13.688Z,52,,41.6,,,27.9,
2017-11-11T00:32:23.714Z,52,,,,,27.8,
2017-11-11T00:32:33.702Z,52,,,,,27.8,
2017-11-11T00:32:43.691Z,52,,,,,27.8,
2017-11-11T00:33:13.691Z,52,,,,,27.8,
2017-11-11T00:33:23.688Z,52,,,,,27.8,
2017-11-11T00:33:33.687Z,52,,,,,27.8,
2017-11-11T00:33:43.687Z,52,,,,,27.8,
2017-11-11T00:33:53.687Z,,,41.5,,,,
2017-11-11T00:34:13.694Z,52,,,,,27.8,
2017-11-11T00:34:23.687Z,52,,,,,27.8,
2017-11-11T00:34:43.692Z,52,,,,,27.7,
2017-11-11T00:35:13.688Z,52,,,,,27.7,
2017-11-11T00:35:23.687Z,52,,,,,27.7,
2017-11-11T00:35:33.687Z,52,,41.4,,,27.7,
2017-11-11T00:35:43.690Z,52,,,,,27.7,
2017-11-11T00:36:13.692Z,52,,,,,27.7,
2017-11-11T00:36:23.690Z,52,,,,,27.7,
2017-11-11T00:36:33.695Z,52,,,,,27.7,
2017-11-11T00:36:43.688Z,52,,,,,27.7,
2017-11-11T00:37:13.687Z,52,,,,,27.7,
2017-11-11T00:37:23.687Z,52,,41.3,,,27.7,
2017-11-11T00:37:43.687Z,52,,,,,27.5,
2017-11-11T00:38:13.687Z,52,,,,,27.5,
2017-11-11T00:38:23.690Z,52,,,,,27.5,
2017-11-11T00:38:33.687Z,52,,,,,27.5,
2017-11-11T00:38:43.689Z,52,,,,,27.5,
2017-11-11T00:39:13.687Z,52,,41.2,,,27.5,
2017-11-11T00:39:23.690Z,52,,,,,27.5,
2017-11-11T00:39:43.693Z,52,,,,,27.5,
2017-11-11T00:40:13.687Z,52,,,,,27.5,
2017-11-11T00:40:23.687Z,52,,,,,27.5,
2017-11-11T00:40:33.687Z,52,,,,,27.5,
2017-11-11T00:40:43.692Z,52,,,,,27.5,
2017-11-11T00:41:13.696Z,52,,41.1,,,27.4,
2017-11-11T00:41:23.687Z,52,,,,,27.4,
2017-11-11T00:41:33.687Z,52,,,,,27.4,
2017-11-11T00:41:43.687Z,52,,,,,27.4,
2017-11-11T00:42:13.687Z,52,,,,,27.4,
2017-11-11T00:42:23.687Z,52,,,,,27.4,
2017-11-11T00:42:33.687Z,52,,,,,27.4,
2017-11-11T00:42:43.687Z,52,,,,,27.4,
2017-11-11T00:42:53.687Z,,,41,,,,
2017-11-11T00:43:13.688Z,52,,,,,27.4,
2017-11-11T00:43:23.687Z,52,,,,,27.4,
2017-11-11T00:43:33.687Z,52,,,,,27.4,
2017-11-11T00:43:43.687Z,52,,,,,27.4,
2017-11-11T00:44:03.689Z,52,,,,,27.3,
2017-11-11T00:44:13.688Z,52,,,,,27.3,
2017-11-11T00:44:23.687Z,,,40.9,,,,
2017-11-11T00:44:33.688Z,52,,,,,27.3,
2017-11-11T00:44:53.687Z,52,,,,,27.3,
2017-11-11T00:45:13.687Z,52,,,,,27.3,
2017-11-11T00:45:23.687Z,52,,,,,27.3,
2017-11-11T00:45:33.687Z,52,,,,,27.3,
2017-11-11T00:45:43.687Z,52,,,,,27.3,
2017-11-11T00:46:13.835Z,52,,,,,27.3,
2017-11-11T00:46:23.687Z,52,,,,,27.3,
2017-11-11T00:46:33.689Z,52,,40.8,,,27.3,
2017-11-11T00:46:43.688Z,52,,,,,27.3,
2017-11-11T00:47:13.686Z,52,,,,,27.2,
2017-11-11T00:47:23.695Z,52,,,,,27.2,
2017-11-11T00:47:43.734Z,52,,,,,27.2,
2017-11-11T00:48:13.704Z,52,,,,,27.2,
2017-11-11T00:48:23.710Z,52,,40.7,,,27.2,
2017-11-11T00:48:33.688Z,52,,,,,27.2,
2017-11-11T00:48:43.687Z,52,,,,,27.2,
2017-11-11T00:49:13.690Z,52,,,,,27.2,
2017-11-11T00:49:23.687Z,52,,,,,27.2,
2017-11-11T00:49:33.690Z,52,,,,,27.2,
2017-11-11T00:49:43.686Z,52,,,,,27.2,
2017-11-11T00:50:13.687Z,52,,40.6,,,27.2,
2017-11-11T00:50:23.692Z,52,,,,,27.1,
2017-11-11T00:50:43.687Z,52,,,,,27.1,
2017-11-11T00:51:13.692Z,52,,,,,27.1,
2017-11-11T00:51:23.691Z,52,,,,,27.1,
2017-11-11T00:51:33.687Z,52,,,,,27.1,
2017-11-11T00:51:43.692Z,52,,,,,27.1,
2017-11-11T00:51:53.691Z,,,40.5,,,,
2017-11-11T00:52:13.690Z,52,,,,,27.1,
2017-11-11T00:52:23.687Z,52,,,,,27.1,
2017-11-11T00:52:33.686Z,52,,,,,27.1,
2017-11-11T00:52:43.687Z,52,,,,,27.1,
2017-11-11T00:53:13.686Z,52,,,,,27.1,
2017-11-11T00:53:23.687Z,52,,,,,27.1,
2017-11-11T00:53:43.686Z,52,,,,,26.9,
2017-11-11T00:53:53.687Z,,,40.4,,,,
2017-11-11T00:54:13.687Z,52,,,,,26.9,
2017-11-11T00:54:23.687Z,52,,,,,26.9,
2017-11-11T00:54:33.690Z,52,,,,,26.9,
2017-11-11T00:54:43.687Z,52,,,,,26.9,
2017-11-11T00:55:13.687Z,52,,,,,26.9,
2017-11-11T00:55:23.693Z,52,,,,,26.9,
2017-11-11T00:55:33.687Z,52,,,,,26.9,
2017-11-11T00:55:43.687Z,52,,,,,26.9,
2017-11-11T00:55:53.687Z,,,40.3,,,,
2017-11-11T00:56:13.686Z,52,,,,,26.9,
2017-11-11T00:56:23.686Z,52,,,,,26.9,
2017-11-11T00:56:33.687Z,52,,,,,26.9,
2017-11-11T00:56:43.687Z,52,,,,,26.9,
2017-11-11T00:57:13.686Z,52,,,,,26.9,
2017-11-11T00:57:23.687Z,52,,,,,26.8,
2017-11-11T00:57:33.686Z,52,,,,,26.8,
2017-11-11T00:57:43.688Z,52,,,,,26.8,
2017-11-11T00:57:53.686Z,,,40.2,,,,
2017-11-11T00:58:13.687Z,52,,,,,26.8,
2017-11-11T00:58:23.687Z,52,,,,,26.8,
2017-11-11T00:58:33.691Z,52,,,,,26.8,
2017-11-11T00:58:43.686Z,52,,,,,26.8,
2017-11-11T00:59:13.686Z,52,,,,,26.8,
2017-11-11T00:59:23.687Z,52,,40.1,,,26.8,
2017-11-11T00:59:33.690Z,52,,,,,26.8,
2017-11-11T00:59:43.688Z,52,,,,,26.8,
2017-11-11T01:00:13.686Z,52,,,,,26.8,
2017-11-11T01:00:23.687Z,52,,,,,26.8,
2017-11-11T01:00:33.686Z,52,,,,,26.8,
2017-11-11T01:00:43.687Z,52,,,,,26.8,
2017-11-11T01:01:13.686Z,52,,,,,26.7,
2017-11-11T01:01:23.687Z,52,,40,,,26.7,
2017-11-11T01:01:33.686Z,52,,,,,26.7,
2017-11-11T01:01:43.687Z,52,,,,,26.7,
2017-11-11T01:02:13.686Z,52,,,,,26.7,
2017-11-11T01:02:23.688Z,52,,,,,26.7,
2017-11-11T01:02:43.686Z,52,,,,,26.7,
2017-11-11T01:03:03.688Z,52,,39.9,,,26.7,
2017-11-11T01:03:13.692Z,,,39.9,,,,
2017-11-11T01:03:23.734Z,52,,39.9,,,26.7,
2017-11-11T01:03:33.686Z,52,,,,,26.7,
2017-11-11T01:03:53.705Z,52,,,,,26.7,
2017-11-11T01:04:13.686Z,52,,,,,26.7,
2017-11-11T01:04:23.688Z,52,,,,,26.7,
2017-11-11T01:04:43.686Z,52,,,,,26.6,
2017-11-11T01:05:13.686Z,52,,,,,26.6,
2017-11-11T01:05:23.687Z,52,,39.8,,,26.6,
2017-11-11T01:05:43.689Z,52,,,,,26.6,
2017-11-11T01:06:13.686Z,52,,,,,26.6,
2017-11-11T01:06:23.687Z,52,,,,,26.6,
2017-11-11T01:06:33.686Z,52,,,,,26.6,
2017-11-11T01:06:43.686Z,52,,,,,26.6,
2017-11-11T01:07:13.686Z,52,,39.7,,,26.6,
2017-11-11T01:07:23.687Z,52,,,,,26.6,
2017-11-11T01:07:33.686Z,52,,,,,26.6,
2017-11-11T01:07:43.686Z,52,,,,,26.6,
2017-11-11T01:08:13.686Z,52,,,,,26.6,
2017-11-11T01:08:23.686Z,52,,,,,26.5,
2017-11-11T01:08:33.686Z,52,,,,,26.5,
2017-11-11T01:08:43.686Z,52,,,,,26.5,
2017-11-11T01:09:13.686Z,52,,39.6,,,26.5,
2017-11-11T01:09:23.686Z,52,,,,,26.5,
2017-11-11T01:09:33.686Z,52,,,,,26.5,
2017-11-11T01:09:43.686Z,52,,,,,26.5,
2017-11-11T01:10:13.690Z,52,,,,,26.5,
2017-11-11T01:10:23.687Z,52,,,,,26.5,
2017-11-11T01:10:43.686Z,52,,,,,26.5,
2017-11-11T01:11:13.686Z,52,,39.5,,,26.5,
2017-11-11T01:11:23.687Z,52,,,,,26.5,
2017-11-11T01:11:33.686Z,52,,,,,26.5,
2017-11-11T01:11:43.686Z,52,,,,,26.5,
2017-11-11T01:12:13.686Z,52,,,,,26.5,
2017-11-11T01:12:23.687Z,52,,,,,26.5,
2017-11-11T01:12:43.686Z,52,,,,,26.3,
2017-11-11T01:12:53.686Z,,,39.4,,,,
2017-11-11T01:13:13.687Z,52,,39.4,,,26.3,
2017-11-11T01:13:23.695Z,52,,,,,26.3,
2017-11-11T01:13:33.686Z,52,,,,,26.3,
2017-11-11T01:13:43.687Z,52,,,,,26.3,
2017-11-11T01:14:13.687Z,52,,,,,26.3,
2017-11-11T01:14:23.686Z,52,,,,,26.3,
2017-11-11T01:14:33.686Z,52,,,,,26.3,
2017-11-11T01:14:43.686Z,52,,,,,26.3,
2017-11-11T01:14:53.686Z,,,39.3,,,,
2017-11-11T01:15:13.686Z,52,,,,,26.3,
2017-11-11T01:15:23.686Z,52,,,,,26.3,
2017-11-11T01:15:33.686Z,52,,,,,26.3,
2017-11-11T01:15:43.687Z,52,,,,,26.3,
2017-11-11T01:16:13.686Z,52,,,,,26.3,
2017-11-11T01:16:23.686Z,52,,,,,26.3,
2017-11-11T01:16:33.686Z,52,,,,,26.2,
2017-11-11T01:16:43.687Z,52,,,,,26.3,
2017-11-11T01:16:53.686Z,,,39.2,,,,
2017-11-11T01:17:13.685Z,52,,,,,26.3,
2017-11-11T01:17:23.754Z,52,,,,,26.2,
2017-11-11T01:17:33.690Z,52,,,,,26.3,
2017-11-11T01:17:43.686Z,52,,,,,26.2,
2017-11-11T01:18:13.686Z,52,,,,,26.2,
2017-11-11T01:18:23.686Z,52,,,,,26.2,
2017-11-11T01:18:43.694Z,52,,,,,26.2,
