Time,ActPow,ChActive,PrimTSet,PrimT,HwTOutlet,HwTSet,HwActive
2018-01-14T00:18:31.355Z,,,,33.9,28.7,50,
2018-01-14T00:18:41.376Z,,,,,28.7,50,
2018-01-14T00:18:51.366Z,,,,,28.7,50,
2018-01-14T00:19:01.355Z,,,,,28.7,50,
2018-01-14T00:19:11.354Z,,,,,28.7,50,
2018-01-14T00:19:21.355Z,,,,,28.7,50,
2018-01-14T00:19:31.355Z,,,,,28.7,50,
2018-01-14T00:19:41.362Z,,,,,28.7,50,
2018-01-14T00:19:51.355Z,,,,,28.6,50,
2018-01-14T00:20:01.355Z,,,,,28.6,50,
2018-01-14T00:20:11.360Z,,,,,28.6,50,
2018-01-14T00:20:21.360Z,,,,33.8,28.6,50,
2018-01-14T00:20:31.354Z,,,,,28.6,50,
2018-01-14T00:20:41.354Z,,,,,28.6,50,
2018-01-14T00:20:51.355Z,,,,,28.6,50,
2018-01-14T00:21:01.355Z,,,,,28.6,50,
2018-01-14T00:21:11.354Z,,,,,28.6,50,
2018-01-14T00:21:21.354Z,,,,,28.6,50,
2018-01-14T00:21:31.359Z,,,,,28.6,50,
2018-01-14T00:21:41.355Z,,,,,28.6,50,
2018-01-14T00:21:51.354Z,,,,33.7,28.5,50,
2018-01-14T00:22:01.354Z,,,,33.8,28.6,50,
2018-01-14T00:22:11.354Z,,,,33.7,28.5,50,
2018-01-14T00:22:21.354Z,,,,,28.5,50,
2018-01-14T00:22:31.354Z,,,,,28.5,50,
2018-01-14T00:22:41.358Z,,,,,28.5,50,
2018-01-14T00:22:51.355Z,,,,,28.5,50,
2018-01-14T00:23:01.354Z,,,,,28.5,50,
2018-01-14T00:23:11.376Z,,,,,28.5,50,
2018-01-14T00:23:21.354Z,,,,,28.5,50,
2018-01-14T00:23:31.354Z,,,,,28.5,50,
2018-01-14T00:23:41.355Z,,,,,28.5,50,
2018-01-14T00:23:51.354Z,,,,,28.5,50,
2018-01-14T00:24:01.357Z,,,,33.6,28.5,50,
2018-01-14T00:24:11.355Z,,,,,28.5,50,
2018-01-14T00:24:21.354Z,,,,,28.4,50,
2018-01-14T00:24:31.355Z,,,,,28.4,50,
2018-01-14T00:24:41.354Z,,,,,28.4,50,
2018-01-14T00:24:51.354Z,,,,,28.4,50,
2018-01-14T00:25:01.355Z,,,,,28.4,50,
2018-01-14T00:25:11.354Z,,,,,28.4,50,
2018-01-14T00:25:21.354Z,,,,,28.4,50,
2018-01-14T00:25:31.354Z,,,,,28.4,50,
2018-01-14T00:25:41.355Z,,,,,28.4,50,
2018-01-14T00:25:51.355Z,,,,,28.4,50,
2018-01-14T00:26:01.354Z,,,,,28.4,50,
2018-01-14T00:26:11.354Z,,,,,28.4,50,
2018-01-14T00:26:21.355Z,,,,,28.4,50,
2018-01-14T00:26:31.354Z,,,,,28.4,50,
2018-01-14T00:26:41.355Z,,,,33.5,28.3,50,
2018-01-14T00:26:51.354Z,,,,,28.3,50,
2018-01-14T00:27:01.354Z,,,,,28.3,50,
2018-01-14T00:27:11.354Z,,,,,28.3,50,
2018-01-14T00:27:21.354Z,,,,,28.3,50,
2018-01-14T00:27:31.354Z,,,,,28.3,50,
2018-01-14T00:27:41.354Z,,,,,28.3,50,
2018-01-14T00:27:51.354Z,,,,,28.3,50,
2018-01-14T00:28:01.354Z,,,,,28.3,50,
2018-01-14T00:28:11.354Z,,,,,28.3,50,
2018-01-14T00:28:21.365Z,39,1,,37.7,28.3,50,0
2018-01-14T00:28:31.355Z,29,,,39.9,28.3,50,
2018-01-14T00:28:41.355Z,29,,,36.8,28.3,50,
2018-01-14T00:28:51.356Z,,,,34.7,28.3,50,
2018-01-14T00:29:01.355Z,29,,,33.4,28.3,50,
2018-01-14T00:29:11.355Z,30,,,32.8,28.1,50,
2018-01-14T00:29:21.354Z,29,,,,28.1,50,
2018-01-14T00:29:31.356Z,,,,33.2,28.1,50,
2018-01-14T00:29:41.354Z,,,,33.7,28.1,50,
2018-01-14T00:29:51.354Z,29,,,34.1,28.1,50,
2018-01-14T00:30:01.354Z,30,,,34.3,28.1,50,
2018-01-14T00:30:11.354Z,29,,,34.4,28.1,50,
2018-01-14T00:30:21.355Z,,,,34.6,28.1,50,
2018-01-14T00:30:31.355Z,,,,34.8,28.1,50,
2018-01-14T00:30:41.354Z,,,,35.1,28.1,50,
2018-01-14T00:30:51.355Z,,,,35.3,28.1,50,
2018-01-14T00:31:01.354Z,,,,35.6,28.1,50,
2018-01-14T00:31:11.354Z,30,,,35.8,28.1,50,
2018-01-14T00:31:21.354Z,30,,,36,28.1,50,
2018-01-14T00:31:31.354Z,29,,,36.2,28.1,50,
2018-01-14T00:31:41.354Z,,,,36.4,28.1,50,
2018-01-14T00:31:51.355Z,,,,36.5,28.1,50,
2018-01-14T00:32:01.355Z,,,,36.7,28.1,50,
2018-01-14T00:32:11.354Z,,,,37.1,28.1,50,
2018-01-14T00:32:21.354Z,,,,,28.1,50,
2018-01-14T00:32:31.356Z,,,,37.3,28.1,50,
2018-01-14T00:32:41.354Z,,,,37.5,28.1,50,
2018-01-14T00:32:51.354Z,,,,37.6,28.1,50,
2018-01-14T00:33:01.354Z,,,,37.8,28.1,50,
2018-01-14T00:33:11.358Z,30,,,38,28.1,50,
2018-01-14T00:33:21.354Z,29,,,38.1,28.1,50,
2018-01-14T00:33:31.354Z,,,,38.2,28.1,50,
2018-01-14T00:33:41.356Z,30,,,38.4,28.1,50,
2018-01-14T00:33:51.354Z,29,,,38.6,28.1,50,
2018-01-14T00:34:01.354Z,,,,38.7,28.1,50,
2018-01-14T00:34:11.390Z,29,,,38.9,28.1,50,
2018-01-14T00:34:21.354Z,,,,39.2,28.1,50,
2018-01-14T00:34:31.354Z,,,,39.4,28.1,50,
2018-01-14T00:34:41.354Z,,,,39.5,28.1,50,
2018-01-14T00:34:51.354Z,30,,,39.7,28.1,50,
2018-01-14T00:35:01.354Z,30,,,40,28.1,50,
2018-01-14T00:35:11.528Z,29,,,,28.1,50,
2018-01-14T00:35:27.974Z,,,,40.4,28.3,50,
2018-01-14T00:35:41.358Z,0,1,,38.8,28.3,50,0
2018-01-14T00:35:51.354Z,,,,36.8,28.3,50,
2018-01-14T00:36:01.356Z,,,,35.9,28.3,50,
2018-01-14T00:36:11.363Z,,,,35.7,28.3,50,
2018-01-14T00:36:21.354Z,,,,35.5,28.3,50,
2018-01-14T00:36:31.354Z,,,,,28.3,50,
2018-01-14T00:36:41.355Z,,,,,28.3,50,
2018-01-14T00:36:51.377Z,,,,,28.3,50,
2018-01-14T00:37:01.363Z,,,,35.4,28.3,50,
2018-01-14T00:37:11.354Z,,,,35.3,28.4,50,
2018-01-14T00:37:21.355Z,,,,35.2,28.4,50,
2018-01-14T00:37:31.355Z,,,,,28.4,50,
2018-01-14T00:37:41.371Z,,,,35.1,28.4,50,
2018-01-14T00:37:51.355Z,,,,,28.4,50,
2018-01-14T00:38:01.354Z,,,,,28.4,50,
2018-01-14T00:38:11.354Z,,,,,28.4,50,
2018-01-14T00:38:21.354Z,,,,,28.4,50,
2018-01-14T00:38:31.354Z,,,,34.9,28.4,50,
2018-01-14T00:38:41.366Z,,,,,28.4,50,
2018-01-14T00:38:51.354Z,,0,0,,28.4,50,2
2018-01-14T00:39:01.354Z,44,0,,36.1,34.7,50,2
2018-01-14T00:39:11.354Z,0,0,,37.1,36.3,50,0
2018-01-14T00:39:21.382Z,,,,36.8,36.2,50,
2018-01-14T00:39:31.377Z,,,,36.7,36.2,50,
2018-01-14T00:39:41.357Z,,,,,36.1,50,
2018-01-14T00:39:51.354Z,,,,,36,50,
2018-01-14T00:40:01.354Z,,,,,36,50,
2018-01-14T00:40:11.354Z,,1,59,,35.9,50,0
2018-01-14T00:40:21.354Z,,,,,35.8,50,
2018-01-14T00:40:31.359Z,,,,,35.8,50,
2018-01-14T00:40:41.358Z,,,,,35.7,50,
2018-01-14T00:40:51.354Z,,,,,35.7,50,
2018-01-14T00:41:01.354Z,,,,,35.6,50,
2018-01-14T00:41:11.354Z,,,,,35.5,50,
2018-01-14T00:41:21.364Z,,,,,35.5,50,
2018-01-14T00:41:31.354Z,,,,36.6,35.4,50,
