Time,HwTSet,PrimT,HwActive,ChActive,PrimTSet,HwTOutlet,ActPow
2017-11-02T00:25:37.059Z,52,,,,,31.6,
2017-11-02T00:25:47.060Z,52,41,,,,31.6,
2017-11-02T00:25:57.059Z,52,,,,,31.6,
2017-11-02T00:26:17.058Z,52,,,,,31.5,
2017-11-02T00:26:37.059Z,52,,,,,31.5,
2017-11-02T00:26:47.058Z,52,,,,,31.4,
2017-11-02T00:26:57.058Z,,40.9,,,,,
2017-11-02T00:27:07.059Z,52,,,,,31.4,
2017-11-02T00:27:27.063Z,52,,,,,31.3,
2017-11-02T00:27:37.059Z,52,,,,,31.3,
2017-11-02T00:27:47.059Z,52,,,,,31.3,
2017-11-02T00:27:57.058Z,52,,,,,31.2,
2017-11-02T00:28:17.059Z,52,,,,,31.2,
2017-11-02T00:28:27.058Z,,40.8,,,,,
2017-11-02T00:28:37.059Z,52,,,,,31,
2017-11-02T00:28:57.059Z,52,,,,,31,
2017-11-02T00:29:17.060Z,52,,,,,31,
2017-11-02T00:29:37.058Z,52,,,,,30.9,
2017-11-02T00:29:47.059Z,52,40.7,,,,30.9,
2017-11-02T00:29:57.059Z,52,,,,,30.9,
2017-11-02T00:30:17.059Z,52,,,,,30.8,
2017-11-02T00:30:37.063Z,52,,,,,30.8,
2017-11-02T00:30:57.058Z,52,,,,,30.7,
2017-11-02T00:31:17.058Z,52,,,,,30.7,
2017-11-02T00:31:27.059Z,,40.6,,,,,
2017-11-02T00:31:37.059Z,52,,,,,30.6,
2017-11-02T00:31:57.058Z,52,,,,,30.6,
2017-11-02T00:32:17.058Z,52,,,,,30.6,
2017-11-02T00:32:37.058Z,52,,,,,30.6,
2017-11-02T00:32:47.059Z,,40.5,,,,,
2017-11-02T00:32:57.059Z,52,,,,,30.4,
2017-11-02T00:33:17.058Z,52,,,,,30.4,
2017-11-02T00:33:37.062Z,52,,,,,30.4,
2017-11-02T00:33:47.058Z,52,,,,,30.4,
2017-11-02T00:33:57.058Z,52,,,,,30.4,
2017-11-02T00:34:07.059Z,,40.4,,,,,
2017-11-02T00:34:17.058Z,52,,,,,30.4,
2017-11-02T00:34:37.061Z,52,,,,,30.3,
2017-11-02T00:34:47.058Z,52,,,,,30.3,
2017-11-02T00:34:57.060Z,52,,,,,30.3,
2017-11-02T00:35:17.060Z,52,,,,,30.3,
2017-11-02T00:35:37.061Z,52,40.3,,,,30.3,
2017-11-02T00:35:47.058Z,52,,,,,30.2,
2017-11-02T00:35:57.066Z,52,,,,,30.2,
2017-11-02T00:36:17.058Z,52,,,,,30.2,
2017-11-02T00:36:37.060Z,52,,,,,30.2,
2017-11-02T00:36:57.058Z,52,,,,,30.1,
2017-11-02T00:37:17.060Z,52,,,,,30.1,
2017-11-02T00:37:27.058Z,,40.2,,,,,
2017-11-02T00:37:37.062Z,52,,,,,30.1,
2017-11-02T00:37:47.063Z,52,,,,,30.1,
2017-11-02T00:37:57.124Z,52,,,,,30.1,
2017-11-02T00:38:17.103Z,52,,,,,30.1,
2017-11-02T00:38:37.059Z,52,,,,,30,
2017-11-02T00:38:47.070Z,,40.1,,,,,
2017-11-02T00:38:57.064Z,52,,,,,30,
2017-11-02T00:39:17.059Z,52,,,,,30,
2017-11-02T00:39:37.058Z,52,,,,,29.8,
2017-11-02T00:39:47.058Z,52,,,,,29.8,
2017-11-02T00:39:57.062Z,52,,,,,29.8,
2017-11-02T00:40:17.058Z,52,,,,,29.8,
2017-11-02T00:40:27.058Z,,40,,,,,
2017-11-02T00:40:37.063Z,52,,,,,29.8,
2017-11-02T00:40:57.058Z,52,,,,,29.8,
2017-11-02T00:41:17.059Z,52,,,,,29.7,
2017-11-02T00:41:27.058Z,52,39.9,,,,29.7,
2017-11-02T00:41:37.058Z,52,40,,,,29.7,
2017-11-02T00:41:47.058Z,,39.9,,,,,
2017-11-02T00:41:57.058Z,52,,,,,29.7,
2017-11-02T00:42:17.062Z,52,,,,,29.7,
2017-11-02T00:42:37.178Z,52,,,,,29.6,
2017-11-02T00:42:57.065Z,52,,,,,29.6,
2017-11-02T00:43:17.145Z,52,,,,,29.6,
2017-11-02T00:43:37.058Z,52,39.8,,,,29.6,
2017-11-02T00:43:57.062Z,52,,,,,29.6,
2017-11-02T00:44:17.058Z,52,,,,,29.6,
2017-11-02T00:44:37.058Z,52,,,,,29.6,
2017-11-02T00:44:57.058Z,52,,,,,29.5,
2017-11-02T00:45:17.058Z,52,,,,,29.5,
2017-11-02T00:45:27.059Z,,39.7,,,,,
2017-11-02T00:45:37.061Z,52,,,,,29.5,
2017-11-02T00:45:47.058Z,52,,,,,29.5,
2017-11-02T00:45:57.058Z,52,,,,,29.5,
2017-11-02T00:46:17.063Z,52,,,,,29.5,
2017-11-02T00:46:37.058Z,52,,,,,29.5,
2017-11-02T00:46:47.058Z,,39.6,,,,,
2017-11-02T00:46:57.058Z,52,,,,,29.3,
2017-11-02T00:47:17.058Z,52,,,,,29.3,
2017-11-02T00:47:37.057Z,52,,,,,29.3,
2017-11-02T00:47:57.059Z,52,,,,,29.3,
2017-11-02T00:48:17.058Z,52,,,,,29.3,
2017-11-02T00:48:37.058Z,52,39.5,,,,29.3,
2017-11-02T00:48:57.058Z,52,,,,,29.3,
2017-11-02T00:49:17.058Z,52,,,,,29.3,
2017-11-02T00:49:37.058Z,52,,,,,29.2,
2017-11-02T00:49:57.058Z,52,,,,,29.2,
2017-11-02T00:50:17.058Z,52,,,,,29.2,
2017-11-02T00:50:27.058Z,,39.4,,,,,
2017-11-02T00:50:37.058Z,52,,,,,29.2,
2017-11-02T00:50:57.058Z,52,,,,,29.2,
2017-11-02T00:51:17.062Z,52,,,,,29.2,
2017-11-02T00:51:37.058Z,52,,,,,29.2,
2017-11-02T00:51:47.058Z,52,39.3,,,,29.2,
2017-11-02T00:51:57.058Z,52,,,,,29.1,
2017-11-02T00:52:17.058Z,52,,,,,29.2,
2017-11-02T00:52:37.058Z,52,,,,,29.1,
2017-11-02T00:52:57.063Z,52,,,,,29.1,
2017-11-02T00:53:17.060Z,52,,,,,29.1,
2017-11-02T00:53:37.119Z,52,39.2,,,,29.1,
2017-11-02T00:53:47.057Z,52,,,,,29.1,
2017-11-02T00:53:57.058Z,52,,,,,29.1,
2017-11-02T00:54:17.085Z,52,,,,,29.1,
2017-11-02T00:54:37.058Z,52,,,,,29.1,
2017-11-02T00:54:57.060Z,52,,,,,29.1,
2017-11-02T00:55:17.057Z,52,,,,,29.1,
2017-11-02T00:55:27.059Z,,39.1,,,,,
2017-11-02T00:55:37.060Z,52,,,,,29.1,
2017-11-02T00:55:57.060Z,52,,,,,29.1,
2017-11-02T00:56:17.061Z,52,,,,,29.1,
