Time,ActPow,HwActive,ChActive,PrimTSet,HwTOutlet,HwTSet,PrimT
2017-12-17T00:18:00.238Z,,,,,28.4,50,32.9
2017-12-17T00:18:10.239Z,,,,,28.4,50,32.9
2017-12-17T00:18:20.238Z,,,,,28.4,50,32.9
2017-12-17T00:18:30.238Z,,,,,28.4,50,
2017-12-17T00:18:40.237Z,,,,,28.4,50,32.8
2017-12-17T00:18:50.238Z,,,,,28.4,50,32.7
2017-12-17T00:19:00.238Z,,,,,28.4,50,32.6
2017-12-17T00:19:10.238Z,,,,,28.4,50,
2017-12-17T00:19:20.238Z,,,,,28.4,50,
2017-12-17T00:19:30.238Z,,,,,28.4,50,
2017-12-17T00:19:40.238Z,,,,,28.4,50,
2017-12-17T00:19:50.238Z,,,,,28.4,50,32.5
2017-12-17T00:20:00.262Z,,,,,28.4,50,
2017-12-17T00:20:10.237Z,,,,,28.4,50,
2017-12-17T00:20:20.238Z,,,,,28.4,50,
2017-12-17T00:20:30.238Z,,,,,28.4,50,
2017-12-17T00:20:40.238Z,,,,,28.4,50,
2017-12-17T00:20:50.238Z,,,,,28.4,50,32.4
2017-12-17T00:21:00.238Z,,,,,28.4,50,
2017-12-17T00:21:10.238Z,,,,,28.4,50,
2017-12-17T00:21:20.238Z,,,,,28.4,50,
2017-12-17T00:21:30.238Z,,,,,28.4,50,32.5
2017-12-17T00:21:40.238Z,,,,,28.4,50,32.4
2017-12-17T00:21:50.238Z,,,,,28.4,50,32.5
2017-12-17T00:22:00.238Z,,,,,28.4,50,
2017-12-17T00:22:10.314Z,,,,,28.4,50,
2017-12-17T00:22:20.238Z,,,,,28.4,50,
2017-12-17T00:22:30.238Z,,,,,28.4,50,
2017-12-17T00:22:40.238Z,,,,,28.4,50,
2017-12-17T00:22:50.238Z,,,,,28.4,50,
2017-12-17T00:23:00.238Z,,,,,28.4,50,
2017-12-17T00:23:10.238Z,,,,,28.4,50,
2017-12-17T00:23:20.238Z,,,,,28.4,50,
2017-12-17T00:23:30.238Z,,,,,28.4,50,
2017-12-17T00:23:40.238Z,,,,,28.4,50,32.6
2017-12-17T00:23:50.238Z,,,,,28.4,50,
2017-12-17T00:24:00.238Z,,,,,28.4,50,
2017-12-17T00:24:10.238Z,,,,,28.4,50,
2017-12-17T00:24:20.238Z,,,,,28.4,50,32.7
2017-12-17T00:24:30.238Z,,,,,28.4,50,
2017-12-17T00:24:40.238Z,,,,,28.4,50,
2017-12-17T00:24:50.238Z,,,,,28.4,50,
2017-12-17T00:25:00.238Z,,,,,28.4,50,
2017-12-17T00:25:10.237Z,,,,,28.4,50,32.8
2017-12-17T00:25:20.238Z,,,,,28.4,50,
2017-12-17T00:25:30.238Z,,,,,28.4,50,
2017-12-17T00:25:40.240Z,,,,,28.4,50,
2017-12-17T00:25:50.237Z,,,,,28.4,50,
2017-12-17T00:26:00.238Z,,,,,28.4,50,
2017-12-17T00:26:10.238Z,,,,,28.4,50,
2017-12-17T00:26:20.238Z,,,,,28.4,50,32.9
2017-12-17T00:26:30.238Z,,,,,28.4,50,
2017-12-17T00:26:40.237Z,,,,,28.4,50,
2017-12-17T00:26:50.238Z,,,,,28.4,50,
2017-12-17T00:27:00.238Z,,,,,28.4,50,
2017-12-17T00:27:10.238Z,,,,,28.4,50,
2017-12-17T00:27:20.238Z,,,,,28.4,50,
2017-12-17T00:27:30.238Z,,,,,28.4,50,
2017-12-17T00:27:40.238Z,,,,,28.4,50,
2017-12-17T00:27:50.238Z,,,,,28.4,50,
2017-12-17T00:28:00.238Z,,,,,28.4,50,
2017-12-17T00:28:10.237Z,,,,,28.3,50,
2017-12-17T00:28:20.241Z,,,,,28.3,50,
2017-12-17T00:28:30.238Z,,,,,28.3,50,
2017-12-17T00:28:40.238Z,,,,,28.4,50,
2017-12-17T00:28:50.238Z,,,,,28.3,50,
2017-12-17T00:29:00.238Z,,,,,28.3,50,
2017-12-17T00:29:10.238Z,,,,,28.3,50,
2017-12-17T00:29:20.238Z,,,,,28.3,50,
2017-12-17T00:29:30.238Z,,,,,28.3,50,
2017-12-17T00:29:40.237Z,,,,,28.3,50,
2017-12-17T00:29:50.237Z,,,,,28.3,50,
2017-12-17T00:30:00.238Z,,,,,28.3,50,32.8
2017-12-17T00:30:10.238Z,,,,,28.3,50,32.9
2017-12-17T00:30:20.238Z,,,,,28.3,50,
2017-12-17T00:30:30.238Z,,,,,28.3,50,32.8
2017-12-17T00:30:40.238Z,,,,,28.3,50,
2017-12-17T00:30:50.237Z,,,,,28.3,50,
2017-12-17T00:31:00.238Z,,,,,28.3,50,
2017-12-17T00:31:10.238Z,,,,,28.3,50,
2017-12-17T00:31:20.238Z,,,,,28.3,50,
2017-12-17T00:31:30.237Z,,,,,28.3,50,
2017-12-17T00:31:40.238Z,,,,,28.3,50,
2017-12-17T00:31:50.237Z,,,,,28.3,50,
2017-12-17T00:32:00.238Z,,,,,28.3,50,
2017-12-17T00:32:10.238Z,,,,,28.1,50,
2017-12-17T00:32:20.242Z,,,,,28.1,50,
2017-12-17T00:32:30.238Z,,,,,28.1,50,
2017-12-17T00:32:40.238Z,,,,,28.1,50,
