Time,HwTOutlet,PrimTSet,HwActive,HwTSet,ActPow,PrimT,ChActive
2018-02-05T00:19:58.822Z,28.3,5,0,50,,,0
2018-02-05T00:20:08.823Z,28.3,,,50,,,
2018-02-05T00:20:18.779Z,28.3,,,50,,,
2018-02-05T00:20:38.771Z,28.3,,,50,,,
2018-02-05T00:20:48.770Z,28.3,,,50,,,
2018-02-05T00:20:58.772Z,28.3,,,50,,,
2018-02-05T00:21:18.780Z,28.3,,,50,,,
2018-02-05T00:21:28.771Z,28.3,,,50,,,
2018-02-05T00:21:38.771Z,28.3,,,50,,,
2018-02-05T00:21:58.771Z,28.3,,,50,,,
2018-02-05T00:22:08.770Z,28.3,,,50,,,
2018-02-05T00:22:28.771Z,28.3,,,50,,,
2018-02-05T00:22:38.770Z,28.3,,,50,,,
2018-02-05T00:22:58.825Z,28.3,,,50,,32.4,
2018-02-05T00:23:08.828Z,28.3,,,50,,,
2018-02-05T00:23:28.770Z,28.3,,,50,,,
2018-02-05T00:23:38.771Z,28.3,,,50,,,
2018-02-05T00:23:58.770Z,28.3,,,50,,,
2018-02-05T00:24:08.771Z,28.3,,,50,,,
2018-02-05T00:24:28.780Z,28.3,,,50,,,
2018-02-05T00:24:38.773Z,28.3,,,50,,,
2018-02-05T00:24:58.771Z,28.3,,,50,,,
2018-02-05T00:25:08.770Z,28.3,,,50,,,
2018-02-05T00:25:18.779Z,,,,,,32.3,
2018-02-05T00:25:28.780Z,28.3,,,50,,,
2018-02-05T00:25:38.770Z,28.3,,,50,,,
2018-02-05T00:25:58.770Z,28.3,,,50,,,
2018-02-05T00:26:08.771Z,28.3,,,50,,,
2018-02-05T00:26:28.771Z,28.3,,,50,,,
2018-02-05T00:26:38.771Z,28.3,,,50,,,
2018-02-05T00:26:58.770Z,28.3,,,50,,32.2,
2018-02-05T00:27:08.770Z,28.3,,,50,,,
2018-02-05T00:27:28.771Z,28.3,,,50,,,
2018-02-05T00:27:38.778Z,28.3,,,50,,,
2018-02-05T00:27:58.771Z,28.3,,,50,,,
2018-02-05T00:28:08.770Z,28.3,,,50,,,
2018-02-05T00:28:28.771Z,28.3,,,50,,,
2018-02-05T00:28:38.770Z,28.3,,,50,,,
2018-02-05T00:28:48.771Z,,,,,,32.1,
2018-02-05T00:28:58.770Z,28.3,,,50,,,
2018-02-05T00:29:08.770Z,28.3,,,50,,,
2018-02-05T00:29:28.771Z,28.3,,,50,,,
2018-02-05T00:29:38.774Z,28.3,,,50,,,
2018-02-05T00:29:58.770Z,28.3,,,50,,,
2018-02-05T00:30:08.771Z,28.3,,,50,,,
2018-02-05T00:30:28.771Z,28.3,,,50,,,
2018-02-05T00:30:38.771Z,28.3,,,50,,,
2018-02-05T00:30:48.770Z,,,,,,32,
2018-02-05T00:30:58.771Z,28.3,,,50,,,
2018-02-05T00:31:08.771Z,28.3,,,50,,,
2018-02-05T00:31:28.772Z,28.3,,,50,,,
2018-02-05T00:31:38.771Z,28.3,,,50,,,
2018-02-05T00:31:58.770Z,28.3,,,50,,,
2018-02-05T00:32:08.770Z,28.3,,,50,,,
2018-02-05T00:32:28.771Z,28.3,,,50,,,
2018-02-05T00:32:38.771Z,28.3,,,50,,,
2018-02-05T00:32:48.770Z,,,,,,32,
2018-02-05T00:32:58.771Z,28.3,,,50,,32,
2018-02-05T00:33:08.770Z,28.3,,,50,,31.9,
2018-02-05T00:33:18.791Z,28.3,,,50,,,
2018-02-05T00:33:28.787Z,28.3,,,50,,,
2018-02-05T00:33:38.771Z,28.3,,,50,,,
2018-02-05T00:33:58.771Z,28.3,,,50,,,
2018-02-05T00:34:08.770Z,28.3,,,50,,,
2018-02-05T00:34:28.802Z,28.3,,,50,,,
2018-02-05T00:34:38.771Z,28.3,,,50,,,
2018-02-05T00:34:58.770Z,28.3,,,50,,,
2018-02-05T00:35:18.770Z,28.3,,,50,,31.8,
2018-02-05T00:35:28.777Z,28.3,,,50,,,
2018-02-05T00:35:38.777Z,28.3,,,50,,,
2018-02-05T00:35:58.770Z,28.3,,,50,,,
2018-02-05T00:36:08.770Z,28.1,,,50,,,
2018-02-05T00:36:28.770Z,28.1,,,50,,,
2018-02-05T00:36:38.775Z,28.1,,,50,,,
2018-02-05T00:36:58.770Z,28.1,,,50,,,
2018-02-05T00:37:18.775Z,28.1,,,50,,,
2018-02-05T00:37:28.772Z,28.1,,,50,,,
2018-02-05T00:37:48.770Z,28.1,,,50,,,
2018-02-05T00:37:58.770Z,28.1,,,50,,31.7,
2018-02-05T00:38:18.770Z,28.1,,,50,,31.8,
2018-02-05T00:38:28.771Z,28.1,,,50,,31.7,
2018-02-05T00:38:38.774Z,28.1,,,50,,,
2018-02-05T00:38:48.770Z,28.1,,,50,,,
2018-02-05T00:38:58.771Z,28.1,,,50,,,
2018-02-05T00:39:18.770Z,28.1,,,50,,,
2018-02-05T00:39:28.776Z,28.1,,,50,,,
2018-02-05T00:39:48.770Z,28.1,,,50,,,
2018-02-05T00:39:58.770Z,28.1,,,50,,,
2018-02-05T00:40:18.771Z,28.1,,,50,,,
2018-02-05T00:40:28.775Z,28.1,,,50,,,
2018-02-05T00:40:48.770Z,28.1,,,50,,,
2018-02-05T00:40:58.770Z,28.1,59,0,50,,,2
2018-02-05T00:41:08.770Z,28.1,,,50,,,
2018-02-05T00:41:28.771Z,28.1,,,50,,31.6,
2018-02-05T00:41:38.771Z,28.1,,,50,,,
2018-02-05T00:41:48.770Z,28.1,,,50,,,
2018-02-05T00:42:08.770Z,28.1,,,50,,,
2018-02-05T00:42:18.771Z,28.1,,,50,,,
2018-02-05T00:42:38.774Z,28.1,,,50,,,
2018-02-05T00:42:48.771Z,28.1,,,50,,,
2018-02-05T00:42:58.770Z,28.1,,,50,,,
2018-02-05T00:43:18.771Z,28.1,,,50,,,
2018-02-05T00:43:28.771Z,28.1,,,50,,,
2018-02-05T00:43:38.774Z,28.1,,,50,,,
2018-02-05T00:43:48.770Z,28.1,,,50,,,
2018-02-05T00:43:58.770Z,28.1,,,50,,,
2018-02-05T00:44:18.770Z,28.1,,,50,,,
2018-02-05T00:44:28.770Z,28.1,,,50,,,
2018-02-05T00:44:38.773Z,28.1,,,50,,,
2018-02-05T00:44:48.770Z,28.1,,,50,,,
2018-02-05T00:44:58.770Z,28.1,,,50,,,
2018-02-05T00:45:18.770Z,28.1,,,50,,31.5,
2018-02-05T00:45:28.785Z,28.1,,,50,,,
2018-02-05T00:45:48.770Z,28.1,,,50,,,
2018-02-05T00:45:58.770Z,28.1,,,50,,,
2018-02-05T00:46:18.770Z,28.1,5,0,50,,,0
2018-02-05T00:46:28.770Z,28.1,,,50,,,
2018-02-05T00:46:38.771Z,28,5,0,50,0,31.5,0
2018-02-05T00:46:48.773Z,28.1,,,50,,,
2018-02-05T00:46:58.770Z,28.1,,,50,,,
2018-02-05T00:47:08.771Z,28,,,50,,,
2018-02-05T00:47:18.770Z,28.1,,,50,,,
2018-02-05T00:47:28.770Z,28.1,,,50,,,
2018-02-05T00:47:48.770Z,28.1,,,50,,,
2018-02-05T00:47:58.770Z,28.1,,,50,,,
2018-02-05T00:48:08.770Z,,59,0,,,,2
2018-02-05T00:48:18.770Z,28,,0,50,43,33.2,2
2018-02-05T00:48:28.773Z,28,,,50,35,37.2,
2018-02-05T00:48:38.770Z,28,,,50,30,33.8,
2018-02-05T00:48:48.772Z,28.1,,,50,29,32.8,
2018-02-05T00:48:58.804Z,28,,,50,29,30.9,
2018-02-05T00:49:08.783Z,28,,,50,,30.6,
2018-02-05T00:49:18.770Z,,,,,,30.3,
2018-02-05T00:49:28.770Z,28,,,50,,31.1,
2018-02-05T00:49:38.829Z,28.1,,,50,30,31.2,
2018-02-05T00:49:48.829Z,28,,,50,29,31.5,
2018-02-05T00:49:58.770Z,28,,,50,,31.8,
2018-02-05T00:50:08.770Z,28,,,50,,32,
2018-02-05T00:50:18.770Z,28,,,50,,,
2018-02-05T00:50:28.787Z,28,,,50,,32.2,
2018-02-05T00:50:38.770Z,28,,,50,,32.4,
2018-02-05T00:50:48.771Z,28,,,50,,32.6,
2018-02-05T00:50:58.770Z,28.1,,,50,,33.1,
2018-02-05T00:51:08.770Z,28,,,50,,,
2018-02-05T00:51:18.770Z,28,,,50,,33.3,
2018-02-05T00:51:28.770Z,28.1,,,50,,33.5,
2018-02-05T00:51:38.772Z,28.1,,,50,,33.7,
2018-02-05T00:51:48.772Z,28.1,,,50,30,34,
2018-02-05T00:51:58.770Z,28.1,,,50,29,34.1,
2018-02-05T00:52:08.770Z,28.1,,,50,,34.3,
2018-02-05T00:52:18.770Z,28.1,,,50,30,34.5,
2018-02-05T00:52:28.770Z,28.1,,,50,29,34.6,
2018-02-05T00:52:38.771Z,28.1,,0,50,0,34.9,2
2018-02-05T00:52:48.796Z,28.1,,,50,,32.8,
2018-02-05T00:52:58.770Z,28.1,,,50,,30.9,
2018-02-05T00:53:08.770Z,28.1,,,50,,30.6,
2018-02-05T00:53:18.770Z,28.1,,,50,,30.2,
2018-02-05T00:53:28.771Z,28.1,,,50,,30.1,
2018-02-05T00:53:38.770Z,28.1,,,50,,,
2018-02-05T00:53:48.771Z,28.3,,,50,,,
2018-02-05T00:54:08.770Z,28.3,,,50,,30,
2018-02-05T00:54:18.778Z,28.3,,,50,,29.9,
2018-02-05T00:54:28.770Z,28.3,,,50,,,
2018-02-05T00:54:38.770Z,28.3,,,50,,29.8,
2018-02-05T00:54:48.770Z,28.3,,,50,,,
2018-02-05T00:54:58.770Z,28.3,,,50,,29.9,
2018-02-05T00:55:08.770Z,28.3,,,50,,,
2018-02-05T00:55:18.770Z,28.3,,,50,,,
2018-02-05T00:55:38.770Z,28.3,,,50,,29.8,
2018-02-05T00:55:48.770Z,28.4,,,50,,,
2018-02-05T00:56:08.770Z,28.4,,,50,,,
2018-02-05T00:56:18.770Z,28.4,,0,50,,29.9,2
2018-02-05T00:56:28.771Z,28.4,,,50,34,36.4,
2018-02-05T00:56:38.770Z,28.4,,,50,29,37.6,
2018-02-05T00:56:48.770Z,,,,,,36.6,
2018-02-05T00:56:58.779Z,28.4,,,50,30,36.4,
2018-02-05T00:57:08.769Z,,,,,29,35.7,
