Time,HwActive,PrimTSet,HwTSet,HwTOutlet,ActPow,ChActive,PrimT
2017-11-18T00:24:23.419Z,,,52,28.7,41,,36.6
2017-11-18T00:24:33.424Z,,,,,33,,39.6
2017-11-18T00:24:43.419Z,,,52,28.7,30,,35.9
2017-11-18T00:24:53.419Z,,,52,28.7,29,,34
2017-11-18T00:25:03.499Z,,,,,29,,31.9
2017-11-18T00:25:13.419Z,,,52,28.7,29,,30.9
2017-11-18T00:25:23.419Z,,,,,30,,30.7
2017-11-18T00:25:33.419Z,,,52,28.6,29,,
2017-11-18T00:25:43.419Z,,,52,28.6,,,31.1
2017-11-18T00:25:53.419Z,,,52,28.6,,,31.8
2017-11-18T00:26:03.499Z,,,,,29,,32.1
2017-11-18T00:26:13.419Z,,,52,28.6,,,32.3
2017-11-18T00:26:23.420Z,,,52,28.6,,,
2017-11-18T00:26:33.418Z,,,,,,,32.4
2017-11-18T00:26:43.421Z,,,52,28.6,30,,32.6
2017-11-18T00:26:53.426Z,,,52,28.6,30,,33.1
2017-11-18T00:27:03.515Z,,,52,28.5,29,,33.3
2017-11-18T00:27:13.418Z,,,52,28.5,,,33.5
2017-11-18T00:27:23.419Z,,,52,28.5,,,
2017-11-18T00:27:33.419Z,,,,,,,33.7
2017-11-18T00:27:43.419Z,,,52,28.5,30,,34
2017-11-18T00:27:53.419Z,,,52,28.5,30,,34.3
2017-11-18T00:28:03.502Z,,,52,28.5,29,,34.7
2017-11-18T00:28:13.419Z,,,52,28.5,,,
2017-11-18T00:28:23.419Z,,,52,28.5,,,34.9
2017-11-18T00:28:43.419Z,,,,,,,35.2
2017-11-18T00:28:53.419Z,,,52,28.5,,,35.6
2017-11-18T00:29:03.499Z,,,52,28.5,,,35.7
2017-11-18T00:29:13.419Z,,,52,28.5,,,35.9
2017-11-18T00:29:23.419Z,,,,,30,,36.1
2017-11-18T00:29:33.428Z,,,52,28.5,,,
2017-11-18T00:29:43.419Z,,,52,28.5,29,,36.2
2017-11-18T00:29:53.419Z,,,52,28.5,,,36.7
2017-11-18T00:30:03.499Z,,,52,28.5,,,
2017-11-18T00:30:13.484Z,,,,,30,,37.2
2017-11-18T00:30:23.419Z,,,52,28.5,29,,37.4
2017-11-18T00:30:33.419Z,,,52,28.5,0,,37.5
2017-11-18T00:30:43.419Z,0,,52,28.5,,2,35.9
2017-11-18T00:30:53.419Z,,,52,28.5,,,33.3
2017-11-18T00:31:03.499Z,,,52,28.5,,,32.9
2017-11-18T00:31:13.419Z,,,,,,,32.7
2017-11-18T00:31:23.418Z,,,52,28.5,,,
2017-11-18T00:31:33.419Z,,,,,,,32.5
2017-11-18T00:31:43.419Z,,,52,28.5,,,
2017-11-18T00:31:53.418Z,,,52,28.5,,,
2017-11-18T00:32:03.499Z,,,52,28.5,,,
2017-11-18T00:32:13.470Z,,,,,,,32.4
2017-11-18T00:32:23.419Z,,,52,28.5,,,
2017-11-18T00:32:33.423Z,,,,,,,32.3
2017-11-18T00:32:43.422Z,,,52,28.5,,,
2017-11-18T00:32:53.419Z,,,52,28.5,,,32.2
2017-11-18T00:33:03.525Z,,,52,28.5,,,
2017-11-18T00:33:13.418Z,,,52,28.5,,,
2017-11-18T00:33:23.419Z,,,52,28.5,,,
2017-11-18T00:33:43.420Z,,,52,28.5,,,32.1
2017-11-18T00:33:53.419Z,,,52,28.5,,,
2017-11-18T00:34:03.503Z,,,52,28.5,,,
2017-11-18T00:34:13.419Z,,,52,28.5,,,
2017-11-18T00:34:33.420Z,,,52,28.5,,,
2017-11-18T00:34:53.419Z,,,52,28.5,,,
2017-11-18T00:35:03.499Z,,,52,28.5,,,
2017-11-18T00:35:13.419Z,,,52,28.5,,,
2017-11-18T00:35:23.419Z,,,52,28.5,,,
2017-11-18T00:35:43.422Z,0,58,52,28.5,0,2,32.1
2017-11-18T00:35:53.419Z,,,52,28.5,,,
2017-11-18T00:36:03.499Z,,,52,28.5,,,
2017-11-18T00:36:13.419Z,,,,,,,32.2
2017-11-18T00:36:23.422Z,,,52,28.5,,,
2017-11-18T00:36:43.418Z,,,52,28.5,,,
2017-11-18T00:36:53.421Z,,,52,28.5,,,
2017-11-18T00:37:03.499Z,,,52,28.5,,,
2017-11-18T00:37:13.418Z,,,52,28.5,,,
2017-11-18T00:37:23.418Z,,,52,28.5,,,
2017-11-18T00:37:33.419Z,,,,,,,32.3
2017-11-18T00:37:43.421Z,,,52,28.5,,,
2017-11-18T00:37:53.423Z,,,52,28.5,,,
2017-11-18T00:38:03.503Z,,,52,28.5,,,
2017-11-18T00:38:13.419Z,,,,,,,32.4
2017-11-18T00:38:23.421Z,,,52,28.5,,,
2017-11-18T00:38:43.419Z,,,52,28.4,,,
2017-11-18T00:38:53.419Z,,,52,28.4,,,
2017-11-18T00:39:03.498Z,,,52,28.4,,,32.5
2017-11-18T00:39:13.422Z,,,52,28.4,,,
2017-11-18T00:39:23.419Z,,,52,28.4,,,
2017-11-18T00:39:43.419Z,,,52,28.4,,,
2017-11-18T00:39:53.419Z,,,52,28.4,,,
2017-11-18T00:40:03.500Z,,,52,28.4,,,32.6
2017-11-18T00:40:13.424Z,,,52,28.4,,,
2017-11-18T00:40:33.426Z,0,5,,,,0,
2017-11-18T00:40:43.418Z,0,58,52,28.4,,2,
2017-11-18T00:40:53.424Z,0,58,52,28.4,,2,
2017-11-18T00:41:03.503Z,,,52,28.4,,,
2017-11-18T00:41:13.423Z,,,52,28.4,,,
2017-11-18T00:41:23.423Z,0,5,,,,0,
2017-11-18T00:41:33.424Z,,,52,28.4,,,
2017-11-18T00:41:43.424Z,,,52,28.4,,,
2017-11-18T00:41:53.424Z,,,52,28.4,,,
2017-11-18T00:42:03.499Z,,,52,28.4,,,
2017-11-18T00:42:13.421Z,0,58,,,,2,
2017-11-18T00:42:33.418Z,,,52,28.4,,,
2017-11-18T00:42:53.419Z,,,52,28.4,,,
2017-11-18T00:43:13.418Z,,,52,28.3,,,
2017-11-18T00:43:23.420Z,,,52,28.4,,,
2017-11-18T00:43:33.419Z,,,,,,,32.5
2017-11-18T00:43:43.419Z,,,52,28.3,,,
2017-11-18T00:43:53.419Z,,,52,28.4,,,32.5
2017-11-18T00:44:03.500Z,,,52,28.3,,,
2017-11-18T00:44:13.419Z,,,52,28.4,,,
2017-11-18T00:44:23.418Z,,,52,28.3,,,
2017-11-18T00:44:43.418Z,,,52,28.3,,,
2017-11-18T00:44:53.419Z,,,52,28.3,,,
2017-11-18T00:45:03.500Z,,,52,28.3,,,
2017-11-18T00:45:13.418Z,,,52,28.3,,,
2017-11-18T00:45:23.418Z,,,52,28.3,,,
2017-11-18T00:45:43.419Z,,,52,28.3,,,
2017-11-18T00:45:53.423Z,,,52,28.3,,,
2017-11-18T00:46:03.498Z,,,52,28.3,,,
2017-11-18T00:46:13.418Z,,,,,,,32.4
2017-11-18T00:46:23.423Z,,,52,28.3,,,
2017-11-18T00:46:43.418Z,,,52,28.3,,,
2017-11-18T00:46:53.419Z,,,52,28.3,,,
2017-11-18T00:47:03.499Z,,,52,28.3,,,
2017-11-18T00:47:23.418Z,,,52,28.1,,,
2017-11-18T00:47:43.423Z,,,52,28.1,,,
2017-11-18T00:47:53.479Z,,,52,28.1,,,
2017-11-18T00:48:03.502Z,,,52,28.1,,,
2017-11-18T00:48:13.423Z,,,,,,,32.3
2017-11-18T00:48:23.418Z,,,52,28.1,,,
2017-11-18T00:48:43.418Z,,,52,28.1,,,
2017-11-18T00:48:53.422Z,,,52,28.1,,,
2017-11-18T00:49:03.498Z,,,52,28.1,,,
2017-11-18T00:49:23.620Z,,,52,28.1,,,
2017-11-18T00:49:43.421Z,,,52,28.1,,,
2017-11-18T00:49:53.418Z,,,52,28.1,,,
2017-11-18T00:50:03.498Z,,,52,28.1,,,
2017-11-18T00:50:13.421Z,,,52,28.1,,,
2017-11-18T00:50:23.418Z,,,52,28.1,,,
2017-11-18T00:50:33.418Z,,,,,,,32.2
2017-11-18T00:50:43.420Z,,,52,28.1,,,
2017-11-18T00:50:53.420Z,,,52,28.1,,,
2017-11-18T00:51:03.499Z,,,52,28.1,,,
2017-11-18T00:51:23.420Z,,,52,28,,,
