Time,HwTOutlet,HwActive,PrimTSet,ActPow,ChActive,HwTSet,PrimT
2017-11-28T00:17:31.079Z,34.8,,,,,52,
2017-11-28T00:17:41.078Z,34.8,,,,,52,
2017-11-28T00:17:51.082Z,34.8,0,5,,0,52,33.2
2017-11-28T00:18:01.079Z,34.7,,,,,52,
2017-11-28T00:18:11.078Z,34.7,0,58,,2,52,33.3
2017-11-28T00:18:21.078Z,35.2,0,0,,0,52,
2017-11-28T00:18:31.238Z,35.8,,,,,52,32.6
2017-11-28T00:18:41.078Z,35.7,,,,,52,
2017-11-28T00:18:51.078Z,35.7,,,,,52,
2017-11-28T00:19:01.078Z,35.6,,,,,52,
2017-11-28T00:19:11.078Z,35.5,,,,,52,32.5
2017-11-28T00:19:21.081Z,35.5,,,,,52,
2017-11-28T00:19:31.079Z,35.4,,5,,,52,
2017-11-28T00:19:41.078Z,35.3,0,58,,2,52,
2017-11-28T00:19:51.078Z,35.3,,,,,52,
2017-11-28T00:20:01.078Z,35.2,,,,,52,
2017-11-28T00:20:11.080Z,35.2,,,,,52,
2017-11-28T00:20:21.078Z,35.1,,,,,52,
2017-11-28T00:20:31.083Z,34.9,,,,,52,
2017-11-28T00:20:41.078Z,34.9,,,,,52,
2017-11-28T00:20:51.080Z,34.8,,,,,52,
2017-11-28T00:21:01.078Z,34.8,,,,,52,
2017-11-28T00:21:11.083Z,34.7,,,,,52,
2017-11-28T00:21:21.078Z,34.7,0,5,,0,52,
2017-11-28T00:21:31.078Z,34.6,,,,,52,
2017-11-28T00:21:41.078Z,34.5,,,,,52,
2017-11-28T00:21:51.108Z,34.5,,,,,52,
2017-11-28T00:22:01.078Z,34.4,,,,,52,
2017-11-28T00:22:11.078Z,34.4,,,,,52,
2017-11-28T00:22:21.078Z,34.3,,,,,52,
2017-11-28T00:22:31.078Z,34.2,,,,,52,
2017-11-28T00:22:41.078Z,34.2,,,,,52,
2017-11-28T00:22:51.078Z,34.1,,,,,52,32.4
2017-11-28T00:23:01.078Z,34.1,,,,,52,
2017-11-28T00:23:11.078Z,34,,,,,52,
2017-11-28T00:23:21.078Z,34,,,,,52,
2017-11-28T00:23:31.078Z,33.9,,,,,52,
2017-11-28T00:23:41.078Z,33.9,,,,,52,
2017-11-28T00:23:51.078Z,33.8,,,,,52,
2017-11-28T00:24:01.078Z,33.8,,,,,52,
2017-11-28T00:24:11.078Z,33.7,,,,,52,
2017-11-28T00:24:21.078Z,33.7,,,,,52,
2017-11-28T00:24:31.078Z,33.6,,,,,52,
2017-11-28T00:24:41.078Z,33.6,,,,,52,
2017-11-28T00:24:51.078Z,33.6,,,,,52,
2017-11-28T00:25:01.078Z,33.5,,,,,52,
2017-11-28T00:25:11.078Z,33.5,,,,,52,
2017-11-28T00:25:21.078Z,33.4,,,,,52,
2017-11-28T00:25:31.079Z,33.4,,,,,52,
2017-11-28T00:25:41.078Z,33.3,,,,,52,
2017-11-28T00:25:51.078Z,33.3,,,,,52,
2017-11-28T00:26:01.078Z,33.2,,,,,52,
2017-11-28T00:26:11.079Z,33.2,,,,,52,
2017-11-28T00:26:21.079Z,33.1,,,,,52,
2017-11-28T00:26:31.079Z,33.1,,,,,52,
2017-11-28T00:26:41.078Z,32.9,,,,,52,
2017-11-28T00:26:51.078Z,32.9,,,,,52,32.3
2017-11-28T00:27:01.078Z,32.8,,,,,52,
2017-11-28T00:27:11.078Z,32.8,,,,,52,
2017-11-28T00:27:21.078Z,32.8,,,,,52,
2017-11-28T00:27:31.078Z,32.7,,,,,52,
2017-11-28T00:27:41.078Z,32.7,,,,,52,
2017-11-28T00:27:51.078Z,32.7,,,,,52,
2017-11-28T00:28:01.078Z,32.6,,,,,52,
2017-11-28T00:28:11.082Z,32.6,,,,,52,
2017-11-28T00:28:21.078Z,32.5,,,,,52,
2017-11-28T00:28:31.081Z,32.5,,,,,52,
2017-11-28T00:28:41.078Z,32.5,,,,,52,
2017-11-28T00:28:51.083Z,32.4,,,,,52,
2017-11-28T00:29:01.078Z,32.4,,,,,52,
2017-11-28T00:29:11.078Z,32.3,,,,,52,32.2
2017-11-28T00:29:21.078Z,32.3,,,,,52,
2017-11-28T00:29:31.080Z,32.3,,,,,52,
2017-11-28T00:29:41.077Z,32.2,,,,,52,
2017-11-28T00:29:51.081Z,32.2,,,,,52,
2017-11-28T00:30:01.078Z,32.2,,,,,52,
2017-11-28T00:30:11.078Z,32.1,,,,,52,
2017-11-28T00:30:21.078Z,32.1,,,,,52,
2017-11-28T00:30:31.078Z,32.1,,,,,52,
2017-11-28T00:30:41.138Z,32,,,,,52,
2017-11-28T00:30:51.123Z,32,,,,,52,
2017-11-28T00:31:01.112Z,31.9,,,,,52,
2017-11-28T00:31:11.101Z,31.9,,,,,52,32.1
2017-11-28T00:31:21.100Z,31.9,,,,,52,32.2
2017-11-28T00:31:31.084Z,31.8,,,,,52,32.1
2017-11-28T00:31:41.078Z,31.8,,,,,52,
2017-11-28T00:31:51.078Z,31.8,,,,,52,
2017-11-28T00:32:01.077Z,31.8,,,,,52,
2017-11-28T00:32:11.078Z,31.6,,,,,52,
2017-11-28T00:32:21.079Z,31.6,,,,,52,
2017-11-28T00:32:31.078Z,31.5,,,,,52,
2017-11-28T00:32:41.078Z,31.5,,,,,52,
2017-11-28T00:32:51.079Z,31.5,,,,,52,
2017-11-28T00:33:01.078Z,31.5,,,,,52,
2017-11-28T00:33:11.077Z,31.4,,,,,52,
2017-11-28T00:33:21.078Z,31.4,,,,,52,
2017-11-28T00:33:31.078Z,31.4,,,,,52,
2017-11-28T00:33:41.078Z,31.3,,,,,52,
2017-11-28T00:33:51.078Z,31.3,,,,,52,
2017-11-28T00:34:01.077Z,31.3,,,,,52,
2017-11-28T00:34:11.078Z,31.2,,,,,52,
2017-11-28T00:34:21.078Z,31.2,,,,,52,32
2017-11-28T00:34:31.078Z,31.2,,,,,52,
2017-11-28T00:34:41.077Z,31.2,,,,,52,
2017-11-28T00:34:51.078Z,31,,,,,52,
2017-11-28T00:35:01.078Z,31,,,,,52,
2017-11-28T00:35:11.077Z,31,,,,,52,
2017-11-28T00:35:21.079Z,30.9,,,,,52,
2017-11-28T00:35:31.077Z,30.9,,,,,52,
2017-11-28T00:35:41.078Z,30.9,,,,,52,
2017-11-28T00:35:51.078Z,30.8,,,,,52,
2017-11-28T00:36:01.082Z,30.8,,,,,52,
2017-11-28T00:36:11.078Z,30.8,,,,,52,
2017-11-28T00:36:21.081Z,30.8,,,,,52,
2017-11-28T00:36:31.078Z,30.7,,,,,52,
2017-11-28T00:36:41.078Z,30.7,,,,,52,
2017-11-28T00:36:51.077Z,30.7,,,,,52,
2017-11-28T00:37:01.081Z,30.7,,,,,52,
2017-11-28T00:37:11.078Z,30.7,,,,,52,
2017-11-28T00:37:21.078Z,30.6,,,,,52,
2017-11-28T00:37:31.077Z,30.6,,,,,52,
2017-11-28T00:37:41.078Z,30.6,,,,,52,32
2017-11-28T00:37:51.078Z,30.4,,,,,52,31.9
2017-11-28T00:38:01.078Z,30.4,,,,,52,32
2017-11-28T00:38:11.078Z,30.4,,,,,52,31.9
2017-11-28T00:38:21.081Z,30.4,0,58,,2,52,
2017-11-28T00:38:31.080Z,30.3,,,,,52,
2017-11-28T00:38:41.078Z,30.3,0,5,,0,52,
2017-11-28T00:38:51.077Z,30.3,,,,,52,
2017-11-28T00:39:01.077Z,30.3,,,,,52,
2017-11-28T00:39:11.078Z,30.3,0,58,,2,52,
2017-11-28T00:39:21.083Z,30.2,,,,,52,
2017-11-28T00:39:31.077Z,30.2,,,,,52,
2017-11-28T00:39:41.083Z,30.2,,,,,52,
2017-11-28T00:39:51.083Z,30.2,,,,,52,
2017-11-28T00:40:01.077Z,30.1,,,,,52,
2017-11-28T00:40:11.078Z,30.1,,,,,52,
2017-11-28T00:40:21.078Z,30.1,,,,,52,
2017-11-28T00:40:31.078Z,30.1,,,,,52,
2017-11-28T00:40:41.078Z,30,0,5,,0,52,
2017-11-28T00:40:51.077Z,30,,,,,52,
2017-11-28T00:41:01.078Z,30,,,,,52,
2017-11-28T00:41:11.078Z,30,,,,,52,
2017-11-28T00:41:21.078Z,30,,,,,52,
2017-11-28T00:41:31.078Z,29.8,,,,,52,
2017-11-28T00:41:41.081Z,29.8,,,,,52,
2017-11-28T00:41:51.077Z,29.8,,,,,52,
2017-11-28T00:42:01.078Z,29.8,,,,,52,31.8
2017-11-28T00:42:11.079Z,29.8,,,,,52,
2017-11-28T00:42:21.078Z,29.8,,,,,52,31.9
2017-11-28T00:42:31.077Z,29.7,,,,,52,31.8
2017-11-28T00:42:41.078Z,29.7,,,,,52,
2017-11-28T00:42:51.077Z,29.7,,,,,52,
2017-11-28T00:43:01.078Z,29.7,,,,,52,
2017-11-28T00:43:11.081Z,29.6,,,,,52,
2017-11-28T00:43:21.078Z,29.6,,,,,52,
2017-11-28T00:43:31.077Z,29.6,,,,,52,
2017-11-28T00:43:41.078Z,29.6,,,,,52,
2017-11-28T00:43:51.077Z,29.6,,,,,52,
2017-11-28T00:44:01.077Z,29.6,,,,,52,
2017-11-28T00:44:11.078Z,29.5,,,,,52,
2017-11-28T00:44:21.080Z,29.5,,,,,52,
2017-11-28T00:44:31.077Z,29.5,,,,,52,
2017-11-28T00:44:41.080Z,29.5,,,,,52,
2017-11-28T00:44:51.077Z,29.5,,,,,52,
2017-11-28T00:45:01.077Z,29.5,,,,,52,
2017-11-28T00:45:11.078Z,29.3,,,,,52,
2017-11-28T00:45:21.078Z,29.3,,,,,52,
2017-11-28T00:45:31.077Z,29.3,,,,,52,
2017-11-28T00:45:41.081Z,29.3,,,,,52,
2017-11-28T00:45:51.078Z,29.3,,,,,52,
2017-11-28T00:46:01.077Z,29.2,,,,,52,
2017-11-28T00:46:11.082Z,29.2,0,58,,2,52,
2017-11-28T00:46:21.147Z,29.2,0,5,0,0,52,35.2
2017-11-28T00:46:31.130Z,29.2,,,,,52,31.7
2017-11-28T00:46:41.080Z,29.2,,,,,52,28.6
2017-11-28T00:46:51.107Z,29.1,,,,,52,26.5
2017-11-28T00:47:01.077Z,29.1,0,58,,2,52,24.9
2017-11-28T00:47:11.085Z,29.1,0,5,,0,52,24.7
2017-11-28T00:47:21.083Z,29.1,0,58,,2,52,
2017-11-28T00:47:31.077Z,29.1,,,,,52,25.1
2017-11-28T00:47:41.078Z,29.1,,,,,52,25.3
2017-11-28T00:47:51.082Z,29.1,,,,,52,25.5
2017-11-28T00:48:01.078Z,29,,,,,52,25.7
2017-11-28T00:48:11.078Z,29,,,,,52,
2017-11-28T00:48:21.093Z,29,,,,,52,25.5
2017-11-28T00:48:31.079Z,29,,,,,52,25.4
2017-11-28T00:48:41.093Z,29,,,,,52,
2017-11-28T00:48:51.078Z,29,,,,,52,
2017-11-28T00:49:01.079Z,28.9,,,,,52,25.5
2017-11-28T00:49:11.078Z,28.9,,,,,52,
2017-11-28T00:49:21.077Z,28.9,,,,,52,
2017-11-28T00:49:31.077Z,28.9,,,,,52,
2017-11-28T00:49:41.077Z,28.9,,,,,52,25.4
2017-11-28T00:49:51.082Z,28.7,,,,,52,
2017-11-28T00:50:01.077Z,28.7,,,,,52,
2017-11-28T00:50:11.077Z,28.7,,,,,52,
2017-11-28T00:50:21.078Z,28.7,,,,,52,
2017-11-28T00:50:31.082Z,28.7,,,,,52,
2017-11-28T00:50:41.078Z,28.7,,,,,52,
2017-11-28T00:50:51.078Z,28.7,,,,,52,
2017-11-28T00:51:01.078Z,28.6,,,,,52,
2017-11-28T00:51:11.077Z,28.6,,,,,52,25.5
2017-11-28T00:51:21.088Z,28.6,0,,39,2,52,30.1
2017-11-28T00:51:31.079Z,28.6,0,,0,2,52,30.8
2017-11-28T00:51:41.078Z,28.5,,,,,52,27.7
2017-11-28T00:51:51.077Z,28.5,,,,,52,26.3
2017-11-28T00:52:01.078Z,28.5,,,,,52,25.5
2017-11-28T00:52:11.079Z,28.5,,,,,52,25.3
2017-11-28T00:52:21.078Z,28.5,,,,,52,
2017-11-28T00:52:31.082Z,28.5,,,,,52,25.4
2017-11-28T00:52:41.078Z,28.5,,,,,52,25.7
2017-11-28T00:52:51.077Z,28.4,,,,,52,25.9
2017-11-28T00:53:01.083Z,28.4,,,,,52,
2017-11-28T00:53:11.077Z,28.4,,,,,52,
2017-11-28T00:53:21.078Z,28.4,,,,,52,25.8
2017-11-28T00:53:31.078Z,28.4,,,,,52,25.7
2017-11-28T00:53:41.080Z,28.4,,,,,52,
2017-11-28T00:53:51.078Z,28.3,,,,,52,
2017-11-28T00:54:01.078Z,28.3,,,,,52,
2017-11-28T00:54:11.082Z,28.3,,,,,52,
2017-11-28T00:54:21.078Z,28.3,,,,,52,
2017-11-28T00:54:31.107Z,28.3,,,,,52,25.5
2017-11-28T00:54:41.077Z,28.3,0,58,0,2,52,25.5
2017-11-28T00:54:51.078Z,28.1,,,,,52,25.7
2017-11-28T00:55:01.078Z,28.1,,,,,52,
2017-11-28T00:55:11.077Z,28.1,,,,,52,
2017-11-28T00:55:21.078Z,28.1,,,,,52,
2017-11-28T00:55:31.077Z,28.1,,,,,52,
2017-11-28T00:55:41.078Z,28.1,,,,,52,
2017-11-28T00:55:51.077Z,28,,,,,52,
2017-11-28T00:56:01.258Z,28,,,,,52,
2017-11-28T00:56:11.077Z,28,,,,,52,
2017-11-28T00:56:21.077Z,28,,,,,52,
2017-11-28T00:56:31.079Z,28,,,,,52,
2017-11-28T00:56:41.077Z,28,,,,,52,
2017-11-28T00:56:51.077Z,27.9,,,,,52,
2017-11-28T00:57:01.078Z,27.9,,,,,52,
2017-11-28T00:57:11.077Z,27.9,,,,,52,
2017-11-28T00:57:21.077Z,27.9,,,,,52,
2017-11-28T00:57:31.078Z,27.9,,,,,52,
2017-11-28T00:57:41.082Z,27.9,,,,,52,
2017-11-28T00:57:51.077Z,27.9,,,,,52,
2017-11-28T00:58:01.078Z,27.8,,,,,52,
2017-11-28T00:58:11.078Z,27.8,,,,,52,
2017-11-28T00:58:21.081Z,27.8,,,,,52,
2017-11-28T00:58:31.081Z,27.8,,,,,52,
2017-11-28T00:58:41.077Z,27.8,,,,,52,
2017-11-28T00:58:51.078Z,27.7,0,,40,2,52,29.6
2017-11-28T00:59:01.078Z,27.7,,,30,,52,33.6
2017-11-28T00:59:11.078Z,27.7,,,29,,52,32.2
2017-11-28T00:59:21.077Z,27.7,,,,,52,31.7
2017-11-28T00:59:31.077Z,27.7,,,,,52,31.3
2017-11-28T00:59:41.077Z,27.7,,,30,,52,31.1
2017-11-28T00:59:51.078Z,27.7,,,29,,52,30.9
2017-11-28T01:00:01.077Z,27.7,,,,,52,31.3
2017-11-28T01:00:11.077Z,27.5,,,,,52,31.6
2017-11-28T01:00:21.079Z,27.5,,,,,52,31.9
2017-11-28T01:00:31.078Z,27.5,,,30,,52,32
2017-11-28T01:00:41.078Z,27.5,,,,,52,32.2
2017-11-28T01:00:51.079Z,27.5,,,29,,52,32.3
2017-11-28T01:01:01.077Z,27.5,,,,,52,32.5
2017-11-28T01:01:11.078Z,27.5,,,30,,52,32.6
2017-11-28T01:01:21.078Z,27.5,,,,,52,32.8
2017-11-28T01:01:31.078Z,27.5,,,30,,52,33.1
2017-11-28T01:01:41.077Z,27.4,,,29,,52,33.2
2017-11-28T01:01:51.078Z,27.4,,,30,,52,33.3
2017-11-28T01:02:01.077Z,27.5,,,29,,52,33.5
2017-11-28T01:02:11.077Z,27.4,,,,,52,33.7
2017-11-28T01:02:21.128Z,27.4,,,,,52,33.8
2017-11-28T01:02:31.112Z,27.4,,,,,52,34
2017-11-28T01:02:41.077Z,27.4,,,30,,52,34.2
2017-11-28T01:02:51.096Z,27.4,,,29,,52,34.3
2017-11-28T01:03:01.078Z,27.4,,,30,,52,34.5
2017-11-28T01:03:11.078Z,27.4,,,29,,52,34.7
2017-11-28T01:03:21.082Z,27.4,,,,,52,34.9
2017-11-28T01:03:31.083Z,27.4,,,,,52,35.1
2017-11-28T01:03:41.078Z,27.4,,,,,52,35.3
2017-11-28T01:03:51.078Z,27.4,,,30,,52,35.5
2017-11-28T01:04:01.080Z,27.4,,,29,,52,35.7
2017-11-28T01:04:11.078Z,27.4,,,,,52,35.9
2017-11-28T01:04:21.078Z,27.4,,,,,52,36.1
2017-11-28T01:04:31.077Z,27.4,,,,,52,36.3
2017-11-28T01:04:41.077Z,27.4,,,30,,52,36.4
2017-11-28T01:04:51.077Z,27.4,,,,,52,36.6
2017-11-28T01:05:01.078Z,27.4,,,,,52,36.8
2017-11-28T01:05:11.077Z,27.4,,,29,,52,37.1
2017-11-28T01:05:21.077Z,27.4,,,30,,52,37.3
2017-11-28T01:05:31.083Z,27.4,,,,,52,37.4
2017-11-28T01:05:41.077Z,27.4,,,29,,52,37.6
2017-11-28T01:05:51.078Z,27.4,,,,,52,37.8
2017-11-28T01:06:01.078Z,27.4,,,,,52,38
2017-11-28T01:06:11.077Z,27.4,,,,,52,38.1
2017-11-28T01:06:21.077Z,27.4,,,,,52,38.3
2017-11-28T01:06:31.077Z,27.4,,,,,52,38.5
2017-11-28T01:06:41.077Z,27.4,,,,,52,38.6
2017-11-28T01:06:51.077Z,27.4,,,,,52,38.8
2017-11-28T01:07:01.077Z,27.4,,,30,,52,39.1
2017-11-28T01:07:11.077Z,27.4,,,29,,52,39.2
2017-11-28T01:07:21.080Z,27.5,,,30,,52,39.4
2017-11-28T01:07:31.077Z,27.5,,,29,,52,39.5
2017-11-28T01:07:41.078Z,27.5,,,,,52,39.7
2017-11-28T01:07:51.082Z,27.5,,,,,52,39.9
2017-11-28T01:08:01.080Z,27.5,,,,,52,40
2017-11-28T01:08:11.077Z,27.5,,,,,52,40.2
2017-11-28T01:08:21.081Z,27.5,,,30,,52,40.3
2017-11-28T01:08:31.078Z,27.5,,,,,52,40.5
2017-11-28T01:08:41.077Z,27.5,,,,,52,40.6
2017-11-28T01:08:51.078Z,27.5,,,29,,52,40.8
2017-11-28T01:09:01.082Z,27.7,,,30,,52,41
2017-11-28T01:09:11.077Z,27.7,,,29,,52,41.1
2017-11-28T01:09:21.078Z,27.7,,,30,,52,41.3
2017-11-28T01:09:31.082Z,27.7,,,,,52,41.4
2017-11-28T01:09:41.082Z,27.7,,,29,,52,41.6
2017-11-28T01:09:51.078Z,27.7,,,,,52,41.7
2017-11-28T01:10:01.077Z,27.8,,,30,,52,41.9
2017-11-28T01:10:11.077Z,27.8,,,29,,52,42
2017-11-28T01:10:21.078Z,27.8,,,,,52,42.2
2017-11-28T01:10:31.077Z,27.8,,,,,52,42.3
2017-11-28T01:10:41.077Z,27.8,,,30,,52,42.6
2017-11-28T01:10:51.077Z,27.8,,,29,,52,42.7
2017-11-28T01:11:01.077Z,27.9,,,30,,52,42.8
2017-11-28T01:11:11.078Z,27.9,,,29,,52,43
2017-11-28T01:11:21.077Z,27.9,,,,,52,43.1
2017-11-28T01:11:31.094Z,27.9,,,,,52,43.3
2017-11-28T01:11:41.091Z,27.9,,,30,,52,43.4
2017-11-28T01:11:51.078Z,27.9,,,29,,52,43.5
2017-11-28T01:12:01.077Z,28,,,,,52,43.7
2017-11-28T01:12:11.077Z,28,,,,,52,43.8
2017-11-28T01:12:21.078Z,28,,,,,52,43.9
2017-11-28T01:12:31.082Z,28,,,,,52,44.1
2017-11-28T01:12:41.077Z,28,,,30,,52,44.2
2017-11-28T01:12:51.077Z,28.1,,,29,,52,44.3
2017-11-28T01:13:01.077Z,28.1,0,,0,2,52,44.4
2017-11-28T01:13:11.080Z,28.1,,,,,52,41.9
2017-11-28T01:13:21.078Z,28.1,,,,,52,40.4
2017-11-28T01:13:31.077Z,28.1,,,,,52,39.7
2017-11-28T01:13:41.077Z,28.3,,,,,52,39.5
2017-11-28T01:13:51.077Z,28.3,,,,,52,
2017-11-28T01:14:01.077Z,28.3,,,,,52,
2017-11-28T01:14:11.082Z,28.3,,,,,52,
2017-11-28T01:14:21.078Z,28.3,,,,,52,
2017-11-28T01:14:31.077Z,28.4,,,,,52,39.4
2017-11-28T01:14:41.077Z,28.4,,,,,52,39.2
2017-11-28T01:14:51.078Z,28.4,,,,,52,39.1
2017-11-28T01:15:01.077Z,28.4,,,,,52,38.9
2017-11-28T01:15:11.077Z,28.4,,,,,52,
2017-11-28T01:15:21.078Z,28.5,,,,,52,
2017-11-28T01:15:31.077Z,28.5,,,,,52,
2017-11-28T01:15:41.077Z,28.5,,,,,52,38.8
2017-11-28T01:15:51.077Z,28.5,,,,,52,
2017-11-28T01:16:01.079Z,28.5,,,,,52,38.7
2017-11-28T01:16:11.077Z,28.5,,,,,52,38.6
2017-11-28T01:16:21.078Z,28.6,,,,,52,
2017-11-28T01:16:31.113Z,28.6,,,,,52,
2017-11-28T01:16:41.077Z,28.6,,,,,52,
2017-11-28T01:16:51.078Z,28.6,,,,,52,
2017-11-28T01:17:01.077Z,28.6,,,,,52,38.5
2017-11-28T01:17:11.078Z,28.6,,,,,52,
2017-11-28T01:17:21.077Z,28.6,,,,,52,
2017-11-28T01:17:31.077Z,28.7,,,,,52,
2017-11-28T01:17:41.141Z,28.7,,,,,52,
2017-11-28T01:17:51.139Z,28.7,,,,,52,
2017-11-28T01:18:01.124Z,28.7,,,,,52,
2017-11-28T01:18:11.080Z,28.7,,,,,52,
2017-11-28T01:18:21.077Z,28.7,,,,,52,
2017-11-28T01:18:31.079Z,28.7,,,,,52,
2017-11-28T01:18:41.081Z,28.7,,,,,52,
