Time,HwTSet,PrimT,ActPow,HwActive,PrimTSet,ChActive,HwTOutlet
2018-01-02T00:00:02.708Z,50,,,,,,22.7
2018-01-02T00:00:12.710Z,50,,,,,,22.7
2018-01-02T00:00:22.708Z,50,,,,,,22.7
2018-01-02T00:00:32.708Z,50,,,,,,22.7
2018-01-02T00:00:42.713Z,50,,,,,,22.7
2018-01-02T00:00:52.708Z,50,,,,,,22.7
2018-01-02T00:01:02.708Z,50,,,,,,22.7
2018-01-02T00:01:12.708Z,50,,,,,,22.7
2018-01-02T00:01:22.881Z,50,,,,,,22.7
2018-01-02T00:01:32.708Z,50,,,,,,22.7
2018-01-02T00:01:42.707Z,50,,,,,,22.7
2018-01-02T00:01:52.708Z,50,,,,,,22.7
2018-01-02T00:02:02.708Z,50,,,,,,22.7
2018-01-02T00:02:12.708Z,50,,,,,,22.7
2018-01-02T00:02:22.707Z,50,,,,,,22.7
2018-01-02T00:02:32.743Z,50,,,,,,22.7
2018-01-02T00:02:42.708Z,50,28.3,,,,,22.7
2018-01-02T00:02:52.708Z,50,28.4,,,,,22.7
2018-01-02T00:03:02.708Z,50,28.3,,,,,22.7
2018-01-02T00:03:12.707Z,50,,,,,,22.7
2018-01-02T00:03:22.707Z,50,28.4,,,,,22.7
2018-01-02T00:03:32.708Z,50,,,,,,22.7
2018-01-02T00:03:42.708Z,50,28.3,,,,,22.7
2018-01-02T00:03:52.707Z,50,,,,,,22.7
2018-01-02T00:04:02.707Z,50,,,,,,22.7
2018-01-02T00:04:12.708Z,50,,,,,,22.7
2018-01-02T00:04:22.708Z,50,,,,,,22.7
2018-01-02T00:04:32.708Z,50,,,,,,22.7
2018-01-02T00:04:42.708Z,50,,,,,,22.7
2018-01-02T00:04:52.708Z,50,,,,,,22.7
2018-01-02T00:05:02.708Z,50,,,,,,22.7
2018-01-02T00:05:12.708Z,50,,,,,,22.7
2018-01-02T00:05:22.707Z,50,,,,,,22.6
2018-01-02T00:05:32.709Z,50,,,,,,22.6
2018-01-02T00:05:42.707Z,50,,,,,,22.6
2018-01-02T00:05:52.708Z,50,,,,,,22.6
2018-01-02T00:06:02.708Z,50,,,,,,22.6
2018-01-02T00:06:12.708Z,50,,,,,,22.6
2018-01-02T00:06:22.707Z,50,,,,,,22.6
2018-01-02T00:06:32.708Z,50,,,,,,22.6
2018-01-02T00:06:42.707Z,50,,,,,,22.6
2018-01-02T00:06:52.707Z,50,,,,,,22.6
2018-01-02T00:07:02.707Z,50,,,,,,22.6
2018-01-02T00:07:12.707Z,50,,,,,,22.6
2018-01-02T00:07:22.707Z,50,,,,,,22.6
2018-01-02T00:07:32.707Z,50,,,,,,22.6
2018-01-02T00:07:42.708Z,50,,,,,,22.6
2018-01-02T00:07:52.708Z,50,28.2,,,,,22.6
2018-01-02T00:08:02.707Z,50,,,,,,22.6
2018-01-02T00:08:12.708Z,50,,,,,,22.6
2018-01-02T00:08:22.708Z,50,,,,,,22.6
2018-01-02T00:08:32.708Z,50,,,,,,22.6
2018-01-02T00:08:42.707Z,50,,,,,,22.6
2018-01-02T00:08:52.708Z,50,,,,,,22.6
2018-01-02T00:09:02.708Z,50,,,,,,22.6
2018-01-02T00:09:12.707Z,50,,,,,,22.6
2018-01-02T00:09:22.707Z,50,,,,,,22.6
2018-01-02T00:09:32.707Z,50,,,,,,22.6
2018-01-02T00:09:42.708Z,50,,,,,,22.6
2018-01-02T00:09:52.708Z,50,,,,,,22.6
2018-01-02T00:10:02.708Z,50,,,,,,22.6
2018-01-02T00:10:12.707Z,50,,,,,,22.6
2018-01-02T00:10:22.707Z,50,,,,,,22.6
2018-01-02T00:10:32.708Z,50,,,,,,22.6
2018-01-02T00:10:42.708Z,50,,,,,,22.6
2018-01-02T00:10:52.708Z,50,,,,,,22.6
2018-01-02T00:11:02.707Z,50,,,,,,22.6
2018-01-02T00:11:12.709Z,50,,,,,,22.6
2018-01-02T00:11:22.707Z,50,,,,,,22.5
2018-01-02T00:11:32.707Z,50,,,,,,22.5
2018-01-02T00:11:42.707Z,50,,,,,,22.5
2018-01-02T00:11:52.707Z,50,,,,,,22.5
2018-01-02T00:12:02.707Z,50,,,,,,22.5
2018-01-02T00:12:12.707Z,50,28.1,,,,,22.5
2018-01-02T00:12:22.717Z,50,,,,,,22.5
2018-01-02T00:12:32.708Z,50,,,,,,22.5
2018-01-02T00:12:42.715Z,50,,,,,,22.5
2018-01-02T00:12:52.707Z,50,,,,,,22.5
2018-01-02T00:13:02.707Z,50,,,,,,22.5
2018-01-02T00:13:12.713Z,50,,,,,,22.5
2018-01-02T00:13:22.707Z,50,,,,,,22.5
2018-01-02T00:13:32.761Z,50,,,,,,22.5
2018-01-02T00:13:42.747Z,50,,,,,,22.5
2018-01-02T00:13:52.737Z,50,,,,,,22.5
2018-01-02T00:14:02.721Z,50,,,,,,22.5
2018-01-02T00:14:12.710Z,50,,,,,,22.5
2018-01-02T00:14:22.708Z,50,,,,,,22.5
2018-01-02T00:14:32.710Z,50,,,,,,22.5
2018-01-02T00:14:42.707Z,50,,,,,,22.5
2018-01-02T00:14:52.709Z,50,,,,,,22.5
2018-01-02T00:15:02.708Z,50,,,,,,22.5
2018-01-02T00:15:12.708Z,50,,,,,,22.5
2018-01-02T00:15:22.707Z,50,,,,,,22.5
2018-01-02T00:15:32.707Z,50,,,,,,22.5
2018-01-02T00:15:42.707Z,50,,,,,,22.5
2018-01-02T00:15:52.717Z,50,,,,,,22.5
2018-01-02T00:16:02.707Z,50,,,,,,22.5
2018-01-02T00:16:12.707Z,50,,,,,,22.5
2018-01-02T00:16:22.707Z,50,,,,,,22.5
2018-01-02T00:16:32.707Z,50,,,,,,22.5
2018-01-02T00:16:42.707Z,50,28,,,,,22.5
2018-01-02T00:16:52.707Z,50,,,,,,22.5
2018-01-02T00:17:02.707Z,50,,,,,,22.5
