Time,ActPow,HwTSet,ChActive,PrimT,HwTOutlet,PrimTSet,HwActive
2017-12-12T00:18:20.417Z,29,50,,44.2,31.8,,
2017-12-12T00:18:30.416Z,30,50,,44.3,31.8,,
2017-12-12T00:18:40.417Z,29,50,,44.4,31.8,,
2017-12-12T00:18:50.417Z,,50,,44.6,31.8,,
2017-12-12T00:19:00.417Z,30,50,,44.7,31.8,,
2017-12-12T00:19:10.417Z,,50,,44.8,31.8,,
2017-12-12T00:19:20.416Z,0,50,1,45,31.8,,0
2017-12-12T00:19:30.417Z,,50,,42.9,31.8,,
2017-12-12T00:19:40.416Z,,50,,40.9,31.8,,
2017-12-12T00:19:50.416Z,,50,,40.5,31.8,,
2017-12-12T00:20:00.417Z,,50,,40.4,31.8,,
2017-12-12T00:20:10.416Z,,50,,40.2,31.9,,
2017-12-12T00:20:20.416Z,,50,,,31.9,,
2017-12-12T00:20:30.416Z,,50,,,31.8,,
2017-12-12T00:20:40.416Z,,50,,,31.9,,
2017-12-12T00:20:50.416Z,,50,,40.1,31.9,,
2017-12-12T00:21:00.416Z,,50,,40,31.9,,
2017-12-12T00:21:10.417Z,,50,,39.8,31.9,,
2017-12-12T00:21:20.435Z,,50,,39.7,31.9,,
2017-12-12T00:21:30.417Z,,50,,,31.9,,
2017-12-12T00:21:40.416Z,,50,,,31.9,,
2017-12-12T00:21:50.416Z,,50,,39.6,31.9,,
2017-12-12T00:22:00.416Z,,50,,,31.9,,
2017-12-12T00:22:10.417Z,,50,,39.5,31.9,,
2017-12-12T00:22:20.416Z,,50,,39.4,31.9,,
2017-12-12T00:22:30.417Z,,50,,,31.9,,
2017-12-12T00:22:40.416Z,,50,,,31.9,,
2017-12-12T00:22:50.416Z,,50,,,31.9,,
2017-12-12T00:23:00.416Z,,50,,,31.9,,
2017-12-12T00:23:10.416Z,,50,,39.3,31.9,,
2017-12-12T00:23:20.416Z,,50,,,31.9,,
2017-12-12T00:23:30.416Z,,50,,,31.9,,
2017-12-12T00:23:40.416Z,,50,,,31.9,,
2017-12-12T00:23:50.416Z,,50,,,31.9,,
2017-12-12T00:24:00.416Z,,50,,,31.9,,
2017-12-12T00:24:10.417Z,,50,,,31.9,,
2017-12-12T00:24:20.416Z,,50,,,31.9,,
2017-12-12T00:24:30.416Z,,50,,,31.9,,
2017-12-12T00:24:40.416Z,,50,,,31.9,,
2017-12-12T00:24:50.416Z,,50,,,31.9,,
2017-12-12T00:25:00.416Z,,50,,,31.9,,
2017-12-12T00:25:10.417Z,,50,,39.4,31.9,,
2017-12-12T00:25:20.416Z,,50,,,31.9,,
2017-12-12T00:25:30.416Z,,50,,,31.9,,
2017-12-12T00:25:40.416Z,,50,,39.5,31.9,,
2017-12-12T00:25:50.416Z,,50,,,31.9,,
2017-12-12T00:26:00.416Z,,50,,,31.9,,
2017-12-12T00:26:10.416Z,,50,,,31.9,,
2017-12-12T00:26:20.416Z,,50,,39.6,31.9,,
2017-12-12T00:26:30.417Z,,50,,39.5,31.9,,
2017-12-12T00:26:40.416Z,,50,,39.6,31.9,,
2017-12-12T00:26:50.417Z,,50,,,31.9,,
2017-12-12T00:27:00.416Z,,50,,,31.9,,
2017-12-12T00:27:10.416Z,,50,,39.7,31.9,,
2017-12-12T00:27:20.416Z,,50,,,31.8,,
2017-12-12T00:27:30.416Z,,50,,,31.8,,
2017-12-12T00:27:40.416Z,,50,,,31.9,,
2017-12-12T00:27:50.416Z,,50,,,31.8,,
2017-12-12T00:28:00.416Z,,50,,,31.8,,
2017-12-12T00:28:10.463Z,,50,,,31.8,,
2017-12-12T00:28:20.416Z,,50,,,31.8,,
2017-12-12T00:28:30.416Z,,50,,,31.8,,
2017-12-12T00:28:40.416Z,,50,,,31.8,,
2017-12-12T00:28:50.416Z,,50,,,31.8,,
2017-12-12T00:29:00.416Z,,50,,,31.8,,
2017-12-12T00:29:10.416Z,,50,,,31.8,,
2017-12-12T00:29:20.416Z,,50,,,31.8,,
2017-12-12T00:29:30.416Z,,50,,,31.8,,
2017-12-12T00:29:40.416Z,,50,,,31.8,,
2017-12-12T00:29:50.416Z,,50,,,31.8,,
2017-12-12T00:30:00.434Z,,50,,,31.8,,
2017-12-12T00:30:10.416Z,,50,,,31.8,,
2017-12-12T00:30:20.416Z,,50,,,31.8,,
2017-12-12T00:30:30.416Z,,50,,,31.8,,
2017-12-12T00:30:40.416Z,,50,,,31.8,,
2017-12-12T00:30:50.416Z,,50,,,31.8,,
2017-12-12T00:31:00.416Z,,50,,,31.8,,
2017-12-12T00:31:10.443Z,,50,,39.6,31.6,,
2017-12-12T00:31:20.446Z,,50,,,31.6,,
2017-12-12T00:31:30.417Z,,50,,,31.6,,
2017-12-12T00:31:40.483Z,,50,,,31.6,,
2017-12-12T00:31:50.471Z,,50,,,31.6,,
2017-12-12T00:32:00.489Z,,50,,,31.6,,
2017-12-12T00:32:10.452Z,,50,,,31.6,,
2017-12-12T00:32:20.450Z,,50,,,31.6,,
2017-12-12T00:32:30.419Z,,50,,,31.6,,
2017-12-12T00:32:40.462Z,,50,,,31.6,,
2017-12-12T00:32:50.467Z,,50,,39.5,31.6,,
2017-12-12T00:33:00.483Z,44,50,1,,31.6,,0
2017-12-12T00:33:10.460Z,33,50,,45.1,31.6,,
2017-12-12T00:33:20.449Z,29,50,,43.6,31.5,,
2017-12-12T00:33:30.444Z,,50,,41.9,31.5,,
2017-12-12T00:33:40.451Z,29,50,,40.7,31.5,,
2017-12-12T00:33:50.452Z,,50,,39.7,31.5,,
2017-12-12T00:34:00.438Z,29,50,,39.1,31.5,,
2017-12-12T00:34:10.451Z,30,50,,39.2,31.5,,
2017-12-12T00:34:20.453Z,,50,,39.6,31.5,,
2017-12-12T00:34:30.446Z,29,50,,40,31.5,,
2017-12-12T00:34:40.430Z,,50,,40.3,31.5,,
2017-12-12T00:34:50.443Z,30,50,,40.4,31.5,,
2017-12-12T00:35:00.444Z,29,50,,40.5,31.5,,
2017-12-12T00:35:10.429Z,30,50,,40.7,31.5,,
2017-12-12T00:35:20.466Z,29,50,,41,31.5,,
2017-12-12T00:35:30.466Z,,50,,,31.5,,
2017-12-12T00:35:40.416Z,30,50,,41.2,31.5,,
2017-12-12T00:35:50.458Z,29,50,,41.4,31.5,,
2017-12-12T00:36:00.479Z,,50,,41.6,31.5,,
2017-12-12T00:36:10.446Z,,50,,41.8,31.5,,
2017-12-12T00:36:20.416Z,30,50,,42,31.5,,
2017-12-12T00:36:30.416Z,29,50,,42.1,31.5,,
2017-12-12T00:36:40.416Z,30,50,,42.2,31.5,,
2017-12-12T00:36:50.416Z,29,50,,42.4,31.5,,
2017-12-12T00:37:00.417Z,30,50,,42.6,31.5,,
2017-12-12T00:37:10.416Z,29,50,,42.7,31.5,,
2017-12-12T00:37:20.416Z,,50,,42.9,31.5,,
2017-12-12T00:37:30.417Z,,50,,43,31.5,,
2017-12-12T00:37:40.416Z,,50,,43.1,31.5,,
2017-12-12T00:37:50.416Z,30,50,,43.2,31.5,,
2017-12-12T00:38:00.417Z,,50,,43.3,31.5,,
2017-12-12T00:38:10.416Z,29,50,,43.4,31.5,,
2017-12-12T00:38:20.416Z,,50,,43.5,31.5,,
2017-12-12T00:38:30.416Z,30,50,,43.6,31.5,,
2017-12-12T00:38:40.416Z,,50,,43.8,31.5,,
2017-12-12T00:38:50.416Z,29,50,,44,31.5,,
2017-12-12T00:39:00.416Z,,50,,,31.5,,
2017-12-12T00:39:10.416Z,30,50,,44.1,31.5,,
2017-12-12T00:39:20.416Z,,50,,44.3,31.5,,
2017-12-12T00:39:30.416Z,29,50,,44.4,31.5,,
2017-12-12T00:39:40.416Z,30,50,,44.5,31.5,,
2017-12-12T00:39:50.416Z,,50,,44.6,31.5,,
2017-12-12T00:40:00.416Z,0,50,1,44.8,31.6,,0
2017-12-12T00:40:10.416Z,,50,,42.9,31.6,,
2017-12-12T00:40:20.417Z,,50,,40.9,31.6,,
2017-12-12T00:40:30.416Z,,50,,40.3,31.6,,
2017-12-12T00:40:40.416Z,,50,,40.2,31.6,,
2017-12-12T00:40:50.416Z,,50,,40.1,31.6,,
2017-12-12T00:41:00.416Z,,50,,,31.6,,
2017-12-12T00:41:10.416Z,,50,,,31.6,,
2017-12-12T00:41:20.418Z,,50,,40,31.6,,
2017-12-12T00:41:30.416Z,,50,,39.9,31.6,,
2017-12-12T00:41:40.416Z,,50,,39.8,31.6,,
