Time,HwTSet,PrimTSet,ActPow,HwActive,HwTOutlet,ChActive,PrimT
2017-12-18T00:17:10.203Z,50,,,,25.9,,
2017-12-18T00:17:20.204Z,50,,,,26,,34.1
2017-12-18T00:17:30.203Z,50,,,,26,,33.9
2017-12-18T00:17:40.204Z,50,,,,26,,
2017-12-18T00:17:50.203Z,50,,,,26,,33.8
2017-12-18T00:18:00.203Z,50,,,,26,,
2017-12-18T00:18:10.204Z,50,,,,26.1,,
2017-12-18T00:18:20.204Z,50,,,,26.1,,
2017-12-18T00:18:30.203Z,50,,,,26.1,,
2017-12-18T00:18:40.203Z,50,,,,26.1,,33.7
2017-12-18T00:18:50.203Z,50,,,,26.1,,
2017-12-18T00:19:00.204Z,50,,,,26.1,,33.6
2017-12-18T00:19:10.203Z,50,,,,26.2,,
2017-12-18T00:19:20.210Z,50,,,,26.2,,
2017-12-18T00:19:30.203Z,50,,,,26.2,,
2017-12-18T00:19:40.204Z,50,,,,26.2,,
2017-12-18T00:19:50.204Z,50,,,,26.2,,
2017-12-18T00:20:00.204Z,50,,,,26.2,,
2017-12-18T00:20:10.203Z,50,,,,26.2,,
2017-12-18T00:20:20.203Z,50,,,,26.3,,
2017-12-18T00:20:30.203Z,50,,,,26.3,,
2017-12-18T00:20:40.204Z,50,,,,26.3,,
2017-12-18T00:20:50.203Z,50,,,,26.3,,
2017-12-18T00:21:00.204Z,50,,,,26.3,,
2017-12-18T00:21:10.203Z,50,,,,26.3,,
2017-12-18T00:21:20.208Z,50,,,,26.5,,
2017-12-18T00:21:30.203Z,50,5,,0,26.5,0,
2017-12-18T00:21:40.203Z,50,,,,26.5,,
2017-12-18T00:21:50.203Z,50,,,,26.5,,
2017-12-18T00:22:00.203Z,50,,,,26.5,,
2017-12-18T00:22:10.203Z,50,,,,26.5,,33.7
2017-12-18T00:22:20.203Z,50,,,,26.5,,
2017-12-18T00:22:30.203Z,50,,,,26.6,,
2017-12-18T00:22:40.203Z,50,,,,26.6,,
2017-12-18T00:22:50.203Z,50,59,,0,26.6,2,33.8
2017-12-18T00:23:00.204Z,50,,,,26.6,,
2017-12-18T00:23:10.246Z,50,,,,26.6,,
2017-12-18T00:23:20.203Z,50,,,,26.6,,
2017-12-18T00:23:30.203Z,50,,,,26.6,,
2017-12-18T00:23:40.203Z,50,,,,26.6,,33.9
2017-12-18T00:23:50.203Z,50,,,,26.6,,
2017-12-18T00:24:00.203Z,50,,,,26.7,,
2017-12-18T00:24:10.203Z,50,,,,26.7,,
2017-12-18T00:24:20.204Z,50,,,,26.7,,
2017-12-18T00:24:30.203Z,50,5,,0,26.7,0,34
2017-12-18T00:24:40.203Z,50,,,,26.7,,34
2017-12-18T00:24:50.203Z,50,,,,26.7,,34
2017-12-18T00:25:00.204Z,50,,,,26.7,,
2017-12-18T00:25:10.203Z,50,,,,26.7,,
2017-12-18T00:25:20.203Z,50,,,,26.7,,
2017-12-18T00:25:30.203Z,50,,,,26.7,,
2017-12-18T00:25:40.204Z,50,,,,26.7,,
2017-12-18T00:25:50.203Z,50,,,,26.8,,
2017-12-18T00:26:00.203Z,50,,,,26.8,,
2017-12-18T00:26:10.203Z,50,,,,26.8,,
2017-12-18T00:26:20.203Z,50,,,,26.8,,
2017-12-18T00:26:30.203Z,50,,,,26.8,,
2017-12-18T00:26:40.204Z,50,,,,26.8,,
2017-12-18T00:26:50.203Z,50,,,,26.8,,
2017-12-18T00:27:00.205Z,50,,,,26.8,,
2017-12-18T00:27:10.203Z,50,,,,26.8,,34
2017-12-18T00:27:20.203Z,50,,,,26.8,,33.9
2017-12-18T00:27:30.206Z,50,,,,26.9,,33.9
2017-12-18T00:27:40.203Z,50,,,,26.8,,33.9
2017-12-18T00:27:50.203Z,50,,,,26.8,,
2017-12-18T00:28:00.203Z,50,,,,26.9,,
2017-12-18T00:28:10.203Z,50,,,,26.9,,
2017-12-18T00:28:20.204Z,50,,,,26.9,,
2017-12-18T00:28:30.203Z,50,,,,26.9,,
2017-12-18T00:28:40.203Z,50,,,,26.9,,
2017-12-18T00:28:50.203Z,50,,,,26.9,,
2017-12-18T00:29:00.204Z,50,,,,26.9,,
2017-12-18T00:29:10.203Z,50,,,,26.9,,
2017-12-18T00:29:20.203Z,50,,,,26.9,,33.8
2017-12-18T00:29:30.203Z,50,,,,26.9,,
2017-12-18T00:29:40.208Z,50,,,,26.9,,
2017-12-18T00:29:50.203Z,50,,,,26.9,,
2017-12-18T00:30:00.203Z,50,,,,27.1,,
2017-12-18T00:30:10.203Z,50,,,,26.9,,
2017-12-18T00:30:20.203Z,50,,,,27.1,,
2017-12-18T00:30:30.203Z,50,,,,27.1,,
2017-12-18T00:30:40.204Z,50,,,,27.1,,
2017-12-18T00:30:50.203Z,50,,,,27.1,,
2017-12-18T00:31:00.203Z,50,,,,27.1,,33.7
2017-12-18T00:31:10.205Z,50,,,,27.1,,
2017-12-18T00:31:20.203Z,50,,,,27.1,,
2017-12-18T00:31:30.203Z,50,,,,27.1,,
2017-12-18T00:31:40.203Z,50,,,,27.1,,
2017-12-18T00:31:50.203Z,50,,,,27.1,,
2017-12-18T00:32:00.203Z,50,,,,27.1,,
2017-12-18T00:32:10.203Z,50,,,,27.1,,
2017-12-18T00:32:20.205Z,50,,,,27.1,,33.6
2017-12-18T00:32:30.203Z,50,,,,27.1,,
2017-12-18T00:32:40.203Z,50,,,,27.1,,
2017-12-18T00:32:50.203Z,50,,,,27.1,,
2017-12-18T00:33:00.204Z,50,,,,27.1,,
2017-12-18T00:33:10.203Z,50,,,,27.1,,
2017-12-18T00:33:20.203Z,50,,,,27.1,,
2017-12-18T00:33:30.203Z,50,,,,27.2,,
2017-12-18T00:33:40.203Z,50,,,,27.2,,
2017-12-18T00:33:50.203Z,50,,,,27.2,,33.5
2017-12-18T00:34:00.203Z,50,,,,27.2,,
2017-12-18T00:34:10.203Z,50,,,,27.2,,
2017-12-18T00:34:20.203Z,50,,,,27.2,,
2017-12-18T00:34:30.203Z,50,,,,27.2,,
2017-12-18T00:34:40.203Z,50,,,,27.2,,
2017-12-18T00:34:50.203Z,50,,,,27.2,,
2017-12-18T00:35:00.203Z,50,,,,27.2,,
2017-12-18T00:35:10.203Z,50,,,,27.2,,
2017-12-18T00:35:20.203Z,50,,,,27.2,,33.4
2017-12-18T00:35:30.203Z,50,,,,27.2,,
2017-12-18T00:35:40.203Z,50,,,,27.2,,
2017-12-18T00:35:50.203Z,50,,,,27.2,,
2017-12-18T00:36:00.203Z,50,,,,27.2,,
2017-12-18T00:36:10.203Z,50,,,,27.2,,
2017-12-18T00:36:20.203Z,50,,,,27.2,,
2017-12-18T00:36:30.204Z,50,,,,27.2,,
2017-12-18T00:36:40.203Z,50,,,,27.2,,
2017-12-18T00:36:50.203Z,50,,,,27.2,,
