Time,PrimTSet,ActPow,HwActive,HwTSet,HwTOutlet,ChActive,PrimT
2018-02-07T00:00:08.718Z,,29,,,,,36
2018-02-07T00:00:18.718Z,,30,,50,26.2,,36.2
2018-02-07T00:00:28.775Z,,,,50,26.2,,
2018-02-07T00:00:38.719Z,,29,,,,,36.6
2018-02-07T00:00:48.718Z,,,,50,26.2,,36.7
2018-02-07T00:00:58.718Z,,0,0,50,26.2,2,35.2
2018-02-07T00:01:08.735Z,,,,50,26.2,,32.9
2018-02-07T00:01:18.724Z,,,,50,26.2,,32.2
2018-02-07T00:01:28.732Z,,,,,,,31.9
2018-02-07T00:01:38.718Z,,,,50,26.2,,
2018-02-07T00:01:48.718Z,,,,50,26.2,,
2018-02-07T00:01:58.718Z,,,,50,26.2,,
2018-02-07T00:02:18.718Z,,,,50,26.3,,31.8
2018-02-07T00:02:28.718Z,,,,50,26.3,,
2018-02-07T00:02:38.718Z,,,,,,,31.6
2018-02-07T00:02:48.718Z,,,,50,26.3,,
2018-02-07T00:02:58.717Z,,,,50,26.3,,
2018-02-07T00:03:18.718Z,,,,50,26.3,,
2018-02-07T00:03:28.718Z,,,,50,26.3,,
2018-02-07T00:03:48.718Z,,,,50,26.3,,31.5
2018-02-07T00:04:08.718Z,,,,50,26.5,,
2018-02-07T00:04:18.720Z,,,,50,26.5,,
2018-02-07T00:04:28.718Z,0,,0,,,0,31.6
2018-02-07T00:04:38.717Z,,,,50,30.7,,
2018-02-07T00:04:48.718Z,,,,50,30.7,,
2018-02-07T00:04:58.718Z,,,,,,,31.5
2018-02-07T00:05:08.718Z,,,,50,30.6,,
2018-02-07T00:05:18.718Z,,,,50,30.6,,
2018-02-07T00:05:28.717Z,59,,0,,,2,
2018-02-07T00:05:38.718Z,,,,50,30.4,,
2018-02-07T00:05:48.718Z,,,,50,30.4,,
2018-02-07T00:05:58.718Z,,,,50,30.4,,
2018-02-07T00:06:18.718Z,,,,50,30.3,,
2018-02-07T00:06:28.718Z,,,,50,30.3,,
2018-02-07T00:06:48.718Z,,,,50,30.2,,
2018-02-07T00:06:58.717Z,,,,50,30.2,,
2018-02-07T00:07:18.718Z,,,,50,30.1,,
2018-02-07T00:07:28.717Z,,,,50,30.1,,
2018-02-07T00:07:48.718Z,,,,50,30.1,,
2018-02-07T00:07:58.718Z,,,,50,30,,
2018-02-07T00:08:18.718Z,,,,50,30,,
2018-02-07T00:08:28.718Z,,,,50,30,,
