Time,HwTOutlet,ChActive,PrimT,HwTSet,PrimTSet,ActPow,HwActive
2018-01-10T00:18:12.468Z,29.3,,36.9,50,,,
2018-01-10T00:18:22.467Z,29.3,1,,50,59,,0
2018-01-10T00:18:32.468Z,29.3,,,50,,,
2018-01-10T00:18:42.468Z,29.3,,,50,,,
2018-01-10T00:18:52.468Z,29.3,0,,50,5,,0
2018-01-10T00:19:02.467Z,29.3,1,,50,59,,0
2018-01-10T00:19:12.468Z,29.3,,,50,,,
2018-01-10T00:19:22.468Z,29.3,,,50,,,
2018-01-10T00:19:32.467Z,29.3,,,50,,,
2018-01-10T00:19:42.468Z,29.2,,,50,,,
2018-01-10T00:19:52.468Z,29.3,,,50,,,
2018-01-10T00:20:02.469Z,29.3,,,50,,,
2018-01-10T00:20:12.468Z,29.3,,,50,,,
2018-01-10T00:20:22.468Z,29.3,,36.8,50,,,
2018-01-10T00:20:32.468Z,29.2,,,50,,,
2018-01-10T00:20:42.468Z,29.2,,,50,,,
2018-01-10T00:20:52.467Z,29.2,,,50,,,
2018-01-10T00:21:02.467Z,29.2,,,50,,,
2018-01-10T00:21:12.468Z,29.2,,,50,,,
2018-01-10T00:21:22.468Z,29.2,,,50,,,
2018-01-10T00:21:32.467Z,29.2,,,50,,,
2018-01-10T00:21:42.468Z,29.2,,,50,,,
2018-01-10T00:21:52.467Z,29.2,,36.7,50,,,
2018-01-10T00:22:02.467Z,29.2,,36.8,50,,,
2018-01-10T00:22:12.468Z,29.2,,,50,,,
2018-01-10T00:22:22.468Z,29.2,,36.7,50,,,
2018-01-10T00:22:32.468Z,29.2,,,50,,,
2018-01-10T00:22:42.467Z,29.2,,,50,,,
2018-01-10T00:22:52.468Z,29.2,,,50,,,
2018-01-10T00:23:02.468Z,29.2,,,50,,,
2018-01-10T00:23:12.468Z,29.2,,,50,,,
2018-01-10T00:23:22.468Z,29.2,,,50,,,
2018-01-10T00:23:32.467Z,29.2,,,50,,,
2018-01-10T00:23:42.467Z,29.2,,,50,,,
2018-01-10T00:23:52.467Z,29.2,,,50,,,
2018-01-10T00:24:02.468Z,29.2,,,50,,,
2018-01-10T00:24:12.467Z,29.1,,,50,,,
2018-01-10T00:24:22.468Z,29.1,,,50,,,
2018-01-10T00:24:32.468Z,29.1,,,50,,,
2018-01-10T00:24:42.467Z,29.1,,36.6,50,,,
2018-01-10T00:24:52.516Z,29.1,,,50,,,
2018-01-10T00:25:02.468Z,29.1,,,50,,,
2018-01-10T00:25:12.467Z,29.1,,,50,,,
2018-01-10T00:25:22.472Z,29.1,,,50,,,
2018-01-10T00:25:32.467Z,29.1,,,50,,,
2018-01-10T00:25:42.474Z,29.1,,,50,,,
2018-01-10T00:25:52.467Z,29.1,,,50,,,
2018-01-10T00:26:02.468Z,29.1,,,50,,,
2018-01-10T00:26:12.467Z,29.1,,,50,,,
2018-01-10T00:26:22.467Z,29.1,,,50,,,
2018-01-10T00:26:32.467Z,29.1,,,50,,,
2018-01-10T00:26:42.468Z,29.1,,36.6,50,,,
2018-01-10T00:26:52.478Z,29.1,1,39.4,50,,42,0
2018-01-10T00:27:02.468Z,29.1,,41.9,50,,29,
2018-01-10T00:27:12.467Z,29.1,,37.9,50,,30,
2018-01-10T00:27:22.468Z,29.1,,35.5,50,,30,
2018-01-10T00:27:32.467Z,29,,33.4,50,,30,
2018-01-10T00:27:42.468Z,29,,32.4,50,,30,
2018-01-10T00:27:52.468Z,29,,32.5,50,,29,
2018-01-10T00:28:02.468Z,29,,33.1,50,,,
2018-01-10T00:28:12.467Z,29,,33.5,50,,,
2018-01-10T00:28:22.467Z,29,,33.7,50,,,
2018-01-10T00:28:32.468Z,29,,33.9,50,,,
2018-01-10T00:28:42.468Z,29,,34,50,,29,
2018-01-10T00:28:52.467Z,29,,34.1,50,,30,
2018-01-10T00:29:02.468Z,29,,34.2,50,,29,
2018-01-10T00:29:12.468Z,29,,34.5,50,,,
2018-01-10T00:29:22.467Z,29,,34.7,50,,,
2018-01-10T00:29:32.467Z,29,,35.1,50,,29,
2018-01-10T00:29:42.468Z,29,,35.3,50,,,
2018-01-10T00:29:52.468Z,29,,35.5,50,,,
2018-01-10T00:30:02.468Z,29,,35.7,50,,,
2018-01-10T00:30:12.467Z,29,,36,50,,30,
2018-01-10T00:30:22.467Z,29,,36.2,50,,29,
2018-01-10T00:30:32.468Z,29,,36.3,50,,,
2018-01-10T00:30:42.468Z,29,,36.6,50,,,
2018-01-10T00:30:52.468Z,29,,36.7,50,,30,
2018-01-10T00:31:02.467Z,29,,36.9,50,,,
2018-01-10T00:31:12.467Z,29,,37.2,50,,29,
2018-01-10T00:31:22.467Z,29,,37.3,50,,30,
2018-01-10T00:31:32.467Z,29,,37.5,50,,,
2018-01-10T00:31:42.468Z,29,1,36.2,50,,0,0
2018-01-10T00:31:52.467Z,29,,33.9,50,,,
2018-01-10T00:32:02.467Z,29,,33.2,50,,,
2018-01-10T00:32:12.468Z,29,,32.7,50,,,
2018-01-10T00:32:22.467Z,29,,,50,,,
2018-01-10T00:32:32.467Z,29,,32.6,50,,,
2018-01-10T00:32:42.468Z,29,,,50,,,
2018-01-10T00:32:52.468Z,29,,,50,,,
2018-01-10T00:33:02.467Z,29,,32.5,50,,,
2018-01-10T00:33:12.467Z,29,,32.4,50,,,
2018-01-10T00:33:22.467Z,29,,32.3,50,,,
2018-01-10T00:33:32.467Z,29,,,50,,,
2018-01-10T00:33:42.468Z,29,,32.2,50,,,
2018-01-10T00:33:52.468Z,29,,,50,,,
2018-01-10T00:34:02.467Z,29,,32.3,50,,,
2018-01-10T00:34:12.473Z,29,,,50,,,
2018-01-10T00:34:22.467Z,29,,32.2,50,,,
2018-01-10T00:34:32.467Z,29,,,50,,,
2018-01-10T00:34:42.468Z,29,,,50,,,
2018-01-10T00:34:52.467Z,29,,,50,,,
2018-01-10T00:35:02.467Z,29,,,50,,,
2018-01-10T00:35:12.468Z,29,,,50,,,
2018-01-10T00:35:22.467Z,29,,,50,,,
2018-01-10T00:35:32.467Z,29,,,50,,,
2018-01-10T00:35:42.467Z,29,,,50,,,
2018-01-10T00:35:52.467Z,29,,,50,,,
2018-01-10T00:36:02.467Z,29,,,50,,,
2018-01-10T00:36:12.467Z,29,,,50,,,
2018-01-10T00:36:22.467Z,29,,,50,,,
2018-01-10T00:36:32.467Z,29,,,50,,,
2018-01-10T00:36:42.467Z,29,,,50,,,
2018-01-10T00:36:52.467Z,29,,,50,,,
2018-01-10T00:37:02.467Z,29,,,50,,,
2018-01-10T00:37:12.467Z,29,,,50,,,
2018-01-10T00:37:22.467Z,29,,,50,,,
2018-01-10T00:37:32.467Z,29,,,50,,,
2018-01-10T00:37:42.467Z,29,,32.3,50,,,
2018-01-10T00:37:52.467Z,29,,,50,,,
2018-01-10T00:38:02.467Z,29,,,50,,,
2018-01-10T00:38:12.467Z,29,,,50,,,
2018-01-10T00:38:22.467Z,28.9,,,50,,,
2018-01-10T00:38:32.467Z,28.9,,,50,,,
2018-01-10T00:38:42.468Z,29,,,50,,,
2018-01-10T00:38:52.468Z,28.9,,32.4,50,,,
2018-01-10T00:39:02.467Z,28.9,,,50,,,
2018-01-10T00:39:12.467Z,28.9,,,50,,,
2018-01-10T00:39:22.467Z,28.9,,,50,,,
2018-01-10T00:39:32.467Z,28.9,,,50,,,
2018-01-10T00:39:42.467Z,28.9,,,50,,,
2018-01-10T00:39:52.467Z,28.9,,32.5,50,,,
2018-01-10T00:40:02.467Z,28.9,,,50,,,
2018-01-10T00:40:12.467Z,28.9,1,32.6,50,,44,0
2018-01-10T00:40:22.469Z,28.9,,38.3,50,,35,
2018-01-10T00:40:32.467Z,28.9,,38.7,50,,29,
2018-01-10T00:40:42.502Z,28.9,,37.5,50,,,
2018-01-10T00:40:52.467Z,28.9,,36.2,50,,,
2018-01-10T00:41:02.467Z,28.9,,35.8,50,,,
2018-01-10T00:41:12.474Z,28.9,,35.7,50,,,
2018-01-10T00:41:22.467Z,28.9,,36,50,,,
2018-01-10T00:41:32.468Z,28.9,,36.4,50,,,
2018-01-10T00:41:42.467Z,28.9,,36.7,50,,30,
2018-01-10T00:41:52.469Z,28.9,,36.9,50,,,
2018-01-10T00:42:02.467Z,28.9,,37.1,50,,29,
2018-01-10T00:42:12.469Z,28.9,,37.2,50,,,
2018-01-10T00:42:22.467Z,28.9,,37.4,50,,30,
2018-01-10T00:42:32.468Z,28.9,,37.6,50,,29,
2018-01-10T00:42:42.467Z,28.9,,37.8,50,,30,
2018-01-10T00:42:52.467Z,28.9,,37.9,50,,29,
2018-01-10T00:43:02.467Z,28.9,,38,50,,30,
2018-01-10T00:43:12.467Z,28.9,,38.1,50,,29,
2018-01-10T00:43:22.467Z,28.9,,38.3,50,,30,
2018-01-10T00:43:32.467Z,28.9,,38.4,50,,29,
2018-01-10T00:43:42.467Z,28.9,,38.6,50,,30,
2018-01-10T00:43:52.467Z,28.9,,38.7,50,,29,
2018-01-10T00:44:02.467Z,28.9,,38.8,50,,,
2018-01-10T00:44:12.486Z,28.9,,39.1,50,,,
2018-01-10T00:44:22.467Z,28.9,,39.2,50,,,
2018-01-10T00:44:32.467Z,28.9,,39.4,50,,,
2018-01-10T00:44:42.467Z,28.9,,39.5,50,,,
2018-01-10T00:44:52.467Z,28.9,,39.7,50,,,
2018-01-10T00:45:02.467Z,28.9,,39.8,50,,30,
2018-01-10T00:45:12.467Z,28.9,,40,50,,29,
2018-01-10T00:45:22.467Z,28.9,,40.1,50,,,
2018-01-10T00:45:32.467Z,28.9,,40.3,50,,,
2018-01-10T00:45:42.467Z,29,,40.4,50,,,
2018-01-10T00:45:52.467Z,29,,40.6,50,,,
2018-01-10T00:46:02.467Z,29,,40.7,50,,,
2018-01-10T00:46:12.467Z,29,,41,50,,29,
2018-01-10T00:46:22.467Z,29,,41.1,50,,30,
2018-01-10T00:46:32.467Z,29,1,38.9,50,,0,0
2018-01-10T00:46:42.467Z,29,,37.3,50,,,
2018-01-10T00:46:52.467Z,29,,36.4,50,,,
2018-01-10T00:47:02.467Z,29,,36.3,50,,,
2018-01-10T00:47:12.468Z,29,,36.2,50,,,
2018-01-10T00:47:22.467Z,29,,,50,,,
2018-01-10T00:47:32.467Z,29,,,50,,,
2018-01-10T00:47:42.467Z,29.1,,,50,,,
2018-01-10T00:47:52.467Z,29.1,,36.1,50,,,
2018-01-10T00:48:02.467Z,29.1,,36,50,,,
2018-01-10T00:48:12.467Z,29.1,,35.9,50,,,
2018-01-10T00:48:22.467Z,29.1,,35.8,50,,,
2018-01-10T00:48:32.467Z,29.1,,,50,,,
2018-01-10T00:48:42.467Z,29.1,,,50,,,
2018-01-10T00:48:52.467Z,29.1,,,50,,,
2018-01-10T00:49:02.467Z,29.1,,,50,,,
2018-01-10T00:49:12.467Z,29.1,,35.7,50,,,
2018-01-10T00:49:22.467Z,29.1,,,50,,,
2018-01-10T00:49:32.467Z,29.1,,35.7,50,,,
2018-01-10T00:49:42.467Z,29.1,,35.6,50,,,
2018-01-10T00:49:52.467Z,29.1,,,50,,,
2018-01-10T00:50:02.467Z,29.2,,,50,,,
2018-01-10T00:50:12.467Z,29.2,,,50,,,
2018-01-10T00:50:22.467Z,29.2,,,50,,,
2018-01-10T00:50:32.467Z,29.2,,,50,,,
2018-01-10T00:50:42.467Z,29.2,,,50,,,
2018-01-10T00:50:52.467Z,29.2,,,50,,,
2018-01-10T00:51:02.467Z,29.2,,,50,,,
2018-01-10T00:51:12.467Z,29.2,,,50,,,
2018-01-10T00:51:22.467Z,29.2,,,50,,,
2018-01-10T00:51:32.468Z,29.2,,,50,,,
2018-01-10T00:51:42.467Z,29.2,,,50,,,
2018-01-10T00:51:52.467Z,29.2,,,50,,,
2018-01-10T00:52:02.467Z,29.2,1,35.6,50,59,0,0
2018-01-10T00:52:12.467Z,29.2,,,50,,,
2018-01-10T00:52:22.467Z,29.2,,35.7,50,,,
2018-01-10T00:52:32.467Z,29.2,,,50,,,
2018-01-10T00:52:42.467Z,29.2,,,50,,,
2018-01-10T00:52:52.467Z,29.2,,,50,,,
2018-01-10T00:53:02.467Z,29.2,,35.8,50,,,
2018-01-10T00:53:12.467Z,29.2,,,50,,,
2018-01-10T00:53:22.467Z,29.2,,,50,,,
2018-01-10T00:53:32.467Z,29.2,,,50,,,
2018-01-10T00:53:42.467Z,29.2,,35.9,50,,,
2018-01-10T00:53:52.467Z,29.2,,,50,,,
2018-01-10T00:54:02.467Z,29.2,,,50,,,
2018-01-10T00:54:12.467Z,29.2,,,50,,,
2018-01-10T00:54:22.467Z,29.2,,36,50,,,
2018-01-10T00:54:32.467Z,29.2,,36,50,,,
2018-01-10T00:54:42.467Z,29.2,,,50,,,
2018-01-10T00:54:52.467Z,29.3,,,50,,,
2018-01-10T00:55:02.467Z,29.2,,,50,,,
2018-01-10T00:55:12.466Z,29.3,,,50,,,
2018-01-10T00:55:22.467Z,29.3,,,50,,,
2018-01-10T00:55:32.467Z,29.3,,,50,,,
2018-01-10T00:55:42.467Z,29.3,,,50,,,
2018-01-10T00:55:52.467Z,29.3,0,,50,5,,0
2018-01-10T00:56:02.534Z,29.3,1,36,50,59,,0
2018-01-10T00:56:12.467Z,29.3,,,50,,,
2018-01-10T00:56:22.515Z,29.3,0,36.1,50,5,,0
2018-01-10T00:56:32.467Z,29.3,,36,50,,,
2018-01-10T00:56:42.467Z,29.3,,,50,,,
2018-01-10T00:56:52.476Z,29.3,,,50,,,
2018-01-10T00:57:02.473Z,29.3,,,50,,,
2018-01-10T00:57:12.467Z,29.3,,,50,,,
2018-01-10T00:57:22.467Z,29.2,,,50,,,
2018-01-10T00:57:32.467Z,29.3,1,,50,59,,0
2018-01-10T00:57:42.467Z,29.3,,,50,,,
2018-01-10T00:57:52.467Z,29.2,,,50,,,
2018-01-10T00:58:02.521Z,29.2,,,50,,,
2018-01-10T00:58:12.467Z,29.3,,,50,,,
2018-01-10T00:58:22.467Z,29.2,,,50,,,
2018-01-10T00:58:32.468Z,29.2,,,50,,,
2018-01-10T00:58:42.467Z,29.2,,,50,,,
2018-01-10T00:58:52.467Z,29.2,,36,50,,,
2018-01-10T00:59:02.467Z,29.2,,35.9,50,,,
2018-01-10T00:59:12.467Z,29.2,,,50,,,
2018-01-10T00:59:22.467Z,29.2,,,50,,,
2018-01-10T00:59:32.466Z,29.2,,,50,,,
2018-01-10T00:59:42.467Z,29.2,,,50,,,
2018-01-10T00:59:52.467Z,29.2,,,50,,,
2018-01-10T01:00:02.467Z,29.2,,,50,,,
2018-01-10T01:00:12.468Z,29.2,,,50,,,
2018-01-10T01:00:22.466Z,29.2,,,50,,,
2018-01-10T01:00:32.468Z,29.2,,,50,,,
2018-01-10T01:00:42.467Z,29.2,,,50,,,
2018-01-10T01:00:52.467Z,29.2,,35.8,50,,,
2018-01-10T01:01:02.467Z,29.2,,,50,,,
2018-01-10T01:01:12.467Z,29.2,,,50,,,
2018-01-10T01:01:22.467Z,29.2,,,50,,,
2018-01-10T01:01:32.472Z,29.2,,,50,,,
2018-01-10T01:01:42.467Z,29.2,,,50,,,
2018-01-10T01:01:52.468Z,29.2,,,50,,,
2018-01-10T01:02:02.472Z,29.2,,,50,,,
2018-01-10T01:02:12.472Z,29.2,,,50,,,
2018-01-10T01:02:22.467Z,29.2,,35.7,50,,,
2018-01-10T01:02:32.467Z,29.2,,,50,,,
2018-01-10T01:02:42.467Z,29.2,,,50,,,
2018-01-10T01:02:52.467Z,29.2,,,50,,,
2018-01-10T01:03:02.467Z,29.2,,,50,,,
2018-01-10T01:03:12.467Z,29.2,,,50,,,
2018-01-10T01:03:22.467Z,29.2,,,50,,,
2018-01-10T01:03:32.467Z,29.2,,,50,,,
