Time,HwTSet,ChActive,HwTOutlet,HwActive,ActPow,PrimTSet,PrimT
2018-01-19T00:00:01.217Z,50,,32.3,,,,
2018-01-19T00:00:11.217Z,50,,32.3,,,,
2018-01-19T00:00:21.339Z,50,,32.3,,,,
2018-01-19T00:00:31.220Z,50,,32.3,,,,
2018-01-19T00:00:41.246Z,50,,32.3,,,,41.6
2018-01-19T00:00:51.218Z,50,,32.3,,,,
2018-01-19T00:01:01.225Z,50,,32.3,,,,
2018-01-19T00:01:11.226Z,50,,32.3,,,,
2018-01-19T00:01:21.322Z,50,,32.3,,,,
2018-01-19T00:01:31.247Z,50,,32.2,,,,
2018-01-19T00:01:41.238Z,50,,32.2,,,,41.5
2018-01-19T00:01:51.217Z,50,,32.2,,,,
2018-01-19T00:02:01.217Z,50,,32.2,,,,
2018-01-19T00:02:11.218Z,50,,32.2,,,,
2018-01-19T00:02:21.307Z,50,,32.2,,,,
2018-01-19T00:02:31.228Z,50,,32.2,,,,
2018-01-19T00:02:41.217Z,50,,32.2,,,,
2018-01-19T00:02:51.225Z,50,0,32.2,0,,5,41.4
2018-01-19T00:03:01.217Z,50,,32.2,,,,
2018-01-19T00:03:11.227Z,50,1,32.1,0,,59,
2018-01-19T00:03:21.302Z,50,0,32.1,0,,5,
2018-01-19T00:03:31.225Z,50,,32.1,,,,
2018-01-19T00:03:41.239Z,50,,32.1,,,,
2018-01-19T00:03:51.222Z,50,,32.1,,,,
2018-01-19T00:04:01.217Z,50,,32.1,,,,41.3
2018-01-19T00:04:11.217Z,50,,32.1,,,,
2018-01-19T00:04:21.371Z,50,,32.1,,,,
2018-01-19T00:04:31.218Z,50,,32.1,,,,
2018-01-19T00:04:41.217Z,50,1,32.1,0,,59,
2018-01-19T00:04:51.224Z,50,0,32,0,,5,41.2
2018-01-19T00:05:01.217Z,50,,32.1,,,,
2018-01-19T00:05:11.217Z,50,,32,,,,
2018-01-19T00:05:21.311Z,50,,32,,,,
2018-01-19T00:05:31.221Z,50,,32,,,,
2018-01-19T00:05:41.264Z,50,,32,,,,
2018-01-19T00:05:51.217Z,50,,32,,,,
2018-01-19T00:06:01.217Z,50,,32,,,,
2018-01-19T00:06:11.228Z,50,,32,,,,
2018-01-19T00:06:21.314Z,50,,32,,,,41.1
2018-01-19T00:06:31.224Z,50,,32,,,,
2018-01-19T00:06:41.242Z,50,,32,,,,
2018-01-19T00:06:51.217Z,50,,32,,,,
2018-01-19T00:07:01.218Z,50,,31.9,,,,
2018-01-19T00:07:11.218Z,50,,31.9,,,,
2018-01-19T00:07:21.303Z,50,,31.9,,,,
2018-01-19T00:07:31.217Z,50,,31.9,,,,
2018-01-19T00:07:41.217Z,50,,31.9,,,,41
2018-01-19T00:07:51.217Z,50,,31.9,,,,
2018-01-19T00:08:01.218Z,50,,31.9,,,,
2018-01-19T00:08:11.217Z,50,,31.9,,,,
2018-01-19T00:08:21.302Z,50,,31.9,,,,
2018-01-19T00:08:31.217Z,50,,31.9,,,,
2018-01-19T00:08:41.216Z,50,,31.8,,,,
2018-01-19T00:08:51.217Z,50,,31.8,,,,40.9
2018-01-19T00:09:01.217Z,50,,31.8,,,,
2018-01-19T00:09:11.217Z,50,,31.8,,,,
2018-01-19T00:09:21.316Z,50,,31.8,,,,
2018-01-19T00:09:31.217Z,50,,31.8,,,,
2018-01-19T00:09:41.217Z,50,,31.8,,,,
2018-01-19T00:09:51.219Z,50,,31.8,,,,
2018-01-19T00:10:01.217Z,50,,31.8,,,,
2018-01-19T00:10:11.217Z,50,,31.8,,,,
2018-01-19T00:10:21.302Z,50,,31.8,,,,40.8
2018-01-19T00:10:31.224Z,50,,31.6,,,,
2018-01-19T00:10:41.217Z,50,,31.6,,,,
2018-01-19T00:10:51.218Z,50,,31.6,,,,
2018-01-19T00:11:01.217Z,50,,31.6,,,,
2018-01-19T00:11:11.230Z,50,0,31.6,0,0,5,40.8
2018-01-19T00:11:21.302Z,50,1,31.6,0,,59,
2018-01-19T00:11:31.220Z,50,,31.6,,,,
2018-01-19T00:11:41.217Z,50,,31.6,,,,40.7
2018-01-19T00:11:51.217Z,50,0,31.6,0,,5,
2018-01-19T00:12:01.217Z,50,1,31.6,0,,59,
2018-01-19T00:12:11.217Z,50,,31.6,,,,
2018-01-19T00:12:21.311Z,50,,31.5,,,,
2018-01-19T00:12:31.217Z,50,,31.5,,,,
2018-01-19T00:12:41.217Z,50,,31.5,,,,
2018-01-19T00:12:51.217Z,50,,31.5,,,,
2018-01-19T00:13:01.217Z,50,,31.5,,,,
2018-01-19T00:13:11.217Z,50,,31.5,,,,
2018-01-19T00:13:21.302Z,50,,31.5,,,,
2018-01-19T00:13:31.217Z,50,,31.5,,,,40.6
2018-01-19T00:13:41.217Z,50,,31.4,,,,
2018-01-19T00:13:51.217Z,50,,31.5,,,,
2018-01-19T00:14:01.216Z,50,,31.4,,,,
2018-01-19T00:14:11.235Z,50,,31.4,,,,
2018-01-19T00:14:21.306Z,50,,31.4,,,,
2018-01-19T00:14:31.217Z,50,,31.4,,,,
2018-01-19T00:14:41.217Z,50,,31.4,,,,
2018-01-19T00:14:51.217Z,50,,31.4,,,,
2018-01-19T00:15:01.217Z,50,,31.4,,,,
2018-01-19T00:15:11.217Z,50,,31.4,,,,40.5
2018-01-19T00:15:21.303Z,50,,31.3,,,,
2018-01-19T00:15:31.217Z,50,,31.3,,,,
