Time,HwActive,HwTOutlet,PrimTSet,ChActive,HwTSet,ActPow,PrimT
2018-01-30T00:23:08.928Z,,29.2,,,50,,
2018-01-30T00:23:18.927Z,,29.2,,,50,,
2018-01-30T00:23:38.928Z,,29.2,,,50,,
2018-01-30T00:23:48.935Z,,29.2,,,50,,
2018-01-30T00:23:58.927Z,,,,,,,36.2
2018-01-30T00:24:08.927Z,,29.2,,,50,,
2018-01-30T00:24:18.927Z,,29.2,,,50,,
2018-01-30T00:24:38.928Z,,29.2,,,50,,
2018-01-30T00:24:48.927Z,,29.2,,,50,,
2018-01-30T00:25:08.929Z,,29.2,,,50,,
2018-01-30T00:25:18.927Z,,29.2,,,50,,
2018-01-30T00:25:38.928Z,,29.2,,,50,,36.1
2018-01-30T00:25:48.927Z,,29.2,,,50,,
2018-01-30T00:26:08.928Z,,29.1,,,50,,
2018-01-30T00:26:18.928Z,0,29.1,,2,50,,36.2
2018-01-30T00:26:28.928Z,,29.1,,,50,35,41.8
2018-01-30T00:26:38.928Z,,29.1,,,50,29,40.1
2018-01-30T00:26:48.927Z,,,,,,29,38.5
2018-01-30T00:26:58.927Z,,29.1,,,50,30,36
2018-01-30T00:27:08.927Z,,29.1,,,50,30,35.1
2018-01-30T00:27:18.927Z,,,,,,29,34.8
2018-01-30T00:27:28.931Z,,29.1,,,50,,35.2
2018-01-30T00:27:38.929Z,,29.1,,,50,,35.7
2018-01-30T00:27:48.927Z,,,,,,,36.1
2018-01-30T00:27:58.928Z,,29.1,,,50,30,36.3
2018-01-30T00:28:08.928Z,,29.1,,,50,,
2018-01-30T00:28:18.928Z,,,,,,29,36.5
2018-01-30T00:28:28.927Z,,29.1,,,50,,36.7
2018-01-30T00:28:38.927Z,,29.1,,,50,,36.9
2018-01-30T00:28:48.928Z,,,,,,29,37.2
2018-01-30T00:28:58.928Z,,29.1,,,50,,37.4
2018-01-30T00:29:08.927Z,,29.1,,,50,,
2018-01-30T00:29:18.928Z,,,,,,,37.9
2018-01-30T00:29:28.927Z,,29.1,,,50,30,38.1
2018-01-30T00:29:38.928Z,,29.1,,,50,,38.3
2018-01-30T00:29:48.928Z,,29.1,,,50,,
2018-01-30T00:29:58.927Z,,,,,,29,38.6
2018-01-30T00:30:08.927Z,,29.1,,,50,,38.8
2018-01-30T00:30:18.927Z,,29.1,,,50,30,39.1
2018-01-30T00:30:28.927Z,,,,,,29,39.2
2018-01-30T00:30:38.928Z,,29.1,,,50,30,39.4
2018-01-30T00:30:48.927Z,,29.1,,,50,,
2018-01-30T00:30:58.927Z,,,,,,29,39.7
2018-01-30T00:31:08.927Z,,29.1,,,50,,39.9
2018-01-30T00:31:18.927Z,,,,,,,40
2018-01-30T00:31:28.927Z,,29.1,,,50,,40.1
2018-01-30T00:31:38.927Z,,29.1,,,50,,40.3
2018-01-30T00:31:48.927Z,,29.1,,,50,,
2018-01-30T00:31:58.937Z,,,,,,,40.6
2018-01-30T00:32:08.927Z,,29.1,,,50,,40.8
2018-01-30T00:32:18.927Z,,29.2,,,50,,
2018-01-30T00:32:28.927Z,,,,,,30,41
2018-01-30T00:32:38.931Z,,29.2,,,50,29,41.2
2018-01-30T00:32:48.927Z,,29.2,,,50,,
2018-01-30T00:32:58.928Z,,,,,,,41.5
2018-01-30T00:33:08.937Z,,29.2,,,50,,41.7
