Time,ChActive,HwTSet,HwTOutlet,PrimT,ActPow,HwActive,PrimTSet
2018-02-11T00:21:58.657Z,,,,35.9,,,
2018-02-11T00:22:08.608Z,,50,29.3,,,,
2018-02-11T00:22:18.612Z,,50,29.3,,,,
2018-02-11T00:22:28.607Z,,50,29.3,,,,
2018-02-11T00:22:48.607Z,,50,29.3,,,,
2018-02-11T00:22:58.609Z,,50,29.3,,,,
2018-02-11T00:23:08.609Z,,,,35.8,,,
2018-02-11T00:23:18.607Z,,50,29.3,,,,
2018-02-11T00:23:28.606Z,,50,29.2,,,,
2018-02-11T00:23:38.607Z,,50,29.2,,,,
2018-02-11T00:23:58.607Z,,50,29.2,,,,
2018-02-11T00:24:08.608Z,,50,29.2,,,,
2018-02-11T00:24:28.607Z,,50,29.2,,,,
2018-02-11T00:24:38.607Z,,50,29.2,,,,
2018-02-11T00:24:58.607Z,,50,29.2,35.7,,,
2018-02-11T00:25:08.606Z,,50,29.2,,,,
2018-02-11T00:25:28.607Z,,50,29.2,,,,
2018-02-11T00:25:38.607Z,,50,29.2,,,,
2018-02-11T00:25:58.606Z,,50,29.2,,,,
2018-02-11T00:26:08.608Z,,50,29.2,,,,
2018-02-11T00:26:18.606Z,1,,,,,0,59
2018-02-11T00:26:28.608Z,,50,29.2,,,,
2018-02-11T00:26:38.607Z,,50,29.2,,,,
2018-02-11T00:26:48.606Z,,,,35.6,,,
2018-02-11T00:26:58.606Z,,50,29.1,,,,
2018-02-11T00:27:08.607Z,,50,29.1,,,,
2018-02-11T00:27:28.607Z,,50,29.1,,,,
2018-02-11T00:27:38.606Z,0,50,29.1,,,0,5
2018-02-11T00:27:48.607Z,1,,,,,0,59
2018-02-11T00:27:58.607Z,,50,29.1,35.5,,,
2018-02-11T00:28:08.606Z,,50,29.1,,,,
2018-02-11T00:28:18.607Z,,,,35.5,,,
2018-02-11T00:28:28.607Z,,50,29.1,,,,
2018-02-11T00:28:38.607Z,,50,29.1,,,,
2018-02-11T00:28:48.607Z,,50,29.1,,,,
2018-02-11T00:28:58.606Z,0,50,29.1,,,0,5
2018-02-11T00:29:08.607Z,1,,,,,0,59
2018-02-11T00:29:18.607Z,,50,29.1,,,,
2018-02-11T00:29:28.607Z,,50,29.1,,,,
2018-02-11T00:29:38.606Z,,50,29.1,,,,
2018-02-11T00:29:58.609Z,,50,29.1,,,,
