Time,ActPow,HwTOutlet,HwTSet,PrimT,HwActive,ChActive,PrimTSet
2018-01-24T00:18:09.096Z,,29,50,34.2,,,
2018-01-24T00:18:19.082Z,,29,50,34.1,,,
2018-01-24T00:18:29.080Z,,29,50,,,,
2018-01-24T00:18:39.081Z,,29,50,34,,,
2018-01-24T00:18:49.083Z,,29,50,34.1,,,
2018-01-24T00:18:59.081Z,,29,50,,,,
2018-01-24T00:19:09.081Z,,29,50,34,,,
2018-01-24T00:19:19.081Z,,29,50,,,,
2018-01-24T00:19:29.088Z,,29,50,,,,
2018-01-24T00:19:39.081Z,,29,50,33.9,,,
2018-01-24T00:19:49.081Z,,29,50,33.9,,,
2018-01-24T00:19:59.081Z,,29,50,,,,
2018-01-24T00:20:09.082Z,,29,50,,,,
2018-01-24T00:20:19.081Z,,29,50,,,,
2018-01-24T00:20:29.082Z,,29,50,,,,
2018-01-24T00:20:39.081Z,,29,50,,,,
2018-01-24T00:20:49.082Z,,29,50,,,,
2018-01-24T00:20:59.100Z,,29,50,,,,
2018-01-24T00:21:09.081Z,,29,50,,,,
2018-01-24T00:21:19.081Z,,29,50,,,,
2018-01-24T00:21:29.080Z,,29,50,,,,
2018-01-24T00:21:39.092Z,0,29,50,33.9,0,2,59
2018-01-24T00:21:49.106Z,,29,50,,,,
2018-01-24T00:21:59.082Z,,29,50,,,,
2018-01-24T00:22:09.081Z,,29,50,,,,
2018-01-24T00:22:19.080Z,,29,50,,,,
2018-01-24T00:22:29.081Z,,29,50,34,,,
2018-01-24T00:22:39.081Z,,29,50,,,,
2018-01-24T00:22:49.085Z,,29,50,,,,
2018-01-24T00:22:59.081Z,,29,50,,,,
2018-01-24T00:23:09.081Z,,29,50,,,,
2018-01-24T00:23:19.081Z,,29,50,,,,
2018-01-24T00:23:29.081Z,,29,50,34.1,,,
2018-01-24T00:23:39.081Z,,29,50,,,,
2018-01-24T00:23:49.081Z,,29,50,,,,
2018-01-24T00:23:59.080Z,,29,50,,,,
2018-01-24T00:24:09.081Z,,29,50,34.2,,,
2018-01-24T00:24:19.081Z,,29,50,,,,
2018-01-24T00:24:29.081Z,,29,50,,,,
2018-01-24T00:24:39.081Z,,29,50,,,,
2018-01-24T00:24:49.081Z,,29,50,,,,
2018-01-24T00:24:59.083Z,,29,50,,,,
2018-01-24T00:25:09.081Z,,29,50,34.3,,,
2018-01-24T00:25:19.080Z,,29,50,,,,
2018-01-24T00:25:29.081Z,,29,50,,,,
2018-01-24T00:25:39.081Z,,29,50,,,,
