Time,HwActive,HwTSet,ActPow,ChActive,PrimTSet,PrimT,HwTOutlet
2018-01-31T00:22:48.901Z,,50,,,,,29
2018-01-31T00:22:58.901Z,,50,,,,,29
2018-01-31T00:23:08.901Z,,,,,,33.7,
2018-01-31T00:23:18.901Z,,50,,,,,29
2018-01-31T00:23:28.901Z,,50,,,,,29
2018-01-31T00:23:48.901Z,,50,,,,,29
2018-01-31T00:23:58.901Z,0,,,0,5,33.8,
2018-01-31T00:24:08.902Z,0,50,,2,59,,29
2018-01-31T00:24:18.901Z,0,50,,0,5,,29
2018-01-31T00:24:38.901Z,0,50,,2,59,,29
2018-01-31T00:24:48.902Z,0,50,,0,5,33.8,29
2018-01-31T00:24:58.902Z,,50,,,,33.9,29
2018-01-31T00:25:08.901Z,0,,,2,59,,
2018-01-31T00:25:18.901Z,,50,,,,,29
2018-01-31T00:25:28.901Z,,50,,,,,29
2018-01-31T00:25:38.901Z,0,,,0,5,,
2018-01-31T00:25:48.901Z,,50,,,,,28.9
2018-01-31T00:25:58.901Z,,50,,,,,28.9
2018-01-31T00:26:18.901Z,,50,,,,,28.9
2018-01-31T00:26:28.901Z,,50,,,,,28.9
2018-01-31T00:26:38.901Z,,50,,,,34,28.9
2018-01-31T00:26:48.907Z,,,,,,33.9,
2018-01-31T00:26:58.901Z,,50,,,,34,28.9
2018-01-31T00:27:08.901Z,,50,,,,,28.9
2018-01-31T00:27:18.901Z,,50,,,,33.9,28.9
2018-01-31T00:27:38.901Z,,50,,,,,28.9
2018-01-31T00:27:48.903Z,,50,,,,,28.9
2018-01-31T00:28:08.901Z,,50,,,,,28.9
2018-01-31T00:28:18.901Z,,50,,,,,28.9
2018-01-31T00:28:28.901Z,0,,,2,59,,
2018-01-31T00:28:38.921Z,,50,,,,,28.9
2018-01-31T00:28:48.913Z,,50,,,,,28.9
2018-01-31T00:29:08.901Z,,50,,,,,28.9
2018-01-31T00:29:18.901Z,,50,,,,,28.9
2018-01-31T00:29:28.901Z,,50,,,,,28.9
2018-01-31T00:29:48.901Z,,50,,,,,28.9
2018-01-31T00:29:58.901Z,,50,,,,,28.9
2018-01-31T00:30:08.901Z,,,,,,33.8,
2018-01-31T00:30:18.901Z,,50,,,,,28.9
2018-01-31T00:30:28.901Z,,50,,,,,28.9
2018-01-31T00:30:48.901Z,,50,,,,,28.9
2018-01-31T00:30:58.901Z,,50,,,,,28.9
2018-01-31T00:31:18.901Z,,50,,,,,28.7
2018-01-31T00:31:28.904Z,,50,,,,,28.7
2018-01-31T00:31:48.902Z,,50,,,,,28.7
2018-01-31T00:31:58.901Z,,50,,,,,28.7
2018-01-31T00:32:18.901Z,,50,,,,33.7,28.7
2018-01-31T00:32:28.901Z,,50,,,,,28.7
2018-01-31T00:32:48.903Z,,50,,,,,28.7
2018-01-31T00:32:58.901Z,,50,,,,,28.7
2018-01-31T00:33:18.902Z,,50,,,,,28.7
2018-01-31T00:33:28.901Z,,50,,,,,28.7
2018-01-31T00:33:38.901Z,,50,,,,,28.7
2018-01-31T00:33:48.901Z,0,,,0,5,,
2018-01-31T00:33:58.901Z,,50,,,,,28.7
2018-01-31T00:34:08.901Z,,50,,,,,28.7
2018-01-31T00:34:18.904Z,,50,,,,,28.7
2018-01-31T00:34:28.901Z,0,,,2,59,33.6,
2018-01-31T00:34:38.901Z,,50,,,,,28.7
2018-01-31T00:34:48.901Z,0,50,45,2,,,28.7
2018-01-31T00:34:58.901Z,,50,35,,,39.2,28.7
2018-01-31T00:35:08.901Z,,50,30,,,38.8,28.6
2018-01-31T00:35:18.901Z,,50,30,,,36.9,28.6
2018-01-31T00:35:28.901Z,,50,29,,,35.5,28.7
2018-01-31T00:35:38.901Z,,,30,,,34.5,
2018-01-31T00:35:48.900Z,,50,29,,,34.3,28.7
2018-01-31T00:35:58.901Z,,50,,,,,28.6
2018-01-31T00:36:08.901Z,,50,29,,,34.9,28.6
2018-01-31T00:36:18.901Z,0,50,29,2,59,35.4,28.6
2018-01-31T00:36:28.901Z,,,30,,,35.7,
2018-01-31T00:36:38.900Z,,50,29,,,35.8,28.6
2018-01-31T00:36:48.901Z,,50,,,,36,28.6
2018-01-31T00:36:58.901Z,,,30,,,36.1,
2018-01-31T00:37:08.901Z,,50,29,,,36.3,28.6
2018-01-31T00:37:18.901Z,,50,,,,36.4,28.6
2018-01-31T00:37:28.901Z,,50,,,,,28.6
2018-01-31T00:37:38.901Z,,,,,,36.8,
2018-01-31T00:37:48.901Z,,50,30,,,37.1,28.6
2018-01-31T00:37:58.902Z,,,30,,,37.2,
2018-01-31T00:38:08.976Z,,50,,,,37.4,28.6
2018-01-31T00:38:18.901Z,,50,29,,,37.6,28.6
2018-01-31T00:38:28.910Z,,50,,,,,28.6
