Time,ChActive,PrimT,HwTOutlet,ActPow,PrimTSet,HwTSet,HwActive
2018-01-22T00:00:09.134Z,,35.7,28.9,,,50,
2018-01-22T00:00:19.134Z,,,28.9,,,50,
2018-01-22T00:00:29.134Z,,,28.9,,,50,
2018-01-22T00:00:39.134Z,,,28.9,,,50,
2018-01-22T00:00:49.134Z,,,28.9,,,50,
2018-01-22T00:00:59.134Z,,,28.9,,,50,
2018-01-22T00:01:09.134Z,,,28.9,,,50,
2018-01-22T00:01:19.134Z,,,28.9,,,50,
2018-01-22T00:01:29.134Z,,,28.9,,,50,
2018-01-22T00:01:39.134Z,,35.6,28.9,,,50,
2018-01-22T00:01:49.134Z,,,28.9,,,50,
2018-01-22T00:01:59.134Z,,,28.9,,,50,
2018-01-22T00:02:09.134Z,,,28.9,,,50,
2018-01-22T00:02:19.134Z,,,28.9,,,50,
2018-01-22T00:02:29.134Z,,,28.9,,,50,
2018-01-22T00:02:39.134Z,,,28.9,,,50,
2018-01-22T00:02:49.134Z,,,28.9,,,50,
2018-01-22T00:02:59.134Z,,,28.9,,,50,
2018-01-22T00:03:09.134Z,,,28.9,,,50,
2018-01-22T00:03:19.134Z,,,28.9,,,50,
2018-01-22T00:03:29.134Z,,35.5,28.9,,,50,
2018-01-22T00:03:39.134Z,,,28.9,,,50,
2018-01-22T00:03:49.134Z,,,28.7,,,50,
2018-01-22T00:03:59.134Z,,,28.9,,,50,
2018-01-22T00:04:09.134Z,,,28.9,,,50,
2018-01-22T00:04:19.134Z,,,28.7,,,50,
2018-01-22T00:04:29.134Z,,,28.7,,,50,
2018-01-22T00:04:39.134Z,,,28.7,,,50,
2018-01-22T00:04:49.134Z,,,28.9,,,50,
2018-01-22T00:04:59.134Z,,,28.7,,,50,
2018-01-22T00:05:09.135Z,,,28.7,,,50,
2018-01-22T00:05:19.134Z,,,28.7,,,50,
2018-01-22T00:05:29.162Z,,,28.7,,,50,
2018-01-22T00:05:39.134Z,,35.4,28.7,,,50,
2018-01-22T00:05:49.262Z,,,28.7,,,50,
2018-01-22T00:05:59.137Z,,,28.7,,,50,
2018-01-22T00:06:09.134Z,,,28.7,,,50,
2018-01-22T00:06:19.136Z,,,28.7,,,50,
2018-01-22T00:06:29.193Z,,,28.7,,,50,
2018-01-22T00:06:39.134Z,,,28.7,,,50,
2018-01-22T00:06:49.168Z,,,28.7,,,50,
2018-01-22T00:06:59.159Z,,,28.7,,,50,
2018-01-22T00:07:09.134Z,,,28.7,,,50,
2018-01-22T00:07:19.134Z,,,28.7,,,50,
2018-01-22T00:07:29.134Z,,,28.7,,,50,
2018-01-22T00:07:39.134Z,,,28.7,,,50,
2018-01-22T00:07:49.134Z,,,28.7,,,50,
2018-01-22T00:07:59.134Z,,,28.7,,,50,
2018-01-22T00:08:09.134Z,,35.3,28.7,,,50,
2018-01-22T00:08:19.136Z,,,28.7,,,50,
2018-01-22T00:08:29.134Z,,,28.6,,,50,
2018-01-22T00:08:39.134Z,,,28.7,,,50,
2018-01-22T00:08:49.134Z,,,28.6,,,50,
2018-01-22T00:08:59.148Z,,,28.6,,,50,
2018-01-22T00:09:09.270Z,,,28.6,,,50,
2018-01-22T00:09:19.134Z,,,28.6,,,50,
2018-01-22T00:09:29.134Z,,,28.6,,,50,
2018-01-22T00:09:39.133Z,,,28.6,,,50,
2018-01-22T00:09:49.134Z,,,28.6,,,50,
2018-01-22T00:09:59.134Z,,,28.6,,,50,
2018-01-22T00:10:09.134Z,,,28.6,,,50,
2018-01-22T00:10:19.134Z,,,28.6,,,50,
2018-01-22T00:10:29.134Z,,,28.6,,,50,
2018-01-22T00:10:39.134Z,,35.2,28.6,,,50,
2018-01-22T00:10:49.134Z,,,28.6,,,50,
2018-01-22T00:10:59.133Z,1,,28.6,,59,50,0
2018-01-22T00:11:09.134Z,,,28.6,,,50,
2018-01-22T00:11:19.134Z,,,28.6,,,50,
2018-01-22T00:11:29.134Z,,,28.6,,,50,
2018-01-22T00:11:39.134Z,0,,28.6,,5,50,0
2018-01-22T00:11:49.134Z,1,,28.6,,59,50,0
2018-01-22T00:11:59.134Z,,,28.6,,,50,
2018-01-22T00:12:09.134Z,,,28.6,,,50,
2018-01-22T00:12:19.134Z,,,28.5,,,50,
2018-01-22T00:12:29.134Z,,,28.5,,,50,
2018-01-22T00:12:39.133Z,,,28.5,,,50,
2018-01-22T00:12:49.134Z,,,28.5,,,50,
2018-01-22T00:12:59.134Z,,35.1,28.5,,,50,
