Time,PrimT,HwTSet,ActPow,HwTOutlet,HwActive,ChActive,PrimTSet
2018-02-02T00:24:18.881Z,35.6,50,29,29.3,,,
2018-02-02T00:24:28.954Z,,50,,29.3,,,
2018-02-02T00:24:38.876Z,35.9,50,29,29.3,,,
2018-02-02T00:24:48.877Z,36,,30,,,,
2018-02-02T00:24:58.896Z,36.2,50,29,29.3,,,
2018-02-02T00:25:08.953Z,,50,,29.3,,,
2018-02-02T00:25:18.875Z,36.7,,,,,,
2018-02-02T00:25:28.849Z,36.8,50,,29.3,,,
2018-02-02T00:25:38.850Z,37.1,50,30,29.3,,,
2018-02-02T00:25:48.849Z,37.3,,,,,,
2018-02-02T00:25:58.853Z,37.5,50,29,29.3,,,
2018-02-02T00:26:08.860Z,,50,,29.3,,,
2018-02-02T00:26:18.852Z,37.9,50,,29.3,,,
2018-02-02T00:26:28.850Z,38,,,,,,
2018-02-02T00:26:38.849Z,38.2,50,30,29.3,,,
2018-02-02T00:26:48.850Z,,50,,29.3,,,
2018-02-02T00:26:58.850Z,38.5,,29,,,,
2018-02-02T00:27:08.867Z,38.7,50,,29.3,,,
2018-02-02T00:27:18.849Z,,50,,29.3,,,
2018-02-02T00:27:28.851Z,39.1,50,,29.3,,,
2018-02-02T00:27:38.855Z,39.2,50,29,29.3,,,
2018-02-02T00:27:48.850Z,39.3,,,,,,
2018-02-02T00:27:58.861Z,39.5,50,,29.3,,,
2018-02-02T00:28:08.894Z,,50,,29.5,,,
2018-02-02T00:28:18.853Z,39.8,,,,,,
2018-02-02T00:28:28.874Z,39.9,50,,29.5,,,
2018-02-02T00:28:38.850Z,40.1,50,,29.5,,,
2018-02-02T00:28:48.863Z,40.3,,30,,,,
2018-02-02T00:28:58.861Z,40.4,50,29,29.5,,,
2018-02-02T00:29:08.850Z,,50,,29.5,,,
2018-02-02T00:29:18.850Z,40.7,,29,,,,
2018-02-02T00:29:28.850Z,40.9,50,30,29.5,,,
2018-02-02T00:29:38.850Z,41,50,30,29.5,,,
2018-02-02T00:29:48.894Z,41.2,,29,,,,
2018-02-02T00:29:58.850Z,41.3,50,,29.5,,,
2018-02-02T00:30:08.849Z,,50,,29.5,,,
2018-02-02T00:30:18.849Z,41.6,,,,,,
2018-02-02T00:30:28.850Z,41.8,50,30,29.5,,,
2018-02-02T00:30:38.850Z,41.9,50,29,29.5,,,
2018-02-02T00:30:48.850Z,42.1,,30,,,,
2018-02-02T00:30:58.849Z,42.2,50,,29.6,,,
2018-02-02T00:31:08.850Z,,50,,29.6,,,
2018-02-02T00:31:18.850Z,42.6,,29,,,,
2018-02-02T00:31:28.850Z,42.7,50,,29.6,,,
2018-02-02T00:31:38.852Z,42.9,50,,29.6,,,
2018-02-02T00:31:48.855Z,43,,30,,,,
2018-02-02T00:31:58.850Z,43.1,50,29,29.6,,,
2018-02-02T00:32:08.850Z,42.9,50,0,29.6,0,2,
2018-02-02T00:32:18.850Z,40.4,50,,29.7,,,
2018-02-02T00:32:28.850Z,38.9,50,,29.7,,,
2018-02-02T00:32:38.850Z,38.4,50,,29.7,,,
2018-02-02T00:32:48.850Z,38.3,,,,,,
2018-02-02T00:32:58.850Z,38.2,50,,29.7,,,
2018-02-02T00:33:08.850Z,,50,,29.7,,,
2018-02-02T00:33:28.850Z,,50,,29.7,,,
2018-02-02T00:33:38.850Z,38.1,50,,29.7,,,
2018-02-02T00:33:48.850Z,38,50,,29.7,,,
2018-02-02T00:33:58.849Z,37.9,,,,,,
2018-02-02T00:34:08.850Z,37.8,50,,29.8,,,
2018-02-02T00:34:18.850Z,,50,,29.8,,,
2018-02-02T00:34:28.849Z,37.7,,,,,,
2018-02-02T00:34:38.854Z,,50,,29.8,,,
2018-02-02T00:34:48.855Z,,50,,29.8,,,
2018-02-02T00:34:58.891Z,37.6,,,,,,
2018-02-02T00:35:08.860Z,,50,,29.8,,,
2018-02-02T00:35:28.850Z,37.5,50,,29.8,,,
2018-02-02T00:35:38.850Z,,50,,29.8,,,
2018-02-02T00:35:48.850Z,,50,,29.8,,,
2018-02-02T00:36:08.849Z,,50,,30,,,
2018-02-02T00:36:18.850Z,,50,,30,,,
