Time,HwTOutlet,PrimT,ChActive,HwActive,PrimTSet,ActPow,HwTSet
2017-11-30T00:17:41.006Z,31.5,35.3,,,,29,52
2017-11-30T00:17:51.008Z,31.5,35.5,,,,30,52
2017-11-30T00:18:01.014Z,31.4,35.7,,,,29,52
2017-11-30T00:18:11.006Z,31.4,36,,,,30,52
2017-11-30T00:18:21.006Z,31.4,36.1,,,,29,52
2017-11-30T00:18:31.006Z,31.4,36.3,,,,,52
2017-11-30T00:18:41.006Z,31.4,36.5,,,,,52
2017-11-30T00:18:51.006Z,31.3,36.7,,,,,52
2017-11-30T00:19:01.006Z,31.3,37.1,,,,,52
2017-11-30T00:19:11.006Z,31.3,,,,,,52
2017-11-30T00:19:21.006Z,31.3,37.3,,,,,52
2017-11-30T00:19:31.006Z,31.3,37.5,,,,30,52
2017-11-30T00:19:41.006Z,31.3,37.7,1,0,,0,52
2017-11-30T00:19:51.009Z,31.2,34.9,,,,,52
2017-11-30T00:20:01.006Z,31.2,33.7,,,,,52
2017-11-30T00:20:11.005Z,31.2,32.8,,,,,52
2017-11-30T00:20:21.006Z,31.2,32.7,,,,,52
2017-11-30T00:20:31.006Z,31.2,32.6,,,,,52
2017-11-30T00:20:41.009Z,31.2,,,,,,52
2017-11-30T00:20:51.011Z,31,,,,,,52
2017-11-30T00:21:01.007Z,31,,,,,,52
2017-11-30T00:21:11.006Z,31,32.5,,,,,52
2017-11-30T00:21:21.005Z,31,32.4,,,,,52
2017-11-30T00:21:31.006Z,31,32.3,,,,,52
2017-11-30T00:21:41.011Z,31,32.2,,,,,52
2017-11-30T00:21:51.011Z,30.9,,,,,,52
2017-11-30T00:22:01.006Z,30.9,,,,,,52
2017-11-30T00:22:11.006Z,30.9,32.3,,,,,52
2017-11-30T00:22:21.011Z,30.9,32.2,,,,,52
2017-11-30T00:22:31.063Z,30.9,,,,,,52
2017-11-30T00:22:41.057Z,30.9,,,,,,52
2017-11-30T00:22:51.049Z,30.9,32.2,,,,,52
2017-11-30T00:23:01.006Z,30.8,,,,,,52
2017-11-30T00:23:11.023Z,30.8,,,,,,52
2017-11-30T00:23:21.012Z,30.8,32.1,,,,,52
2017-11-30T00:23:31.010Z,30.8,,,,,,52
2017-11-30T00:23:41.006Z,30.8,,,,,,52
2017-11-30T00:23:51.006Z,30.8,,,,,,52
2017-11-30T00:24:01.006Z,30.7,,,,,,52
2017-11-30T00:24:11.007Z,30.7,,,,,,52
2017-11-30T00:24:21.005Z,30.7,32.2,,,,,52
2017-11-30T00:24:31.011Z,30.7,,,,,,52
2017-11-30T00:24:41.006Z,30.7,32.1,,,,,52
2017-11-30T00:24:51.005Z,30.7,32.2,,,,,52
2017-11-30T00:25:01.005Z,30.6,,,,,,52
2017-11-30T00:25:11.006Z,30.6,,,,,,52
2017-11-30T00:25:21.005Z,30.6,,,,,,52
2017-11-30T00:25:31.008Z,30.6,,,,,,52
2017-11-30T00:25:41.006Z,30.6,,,,,,52
2017-11-30T00:25:51.005Z,30.6,,,,,,52
2017-11-30T00:26:01.005Z,30.4,,,,,,52
2017-11-30T00:26:11.005Z,30.4,32.3,,,,,52
2017-11-30T00:26:21.007Z,30.4,,,,,,52
2017-11-30T00:26:31.005Z,30.4,,,,,,52
2017-11-30T00:26:41.010Z,30.4,,,,,,52
2017-11-30T00:26:51.006Z,30.4,,,,,,52
2017-11-30T00:27:01.021Z,30.4,37.4,1,0,,38,52
2017-11-30T00:27:11.011Z,30.3,39.6,,,,31,52
2017-11-30T00:27:21.007Z,30.3,37.9,,,,29,52
2017-11-30T00:27:31.006Z,30.3,36.9,,,,,52
2017-11-30T00:27:41.005Z,30.3,36.6,,,,,52
2017-11-30T00:27:51.012Z,30.3,36.2,,,,30,52
2017-11-30T00:28:01.007Z,30.3,,,,,,52
2017-11-30T00:28:11.006Z,30.3,36.6,,,,,52
2017-11-30T00:28:21.006Z,30.2,37.1,1,0,,0,52
2017-11-30T00:28:31.012Z,30.2,34.7,,,,,52
2017-11-30T00:28:41.006Z,30.2,32.9,,,,,52
2017-11-30T00:28:51.011Z,30.2,32.5,,,,,52
2017-11-30T00:29:01.007Z,30.2,32.3,,,,,52
2017-11-30T00:29:11.006Z,30.2,32.2,,,,,52
2017-11-30T00:29:21.007Z,30.2,,,,,,52
2017-11-30T00:29:31.005Z,30.2,,,,,,52
2017-11-30T00:29:41.005Z,30.2,,,,,,52
2017-11-30T00:29:51.010Z,30.1,,,,,,52
2017-11-30T00:30:01.006Z,30.1,32.1,,,,,52
2017-11-30T00:30:11.005Z,30.1,31.9,,,,,52
2017-11-30T00:30:21.005Z,30.1,,,,,,52
2017-11-30T00:30:31.007Z,30.1,31.8,,,,,52
2017-11-30T00:30:41.006Z,30.1,,,,,,52
2017-11-30T00:30:51.005Z,30.1,,,,,,52
2017-11-30T00:31:01.008Z,30.1,,,,,,52
2017-11-30T00:31:11.006Z,30.1,,,,,,52
2017-11-30T00:31:21.005Z,30,31.7,,,,,52
2017-11-30T00:31:31.005Z,30,,,,,,52
2017-11-30T00:31:41.005Z,30,,,,,,52
2017-11-30T00:31:51.009Z,30,,,,,,52
2017-11-30T00:32:01.008Z,30,,,,,,52
2017-11-30T00:32:11.010Z,30,,,,,,52
2017-11-30T00:32:21.005Z,30,,,,,,52
2017-11-30T00:32:31.005Z,30,,,,,,52
2017-11-30T00:32:41.005Z,30,,,,,,52
2017-11-30T00:32:51.009Z,30,,,,,,52
2017-11-30T00:33:01.009Z,29.8,,,,,,52
2017-11-30T00:33:11.010Z,29.8,,,,,,52
2017-11-30T00:33:21.005Z,29.8,,,,,,52
2017-11-30T00:33:31.013Z,29.8,,,,,,52
2017-11-30T00:33:41.010Z,29.8,,,,,,52
2017-11-30T00:33:51.006Z,29.8,,,,,,52
2017-11-30T00:34:01.005Z,29.8,,,,,,52
2017-11-30T00:34:11.010Z,29.8,,,,,,52
2017-11-30T00:34:21.010Z,29.7,,,,,,52
2017-11-30T00:34:31.010Z,29.7,,,,,,52
2017-11-30T00:34:41.010Z,29.7,,,,,,52
2017-11-30T00:34:51.006Z,29.7,31.8,,,,,52
2017-11-30T00:35:01.005Z,29.7,,,,,,52
2017-11-30T00:35:11.005Z,29.7,,,,,,52
2017-11-30T00:35:21.006Z,29.7,,,,,,52
2017-11-30T00:35:31.006Z,29.7,,,,,,52
2017-11-30T00:35:41.021Z,29.7,,,,,,52
2017-11-30T00:35:51.012Z,29.6,,,,,,52
2017-11-30T00:36:01.005Z,29.6,,,,,,52
2017-11-30T00:36:11.007Z,29.6,31.9,,,,,52
2017-11-30T00:36:21.005Z,29.6,,,,,,52
2017-11-30T00:36:31.006Z,29.6,,,,,,52
2017-11-30T00:36:41.005Z,29.6,,,,,,52
2017-11-30T00:36:51.005Z,29.6,,,,,,52
2017-11-30T00:37:01.005Z,29.6,,,,,,52
2017-11-30T00:37:11.005Z,29.6,,,,,,52
2017-11-30T00:37:21.005Z,29.5,,,,,,52
2017-11-30T00:37:31.012Z,29.5,,,,,,52
2017-11-30T00:37:41.005Z,29.5,,,,,,52
2017-11-30T00:37:51.006Z,29.5,,,,,,52
2017-11-30T00:38:01.005Z,29.5,,,,,,52
2017-11-30T00:38:11.005Z,29.5,,,,,,52
2017-11-30T00:38:21.008Z,29.5,,,,,,52
2017-11-30T00:38:31.046Z,29.5,,,,,,52
2017-11-30T00:38:41.038Z,29.5,,,,,,52
2017-11-30T00:38:51.005Z,29.5,,,,,,52
2017-11-30T00:39:01.005Z,29.3,31.9,,,,,52
2017-11-30T00:39:11.008Z,29.3,31.9,,,,,52
2017-11-30T00:39:21.016Z,29.3,31.9,,,,,52
2017-11-30T00:39:31.005Z,29.3,32,,,,,52
2017-11-30T00:39:41.005Z,29.3,31.9,,,,,52
2017-11-30T00:39:51.010Z,29.3,,,,,,52
2017-11-30T00:40:01.005Z,29.3,31.9,,,,,52
