Time,ChActive,HwTSet,HwActive,HwTOutlet,ActPow,PrimT,PrimTSet
2018-01-18T00:17:41.244Z,,50,,33.3,,,
2018-01-18T00:17:51.245Z,,50,,33.3,,44.4,
2018-01-18T00:18:01.244Z,,50,,33.3,,,
2018-01-18T00:18:11.251Z,,50,,33.3,,,
2018-01-18T00:18:21.324Z,,50,,33.3,,,
2018-01-18T00:18:31.244Z,,50,,33.3,,,
2018-01-18T00:18:41.244Z,,50,,33.3,,,
2018-01-18T00:18:51.245Z,,50,,33.3,,44.3,
2018-01-18T00:19:01.245Z,,50,,33.3,,,
2018-01-18T00:19:11.252Z,,50,,33.3,,,
2018-01-18T00:19:21.324Z,,50,,33.3,,,
2018-01-18T00:19:31.244Z,,50,,33.3,,44.2,
2018-01-18T00:19:41.244Z,,50,,33.3,,,
2018-01-18T00:19:51.244Z,,50,,33.3,,,
2018-01-18T00:20:01.244Z,,50,,33.3,,,
2018-01-18T00:20:11.251Z,,50,,33.2,,,
2018-01-18T00:20:21.334Z,,50,,33.3,,44.1,
2018-01-18T00:20:31.245Z,,50,,33.3,,,
2018-01-18T00:20:41.244Z,,50,,33.2,,,
2018-01-18T00:20:51.245Z,,50,,33.2,,,
2018-01-18T00:21:01.244Z,,50,,33.2,,,
2018-01-18T00:21:11.251Z,,50,,33.2,,44,
2018-01-18T00:21:21.324Z,,50,,33.2,,,
2018-01-18T00:21:31.244Z,,50,,33.2,,,
2018-01-18T00:21:41.244Z,,50,,33.2,,,
2018-01-18T00:21:51.244Z,,50,,33.2,,43.9,
2018-01-18T00:22:01.244Z,,50,,33.2,,43.9,
2018-01-18T00:22:11.253Z,,50,,33.2,,,
2018-01-18T00:22:21.324Z,,50,,33.2,,,
2018-01-18T00:22:31.244Z,,50,,33.2,,,
2018-01-18T00:22:41.244Z,,50,,33.2,,43.8,
2018-01-18T00:22:51.245Z,,50,,33.2,,,
2018-01-18T00:23:01.244Z,,50,,33.2,,,
2018-01-18T00:23:11.251Z,,50,,33.1,,,
2018-01-18T00:23:21.324Z,,50,,33.1,,,
2018-01-18T00:23:31.244Z,,50,,33.1,,43.7,
2018-01-18T00:23:41.244Z,,50,,33.1,,,
2018-01-18T00:23:51.246Z,,50,,33.1,,,
2018-01-18T00:24:01.244Z,,50,,33.1,,,
2018-01-18T00:24:11.251Z,,50,,33.1,,,
2018-01-18T00:24:21.324Z,,50,,33.1,,,
2018-01-18T00:24:31.244Z,,50,,33.1,,43.6,
2018-01-18T00:24:41.245Z,,50,,33.1,,,
2018-01-18T00:24:51.373Z,,50,,33.1,,,
2018-01-18T00:25:01.244Z,,50,,33.1,,,
2018-01-18T00:25:11.252Z,,50,,33.1,,,
2018-01-18T00:25:22.053Z,,50,,33.1,,43.5,
2018-01-18T00:25:31.270Z,,50,,33.1,,,
2018-01-18T00:25:41.246Z,,50,,32.9,,,
2018-01-18T00:25:51.244Z,,50,,32.9,,,
2018-01-18T00:26:01.244Z,,50,,32.9,,,
2018-01-18T00:26:11.252Z,,50,,32.9,,,
2018-01-18T00:26:21.434Z,,50,,32.9,,43.4,
2018-01-18T00:26:31.280Z,,50,,32.9,,,
2018-01-18T00:26:41.270Z,,50,,32.9,,,
2018-01-18T00:26:51.262Z,,50,,32.9,,,
2018-01-18T00:27:01.268Z,,50,,32.9,,,
2018-01-18T00:27:11.252Z,,50,,32.9,,,
2018-01-18T00:27:21.334Z,,50,,32.9,,43.3,
2018-01-18T00:27:31.245Z,0,50,2,39.2,,43.4,0
2018-01-18T00:27:41.244Z,0,50,2,42.2,42,43.6,
2018-01-18T00:27:51.284Z,0,50,0,42.9,0,43.8,
2018-01-18T00:28:01.244Z,,50,,42.8,,43.3,
2018-01-18T00:28:11.251Z,,50,,42.6,,43.2,
2018-01-18T00:28:21.364Z,,50,,42.5,,,
2018-01-18T00:28:31.244Z,,50,,42.5,,,
2018-01-18T00:28:41.244Z,,50,,42.4,,,
2018-01-18T00:28:51.248Z,1,,0,,,43.1,59
2018-01-18T00:29:01.293Z,,50,,42.2,,,
2018-01-18T00:29:11.263Z,,50,,42.1,,,
2018-01-18T00:29:21.872Z,,50,,42,,,
2018-01-18T00:29:31.247Z,,50,,41.9,,,
2018-01-18T00:29:41.254Z,,50,,41.8,,,
2018-01-18T00:29:51.259Z,,50,,41.7,,,
2018-01-18T00:30:01.254Z,,50,,41.6,,,
2018-01-18T00:30:11.253Z,,50,,41.5,,,
2018-01-18T00:30:21.352Z,,50,,41.4,,,
2018-01-18T00:30:31.253Z,0,50,2,42.4,,42.8,0
2018-01-18T00:30:41.263Z,,50,,42.6,47,43.4,
2018-01-18T00:30:51.268Z,0,,2,,0,43.3,
2018-01-18T00:31:01.275Z,0,50,2,41.8,0,41.1,
