Time,ChActive,HwTSet,PrimTSet,HwTOutlet,ActPow,PrimT,HwActive
2017-12-29T00:18:32.838Z,,50,,26.1,,,
2017-12-29T00:18:42.838Z,,50,,26.1,,,
2017-12-29T00:18:52.838Z,,50,,26.1,,42,
2017-12-29T00:19:02.838Z,,50,,26.1,,,
2017-12-29T00:19:12.839Z,,50,,26.1,,,
2017-12-29T00:19:22.838Z,,50,,26.1,,,
2017-12-29T00:19:32.838Z,,50,,26.1,,,
2017-12-29T00:19:42.838Z,,50,,26.1,,,
2017-12-29T00:19:52.838Z,,50,,26.1,,,
2017-12-29T00:20:02.838Z,,50,,26.1,,,
2017-12-29T00:20:12.838Z,,50,,26,,41.9,
2017-12-29T00:20:22.838Z,,50,,26,,42,
2017-12-29T00:20:32.838Z,,50,,26,,41.9,
2017-12-29T00:20:42.838Z,,50,,26,,,
2017-12-29T00:20:52.838Z,,50,,26,,,
2017-12-29T00:21:02.838Z,,50,,26,,,
2017-12-29T00:21:12.838Z,,50,,26,,,
2017-12-29T00:21:22.838Z,,50,,26,,,
2017-12-29T00:21:32.838Z,,50,,26,,,
2017-12-29T00:21:42.838Z,,50,,26,,,
2017-12-29T00:21:52.838Z,,50,,26,,,
2017-12-29T00:22:02.838Z,,50,,26,,41.8,
2017-12-29T00:22:12.838Z,,50,,26,,,
2017-12-29T00:22:22.838Z,,50,,26,,,
2017-12-29T00:22:32.838Z,,50,,26,,,
2017-12-29T00:22:42.838Z,,50,,25.9,,,
2017-12-29T00:22:52.838Z,,50,,25.9,,,
2017-12-29T00:23:02.838Z,,50,,25.9,,,
2017-12-29T00:23:12.838Z,,50,,25.9,,,
2017-12-29T00:23:22.839Z,,50,,25.9,,,
2017-12-29T00:23:32.838Z,,50,,25.9,,41.7,
2017-12-29T00:23:42.838Z,,50,,25.9,,,
2017-12-29T00:23:52.838Z,,50,,25.9,,,
2017-12-29T00:24:02.838Z,,50,,25.9,,,
2017-12-29T00:24:12.838Z,,50,,25.9,,,
2017-12-29T00:24:22.838Z,,50,,25.9,,,
2017-12-29T00:24:32.838Z,,50,,25.9,,,
2017-12-29T00:24:42.838Z,,50,,25.9,,,
2017-12-29T00:24:52.838Z,,50,,25.9,,41.6,
2017-12-29T00:25:02.838Z,,50,,25.7,,,
2017-12-29T00:25:12.838Z,,50,,25.7,,,
2017-12-29T00:25:22.838Z,,50,,25.7,,,
2017-12-29T00:25:32.838Z,,50,,25.7,,,
2017-12-29T00:25:42.838Z,,50,,25.7,,,
2017-12-29T00:25:52.838Z,,50,,25.7,,,
2017-12-29T00:26:02.838Z,,50,,25.7,,,
2017-12-29T00:26:12.838Z,,50,,25.7,,,
2017-12-29T00:26:22.838Z,,50,,25.7,,41.5,
2017-12-29T00:26:32.838Z,,50,,25.7,,41.6,
2017-12-29T00:26:42.838Z,,50,,25.7,,41.5,
2017-12-29T00:26:52.838Z,,50,,25.7,,,
2017-12-29T00:27:02.838Z,0,50,5,25.7,0,41.5,0
2017-12-29T00:27:12.838Z,,50,,25.7,,,
2017-12-29T00:27:22.838Z,,50,,25.7,,,
