Time,ActPow,HwTOutlet,HwTSet,HwActive,ChActive,PrimTSet,PrimT
2017-11-24T00:20:41.306Z,,29.8,52,,,,
2017-11-24T00:20:51.216Z,,29.7,52,,,,
2017-11-24T00:21:01.216Z,,29.7,52,,,,
2017-11-24T00:21:21.217Z,,29.7,52,,,,
2017-11-24T00:21:31.220Z,,29.7,52,,,,
2017-11-24T00:21:41.306Z,,,,,,,27.8
2017-11-24T00:21:51.216Z,,29.7,52,,,,28.2
2017-11-24T00:22:01.219Z,,29.6,52,,,,
2017-11-24T00:22:11.219Z,,,,,,,28.6
2017-11-24T00:22:21.216Z,,29.6,52,,,,28.9
2017-11-24T00:22:31.217Z,,,,,,,29.2
2017-11-24T00:22:51.216Z,,29.6,52,,,,29.6
2017-11-24T00:23:01.216Z,,29.6,52,,,,29.9
2017-11-24T00:23:11.220Z,,,,,,,30.2
2017-11-24T00:23:21.221Z,,29.5,52,,,,30.4
2017-11-24T00:23:41.306Z,,29.5,52,,,,30.7
2017-11-24T00:23:51.216Z,,29.5,52,,,,31.2
2017-11-24T00:24:01.216Z,,29.5,52,,,,
2017-11-24T00:24:11.221Z,,,,,,,31.5
2017-11-24T00:24:21.216Z,,29.3,52,,,,31.9
2017-11-24T00:24:31.216Z,,29.3,52,,,,32
2017-11-24T00:24:51.220Z,,29.3,52,,,,32.2
2017-11-24T00:25:01.236Z,,,,,,,32.4
2017-11-24T00:25:11.216Z,,29.3,52,,,,32.7
2017-11-24T00:25:21.222Z,,29.2,52,,,,
2017-11-24T00:25:31.221Z,,,,,,,32.8
2017-11-24T00:25:41.309Z,,29.2,52,,,,32.9
2017-11-24T00:25:51.216Z,,29.2,52,,,,33.1
2017-11-24T00:26:11.217Z,,29.2,52,,,,33.2
2017-11-24T00:26:21.383Z,,29.1,52,,,,
2017-11-24T00:26:41.311Z,,29.1,52,,,,
2017-11-24T00:26:51.216Z,,29.1,52,,,,33.1
2017-11-24T00:27:01.216Z,,29.1,52,,,,
2017-11-24T00:27:21.217Z,,29,52,,,,32.9
2017-11-24T00:27:31.216Z,,29,52,,,,
2017-11-24T00:27:41.306Z,,29,52,,,,
2017-11-24T00:27:51.215Z,,29,52,,,,32.8
2017-11-24T00:28:01.216Z,,29,52,,,,32.7
2017-11-24T00:28:11.216Z,,29,52,,,,
2017-11-24T00:28:21.216Z,,29,52,,,,32.6
2017-11-24T00:28:31.226Z,,28.9,52,,,,32.5
2017-11-24T00:28:41.308Z,,28.9,52,,,,32.4
2017-11-24T00:28:51.220Z,,28.9,52,,,,32.3
2017-11-24T00:29:01.216Z,42,,,0,2,,31.1
2017-11-24T00:29:11.217Z,39,28.7,52,,,,32.4
2017-11-24T00:29:21.216Z,32,,,,,,35.2
2017-11-24T00:29:31.216Z,30,,,,,,35.6
2017-11-24T00:29:41.306Z,,28.7,52,,,,
2017-11-24T00:29:51.216Z,29,28.7,52,,,,32.9
2017-11-24T00:30:01.215Z,,28.7,52,,,,32.7
2017-11-24T00:30:11.221Z,,,,,,,32.2
2017-11-24T00:30:21.273Z,,28.7,52,,,,32.1
2017-11-24T00:30:31.263Z,,28.6,52,,,,
2017-11-24T00:30:41.306Z,,,,,,,32.6
2017-11-24T00:30:51.217Z,30,28.6,52,,,,33.1
2017-11-24T00:31:01.216Z,29,,,,,,33.2
2017-11-24T00:31:11.216Z,,28.6,52,,,,33.5
2017-11-24T00:31:21.218Z,,28.6,52,,,,
2017-11-24T00:31:31.216Z,,,,,,,33.7
2017-11-24T00:31:41.306Z,,28.6,52,,,,33.9
2017-11-24T00:31:51.216Z,29,28.6,52,,,,34.3
2017-11-24T00:32:01.216Z,,28.6,52,,,,
2017-11-24T00:32:11.216Z,30,,,,,,34.6
2017-11-24T00:32:21.216Z,,28.5,52,,,,34.7
2017-11-24T00:32:41.306Z,29,28.5,52,,,,34.9
2017-11-24T00:32:51.216Z,29,28.5,52,,,,35.3
2017-11-24T00:33:01.215Z,,28.5,52,,,,
2017-11-24T00:33:11.216Z,,,,,,,35.6
2017-11-24T00:33:21.216Z,,28.5,52,,,,35.8
2017-11-24T00:33:41.306Z,,28.5,52,,,,35.9
2017-11-24T00:33:51.216Z,,28.5,52,,,,36.1
2017-11-24T00:34:01.216Z,,,,,,,36.2
2017-11-24T00:34:11.216Z,30,28.5,52,,,,36.6
2017-11-24T00:34:21.216Z,,28.5,52,,,,
2017-11-24T00:34:31.216Z,29,,,,,,36.7
2017-11-24T00:34:41.307Z,30,28.5,52,,,,36.9
2017-11-24T00:34:51.216Z,29,28.5,52,,,,37.1
2017-11-24T00:35:01.215Z,30,,,,,,37.3
2017-11-24T00:35:11.219Z,29,28.5,52,,,,37.6
2017-11-24T00:35:21.216Z,,28.5,52,,,,37.8
2017-11-24T00:35:31.220Z,30,28.5,52,,,,38
2017-11-24T00:35:41.306Z,29,28.5,52,,,,38.1
2017-11-24T00:35:51.216Z,0,28.5,52,0,2,,37.7
2017-11-24T00:36:01.216Z,,28.5,52,,,,37.5
2017-11-24T00:36:11.215Z,,,,,,,35.2
2017-11-24T00:36:21.215Z,,28.5,52,,,,34.9
2017-11-24T00:36:31.216Z,,,,,,,34.2
2017-11-24T00:36:41.306Z,,28.5,52,,,,
2017-11-24T00:36:51.216Z,,28.5,52,,,,33.9
2017-11-24T00:37:01.216Z,,28.5,52,,,,33.8
2017-11-24T00:37:11.219Z,,28.5,52,,,,
2017-11-24T00:37:21.215Z,,28.5,52,,,,
2017-11-24T00:37:31.215Z,,28.5,52,,,,
2017-11-24T00:37:41.306Z,,28.5,52,,,,
2017-11-24T00:37:51.226Z,,28.5,52,,,,33.5
2017-11-24T00:38:01.216Z,,28.5,52,,,,
2017-11-24T00:38:21.220Z,44,,,0,2,,
2017-11-24T00:38:31.216Z,43,28.5,52,,,,34.6
2017-11-24T00:38:41.305Z,40,,,,,,37.1
2017-11-24T00:38:51.215Z,30,28.6,52,,,,41
2017-11-24T00:39:01.216Z,29,28.6,52,,,,
2017-11-24T00:39:11.221Z,29,28.6,52,,,,39.8
2017-11-24T00:39:21.215Z,,28.6,52,,,,
2017-11-24T00:39:31.217Z,,,,,,,39.5
2017-11-24T00:39:41.306Z,,28.6,52,,,,39.5
2017-11-24T00:39:51.216Z,0,28.6,52,0,2,,37.9
2017-11-24T00:40:01.216Z,,,,,,,35.9
2017-11-24T00:40:11.216Z,,28.6,52,,,,35.7
2017-11-24T00:40:21.216Z,,,,,,,34.9
2017-11-24T00:40:31.220Z,,28.6,52,,,,34.6
2017-11-24T00:40:51.222Z,,28.6,52,,,,
2017-11-24T00:41:11.216Z,,28.6,52,,,,
2017-11-24T00:41:21.216Z,,28.6,52,,,,
2017-11-24T00:41:41.310Z,,28.6,52,,,,
2017-11-24T00:41:51.216Z,,28.7,52,,,,34.3
2017-11-24T00:42:01.216Z,,28.7,52,,,,
2017-11-24T00:42:11.215Z,,28.7,52,,,,34.2
2017-11-24T00:42:21.216Z,,28.7,52,,,,
2017-11-24T00:42:31.220Z,,28.7,52,,,,
2017-11-24T00:42:41.311Z,,,,,,,34.1
2017-11-24T00:42:51.216Z,,28.7,52,,,,
2017-11-24T00:43:01.220Z,,,,,,,34
2017-11-24T00:43:11.218Z,,28.7,52,,,,
2017-11-24T00:43:31.216Z,,28.7,52,,,,
2017-11-24T00:43:51.218Z,,28.7,52,,,,
2017-11-24T00:44:01.216Z,,28.7,52,,,,
2017-11-24T00:44:11.218Z,,28.7,52,,,,
2017-11-24T00:44:21.216Z,,28.7,52,,,,
2017-11-24T00:44:31.218Z,,28.7,52,,,,
2017-11-24T00:44:41.306Z,,28.7,52,,,,
2017-11-24T00:44:51.219Z,,28.7,52,,,,
2017-11-24T00:45:01.216Z,,28.7,52,,,,
2017-11-24T00:45:11.220Z,,28.7,52,,,,
2017-11-24T00:45:21.218Z,,28.7,52,,,,
2017-11-24T00:45:31.216Z,,28.7,52,,,,
2017-11-24T00:45:41.305Z,,28.9,52,,,,
2017-11-24T00:45:51.220Z,,28.7,52,,,,
2017-11-24T00:46:01.283Z,,28.9,52,,,,
2017-11-24T00:46:21.257Z,,28.9,52,,,,
2017-11-24T00:46:31.253Z,,28.9,52,,,,
2017-11-24T00:46:41.335Z,,28.9,52,,,,34.1
2017-11-24T00:46:51.227Z,,28.9,52,,,,
2017-11-24T00:47:01.216Z,0,28.9,52,0,2,58,34.1
2017-11-24T00:47:21.215Z,,28.9,52,,,,34.2
2017-11-24T00:47:31.216Z,,28.9,52,,,,
2017-11-24T00:47:41.305Z,,28.9,52,,,,
2017-11-24T00:47:51.216Z,,28.9,52,,,,
2017-11-24T00:48:01.216Z,,28.9,52,,,,
2017-11-24T00:48:11.216Z,,28.9,52,,,,
2017-11-24T00:48:21.215Z,,28.9,52,,,,
