Time,ActPow,PrimTSet,HwTSet,PrimT,HwTOutlet,HwActive,ChActive
2017-11-26T00:17:31.149Z,0,,52,41.9,30.7,0,2
2017-11-26T00:17:41.151Z,,,52,40.3,30.7,,
2017-11-26T00:17:51.149Z,,,52,39.5,30.7,,
2017-11-26T00:18:01.149Z,,,52,39.3,30.7,,
2017-11-26T00:18:11.148Z,,,52,,30.7,,
2017-11-26T00:18:21.148Z,,,52,39.2,30.8,,
2017-11-26T00:18:31.148Z,,,52,39.3,30.8,,
2017-11-26T00:18:41.149Z,,,52,39.2,30.8,,
2017-11-26T00:18:51.149Z,,,52,39.1,30.8,,
2017-11-26T00:19:01.151Z,,,52,38.8,30.8,,
2017-11-26T00:19:11.149Z,,,52,38.7,30.8,,
2017-11-26T00:19:21.149Z,,,52,38.6,30.8,,
2017-11-26T00:19:31.149Z,,,52,,30.8,,
2017-11-26T00:19:41.148Z,,,52,,30.8,,
2017-11-26T00:19:51.149Z,,,52,,30.8,,
2017-11-26T00:20:01.149Z,,,52,38.5,30.8,,
2017-11-26T00:20:11.149Z,,,52,,30.8,,
2017-11-26T00:20:21.148Z,,,52,38.4,30.8,,
2017-11-26T00:20:31.149Z,,,52,,30.8,,
2017-11-26T00:20:41.148Z,,,52,,30.8,,
2017-11-26T00:20:51.152Z,,,52,38.3,30.8,,
2017-11-26T00:21:01.153Z,,,52,,30.8,,
2017-11-26T00:21:11.148Z,,,52,,30.8,,
2017-11-26T00:21:21.149Z,,,52,,30.9,,
2017-11-26T00:21:31.148Z,,,52,,30.9,,
2017-11-26T00:21:41.148Z,,,52,,30.9,,
2017-11-26T00:21:51.148Z,,,52,,30.9,,
2017-11-26T00:22:01.148Z,,,52,,30.9,,
2017-11-26T00:22:11.156Z,,,52,,30.9,,
2017-11-26T00:22:21.149Z,,,52,,30.9,,
2017-11-26T00:22:31.200Z,,,52,,30.9,,
2017-11-26T00:22:41.151Z,,,52,,30.9,,
2017-11-26T00:22:51.181Z,,,52,,30.9,,
2017-11-26T00:23:01.151Z,,,52,,30.9,,
2017-11-26T00:23:11.148Z,,,52,38.4,30.9,,
2017-11-26T00:23:21.149Z,,,52,,30.9,,
2017-11-26T00:23:31.148Z,,,52,,30.9,,
2017-11-26T00:23:41.148Z,,,52,,30.9,,
2017-11-26T00:23:51.148Z,,,52,38.5,30.9,,
2017-11-26T00:24:01.152Z,,,52,,30.9,,
2017-11-26T00:24:11.148Z,,,52,,30.9,,
2017-11-26T00:24:21.149Z,,,52,38.6,30.9,,
2017-11-26T00:24:31.148Z,,,52,,30.9,,
2017-11-26T00:24:41.149Z,,,52,,30.9,,
2017-11-26T00:24:51.152Z,,,52,,30.9,,
2017-11-26T00:25:01.149Z,,,52,38.7,30.9,,
2017-11-26T00:25:11.149Z,,,52,,30.9,,
2017-11-26T00:25:21.149Z,,,52,,30.9,,
2017-11-26T00:25:31.148Z,,,52,,30.9,,
2017-11-26T00:25:41.148Z,,,52,,30.9,,
2017-11-26T00:25:51.152Z,,,52,,30.9,,
2017-11-26T00:26:01.149Z,,,52,,30.9,,
