Time,HwTSet,ActPow,HwActive,HwTOutlet,ChActive,PrimTSet,PrimT
2017-12-14T00:18:20.345Z,50,,,31.8,,,
2017-12-14T00:18:30.346Z,50,,,31.8,,,
2017-12-14T00:18:40.426Z,50,,,31.8,,,
2017-12-14T00:18:50.346Z,50,,,31.8,,,34.9
2017-12-14T00:19:00.345Z,50,,,31.8,,,34.8
2017-12-14T00:19:10.345Z,50,,,31.8,,,
2017-12-14T00:19:20.346Z,50,,,31.8,,,34.7
2017-12-14T00:19:30.346Z,50,,,31.8,,,
2017-12-14T00:19:40.426Z,50,,,31.8,,,
2017-12-14T00:19:50.345Z,50,,,31.8,,,34.6
2017-12-14T00:20:00.345Z,50,,,31.8,,,
2017-12-14T00:20:10.346Z,50,,,31.8,,,34.5
2017-12-14T00:20:20.345Z,50,,,31.8,,,
2017-12-14T00:20:30.346Z,50,,,31.8,,,
2017-12-14T00:20:40.425Z,50,,,31.8,,,34.4
2017-12-14T00:20:50.345Z,50,,,31.8,,,
2017-12-14T00:21:00.345Z,50,,,31.8,,,
2017-12-14T00:21:10.346Z,50,,,31.6,,,
2017-12-14T00:21:20.346Z,,37,0,,2,,39.1
2017-12-14T00:21:30.350Z,50,29,,31.8,,,41.7
2017-12-14T00:21:40.425Z,50,29,,31.8,,,40.4
2017-12-14T00:21:50.346Z,50,,,31.8,,,40
2017-12-14T00:22:00.347Z,50,,,31.8,,,39.7
2017-12-14T00:22:10.396Z,50,,,31.8,,,39.6
2017-12-14T00:22:20.346Z,50,,,31.8,,,
2017-12-14T00:22:30.346Z,50,29,,31.8,,,40
2017-12-14T00:22:40.425Z,50,30,,31.8,,,40.2
2017-12-14T00:22:50.345Z,50,29,,31.8,,,40.4
2017-12-14T00:23:00.345Z,50,,,31.6,,,40.6
2017-12-14T00:23:10.345Z,50,,,31.6,,,40.7
2017-12-14T00:23:20.345Z,50,30,,31.6,,,40.9
2017-12-14T00:23:30.346Z,50,30,,31.6,,,41
2017-12-14T00:23:40.425Z,50,,,31.8,,,41.1
2017-12-14T00:23:50.346Z,50,29,,31.6,,,41.2
2017-12-14T00:24:00.346Z,50,30,,31.8,,,41.4
2017-12-14T00:24:10.345Z,50,,,31.8,,,41.5
2017-12-14T00:24:20.345Z,50,,,31.8,,,
2017-12-14T00:24:30.346Z,50,29,,31.8,,,41.7
2017-12-14T00:24:40.425Z,50,,,31.8,,,41.8
2017-12-14T00:24:50.345Z,50,,,31.8,,,41.9
2017-12-14T00:25:00.345Z,50,30,,31.8,,,42
2017-12-14T00:25:10.345Z,50,29,,31.8,,,42.1
2017-12-14T00:25:20.345Z,50,,,31.8,,,
2017-12-14T00:25:30.345Z,50,29,,31.8,,,42.4
2017-12-14T00:25:40.425Z,,30,,,,,42.6
2017-12-14T00:25:50.345Z,50,0,0,31.8,2,,40.5
2017-12-14T00:26:00.346Z,50,,,31.8,,,38.7
2017-12-14T00:26:10.345Z,50,,,31.8,,,38
2017-12-14T00:26:20.346Z,,,,,,,37.8
2017-12-14T00:26:30.345Z,50,,,31.8,,,
2017-12-14T00:26:40.426Z,50,,,31.8,,,
2017-12-14T00:26:50.345Z,50,,,31.8,,,
2017-12-14T00:27:10.345Z,50,,,31.8,,,37.7
2017-12-14T00:27:20.345Z,50,,,31.8,,,
2017-12-14T00:27:30.345Z,50,,,31.8,,,37.4
2017-12-14T00:27:40.425Z,50,,,31.8,,,
2017-12-14T00:27:50.345Z,50,,,31.8,,,
2017-12-14T00:28:00.346Z,50,,,31.8,,,
2017-12-14T00:28:20.345Z,50,,,31.9,,,
2017-12-14T00:28:30.345Z,50,,,31.9,,,37.3
2017-12-14T00:28:40.425Z,,,,,,,37.2
2017-12-14T00:28:50.345Z,50,,,31.8,,,
2017-12-14T00:29:00.345Z,50,,,31.8,,,
2017-12-14T00:29:10.345Z,50,,,31.9,,,
2017-12-14T00:29:30.346Z,50,,,31.9,,,37.1
2017-12-14T00:29:40.425Z,50,,,31.8,,,
2017-12-14T00:29:50.345Z,50,,,31.9,,,
2017-12-14T00:30:10.345Z,50,,,31.9,,,
2017-12-14T00:30:20.345Z,50,,,31.9,,,
2017-12-14T00:30:30.345Z,50,,,31.9,,,
2017-12-14T00:30:50.346Z,50,,,31.9,,,
2017-12-14T00:31:00.345Z,50,,,31.9,,,
2017-12-14T00:31:10.345Z,,,,,,,37.2
2017-12-14T00:31:20.345Z,50,,,31.9,,,
2017-12-14T00:31:30.345Z,50,,,31.9,,,
2017-12-14T00:31:50.345Z,50,,,31.9,,,
2017-12-14T00:32:00.345Z,50,,,31.9,,,
2017-12-14T00:32:10.345Z,,,,,,,37.3
2017-12-14T00:32:20.345Z,50,,,31.9,,,
2017-12-14T00:32:30.347Z,50,,,31.9,,,
2017-12-14T00:32:50.345Z,50,,,31.9,,,
2017-12-14T00:33:00.345Z,50,,,31.9,,,
2017-12-14T00:33:10.345Z,,,,,,,37.4
2017-12-14T00:33:20.345Z,50,,,31.9,,,
2017-12-14T00:33:30.345Z,50,,,31.9,,,
2017-12-14T00:33:40.426Z,,,,,,,37.5
2017-12-14T00:33:50.345Z,50,,,31.9,,,
2017-12-14T00:34:00.345Z,50,,,31.9,,,
2017-12-14T00:34:20.345Z,50,,,31.9,,,
2017-12-14T00:34:40.425Z,50,,,31.9,,,
2017-12-14T00:34:50.345Z,50,,,31.9,,,
2017-12-14T00:35:10.346Z,50,,,31.9,,,
2017-12-14T00:35:20.345Z,50,,,31.9,,,
2017-12-14T00:35:30.345Z,50,,,31.9,,,
2017-12-14T00:35:50.345Z,50,,,31.8,,,
2017-12-14T00:36:00.345Z,50,,,31.8,,,
2017-12-14T00:36:20.345Z,50,,,31.8,,,
2017-12-14T00:36:30.345Z,50,,,31.8,,,
2017-12-14T00:36:50.345Z,50,,,31.8,,,
2017-12-14T00:37:00.345Z,50,,,31.8,,,
2017-12-14T00:37:20.345Z,50,,,31.8,,,
2017-12-14T00:37:40.425Z,50,,,31.8,,,
2017-12-14T00:37:50.346Z,50,,,31.8,,,
2017-12-14T00:38:10.345Z,50,,,31.8,,,37.4
2017-12-14T00:38:20.367Z,50,,,31.8,,,
2017-12-14T00:38:30.357Z,50,,,31.8,,,
2017-12-14T00:38:50.345Z,50,,,31.8,,,
2017-12-14T00:39:00.345Z,50,,,31.8,,,
2017-12-14T00:39:20.345Z,50,38,0,31.8,2,,41.4
2017-12-14T00:39:30.345Z,50,29,,31.8,,,42.8
2017-12-14T00:39:40.425Z,50,,,31.8,,,40.5
2017-12-14T00:39:50.345Z,50,,,31.8,,,38.6
2017-12-14T00:40:00.345Z,50,,,31.8,,,
2017-12-14T00:40:10.345Z,,,,,,,37.6
2017-12-14T00:40:20.346Z,50,0,0,31.8,2,,35.9
2017-12-14T00:40:30.345Z,50,,,31.6,,,34.3
2017-12-14T00:40:40.425Z,50,,,31.8,,,33.8
2017-12-14T00:40:50.345Z,50,,,31.6,,,
2017-12-14T00:41:00.345Z,50,,,31.6,,,
2017-12-14T00:41:20.345Z,50,,,31.6,,,
2017-12-14T00:41:30.345Z,50,,,31.6,,,
2017-12-14T00:41:40.425Z,50,,,31.6,,,
2017-12-14T00:41:50.345Z,,,,,,,33.7
2017-12-14T00:42:00.345Z,50,,,31.6,,,33.6
2017-12-14T00:42:10.345Z,50,,,31.6,,,
2017-12-14T00:42:30.345Z,50,,,31.6,,,
2017-12-14T00:42:40.425Z,50,,,31.6,,,33.5
2017-12-14T00:42:50.349Z,50,,,31.6,,,
2017-12-14T00:43:10.345Z,50,,,31.6,,,33.4
2017-12-14T00:43:20.345Z,50,,,31.6,,,
2017-12-14T00:43:30.345Z,50,,,31.6,,,33.4
2017-12-14T00:43:40.425Z,50,,,31.6,,,
2017-12-14T00:44:00.345Z,50,,,31.6,,,33.3
2017-12-14T00:44:10.345Z,50,,,31.5,,,
2017-12-14T00:44:20.345Z,,,,,,,33.4
2017-12-14T00:44:30.345Z,50,,,31.5,,,33.3
2017-12-14T00:44:40.425Z,50,,,31.5,,,
2017-12-14T00:44:50.345Z,50,,,31.5,,,
2017-12-14T00:45:10.345Z,50,,,31.5,,,
2017-12-14T00:45:20.344Z,50,,,31.5,,,
2017-12-14T00:45:30.345Z,50,,,31.5,,,
2017-12-14T00:45:40.425Z,50,,,31.5,,,
2017-12-14T00:45:50.345Z,50,,,31.5,,,
2017-12-14T00:46:10.345Z,50,,,31.5,,,
2017-12-14T00:46:20.345Z,50,,,31.5,,,
2017-12-14T00:46:30.346Z,,,,,,,33.4
2017-12-14T00:46:40.425Z,50,,,31.4,,,33.3
2017-12-14T00:46:50.345Z,50,,,31.4,,,33.4
2017-12-14T00:47:00.345Z,50,,,31.4,,,
2017-12-14T00:47:10.345Z,50,,,31.4,,,
