Time,HwActive,ActPow,HwTSet,PrimTSet,HwTOutlet,PrimT,ChActive
2018-02-04T00:20:48.797Z,,30,50,,33.1,36.2,
2018-02-04T00:20:58.798Z,,29,50,,32.9,36.4,
2018-02-04T00:21:08.861Z,,,50,,32.9,,
2018-02-04T00:21:18.798Z,,,50,,32.9,36.8,
2018-02-04T00:21:28.836Z,,,,,,37.1,
2018-02-04T00:21:38.798Z,,30,50,,32.8,37.4,
2018-02-04T00:21:48.906Z,,,50,,32.8,,
2018-02-04T00:21:58.800Z,,29,50,,32.7,37.8,
2018-02-04T00:22:08.797Z,,,50,,32.7,38,
2018-02-04T00:22:18.797Z,,,,,,38.2,
2018-02-04T00:22:28.798Z,,30,50,,32.6,38.3,
2018-02-04T00:22:38.798Z,,,50,,32.6,,
2018-02-04T00:22:48.798Z,,29,,,,38.7,
2018-02-04T00:22:58.798Z,,,50,,32.6,38.8,
2018-02-04T00:23:08.797Z,,,,,,39.1,
2018-02-04T00:23:18.798Z,,,50,,32.5,39.2,
2018-02-04T00:23:28.798Z,,,50,,32.5,,
2018-02-04T00:23:38.798Z,,30,,,,39.5,
2018-02-04T00:23:48.842Z,,29,50,,32.4,39.6,
2018-02-04T00:23:58.798Z,,30,50,,32.4,39.8,
2018-02-04T00:24:08.798Z,,,50,,32.4,40,
2018-02-04T00:24:18.797Z,,29,,,,40.1,
2018-02-04T00:24:28.798Z,,,50,,32.4,40.3,
2018-02-04T00:24:38.798Z,,,50,,32.3,,
2018-02-04T00:24:48.797Z,,30,,,,40.6,
2018-02-04T00:24:58.798Z,,,50,,32.3,40.7,
2018-02-04T00:25:08.798Z,,29,50,,32.3,40.9,
2018-02-04T00:25:18.798Z,,29,,,,41,
2018-02-04T00:25:28.798Z,,,50,,32.2,41.2,
2018-02-04T00:25:38.797Z,,,50,,32.2,,
2018-02-04T00:25:48.797Z,,30,,,,41.5,
2018-02-04T00:25:58.797Z,,29,50,,32.2,41.7,
2018-02-04T00:26:08.797Z,,,50,,32.2,,
2018-02-04T00:26:18.797Z,,,50,,32.2,42,
2018-02-04T00:26:28.797Z,,,,,,42.1,
2018-02-04T00:26:38.797Z,,,50,,32.1,42.3,
2018-02-04T00:26:48.798Z,,,50,,32.1,,
2018-02-04T00:26:58.797Z,,29,50,,32.1,42.7,
2018-02-04T00:27:08.797Z,,,,,,42.8,
