Time,HwTOutlet,ChActive,PrimTSet,HwTSet,PrimT,ActPow,HwActive
2018-01-06T00:18:12.585Z,31.9,,,50,,,
2018-01-06T00:18:22.629Z,31.9,,,50,,,
2018-01-06T00:18:32.612Z,31.9,,,50,,,
2018-01-06T00:18:42.609Z,31.8,,,50,,,
2018-01-06T00:18:52.589Z,31.8,,,50,,,
2018-01-06T00:19:02.585Z,31.8,,,50,,,
2018-01-06T00:19:12.585Z,31.8,,,50,33.2,,
2018-01-06T00:19:22.585Z,31.6,,,50,,,
2018-01-06T00:19:32.585Z,31.6,,,50,,,
2018-01-06T00:19:42.585Z,31.6,,,50,,,
2018-01-06T00:19:52.585Z,31.6,,,50,,,
2018-01-06T00:20:02.585Z,31.6,,,50,,,
2018-01-06T00:20:12.585Z,31.6,,,50,,,
2018-01-06T00:20:22.701Z,31.6,,,50,,,
2018-01-06T00:20:32.585Z,31.5,,,50,,,
2018-01-06T00:20:42.585Z,31.5,,,50,,,
2018-01-06T00:20:52.585Z,31.5,,,50,,,
2018-01-06T00:21:02.585Z,31.5,,,50,,,
2018-01-06T00:21:12.585Z,31.5,,,50,,,
2018-01-06T00:21:22.585Z,31.5,,,50,,,
2018-01-06T00:21:32.585Z,31.4,,,50,33.3,,
2018-01-06T00:21:42.585Z,31.4,,,50,,,
2018-01-06T00:21:52.585Z,31.4,,,50,,,
2018-01-06T00:22:02.585Z,31.4,,,50,,,
2018-01-06T00:22:12.586Z,31.4,,,50,,,
2018-01-06T00:22:22.585Z,31.4,,,50,33.4,,
2018-01-06T00:22:32.585Z,31.3,,,50,,,
2018-01-06T00:22:42.585Z,31.3,,,50,,,
2018-01-06T00:22:52.585Z,31.3,,,50,,,
2018-01-06T00:23:02.586Z,31.3,,,50,33.5,,
2018-01-06T00:23:12.586Z,31.3,,,50,,,
2018-01-06T00:23:22.585Z,31.3,,,50,,,
2018-01-06T00:23:32.585Z,31.2,,,50,33.6,,
2018-01-06T00:23:42.584Z,31.2,,,50,,,
2018-01-06T00:23:52.585Z,31.2,,,50,33.7,,
2018-01-06T00:24:02.585Z,31.2,,,50,,,
2018-01-06T00:24:12.585Z,31.2,,,50,33.8,,
2018-01-06T00:24:22.585Z,31.2,,,50,,,
2018-01-06T00:24:32.585Z,31,,,50,34,,
2018-01-06T00:24:42.585Z,31,,,50,,,
2018-01-06T00:24:52.585Z,31,,,50,,,
2018-01-06T00:25:02.585Z,31,,,50,34.1,,
2018-01-06T00:25:12.585Z,31,,,50,,,
2018-01-06T00:25:22.585Z,31,,,50,34.2,,
2018-01-06T00:25:32.586Z,30.9,,,50,,,
2018-01-06T00:25:42.585Z,30.9,,,50,34.3,,
2018-01-06T00:25:52.585Z,30.9,,,50,34.4,,
2018-01-06T00:26:02.585Z,30.9,,,50,34.5,,
2018-01-06T00:26:12.596Z,30.9,1,,50,34.3,44,0
2018-01-06T00:26:22.586Z,30.9,,,50,40.1,31,
2018-01-06T00:26:32.585Z,30.9,,,50,38.7,29,
2018-01-06T00:26:42.585Z,30.9,,,50,37.8,29,
2018-01-06T00:26:52.585Z,30.8,,,50,35.9,,
2018-01-06T00:27:02.585Z,30.8,,,50,35.8,,
2018-01-06T00:27:12.585Z,30.8,,,50,35.5,,
2018-01-06T00:27:22.585Z,30.8,,,50,36,29,
2018-01-06T00:27:32.585Z,30.8,,,50,36.1,,
2018-01-06T00:27:42.585Z,30.8,,,50,36.4,,
2018-01-06T00:27:52.585Z,30.8,,,50,36.6,,
2018-01-06T00:28:02.585Z,30.7,,,50,36.8,,
2018-01-06T00:28:12.585Z,30.7,,,50,37.1,,
2018-01-06T00:28:22.585Z,30.7,,,50,37.2,,
2018-01-06T00:28:32.585Z,30.7,,,50,37.4,30,
2018-01-06T00:28:42.585Z,30.7,,,50,37.5,29,
2018-01-06T00:28:52.584Z,30.7,,,50,37.7,30,
2018-01-06T00:29:02.585Z,30.7,,,50,37.8,,
2018-01-06T00:29:12.585Z,30.7,,,50,38,29,
2018-01-06T00:29:22.585Z,30.6,,,50,38.1,,
2018-01-06T00:29:32.585Z,30.6,,,50,38.3,30,
2018-01-06T00:29:42.585Z,30.6,,,50,38.4,29,
2018-01-06T00:29:52.585Z,30.6,,,50,38.5,,
2018-01-06T00:30:02.585Z,30.6,,,50,38.7,31,
2018-01-06T00:30:12.585Z,30.6,,,50,39.1,29,
2018-01-06T00:30:22.585Z,30.6,,,50,,,
2018-01-06T00:30:32.585Z,30.6,,,50,39.2,30,
2018-01-06T00:30:42.585Z,30.6,,,50,39.4,29,
2018-01-06T00:30:52.585Z,30.6,,,50,39.5,30,
2018-01-06T00:31:02.585Z,30.6,,,50,39.7,29,
2018-01-06T00:31:12.585Z,30.6,,,50,40,,
2018-01-06T00:31:22.585Z,30.6,,,50,,,
2018-01-06T00:31:32.585Z,30.6,,,50,40.1,,
2018-01-06T00:31:42.585Z,30.4,,,50,40.3,,
2018-01-06T00:31:52.585Z,30.4,,,50,40.4,,
2018-01-06T00:32:02.588Z,30.4,,,50,40.6,,
2018-01-06T00:32:12.585Z,30.4,,,50,40.8,,
2018-01-06T00:32:22.585Z,30.4,,,50,41,30,
2018-01-06T00:32:32.587Z,30.4,,,50,41.1,29,
2018-01-06T00:32:42.585Z,30.4,,,50,41.2,,
2018-01-06T00:32:52.585Z,30.4,,,50,41.4,,
2018-01-06T00:33:02.585Z,30.4,,,50,41.5,,
2018-01-06T00:33:12.585Z,30.4,,,50,41.7,30,
2018-01-06T00:33:22.585Z,30.4,,,50,41.8,29,
2018-01-06T00:33:32.585Z,30.4,,,50,42,,
2018-01-06T00:33:42.593Z,30.4,,,50,42.1,,
2018-01-06T00:33:52.585Z,30.4,,,50,42.2,,
2018-01-06T00:34:02.594Z,30.4,,,50,42.4,,
2018-01-06T00:34:12.585Z,30.4,,,50,42.6,30,
2018-01-06T00:34:22.593Z,30.4,,,50,42.7,29,
2018-01-06T00:34:32.584Z,30.4,,,50,43,30,
2018-01-06T00:34:42.593Z,30.4,,,50,,29,
2018-01-06T00:34:52.585Z,30.6,,,50,43.1,,
2018-01-06T00:35:02.585Z,30.6,,,50,43.3,,
2018-01-06T00:35:12.585Z,30.4,,,50,43.4,29,
2018-01-06T00:35:22.585Z,30.6,,,50,43.5,,
2018-01-06T00:35:32.585Z,30.6,,,50,43.6,,
2018-01-06T00:35:42.585Z,30.6,,,50,43.8,,
2018-01-06T00:35:52.585Z,30.6,,,50,44,30,
2018-01-06T00:36:02.585Z,30.6,,,50,,,
2018-01-06T00:36:12.585Z,30.6,,,50,44.2,29,
2018-01-06T00:36:22.585Z,30.6,1,,50,42.8,0,0
2018-01-06T00:36:32.590Z,30.6,,,50,40.8,,
2018-01-06T00:36:42.585Z,30.6,,,50,39.9,,
2018-01-06T00:36:52.585Z,30.6,,,50,39.7,,
2018-01-06T00:37:02.585Z,30.6,,,50,39.5,,
2018-01-06T00:37:12.585Z,30.6,,,50,,,
2018-01-06T00:37:22.585Z,30.6,,,50,,,
2018-01-06T00:37:32.585Z,30.6,,,50,,,
2018-01-06T00:37:42.585Z,30.6,,,50,39.4,,
2018-01-06T00:37:52.585Z,30.7,,,50,39.3,,
2018-01-06T00:38:02.585Z,30.7,,,50,39.2,,
2018-01-06T00:38:12.585Z,30.7,,,50,38.9,,
2018-01-06T00:38:22.585Z,30.7,,,50,,,
2018-01-06T00:38:32.585Z,30.7,,,50,,,
2018-01-06T00:38:42.585Z,30.7,,,50,38.8,,
2018-01-06T00:38:52.585Z,30.7,,,50,,,
2018-01-06T00:39:02.585Z,30.7,,,50,,,
2018-01-06T00:39:12.585Z,30.7,,,50,38.7,,
2018-01-06T00:39:22.585Z,30.7,,,50,38.6,,
2018-01-06T00:39:32.585Z,30.7,,,50,,,
2018-01-06T00:39:42.585Z,30.7,,,50,,,
2018-01-06T00:39:52.585Z,30.7,,,50,,,
2018-01-06T00:40:02.585Z,30.7,,,50,,,
2018-01-06T00:40:12.585Z,30.7,,,50,38.5,,
2018-01-06T00:40:22.586Z,30.7,,,50,,,
2018-01-06T00:40:32.585Z,30.7,,,50,,,
2018-01-06T00:40:42.586Z,30.7,,,50,,,
2018-01-06T00:40:52.585Z,30.7,,,50,,,
2018-01-06T00:41:02.585Z,30.8,,,50,,,
2018-01-06T00:41:12.585Z,30.8,,,50,,,
2018-01-06T00:41:22.585Z,30.8,,,50,,,
2018-01-06T00:41:32.584Z,30.8,,,50,,,
2018-01-06T00:41:42.586Z,30.8,,,50,,,
2018-01-06T00:41:52.585Z,30.8,,,50,,,
2018-01-06T00:42:02.585Z,30.8,,,50,,,
