Time,HwTSet,ChActive,PrimT,PrimTSet,HwActive,ActPow,HwTOutlet
2018-02-14T00:23:18.518Z,50,,36,,,30,30.2
2018-02-14T00:23:28.518Z,50,,36.3,,,29,30.2
2018-02-14T00:23:38.518Z,50,,36.8,,,,30.2
2018-02-14T00:23:48.521Z,,,37.2,,,,
2018-02-14T00:23:58.518Z,50,,37.4,,,,30.2
2018-02-14T00:24:08.598Z,50,,,,,,30.2
2018-02-14T00:24:18.518Z,,,37.6,,,30,
2018-02-14T00:24:28.518Z,50,,37.8,,,29,30.2
2018-02-14T00:24:38.518Z,50,,38,,,,30.2
2018-02-14T00:24:48.518Z,50,,38.3,,,30,30.2
2018-02-14T00:24:58.519Z,50,,,,,,30.2
2018-02-14T00:25:08.598Z,,,38.7,,,30,
2018-02-14T00:25:18.520Z,50,,,,,,30.2
2018-02-14T00:25:28.519Z,,,39.2,,,29,
2018-02-14T00:25:38.519Z,50,,39.4,,,30,30.2
2018-02-14T00:25:48.518Z,50,,,,,,30.2
2018-02-14T00:25:58.522Z,,,39.7,,,29,
2018-02-14T00:26:08.598Z,50,,39.9,,,30,30.2
2018-02-14T00:26:18.518Z,,,40.1,,,29,
2018-02-14T00:26:28.518Z,50,,40.2,,,,30.2
2018-02-14T00:26:38.519Z,50,,40.3,,,,30.2
2018-02-14T00:26:48.518Z,50,,,,,,30.2
2018-02-14T00:26:58.518Z,,,40.6,,,30,
2018-02-14T00:27:08.608Z,50,,40.7,,,,30.2
2018-02-14T00:27:18.542Z,50,,,,,,30.2
2018-02-14T00:27:28.572Z,,,41,,,29,
2018-02-14T00:27:38.519Z,50,,41.1,,,,30.2
2018-02-14T00:27:48.518Z,50,,,,,,30.2
2018-02-14T00:27:58.518Z,,,41.4,,,30,
2018-02-14T00:28:08.598Z,50,,41.6,,,,30.2
2018-02-14T00:28:18.518Z,50,,,,,,30.2
2018-02-14T00:28:28.518Z,50,,41.7,,,29,30.2
2018-02-14T00:28:38.518Z,,,42,,,,
2018-02-14T00:28:48.518Z,50,,42.1,,,30,30.2
2018-02-14T00:28:58.518Z,50,,,,,,30.2
2018-02-14T00:29:08.598Z,,,42.4,,,30,
2018-02-14T00:29:18.518Z,50,,,,,,30.2
2018-02-14T00:29:28.518Z,50,,42.7,,,29,30.2
2018-02-14T00:29:38.518Z,,,43,,,30,
2018-02-14T00:29:48.518Z,50,,43.1,,,29,30.2
2018-02-14T00:29:58.518Z,50,,43.2,,,30,30.3
2018-02-14T00:30:08.620Z,50,,,,,,30.3
2018-02-14T00:30:18.572Z,,,43.5,,,29,
2018-02-14T00:30:28.518Z,50,,43.7,,,,30.3
2018-02-14T00:30:38.518Z,50,,43.8,,,,30.3
2018-02-14T00:30:48.559Z,50,,,,,,30.3
2018-02-14T00:30:58.518Z,,,44.1,,,,
2018-02-14T00:31:08.630Z,50,,44.2,,,,30.3
2018-02-14T00:31:18.518Z,50,,,,,,30.3
2018-02-14T00:31:28.518Z,50,,44.3,,,,30.4
2018-02-14T00:31:38.518Z,,,44.6,,,29,
2018-02-14T00:31:48.518Z,50,,44.7,,,,30.4
2018-02-14T00:31:58.518Z,50,,,,,,30.4
2018-02-14T00:32:08.597Z,,,45,,,29,
2018-02-14T00:32:18.518Z,50,,,,,,30.4
2018-02-14T00:32:28.518Z,50,,45.1,,,,30.4
2018-02-14T00:32:38.537Z,,1,43.7,,0,0,
2018-02-14T00:32:48.518Z,50,,41.5,,,,30.4
2018-02-14T00:32:58.614Z,50,,40.7,,,,30.6
2018-02-14T00:33:08.612Z,50,,40.3,,,,30.6
2018-02-14T00:33:18.581Z,50,,,,,,30.6
2018-02-14T00:33:28.529Z,50,,,,,,30.6
2018-02-14T00:33:48.518Z,50,,40.2,,,,30.6
2018-02-14T00:33:58.518Z,50,,,,,,30.6
2018-02-14T00:34:08.597Z,,,40,,,,
2018-02-14T00:34:18.517Z,50,,39.9,,,,30.6
2018-02-14T00:34:28.518Z,50,,39.8,,,,30.7
2018-02-14T00:34:38.518Z,50,,39.7,,,,30.7
2018-02-14T00:34:48.518Z,50,,,,,,30.7
2018-02-14T00:35:08.598Z,50,,39.6,,,,30.7
2018-02-14T00:35:28.519Z,50,,,,,,30.7
2018-02-14T00:35:38.519Z,50,,39.4,,,,30.7
2018-02-14T00:35:48.519Z,50,,,,,,30.7
2018-02-14T00:36:08.598Z,50,,,,,,30.7
2018-02-14T00:36:18.521Z,50,,,,,,30.8
2018-02-14T00:36:28.518Z,50,,,,,,30.8
2018-02-14T00:36:48.518Z,50,,,,,,30.8
2018-02-14T00:36:58.518Z,50,,39.3,,,,30.8
2018-02-14T00:37:18.520Z,50,,,,,,30.8
2018-02-14T00:37:38.517Z,50,,,,,,30.8
2018-02-14T00:37:48.518Z,50,,,,,,30.8
2018-02-14T00:38:08.597Z,50,,,,,,30.8
2018-02-14T00:38:18.518Z,50,,,,,,30.8
2018-02-14T00:38:28.518Z,,,39.4,,,,
2018-02-14T00:38:38.533Z,50,,,,,,30.8
2018-02-14T00:38:48.517Z,50,,,,,,30.8
2018-02-14T00:39:08.598Z,50,,39.5,,,,30.8
2018-02-14T00:39:18.518Z,50,,,,,,30.8
2018-02-14T00:39:38.519Z,50,,39.6,,,,30.8
2018-02-14T00:39:48.517Z,50,,,,,,30.8
2018-02-14T00:40:08.597Z,50,,,,,,30.8
2018-02-14T00:40:18.537Z,50,,,,,,30.8
2018-02-14T00:40:38.519Z,50,,39.7,,,,30.8
2018-02-14T00:40:48.518Z,50,,,,,,30.8
2018-02-14T00:41:08.597Z,50,,,,,,30.8
2018-02-14T00:41:18.520Z,50,,,,,,30.8
2018-02-14T00:41:38.519Z,50,,,,,,30.8
2018-02-14T00:41:48.517Z,50,,,,,,30.8
2018-02-14T00:42:08.607Z,50,,,,,,30.9
2018-02-14T00:42:18.518Z,50,,,,,,30.8
2018-02-14T00:42:38.518Z,50,,,,,,30.8
2018-02-14T00:42:48.517Z,50,,,,,,30.8
2018-02-14T00:43:08.607Z,50,,39.6,,,,30.8
2018-02-14T00:43:18.517Z,50,,,,,,30.8
2018-02-14T00:43:38.517Z,50,,,,,,30.8
2018-02-14T00:43:48.518Z,50,,,,,,30.8
2018-02-14T00:44:08.597Z,50,,,,,,30.8
2018-02-14T00:44:18.522Z,50,,,,,,30.8
2018-02-14T00:44:28.524Z,50,,,,,,30.8
2018-02-14T00:44:38.517Z,50,,39.5,,,,30.8
2018-02-14T00:44:48.519Z,50,,,,,,30.8
2018-02-14T00:45:08.597Z,50,,,,,,30.8
2018-02-14T00:45:18.517Z,50,,,,,,30.8
2018-02-14T00:45:28.518Z,50,,,,,,30.8
2018-02-14T00:45:38.518Z,50,,,,,,30.8
2018-02-14T00:45:48.518Z,50,,,,,,30.8
2018-02-14T00:45:58.572Z,,,39.4,,,,
2018-02-14T00:46:08.658Z,50,,,,,,30.8
2018-02-14T00:46:18.553Z,50,,,,,,30.8
2018-02-14T00:46:38.530Z,50,,,,,,30.8
2018-02-14T00:46:48.518Z,50,,,,,,30.8
2018-02-14T00:47:08.599Z,50,,39.3,,,,30.8
2018-02-14T00:47:18.518Z,50,,,,,,30.8
2018-02-14T00:47:28.517Z,50,,,,,,30.8
2018-02-14T00:47:38.518Z,50,,,,,,30.8
2018-02-14T00:47:48.517Z,50,,,,,,30.8
2018-02-14T00:48:08.597Z,50,,39.2,,,,30.8
2018-02-14T00:48:18.518Z,50,,,,,,30.8
2018-02-14T00:48:28.518Z,50,,,,,,30.8
2018-02-14T00:48:38.517Z,50,,,,,,30.8
2018-02-14T00:48:48.518Z,50,,,,,,30.8
2018-02-14T00:48:58.518Z,50,,,,,,30.8
2018-02-14T00:49:08.597Z,50,,,,,,30.7
2018-02-14T00:49:18.518Z,50,,39.1,,,,30.7
2018-02-14T00:49:28.518Z,50,,,,,,30.8
2018-02-14T00:49:38.517Z,50,,,,,,30.7
2018-02-14T00:49:48.517Z,50,,,,,,30.7
2018-02-14T00:49:58.518Z,50,,,,,,30.7
2018-02-14T00:50:08.597Z,50,,,,,,30.7
2018-02-14T00:50:18.517Z,50,,,,,,30.7
2018-02-14T00:50:28.518Z,50,,38.9,,,,30.7
2018-02-14T00:50:38.518Z,50,,38.9,,,,30.7
2018-02-14T00:50:48.517Z,50,,,,,,30.7
2018-02-14T00:50:58.518Z,50,1,,,0,,30.7
2018-02-14T00:51:08.598Z,50,,45,,,32,30.7
2018-02-14T00:51:18.518Z,50,,42.6,,,29,30.7
2018-02-14T00:51:28.520Z,50,,40.9,,,29,30.7
2018-02-14T00:51:38.517Z,50,,38.8,,,,30.7
2018-02-14T00:51:48.517Z,50,,37.9,,,,30.7
2018-02-14T00:51:58.517Z,50,,37.5,,,,30.7
2018-02-14T00:52:08.597Z,50,,37.3,,,,30.7
2018-02-14T00:52:18.524Z,50,,37.8,,,,30.7
2018-02-14T00:52:28.518Z,50,,38.2,,,29,30.7
2018-02-14T00:52:38.521Z,50,,38.5,,,,30.7
2018-02-14T00:52:48.517Z,50,,38.7,,,30,30.6
2018-02-14T00:52:58.517Z,50,,38.9,,,30,30.7
2018-02-14T00:53:08.598Z,50,,39.1,,,,30.7
2018-02-14T00:53:18.517Z,50,,39.3,,,29,30.7
2018-02-14T00:53:28.518Z,50,,39.5,,,,30.7
2018-02-14T00:53:38.518Z,50,,,,,,30.6
2018-02-14T00:53:48.517Z,50,,40,,,,30.6
2018-02-14T00:53:58.518Z,50,,40.1,,,30,30.7
2018-02-14T00:54:08.598Z,50,,40.3,,,29,30.7
2018-02-14T00:54:18.517Z,50,,,,,,30.6
2018-02-14T00:54:28.518Z,50,,40.6,,,,30.7
2018-02-14T00:54:38.518Z,,,40.8,,,30,
2018-02-14T00:54:48.517Z,50,,41,,,29,30.6
2018-02-14T00:54:58.517Z,50,,41.1,,,,30.6
2018-02-14T00:55:08.597Z,50,,41.2,,,,30.7
2018-02-14T00:55:18.517Z,50,,,,,,30.7
2018-02-14T00:55:28.519Z,50,,41.5,,,,30.7
2018-02-14T00:55:38.518Z,,,41.6,,,30,
2018-02-14T00:55:48.517Z,50,,41.8,,,29,30.7
2018-02-14T00:55:58.517Z,50,,41.9,,,,30.7
2018-02-14T00:56:08.597Z,,,42,,,,
2018-02-14T00:56:18.517Z,50,,42.2,,,,30.7
2018-02-14T00:56:28.518Z,50,,42.3,,,,30.7
2018-02-14T00:56:38.517Z,50,,,,,,30.7
2018-02-14T00:56:48.517Z,,,42.7,,,30,
2018-02-14T00:56:58.518Z,50,,42.8,,,29,30.7
2018-02-14T00:57:08.597Z,50,1,43,,0,0,30.7
2018-02-14T00:57:18.519Z,50,,41.7,,,,30.7
2018-02-14T00:57:28.518Z,50,,39.6,,,,30.7
2018-02-14T00:57:38.517Z,50,,38.6,,,,30.7
2018-02-14T00:57:48.517Z,,,38.1,,,,
2018-02-14T00:57:58.517Z,50,,38,,,,30.7
2018-02-14T00:58:08.597Z,50,,,,,,30.7
2018-02-14T00:58:28.518Z,50,,,,,,30.8
2018-02-14T00:58:38.517Z,,,37.9,,,,
2018-02-14T00:58:48.517Z,50,,37.8,,,,30.8
2018-02-14T00:58:58.517Z,50,,,,,,30.8
2018-02-14T00:59:08.599Z,,,37.6,,,,
2018-02-14T00:59:18.517Z,50,,37.5,,,,30.8
2018-02-14T00:59:28.517Z,50,,,,,,30.8
2018-02-14T00:59:38.517Z,50,,,,,,30.8
2018-02-14T00:59:58.517Z,50,,37.4,,,,30.8
2018-02-14T01:00:08.597Z,50,,,,,,30.8
2018-02-14T01:00:18.517Z,50,,37.3,,,,30.8
2018-02-14T01:00:28.517Z,50,,,,,,30.8
2018-02-14T01:00:48.559Z,50,,,,,,30.8
2018-02-14T01:00:58.554Z,50,,,,,,30.8
2018-02-14T01:01:18.517Z,50,,37.2,,,,30.8
2018-02-14T01:01:28.517Z,50,,,,,,30.8
2018-02-14T01:01:38.517Z,50,,,,,,30.8
2018-02-14T01:01:58.551Z,50,,,,,,30.8
2018-02-14T01:02:08.637Z,50,,,,,,30.8
2018-02-14T01:02:28.533Z,50,,,,,,30.8
2018-02-14T01:02:38.519Z,50,,,,,,30.8
2018-02-14T01:02:48.517Z,,,37.3,,,,
2018-02-14T01:02:58.517Z,50,,,,,,30.8
2018-02-14T01:03:08.597Z,50,,,,,,30.8
2018-02-14T01:03:28.518Z,50,,,,,,30.8
2018-02-14T01:03:38.517Z,50,,,,,,30.8
2018-02-14T01:03:48.518Z,,,37.4,,,,
2018-02-14T01:03:58.517Z,50,,,,,,30.8
2018-02-14T01:04:08.597Z,50,,,,,,30.8
2018-02-14T01:04:28.517Z,50,,37.5,,,,30.8
2018-02-14T01:04:38.517Z,50,,,,,,30.8
2018-02-14T01:04:58.526Z,50,,,,,,30.8
2018-02-14T01:05:08.598Z,50,1,37.5,59,0,0,30.8
2018-02-14T01:05:28.517Z,50,,,,,,30.8
2018-02-14T01:05:38.517Z,50,,,,,,30.8
2018-02-14T01:05:48.518Z,,,37.6,,,,
2018-02-14T01:05:58.517Z,50,,,,,,30.8
2018-02-14T01:06:08.597Z,50,,,,,,30.8
2018-02-14T01:06:28.527Z,50,,,,,,30.8
2018-02-14T01:06:38.527Z,50,,,,,,30.8
2018-02-14T01:06:58.517Z,50,,,,,,30.7
2018-02-14T01:07:08.597Z,50,,,,,,30.7
2018-02-14T01:07:28.518Z,50,,,,,,30.7
2018-02-14T01:07:38.525Z,50,,,,,,30.7
2018-02-14T01:07:58.525Z,50,,37.5,,,,30.7
2018-02-14T01:08:08.597Z,50,,,,,,30.7
2018-02-14T01:08:18.525Z,,,37.5,,,,
2018-02-14T01:08:28.517Z,50,,,,,,30.7
2018-02-14T01:08:38.524Z,50,,,,,,30.7
2018-02-14T01:08:58.524Z,50,,,,,,30.7
2018-02-14T01:09:08.597Z,50,,,,,,30.7
2018-02-14T01:09:28.524Z,50,,,,,,30.7
2018-02-14T01:09:38.517Z,50,,,,,,30.7
2018-02-14T01:09:58.525Z,50,,,,,,30.7
2018-02-14T01:10:08.617Z,50,,,,,,30.7
2018-02-14T01:10:28.526Z,50,,,,,,30.6
2018-02-14T01:10:38.517Z,50,,,,,,30.6
2018-02-14T01:10:48.669Z,,,37.4,,,,
2018-02-14T01:10:58.522Z,50,,,,,,30.6
2018-02-14T01:11:08.597Z,50,,,,,,30.6
2018-02-14T01:11:28.525Z,50,,,,,,30.6
2018-02-14T01:11:38.523Z,50,,,,,,30.6
2018-02-14T01:11:58.634Z,50,1,37.4,,0,,30.6
2018-02-14T01:12:08.849Z,50,,41.1,,,38,30.6
2018-02-14T01:12:18.589Z,50,,43.4,,,32,30.6
2018-02-14T01:12:28.634Z,50,,41.2,,,29,30.6
2018-02-14T01:12:38.539Z,50,,39.8,,,29,30.6
