Time,HwTSet,ActPow,PrimTSet,PrimT,ChActive,HwTOutlet,HwActive
2017-12-16T00:17:40.276Z,50,,,,,31.4,
2017-12-16T00:17:50.277Z,50,,,,,31.3,
2017-12-16T00:18:00.276Z,50,,,,,31.3,
2017-12-16T00:18:10.276Z,50,,,,,31.3,
2017-12-16T00:18:20.276Z,50,,,,,31.3,
2017-12-16T00:18:30.275Z,50,,,,,31.3,
2017-12-16T00:18:40.276Z,50,,,,,31.3,
2017-12-16T00:18:50.276Z,50,,,,,31.3,
2017-12-16T00:19:00.276Z,50,,,,,31.3,
2017-12-16T00:19:10.275Z,50,,,,,31.3,
2017-12-16T00:19:20.276Z,50,,,,,31.3,
2017-12-16T00:19:30.276Z,50,,,,,31.3,
2017-12-16T00:19:40.277Z,50,,,,,31.3,
2017-12-16T00:19:50.276Z,50,,,,,31.2,
2017-12-16T00:20:00.276Z,50,,,,,31.2,
2017-12-16T00:20:10.276Z,50,,,,,31.2,
2017-12-16T00:20:20.276Z,50,,,36.1,,31.2,
2017-12-16T00:20:30.276Z,50,,,,,31.2,
2017-12-16T00:20:40.276Z,50,,,,,31.2,
2017-12-16T00:20:50.276Z,50,,,,,31.2,
2017-12-16T00:21:00.276Z,50,,,,,31.2,
2017-12-16T00:21:10.276Z,50,,,36.2,,31.2,
2017-12-16T00:21:20.276Z,50,,,,,31.2,
2017-12-16T00:21:30.276Z,50,,,,,31,
2017-12-16T00:21:40.276Z,50,,,,,31,
2017-12-16T00:21:50.276Z,50,,,,,31,
2017-12-16T00:22:00.276Z,50,,,,,31,
2017-12-16T00:22:10.427Z,50,,,36.3,,31,
2017-12-16T00:22:20.276Z,50,,,,,31,
2017-12-16T00:22:30.276Z,50,,,,,31,
2017-12-16T00:22:40.276Z,50,,,,,31,
2017-12-16T00:22:50.276Z,50,,,,,31,
2017-12-16T00:23:00.276Z,50,,,,,31,
2017-12-16T00:23:10.276Z,50,,,,,31,
2017-12-16T00:23:20.276Z,50,,,,,30.9,
2017-12-16T00:23:30.275Z,50,,,,,30.9,
2017-12-16T00:23:40.276Z,50,,,,,30.9,
2017-12-16T00:23:50.276Z,50,,,,,30.9,
2017-12-16T00:24:00.276Z,50,,,,,30.9,
2017-12-16T00:24:10.276Z,50,,,,,30.9,
2017-12-16T00:24:20.276Z,50,,,,,30.9,
2017-12-16T00:24:30.276Z,50,,,,,30.9,
2017-12-16T00:24:40.276Z,50,,,,,30.9,
2017-12-16T00:24:50.276Z,50,,,,,30.9,
2017-12-16T00:25:00.276Z,50,,,,,30.9,
2017-12-16T00:25:10.275Z,50,,,,,30.8,
2017-12-16T00:25:20.276Z,50,,,,,30.8,
2017-12-16T00:25:30.276Z,50,,,,,30.8,
2017-12-16T00:25:40.276Z,50,,,,,30.8,
2017-12-16T00:25:50.276Z,50,,,,,30.8,
2017-12-16T00:26:00.276Z,50,,,,,30.8,
2017-12-16T00:26:10.276Z,50,,,,,30.8,
2017-12-16T00:26:20.284Z,50,,,,,30.8,
2017-12-16T00:26:30.277Z,50,,,,,30.8,
2017-12-16T00:26:40.275Z,50,,,36.2,,30.8,
2017-12-16T00:26:50.275Z,50,,,,,30.7,
2017-12-16T00:27:00.276Z,50,,,,,30.7,
2017-12-16T00:27:10.276Z,50,,,,,30.7,
2017-12-16T00:27:20.275Z,50,,,,,30.7,
2017-12-16T00:27:30.275Z,50,,,,,30.7,
2017-12-16T00:27:40.275Z,50,,,,,30.7,
2017-12-16T00:27:50.276Z,50,,,,,30.7,
2017-12-16T00:28:00.277Z,50,,,,,30.7,
2017-12-16T00:28:10.276Z,50,,,,,30.7,
2017-12-16T00:28:20.276Z,50,,,,,30.7,
2017-12-16T00:28:30.276Z,50,,,36.1,,30.6,
2017-12-16T00:28:40.276Z,50,,,,,30.6,
2017-12-16T00:28:50.276Z,50,,,,,30.6,
2017-12-16T00:29:00.276Z,50,,,,,30.6,
2017-12-16T00:29:10.276Z,50,,,,,30.6,
2017-12-16T00:29:20.276Z,50,,,,,30.6,
2017-12-16T00:29:30.276Z,50,,,,,30.6,
2017-12-16T00:29:40.279Z,50,,,,,30.6,
2017-12-16T00:29:50.276Z,50,,,,,30.6,
2017-12-16T00:30:00.276Z,50,,,,,30.6,
2017-12-16T00:30:10.276Z,50,,,36,,30.6,
2017-12-16T00:30:20.276Z,50,,,,,30.4,
2017-12-16T00:30:30.276Z,50,,,,,30.4,
2017-12-16T00:30:40.276Z,50,,,,,30.4,
2017-12-16T00:30:50.276Z,50,,,,,30.4,
2017-12-16T00:31:00.276Z,50,,,,,30.4,
2017-12-16T00:31:10.276Z,50,44,,37.2,1,30.4,0
2017-12-16T00:31:20.276Z,50,31,,42.3,,30.4,
2017-12-16T00:31:30.276Z,50,29,,39.6,,30.4,
