Time,HwTOutlet,PrimT,ActPow,HwActive,PrimTSet,HwTSet,ChActive
2018-02-13T00:20:48.590Z,33.7,,,,,50,
2018-02-13T00:20:58.579Z,33.6,,,,,50,
2018-02-13T00:21:18.548Z,33.6,,,,,50,
2018-02-13T00:21:28.548Z,33.6,,,,,50,
2018-02-13T00:21:48.548Z,33.5,,,,,50,
2018-02-13T00:21:58.547Z,33.5,,,,,50,
2018-02-13T00:22:18.549Z,33.4,,,,,50,
2018-02-13T00:22:28.547Z,33.4,,,,,50,
2018-02-13T00:22:48.550Z,33.4,,,,,50,
2018-02-13T00:22:58.547Z,33.3,,,,,50,
2018-02-13T00:23:08.547Z,,37.7,,,,,
2018-02-13T00:23:18.547Z,33.3,,,,,50,
2018-02-13T00:23:28.548Z,33.2,,,,,50,
2018-02-13T00:23:48.548Z,33.2,,,,,50,
2018-02-13T00:23:58.547Z,33.2,,,,,50,
2018-02-13T00:24:18.547Z,33.1,,,,,50,
2018-02-13T00:24:28.548Z,33.1,,,,,50,
2018-02-13T00:24:38.548Z,,37.7,,,,,
2018-02-13T00:24:48.551Z,32.9,37.6,,,,50,
2018-02-13T00:24:58.547Z,32.9,,,,,50,
2018-02-13T00:25:18.547Z,32.9,,,,,50,
2018-02-13T00:25:28.547Z,32.8,,,,,50,
2018-02-13T00:25:48.547Z,32.8,,,,,50,
2018-02-13T00:25:58.547Z,32.8,,,,,50,
2018-02-13T00:26:08.547Z,,37.5,,,,,
2018-02-13T00:26:18.547Z,32.7,37.6,,,,50,
2018-02-13T00:26:28.548Z,32.7,37.6,,0,,50,2
2018-02-13T00:26:38.547Z,32.7,42.4,37,,,50,
2018-02-13T00:26:48.548Z,32.6,42.8,29,,,50,
2018-02-13T00:26:58.548Z,32.6,41,,,,50,
2018-02-13T00:27:08.547Z,32.6,38.7,29,,,50,
2018-02-13T00:27:18.549Z,,37.8,,,,,
2018-02-13T00:27:28.547Z,32.6,37.1,30,,,50,
2018-02-13T00:27:38.548Z,32.5,,,,,50,
2018-02-13T00:27:48.548Z,32.5,37.7,29,,,50,
2018-02-13T00:27:58.547Z,,38.1,29,,,,
2018-02-13T00:28:08.547Z,32.5,38.4,,,,50,
2018-02-13T00:28:18.548Z,32.5,,,,,50,
2018-02-13T00:28:28.547Z,,38.6,29,,,,
2018-02-13T00:28:38.547Z,32.4,38.7,,,,50,
2018-02-13T00:28:48.548Z,32.4,38.9,30,,,50,
2018-02-13T00:28:58.548Z,,39.2,29,,,,
2018-02-13T00:29:08.548Z,32.4,39.5,30,,,50,
2018-02-13T00:29:18.548Z,32.3,,,,,50,
2018-02-13T00:29:28.547Z,,39.8,29,,,,
2018-02-13T00:29:38.547Z,32.3,40,30,,,50,
2018-02-13T00:29:48.548Z,32.3,40.1,29,,,50,
2018-02-13T00:29:58.548Z,,40.3,,,,,
2018-02-13T00:30:08.553Z,32.3,40.4,,,,50,
2018-02-13T00:30:18.547Z,32.3,,,,,50,
2018-02-13T00:30:28.547Z,,40.7,30,,,,
2018-02-13T00:30:38.548Z,32.2,40.9,29,,,50,
2018-02-13T00:30:48.549Z,32.2,41,29,,,50,
2018-02-13T00:30:58.547Z,,41.2,30,,,,
2018-02-13T00:31:08.548Z,32.2,41.3,29,,,50,
2018-02-13T00:31:18.547Z,32.2,,,,,50,
2018-02-13T00:31:28.548Z,,41.5,,,,,
2018-02-13T00:31:38.548Z,32.2,41.7,,,,50,
2018-02-13T00:31:48.548Z,32.2,41.8,,,,50,
2018-02-13T00:31:58.548Z,32.1,41.9,30,,,50,
2018-02-13T00:32:08.547Z,,42.1,29,,,,
2018-02-13T00:32:18.548Z,32.1,42.2,,,,50,
2018-02-13T00:32:28.548Z,32.1,,,,,50,
2018-02-13T00:32:38.548Z,,42.6,29,,,,
2018-02-13T00:32:48.548Z,32.1,42.7,,,,50,
2018-02-13T00:32:58.547Z,32.1,42.9,,,,50,
2018-02-13T00:33:08.547Z,,43,29,,,,
2018-02-13T00:33:18.548Z,32.1,43.1,30,,,50,
2018-02-13T00:33:28.548Z,32.1,,,,,50,
2018-02-13T00:33:38.548Z,,43.4,29,,,,
2018-02-13T00:33:48.547Z,32.1,43.5,,,,50,
2018-02-13T00:33:58.548Z,32.1,,,,,50,
2018-02-13T00:34:08.548Z,,43.8,,,,,
2018-02-13T00:34:18.547Z,32,43.9,30,,,50,
2018-02-13T00:34:28.547Z,,44.1,30,,,,
2018-02-13T00:34:38.547Z,32,44.2,,,,50,
2018-02-13T00:34:48.549Z,32,44.3,,,,50,
2018-02-13T00:34:58.547Z,32,,,,,50,
2018-02-13T00:35:08.547Z,,44.5,29,,,,
2018-02-13T00:35:18.548Z,32,44.7,,,,50,
2018-02-13T00:35:28.548Z,32,,,,,50,
2018-02-13T00:35:38.547Z,32,44.9,,,,50,
2018-02-13T00:35:48.547Z,32,45,,,,50,
2018-02-13T00:35:58.548Z,32,45.3,0,,,50,
2018-02-13T00:36:08.547Z,32,43.7,,0,,50,2
2018-02-13T00:36:18.547Z,32,42.6,,,,50,
2018-02-13T00:36:28.547Z,32,40.9,,,,50,
2018-02-13T00:36:38.585Z,,40.6,,,,,
2018-02-13T00:36:48.547Z,32,40.4,,,,50,
2018-02-13T00:36:58.547Z,32,,,,,50,
2018-02-13T00:37:18.547Z,32,,,,,50,
2018-02-13T00:37:28.547Z,32,,,,,50,
2018-02-13T00:37:38.547Z,,40.2,,,,,
2018-02-13T00:37:48.548Z,32,40.1,,,,50,
2018-02-13T00:37:58.548Z,32,39.9,,,,50,
2018-02-13T00:38:18.547Z,32,39.8,,,,50,
2018-02-13T00:38:28.547Z,32,,,,,50,
2018-02-13T00:38:48.550Z,32,39.7,,,,50,
2018-02-13T00:38:58.547Z,32,39.6,,,,50,
2018-02-13T00:39:08.548Z,32,,,,,50,
2018-02-13T00:39:28.547Z,32,39.5,,,,50,
2018-02-13T00:39:38.547Z,32,,,,,50,
2018-02-13T00:39:48.547Z,32,,,,,50,
2018-02-13T00:40:08.547Z,32,,,,,50,
2018-02-13T00:40:18.548Z,32,,,,,50,
2018-02-13T00:40:38.548Z,32,,,,,50,
2018-02-13T00:40:48.548Z,32,,,,,50,
2018-02-13T00:40:58.547Z,32,,,,,50,
2018-02-13T00:41:08.547Z,,39.4,,,,,
2018-02-13T00:41:18.547Z,32,39.5,,,,50,
2018-02-13T00:41:28.548Z,32,,,,,50,
2018-02-13T00:41:48.548Z,32,,,,,50,
2018-02-13T00:41:58.547Z,32,,,,,50,
2018-02-13T00:42:08.547Z,,39.6,,,,,
2018-02-13T00:42:18.547Z,32,,,,,50,
2018-02-13T00:42:28.547Z,32,,,,,50,
2018-02-13T00:42:48.549Z,31.9,39.7,,,,50,
2018-02-13T00:42:58.547Z,31.9,,,,,50,
2018-02-13T00:43:18.547Z,31.9,39.8,,,,50,
2018-02-13T00:43:28.547Z,31.9,,,,,50,
2018-02-13T00:43:48.550Z,31.9,,,,,50,
2018-02-13T00:43:58.547Z,31.9,,,,,50,
2018-02-13T00:44:18.547Z,31.9,,,,,50,
2018-02-13T00:44:28.548Z,31.9,,,,,50,
2018-02-13T00:44:38.550Z,,39.9,,,,,
2018-02-13T00:44:48.548Z,31.9,,,,,50,
2018-02-13T00:44:58.547Z,31.9,,,,,50,
2018-02-13T00:45:18.547Z,31.9,,,,,50,
2018-02-13T00:45:28.547Z,31.9,,,,,50,
2018-02-13T00:45:38.547Z,,39.8,,,,,
