Time,HwActive,ActPow,HwTSet,PrimTSet,ChActive,PrimT,HwTOutlet
2018-01-05T00:00:02.615Z,,,50,,,,29
2018-01-05T00:00:12.615Z,,,50,,,,29
2018-01-05T00:00:22.616Z,,,50,,,,29
2018-01-05T00:00:32.615Z,,,50,,,,29
2018-01-05T00:00:42.615Z,,,50,,,,29
2018-01-05T00:00:52.615Z,,,50,,,,29
2018-01-05T00:01:02.615Z,,,50,,,,29
2018-01-05T00:01:12.615Z,,,50,,,,29.1
2018-01-05T00:01:22.616Z,,,50,,,,29.1
2018-01-05T00:01:32.615Z,,,50,,,,29
2018-01-05T00:01:42.615Z,,,50,,,,29.1
2018-01-05T00:01:52.615Z,,,50,,,,29.1
2018-01-05T00:02:02.615Z,,,50,,,,29.1
2018-01-05T00:02:12.616Z,,,50,,,,29
2018-01-05T00:02:22.615Z,,,50,,,,29
2018-01-05T00:02:32.615Z,,,50,,,,29
2018-01-05T00:02:42.615Z,,,50,,,,29
2018-01-05T00:02:52.615Z,,,50,,,,29
2018-01-05T00:03:02.615Z,,,50,,,,29.1
2018-01-05T00:03:12.616Z,,,50,,,36,29
2018-01-05T00:03:22.617Z,,,50,,,,29
2018-01-05T00:03:32.615Z,,,50,,,,29
2018-01-05T00:03:42.614Z,,,50,,,,29
2018-01-05T00:03:52.615Z,,,50,,,,29
2018-01-05T00:04:02.616Z,,,50,,,,29
2018-01-05T00:04:12.615Z,,,50,,,,29
2018-01-05T00:04:22.615Z,,,50,,,,29
2018-01-05T00:04:32.615Z,,,50,,,,29
2018-01-05T00:04:42.615Z,,,50,,,35.9,29
2018-01-05T00:04:52.615Z,,,50,,,35.9,29
2018-01-05T00:05:02.615Z,,,50,,,,29
2018-01-05T00:05:12.615Z,,,50,,,,29
2018-01-05T00:05:22.615Z,,,50,,,,29
2018-01-05T00:05:32.615Z,,,50,,,,29
2018-01-05T00:05:42.615Z,,,50,,,,29
2018-01-05T00:05:52.615Z,,,50,,,,29
2018-01-05T00:06:02.615Z,,,50,,,,29
2018-01-05T00:06:12.615Z,,,50,,,35.8,29
2018-01-05T00:06:22.614Z,,,50,,,,29
2018-01-05T00:06:32.615Z,,,50,,,,29
2018-01-05T00:06:42.615Z,,,50,,,,29
2018-01-05T00:06:52.615Z,,,50,,,,29
2018-01-05T00:07:02.615Z,,,50,,,,29
2018-01-05T00:07:12.614Z,,,50,,,,29
2018-01-05T00:07:22.615Z,,,50,,,,29
2018-01-05T00:07:32.615Z,,,50,,,,29
2018-01-05T00:07:42.615Z,,,50,,,,29
2018-01-05T00:07:52.615Z,,,50,,,35.7,29
2018-01-05T00:08:02.653Z,,,50,,,,29
2018-01-05T00:08:12.617Z,,,50,,,,29
2018-01-05T00:08:22.615Z,,,50,,,,29
2018-01-05T00:08:32.621Z,,,50,,,,29
2018-01-05T00:08:42.615Z,,,50,,,,29
2018-01-05T00:08:52.614Z,,,50,,,,29
2018-01-05T00:09:02.615Z,,,50,,,,29
2018-01-05T00:09:12.615Z,,,50,,,35.6,28.9
2018-01-05T00:09:22.614Z,,,50,,,,28.9
2018-01-05T00:09:32.615Z,,,50,,,,29
2018-01-05T00:09:42.615Z,,,50,,,,28.9
2018-01-05T00:09:52.615Z,,,50,,,,28.9
2018-01-05T00:10:02.616Z,,,50,,,,28.9
2018-01-05T00:10:12.615Z,,,50,,,,28.9
2018-01-05T00:10:22.615Z,,,50,,,,28.9
2018-01-05T00:10:32.615Z,,,50,,,,28.9
2018-01-05T00:10:42.614Z,,,50,,,,28.9
2018-01-05T00:10:52.615Z,,,50,,,35.5,28.9
2018-01-05T00:11:02.615Z,,,50,,,,28.9
2018-01-05T00:11:12.615Z,,,50,,,,28.9
2018-01-05T00:11:22.616Z,,,50,,,,28.9
2018-01-05T00:11:32.665Z,,,50,,,,28.9
2018-01-05T00:11:42.615Z,,,50,,,,28.9
2018-01-05T00:11:52.617Z,,,50,,,,28.9
2018-01-05T00:12:02.615Z,,,50,,,,28.9
2018-01-05T00:12:12.627Z,,,50,,,,28.9
2018-01-05T00:12:22.615Z,,,50,,,,28.9
2018-01-05T00:12:32.615Z,,,50,,,35.4,28.9
2018-01-05T00:12:42.614Z,,,50,,,,28.9
2018-01-05T00:12:52.615Z,,,50,,,,28.9
2018-01-05T00:13:02.617Z,,,50,,,,28.9
2018-01-05T00:13:12.614Z,,,50,,,,28.9
2018-01-05T00:13:22.615Z,,,50,,,,28.9
2018-01-05T00:13:32.616Z,,,50,,,,28.9
2018-01-05T00:13:42.615Z,,,50,,,,28.9
2018-01-05T00:13:52.614Z,,,50,,,,28.9
2018-01-05T00:14:02.614Z,,,50,,,,28.9
2018-01-05T00:14:12.615Z,,,50,,,,28.7
2018-01-05T00:14:22.615Z,,,50,,,35.3,28.7
2018-01-05T00:14:32.615Z,,,50,,,,28.7
2018-01-05T00:14:42.615Z,,,50,,,,28.7
2018-01-05T00:14:52.614Z,,,50,,,,28.7
2018-01-05T00:15:02.615Z,,,50,,,,28.7
2018-01-05T00:15:12.614Z,,,50,,,,28.7
2018-01-05T00:15:22.615Z,,,50,,,,28.7
2018-01-05T00:15:32.618Z,,,50,,,,28.7
2018-01-05T00:15:42.614Z,,,50,,,,28.7
2018-01-05T00:15:52.615Z,,,50,,,,28.7
2018-01-05T00:16:02.615Z,,,50,,,,28.7
2018-01-05T00:16:12.615Z,,,50,,,35.2,28.7
2018-01-05T00:16:22.616Z,,,50,,,,28.7
2018-01-05T00:16:32.614Z,,,50,,,,28.7
2018-01-05T00:16:42.614Z,,,50,,,,28.7
2018-01-05T00:16:52.614Z,,,50,,,,28.7
2018-01-05T00:17:02.614Z,,,50,,,,28.7
2018-01-05T00:17:12.615Z,,,50,,,,28.7
2018-01-05T00:17:22.615Z,0,44,50,,2,36.2,28.6
2018-01-05T00:17:32.625Z,,33,50,,,41.1,28.6
2018-01-05T00:17:42.614Z,,29,50,,,38.8,28.6
2018-01-05T00:17:52.615Z,,30,50,,,36.8,28.6
2018-01-05T00:18:02.615Z,,30,50,,,34.8,28.7
2018-01-05T00:18:12.614Z,,29,50,,,33.8,28.6
2018-01-05T00:18:22.615Z,,,50,,,33.5,28.6
2018-01-05T00:18:32.615Z,,,50,,,34,28.6
2018-01-05T00:18:42.614Z,,,50,,,34.3,28.6
2018-01-05T00:18:52.615Z,,,50,,,34.7,28.6
2018-01-05T00:19:02.615Z,,30,50,,,35.1,28.6
2018-01-05T00:19:12.615Z,,29,50,,,35.3,28.6
2018-01-05T00:19:22.615Z,,,50,,,35.4,28.6
2018-01-05T00:19:32.615Z,,,50,,,35.6,28.6
2018-01-05T00:19:42.615Z,,30,50,,,35.8,28.6
2018-01-05T00:19:52.615Z,,29,50,,,36,28.6
2018-01-05T00:20:02.615Z,,30,50,,,36.2,28.6
2018-01-05T00:20:12.615Z,,29,50,,,36.4,28.6
2018-01-05T00:20:22.614Z,,30,50,,,36.6,28.6
2018-01-05T00:20:32.615Z,,29,50,,,37.1,28.6
2018-01-05T00:20:42.615Z,,,50,,,,28.6
2018-01-05T00:20:52.614Z,,30,50,,,37.3,28.6
2018-01-05T00:21:02.615Z,,,50,,,37.4,28.6
2018-01-05T00:21:12.614Z,,29,50,,,37.6,28.6
2018-01-05T00:21:22.614Z,,,50,,,37.7,28.6
2018-01-05T00:21:32.615Z,,,50,,,38,28.6
2018-01-05T00:21:42.614Z,,,50,,,,28.6
2018-01-05T00:21:52.615Z,,,50,,,38.2,28.6
2018-01-05T00:22:02.616Z,,,50,,,38.3,28.6
2018-01-05T00:22:12.615Z,,,50,,,38.4,28.6
2018-01-05T00:22:22.614Z,,,50,,,38.6,28.6
2018-01-05T00:22:32.614Z,,30,50,,,38.8,28.6
2018-01-05T00:22:42.615Z,,,50,,,39.1,28.6
2018-01-05T00:22:52.614Z,,29,50,,,,28.6
2018-01-05T00:23:02.615Z,,,50,,,39.3,28.7
2018-01-05T00:23:12.615Z,,,50,,,39.4,28.6
2018-01-05T00:23:22.614Z,,,50,,,39.6,28.6
2018-01-05T00:23:32.616Z,,,50,,,39.8,28.7
2018-01-05T00:23:42.614Z,,,50,,,40,28.7
2018-01-05T00:23:52.615Z,,,50,,,40.1,28.7
2018-01-05T00:24:02.615Z,,,50,,,40.2,28.7
2018-01-05T00:24:12.614Z,,,50,,,40.4,28.7
2018-01-05T00:24:22.614Z,,30,50,,,40.5,28.7
2018-01-05T00:24:32.618Z,,,50,,,40.7,28.7
2018-01-05T00:24:42.614Z,,29,50,,,40.8,28.7
2018-01-05T00:24:52.615Z,,30,50,,,41,28.7
2018-01-05T00:25:02.614Z,,29,50,,,41.1,28.7
2018-01-05T00:25:12.615Z,,30,50,,,41.3,28.7
2018-01-05T00:25:22.614Z,,,50,,,41.4,28.9
2018-01-05T00:25:32.614Z,,29,50,,,41.5,28.9
2018-01-05T00:25:42.614Z,,30,50,,,41.7,28.9
2018-01-05T00:25:52.614Z,,29,50,,,41.8,28.9
2018-01-05T00:26:02.617Z,,30,50,,,42,28.9
2018-01-05T00:26:12.614Z,,29,50,,,42.1,28.9
2018-01-05T00:26:22.614Z,0,0,50,,2,40.7,28.9
2018-01-05T00:26:32.615Z,,,50,,,38.8,28.9
2018-01-05T00:26:42.615Z,,,50,,,37.9,28.9
2018-01-05T00:26:52.614Z,,,50,,,37.7,28.9
2018-01-05T00:27:02.625Z,,,50,,,37.5,29
2018-01-05T00:27:12.616Z,,,50,,,,29
2018-01-05T00:27:22.614Z,,,50,,,,29
2018-01-05T00:27:32.615Z,,,50,,,,29
2018-01-05T00:27:42.650Z,,,50,,,37.4,29
2018-01-05T00:27:52.614Z,,,50,,,37.3,29
2018-01-05T00:28:02.621Z,,,50,,,37.2,29
2018-01-05T00:28:12.614Z,,,50,,,37.1,29
2018-01-05T00:28:22.619Z,,,50,,,37.1,29
2018-01-05T00:28:32.615Z,,,50,,,37.1,29
2018-01-05T00:28:42.620Z,,,50,,,36.9,29.1
2018-01-05T00:28:52.614Z,,,50,,,,29.1
2018-01-05T00:29:02.614Z,,,50,,,,29.1
2018-01-05T00:29:12.614Z,,,50,,,36.8,29.1
2018-01-05T00:29:22.614Z,,,50,,,36.7,29.1
2018-01-05T00:29:32.615Z,,,50,,,,29.1
2018-01-05T00:29:42.616Z,,,50,,,,29.1
2018-01-05T00:29:52.614Z,,,50,,,,29.1
2018-01-05T00:30:02.649Z,,,50,,,,29.1
2018-01-05T00:30:12.614Z,,,50,,,,29.1
2018-01-05T00:30:22.614Z,,,50,,,,29.1
2018-01-05T00:30:32.614Z,,,50,,,,29.1
2018-01-05T00:30:42.614Z,,,50,,,,29.2
2018-01-05T00:30:52.614Z,,,50,,,,29.2
2018-01-05T00:31:02.614Z,,,50,,,,29.2
2018-01-05T00:31:12.614Z,,,50,,,,29.2
2018-01-05T00:31:22.614Z,,,50,,,,29.2
2018-01-05T00:31:32.615Z,,,50,,,,29.2
2018-01-05T00:31:42.614Z,,,50,,,,29.2
2018-01-05T00:31:52.614Z,,,50,,,,29.2
2018-01-05T00:32:02.614Z,,,50,,,,29.2
2018-01-05T00:32:12.614Z,,,50,,,,29.2
2018-01-05T00:32:22.615Z,,,50,,,,29.2
2018-01-05T00:32:32.614Z,,,50,,,36.8,29.2
2018-01-05T00:32:42.614Z,,,50,,,,29.2
2018-01-05T00:32:52.614Z,,,50,,,,29.2
2018-01-05T00:33:02.614Z,,,50,,,,29.2
2018-01-05T00:33:12.619Z,,,50,,,36.9,29.2
2018-01-05T00:33:22.615Z,,,50,,,,29.2
2018-01-05T00:33:32.614Z,,,50,,,,29.2
2018-01-05T00:33:42.614Z,,,50,,,37.1,29.2
2018-01-05T00:33:52.623Z,,,50,,,37.1,29.2
2018-01-05T00:34:02.614Z,,,50,,,,29.3
2018-01-05T00:34:12.614Z,,,50,,,,29.2
2018-01-05T00:34:22.614Z,,,50,,,,29.2
2018-01-05T00:34:32.614Z,,,50,,,37.2,29.3
2018-01-05T00:34:42.614Z,,,50,,,37.1,29.3
2018-01-05T00:34:52.614Z,,,50,,,37.2,29.3
2018-01-05T00:35:02.614Z,,,50,,,,29.3
2018-01-05T00:35:12.614Z,,,50,,,,29.3
2018-01-05T00:35:22.616Z,,,50,,,,29.3
2018-01-05T00:35:32.616Z,,,50,,,,29.3
2018-01-05T00:35:42.616Z,,,50,,,,29.3
2018-01-05T00:35:52.614Z,,,50,,,,29.3
2018-01-05T00:36:02.614Z,,,50,,,,29.3
2018-01-05T00:36:12.615Z,,,50,,,,29.3
2018-01-05T00:36:22.637Z,,,50,,,,29.3
2018-01-05T00:36:32.614Z,,,50,,,,29.3
2018-01-05T00:36:42.614Z,,,50,,,,29.3
2018-01-05T00:36:52.614Z,,,50,,,,29.3
2018-01-05T00:37:02.614Z,,,50,,,,29.3
2018-01-05T00:37:12.618Z,,,50,,,,29.3
2018-01-05T00:37:22.614Z,,,50,,,,29.3
2018-01-05T00:37:32.617Z,,,50,,,,29.3
2018-01-05T00:37:42.614Z,,,50,,,37.1,29.3
2018-01-05T00:37:52.614Z,,,50,,,,29.3
2018-01-05T00:38:02.614Z,,,50,,,,29.3
2018-01-05T00:38:12.614Z,,,50,,,,29.3
2018-01-05T00:38:22.614Z,,,50,,,,29.3
2018-01-05T00:38:32.614Z,,,50,,,,29.3
2018-01-05T00:38:42.614Z,,,50,,,,29.3
2018-01-05T00:38:52.614Z,,,50,,,,29.3
2018-01-05T00:39:02.614Z,,,50,,,,29.3
2018-01-05T00:39:12.614Z,,,50,,,36.9,29.3
2018-01-05T00:39:22.614Z,,,50,,,,29.3
2018-01-05T00:39:32.614Z,,,50,,,,29.3
2018-01-05T00:39:42.614Z,,,50,,,,29.3
2018-01-05T00:39:52.614Z,,,50,,,,29.3
2018-01-05T00:40:02.614Z,,,50,,,,29.3
2018-01-05T00:40:12.615Z,,,50,,,,29.3
2018-01-05T00:40:22.614Z,,,50,,,,29.3
2018-01-05T00:40:32.615Z,,,50,,,,29.3
2018-01-05T00:40:42.615Z,,,50,,,36.8,29.3
2018-01-05T00:40:52.614Z,,,50,,,,29.3
2018-01-05T00:41:02.614Z,,,50,,,,29.3
2018-01-05T00:41:12.615Z,,,50,,,,29.3
2018-01-05T00:41:22.614Z,,,50,,,,29.3
2018-01-05T00:41:32.614Z,,,50,,,,29.3
2018-01-05T00:41:42.614Z,0,0,50,59,2,36.8,29.3
2018-01-05T00:41:52.614Z,,,50,,,,29.2
2018-01-05T00:42:02.614Z,,,50,,,36.7,29.3
2018-01-05T00:42:12.614Z,,,50,,,,29.3
2018-01-05T00:42:22.708Z,,,50,,,,29.3
2018-01-05T00:42:32.614Z,,,50,,,,29.2
2018-01-05T00:42:42.614Z,,,50,,,,29.2
2018-01-05T00:42:52.614Z,,,50,,,,29.2
2018-01-05T00:43:02.664Z,,,50,,,,29.2
2018-01-05T00:43:12.614Z,,,50,,,,29.2
2018-01-05T00:43:22.614Z,,,50,,,36.6,29.2
2018-01-05T00:43:32.615Z,,,50,,,,29.2
2018-01-05T00:43:42.618Z,,,50,,,,29.2
2018-01-05T00:43:52.614Z,,,50,,,,29.2
2018-01-05T00:44:02.614Z,,,50,,,,29.2
