Time,ActPow,ChActive,HwActive,PrimTSet,PrimT,HwTOutlet,HwTSet
2017-11-21T00:27:01.311Z,,,,,26.9,27.5,52
2017-11-21T00:27:11.312Z,,,,,24.9,,
2017-11-21T00:27:21.311Z,,,,,24.8,,
2017-11-21T00:27:31.311Z,,,,,24.2,27.4,52
2017-11-21T00:27:41.391Z,,,,,24,27.4,52
2017-11-21T00:27:51.311Z,,0,0,5,24,27.4,52
2017-11-21T00:28:01.316Z,,,,,24,,
2017-11-21T00:28:11.311Z,,,,,23.9,27.4,52
2017-11-21T00:28:41.501Z,,,,,,27.3,52
2017-11-21T00:28:51.311Z,,,,,23.7,27.3,52
2017-11-21T00:29:01.311Z,,,,,23.6,,
2017-11-21T00:29:11.311Z,,,,,,27.2,52
2017-11-21T00:29:31.326Z,,,,,,27.2,52
2017-11-21T00:29:41.395Z,,,,,,27.2,52
2017-11-21T00:29:51.314Z,,,,,,27.2,52
2017-11-21T00:30:01.314Z,,,,,,27.2,52
2017-11-21T00:30:21.311Z,,,,,,27.1,52
2017-11-21T00:30:31.316Z,,,,,23.7,,
2017-11-21T00:30:51.311Z,,,,,,27.1,52
2017-11-21T00:31:01.311Z,,,,,,27.1,52
2017-11-21T00:31:21.316Z,,,,,,26.9,52
2017-11-21T00:31:51.315Z,,,,,23.9,26.9,52
2017-11-21T00:32:01.312Z,,,,,,26.9,52
2017-11-21T00:32:11.311Z,,,,,24,26.8,52
2017-11-21T00:32:21.311Z,,,,,24,,
2017-11-21T00:32:41.451Z,,,,,24.1,26.8,52
2017-11-21T00:32:51.311Z,,,,,24.2,26.8,52
2017-11-21T00:33:01.316Z,,,,,24.6,26.8,52
2017-11-21T00:33:11.315Z,,,,,24.7,26.8,52
2017-11-21T00:33:21.312Z,,,,,,26.7,52
2017-11-21T00:33:31.311Z,,,,,24.8,,
2017-11-21T00:33:41.391Z,,,,,,26.7,52
2017-11-21T00:33:51.318Z,,,,,25.3,26.7,52
2017-11-21T00:34:01.313Z,,,,,25.5,26.7,52
2017-11-21T00:34:11.311Z,,,,,25.7,26.7,52
2017-11-21T00:34:21.315Z,,,,,,26.7,52
2017-11-21T00:34:31.310Z,,,,,25.8,,
2017-11-21T00:34:41.390Z,,,,,26,,
2017-11-21T00:34:51.312Z,,,,,26.4,26.6,52
2017-11-21T00:35:01.313Z,,,,,26.5,26.6,52
2017-11-21T00:35:11.316Z,,,,,26.7,26.6,52
2017-11-21T00:35:21.311Z,,,,,,26.5,52
2017-11-21T00:35:31.317Z,,,,,26.9,,
2017-11-21T00:35:41.391Z,,,,,27,,
2017-11-21T00:35:51.311Z,,,,,27.2,26.5,52
2017-11-21T00:36:01.317Z,,,,,27.6,26.5,52
2017-11-21T00:36:11.311Z,,,,,27.7,26.5,52
2017-11-21T00:36:21.311Z,,,,,,26.5,52
2017-11-21T00:36:31.311Z,,,,,27.8,,
2017-11-21T00:36:41.392Z,,,,,28,,
2017-11-21T00:36:51.311Z,,,,,28.1,26.5,52
2017-11-21T00:37:01.311Z,,,,,28.4,26.3,52
2017-11-21T00:37:11.310Z,,,,,,26.3,52
2017-11-21T00:37:21.311Z,,,,,28.6,,
2017-11-21T00:37:31.311Z,,,,,28.7,26.3,52
2017-11-21T00:37:51.315Z,,,,,28.8,26.2,52
2017-11-21T00:38:11.311Z,,,,,28.9,26.2,52
2017-11-21T00:38:21.311Z,,,,,,26.2,52
2017-11-21T00:38:51.314Z,,,,,,26.2,52
2017-11-21T00:39:11.311Z,,,,,28.8,26.2,52
