Time,HwTSet,HwActive,ChActive,PrimTSet,ActPow,HwTOutlet,PrimT
2018-01-13T00:17:41.398Z,50,,,,,34.6,
2018-01-13T00:17:51.383Z,50,,,,,34.5,
2018-01-13T00:18:01.398Z,50,,,,,34.5,
2018-01-13T00:18:11.383Z,50,,,,,34.4,
2018-01-13T00:18:21.397Z,50,,,,,34.4,
2018-01-13T00:18:31.386Z,50,,,,,34.3,
2018-01-13T00:18:41.384Z,50,,,,,34.3,
2018-01-13T00:18:51.383Z,50,0,0,5,,34.3,
2018-01-13T00:19:01.383Z,50,0,2,59,,34.2,
2018-01-13T00:19:11.382Z,50,,,,,34.2,
2018-01-13T00:19:21.382Z,50,0,0,5,,34.1,
2018-01-13T00:19:31.382Z,50,,,,,34.1,
2018-01-13T00:19:41.382Z,50,,,,,34.1,
2018-01-13T00:19:51.386Z,50,,,,,34,
2018-01-13T00:20:01.383Z,50,,,,,34,
2018-01-13T00:20:11.395Z,50,,,,,33.9,
2018-01-13T00:20:21.387Z,50,,,,,33.9,
2018-01-13T00:20:31.382Z,50,,,,,33.9,
2018-01-13T00:20:41.384Z,50,,,,,33.8,
2018-01-13T00:20:51.382Z,50,,,,,33.8,
2018-01-13T00:21:01.382Z,50,,,,,33.7,
2018-01-13T00:21:11.383Z,50,,,,,33.7,
2018-01-13T00:21:21.382Z,50,,,,,33.7,
2018-01-13T00:21:31.388Z,50,,,,,33.6,
2018-01-13T00:21:41.382Z,50,,,,,33.6,
2018-01-13T00:21:51.386Z,50,,,,,33.6,
2018-01-13T00:22:01.383Z,50,,,,,33.5,36
2018-01-13T00:22:11.389Z,50,,,,,33.5,36
2018-01-13T00:22:21.383Z,50,,,,,33.5,35.9
2018-01-13T00:22:31.382Z,50,,,,,33.4,35.9
2018-01-13T00:22:41.383Z,50,,,,,33.4,
2018-01-13T00:22:51.383Z,50,,,,,33.4,35.9
2018-01-13T00:23:01.383Z,50,,,,,33.3,
2018-01-13T00:23:11.387Z,50,,,,,33.3,
2018-01-13T00:23:21.385Z,50,,,,,33.2,
2018-01-13T00:23:31.396Z,50,,,,,33.2,
2018-01-13T00:23:41.392Z,50,,,,,33.2,
2018-01-13T00:23:51.402Z,50,,,,,33.1,
2018-01-13T00:24:01.398Z,50,,,,,33.1,
2018-01-13T00:24:11.388Z,50,,,,,33.1,
2018-01-13T00:24:21.393Z,50,,,,,33.1,
2018-01-13T00:24:31.394Z,50,,,,,32.9,
2018-01-13T00:24:41.382Z,50,,,,,32.9,
2018-01-13T00:24:51.382Z,50,,,,,32.9,
2018-01-13T00:25:01.383Z,50,,,,,32.8,
2018-01-13T00:25:11.396Z,50,,,,,32.8,
2018-01-13T00:25:21.383Z,50,,,,,32.8,35.8
2018-01-13T00:25:31.383Z,50,,,,,32.7,35.9
2018-01-13T00:25:41.383Z,50,,,,,32.7,35.8
2018-01-13T00:25:51.382Z,50,,,,,32.7,
2018-01-13T00:26:01.384Z,50,,,,,32.7,
2018-01-13T00:26:11.383Z,50,,,,,32.6,
2018-01-13T00:26:21.383Z,50,,,,,32.6,
2018-01-13T00:26:31.382Z,50,,,,,32.6,
2018-01-13T00:26:41.383Z,50,,,,,32.6,
2018-01-13T00:26:51.383Z,50,,,,,32.5,
2018-01-13T00:27:01.382Z,50,,,,,32.5,
2018-01-13T00:27:11.423Z,50,,,,,32.5,
2018-01-13T00:27:21.416Z,50,,,,,32.4,
2018-01-13T00:27:31.383Z,50,,,,,32.4,
2018-01-13T00:27:41.396Z,50,,,,,32.4,
2018-01-13T00:27:51.382Z,50,,,,,32.3,
2018-01-13T00:28:01.458Z,50,,,,,32.3,
2018-01-13T00:28:11.389Z,50,,,,,32.3,
2018-01-13T00:28:21.396Z,50,,,,,32.3,
2018-01-13T00:28:31.388Z,50,,,,,32.2,35.7
2018-01-13T00:28:41.384Z,50,,,,,32.2,
2018-01-13T00:28:51.394Z,50,,,,,32.2,
2018-01-13T00:29:01.382Z,50,,,,,32.2,
2018-01-13T00:29:11.383Z,50,,,,,32.2,
2018-01-13T00:29:21.382Z,50,,,,,32.1,
2018-01-13T00:29:31.390Z,50,,,,,32.1,
2018-01-13T00:29:41.383Z,50,,,,,32.1,
2018-01-13T00:29:51.382Z,50,,,,,32.1,
2018-01-13T00:30:01.386Z,50,,,,,32,
2018-01-13T00:30:11.383Z,50,,,,,32,
2018-01-13T00:30:21.383Z,50,,,,,32,
2018-01-13T00:30:31.382Z,50,,,,,32,
2018-01-13T00:30:41.383Z,50,,,,,31.9,
2018-01-13T00:30:51.382Z,50,,,,,31.9,
2018-01-13T00:31:01.386Z,50,,,,,31.9,
2018-01-13T00:31:11.383Z,50,,,,,31.9,35.6
2018-01-13T00:31:21.400Z,50,,,,,31.8,
2018-01-13T00:31:31.385Z,50,,,,,31.8,
