Time,HwActive,HwTSet,ActPow,PrimT,HwTOutlet,PrimTSet,ChActive
2018-02-01T00:21:08.876Z,,50,,,32.3,,
2018-02-01T00:21:28.899Z,,50,,,32.3,,
2018-02-01T00:21:38.875Z,,50,,,32.3,,
2018-02-01T00:21:48.877Z,,,,39.3,,,
2018-02-01T00:21:58.889Z,,50,,,32.3,,
2018-02-01T00:22:08.875Z,,50,,,32.3,,
2018-02-01T00:22:18.876Z,,,,39.4,,,
2018-02-01T00:22:28.876Z,,50,,,32.3,,
2018-02-01T00:22:38.902Z,,50,,,32.3,,
2018-02-01T00:22:58.876Z,,50,,39.5,32.3,,
2018-02-01T00:23:08.876Z,,50,,,32.3,,
2018-02-01T00:23:28.876Z,,50,,,32.3,,
2018-02-01T00:23:38.876Z,,50,,,32.3,,
2018-02-01T00:23:58.877Z,,50,,39.6,32.3,,
2018-02-01T00:24:08.877Z,,50,,,32.3,,
2018-02-01T00:24:28.877Z,,50,,,32.3,,
2018-02-01T00:24:38.886Z,,50,,,32.3,,
2018-02-01T00:24:58.877Z,,50,,,32.3,,
2018-02-01T00:25:08.876Z,,50,,,32.3,,
2018-02-01T00:25:28.876Z,,50,,,32.3,,
2018-02-01T00:25:38.877Z,,50,,,32.3,,
2018-02-01T00:25:58.877Z,,50,,,32.3,,
2018-02-01T00:26:08.876Z,,50,,,32.3,,
2018-02-01T00:26:28.876Z,,50,,,32.3,,
2018-02-01T00:26:38.876Z,,50,,,32.2,,
2018-02-01T00:26:48.876Z,,,,39.5,,,
2018-02-01T00:26:58.878Z,,50,,,32.2,,
2018-02-01T00:27:08.887Z,,50,,,32.2,,
2018-02-01T00:27:28.876Z,,50,,,32.2,,
2018-02-01T00:27:38.876Z,,50,,,32.2,,
2018-02-01T00:27:58.876Z,,50,,,32.2,,
2018-02-01T00:28:08.877Z,,50,,,32.2,,
2018-02-01T00:28:28.876Z,,50,,,32.2,,
2018-02-01T00:28:38.876Z,,50,,39.4,32.2,,
2018-02-01T00:28:48.876Z,0,50,38,43.3,32.2,,2
2018-02-01T00:28:58.877Z,,50,30,45.4,32.2,,
2018-02-01T00:29:08.876Z,,50,29,42.8,32.2,,
2018-02-01T00:29:18.876Z,,50,,41.8,32.2,,
2018-02-01T00:29:28.877Z,,50,29,40,32.2,,
2018-02-01T00:29:38.877Z,,,,39.5,,,
2018-02-01T00:29:48.876Z,,50,30,,32.1,,
2018-02-01T00:29:58.877Z,,50,29,39.8,32.2,,
2018-02-01T00:30:08.876Z,,,,40.2,,,
2018-02-01T00:30:18.877Z,,50,30,40.5,32.1,,
2018-02-01T00:30:28.876Z,,50,,,32.1,,
2018-02-01T00:30:38.877Z,,,29,40.8,,,
2018-02-01T00:30:48.877Z,,50,,41,32.1,,
2018-02-01T00:30:58.877Z,,50,,41.1,32.1,,
2018-02-01T00:31:08.877Z,,,30,41.3,,,
2018-02-01T00:31:18.877Z,,50,29,41.5,32.1,,
2018-02-01T00:31:28.876Z,,50,,,32.1,,
2018-02-01T00:31:38.876Z,,,30,41.8,,,
2018-02-01T00:31:48.882Z,,50,30,42,32.1,,
2018-02-01T00:31:58.877Z,,50,29,42.2,32.1,,
2018-02-01T00:32:08.877Z,,50,,,32.1,,
2018-02-01T00:32:18.876Z,,,,42.4,,,
2018-02-01T00:32:28.877Z,,50,30,42.7,32.1,,
2018-02-01T00:32:38.877Z,,50,,,32.1,,
2018-02-01T00:32:48.939Z,,50,29,42.9,32.1,,
2018-02-01T00:32:58.940Z,,50,,43.1,32.1,,
2018-02-01T00:33:08.923Z,,,30,43.2,,,
2018-02-01T00:33:18.877Z,,50,29,43.3,32.1,,
2018-02-01T00:33:28.907Z,,50,,,32.1,,
2018-02-01T00:33:38.890Z,,,,43.5,,,
2018-02-01T00:33:48.877Z,,50,,43.6,32.2,,
2018-02-01T00:33:58.877Z,,50,30,43.8,32.2,,
2018-02-01T00:34:08.877Z,,50,,,32.2,,
2018-02-01T00:34:18.876Z,,,29,44,,,
2018-02-01T00:34:28.877Z,,50,,44.1,32.2,,
2018-02-01T00:34:38.905Z,,50,,,32.2,,
2018-02-01T00:34:48.877Z,,,,44.4,,,
2018-02-01T00:34:58.877Z,,50,,44.5,32.2,,
2018-02-01T00:35:08.898Z,,50,,,32.2,,
2018-02-01T00:35:18.876Z,0,50,0,43.8,32.2,,2
2018-02-01T00:35:28.877Z,,50,,41.6,32.2,,
2018-02-01T00:35:38.877Z,,,,40.5,,,
2018-02-01T00:35:48.879Z,,50,,40.1,32.2,,
2018-02-01T00:35:58.877Z,,50,,39.9,32.3,,
2018-02-01T00:36:18.877Z,,50,,40,32.2,,
2018-02-01T00:36:28.877Z,,50,,39.9,32.3,,
2018-02-01T00:36:48.877Z,,50,,39.8,32.3,,
2018-02-01T00:36:58.877Z,,50,,39.7,32.3,,
2018-02-01T00:37:08.877Z,,50,,,32.3,,
2018-02-01T00:37:18.877Z,,,,39.5,,,
2018-02-01T00:37:28.877Z,,50,,,32.3,,
2018-02-01T00:37:38.877Z,,50,,,32.3,,
2018-02-01T00:37:48.877Z,,,,39.4,,,
2018-02-01T00:37:58.877Z,,50,,,32.3,,
2018-02-01T00:38:08.877Z,,50,,,32.3,,
2018-02-01T00:38:18.877Z,0,50,0,39.3,32.3,59,2
2018-02-01T00:38:38.877Z,,50,,39.2,32.3,,
2018-02-01T00:38:48.877Z,,50,,,32.3,,
2018-02-01T00:38:58.877Z,,50,,,32.3,,
2018-02-01T00:39:18.878Z,,50,,,32.3,,
2018-02-01T00:39:28.878Z,,50,,,32.3,,
2018-02-01T00:39:48.878Z,,50,,,32.3,,
2018-02-01T00:39:58.878Z,,50,,,32.3,,
2018-02-01T00:40:08.878Z,,50,,,32.3,,
2018-02-01T00:40:28.878Z,,50,,,32.3,,
2018-02-01T00:40:38.878Z,,50,,,32.3,,
2018-02-01T00:40:58.879Z,,50,,39.3,32.3,,
2018-02-01T00:41:08.878Z,,50,,,32.3,,
2018-02-01T00:41:28.878Z,,50,,,32.3,,
2018-02-01T00:41:38.878Z,,50,,,32.3,,
2018-02-01T00:41:48.878Z,,,,39.4,,,
2018-02-01T00:41:58.878Z,,50,,,32.3,,
2018-02-01T00:42:08.878Z,,50,,,32.3,,
2018-02-01T00:42:18.878Z,,,,39.5,,,
2018-02-01T00:42:28.880Z,,50,,,32.3,,
2018-02-01T00:42:38.878Z,,50,,,32.3,,
2018-02-01T00:42:58.878Z,,50,,,32.3,,
2018-02-01T00:43:08.878Z,,50,,,32.3,,
2018-02-01T00:43:18.878Z,,,,39.6,,,
2018-02-01T00:43:28.878Z,,50,,,32.3,,
2018-02-01T00:43:38.885Z,,50,,,32.3,,
2018-02-01T00:43:58.878Z,,50,,,32.3,,
2018-02-01T00:44:08.878Z,,50,,,32.3,,
2018-02-01T00:44:28.878Z,,50,,,32.3,,
2018-02-01T00:44:38.878Z,,50,,,32.3,,
2018-02-01T00:44:48.878Z,,50,,,32.3,,
2018-02-01T00:44:58.879Z,0,50,,,32.3,,2
2018-02-01T00:45:08.879Z,,50,37,44.2,32.3,,
2018-02-01T00:45:18.878Z,,50,29,44.7,32.3,,
2018-02-01T00:45:28.878Z,,50,29,43.2,32.3,,
2018-02-01T00:45:38.878Z,,50,30,42,32.3,,
2018-02-01T00:45:48.878Z,,50,29,41.1,32.3,,
2018-02-01T00:45:58.878Z,,50,,40.8,32.3,,
2018-02-01T00:46:08.878Z,,50,,40.9,32.3,,
2018-02-01T00:46:18.878Z,,,,41.3,,,
2018-02-01T00:46:28.878Z,,50,30,41.7,32.3,,
2018-02-01T00:46:38.910Z,,50,29,41.9,32.3,,
2018-02-01T00:46:48.878Z,,,30,42.1,,,
2018-02-01T00:46:58.878Z,,50,,42.2,32.3,,
2018-02-01T00:47:08.878Z,,50,,,32.3,,
2018-02-01T00:47:18.878Z,,,29,42.6,,,
2018-02-01T00:47:28.878Z,,50,,42.8,32.3,,
2018-02-01T00:47:38.878Z,,50,,42.9,32.3,,
2018-02-01T00:47:48.879Z,,,,43.1,,,
2018-02-01T00:47:58.878Z,,50,,43.2,32.3,,
2018-02-01T00:48:08.878Z,,50,,,32.3,,
2018-02-01T00:48:18.878Z,,,,43.5,,,
2018-02-01T00:48:28.878Z,,50,,43.6,32.3,,
2018-02-01T00:48:38.879Z,1,50,29,44,40,0,0
2018-02-01T00:48:48.878Z,0,50,0,43.6,41.4,,0
2018-02-01T00:48:58.879Z,0,50,,43.9,44.7,,0
2018-02-01T00:49:08.906Z,,,,43.7,,,
2018-02-01T00:49:18.878Z,,50,,,44.6,,
2018-02-01T00:49:38.878Z,,50,,,44.2,,
2018-02-01T00:49:48.878Z,,50,,,44,,
2018-02-01T00:49:58.879Z,0,50,,,43.9,59,2
2018-02-01T00:50:18.878Z,,50,,,43.6,,
2018-02-01T00:50:28.880Z,,50,,,43.5,,
2018-02-01T00:50:48.878Z,,50,,,43.2,,
2018-02-01T00:50:58.878Z,,50,,,43.1,,
2018-02-01T00:51:08.878Z,,50,,,43,,
2018-02-01T00:51:18.995Z,,,,43.6,,,
2018-02-01T00:51:28.878Z,,50,,,42.7,,
2018-02-01T00:51:38.907Z,1,50,,44.3,42.6,0,0
2018-02-01T00:51:48.881Z,1,50,0,42.7,43.5,,0
2018-02-01T00:51:58.878Z,1,50,37,41.9,41.4,,0
2018-02-01T00:52:08.879Z,,50,45,42,41.8,,
2018-02-01T00:52:18.878Z,,50,39,43.6,43.3,,
2018-02-01T00:52:28.879Z,0,50,0,43.9,44.3,,0
2018-02-01T00:52:38.878Z,,,,43.6,,,
2018-02-01T00:52:48.878Z,,50,,,44,,
2018-02-01T00:52:58.883Z,,50,,,43.9,,
2018-02-01T00:53:18.879Z,,50,,43.5,43.7,,
2018-02-01T00:53:28.879Z,1,50,,43,43.3,,0
2018-02-01T00:53:38.878Z,,,32,42.1,,,
2018-02-01T00:53:48.879Z,0,50,0,41.9,41.8,,0
2018-02-01T00:53:58.878Z,,50,,41.8,41.7,,
2018-02-01T00:54:18.879Z,,50,,,41.6,,
2018-02-01T00:54:28.878Z,,50,,,41.4,,
2018-02-01T00:54:38.878Z,,50,,,41.3,,
2018-02-01T00:54:48.878Z,1,,40,41.3,,,0
2018-02-01T00:54:58.889Z,0,50,0,42.6,42.3,,0
2018-02-01T00:55:08.878Z,,50,,41.7,42.3,,
2018-02-01T00:55:18.878Z,,,,41.5,,,
2018-02-01T00:55:28.878Z,,50,,,42.1,,
2018-02-01T00:55:48.883Z,,50,,,41.9,,
2018-02-01T00:55:58.878Z,0,50,,,41.8,59,2
2018-02-01T00:56:08.878Z,,50,,,41.7,,
2018-02-01T00:56:28.878Z,,50,,,41.6,,
2018-02-01T00:56:38.878Z,,50,,,41.5,,
2018-02-01T00:56:58.878Z,,50,,,41.3,,
2018-02-01T00:57:08.878Z,,50,,,41.2,,
2018-02-01T00:57:18.879Z,,,,41.4,,,
2018-02-01T00:57:28.879Z,,50,,41.5,41.1,,
2018-02-01T00:57:38.878Z,,50,,,40.9,,
2018-02-01T00:57:48.878Z,,,,41.5,,,
2018-02-01T00:57:58.879Z,,50,,,40.8,,
2018-02-01T00:58:08.879Z,,50,,,40.7,,
2018-02-01T00:58:28.879Z,,50,,,40.5,,
2018-02-01T00:58:38.878Z,,50,,,40.4,,
2018-02-01T00:58:58.879Z,,50,,,40.3,,
2018-02-01T00:59:08.879Z,,50,,,40.2,,
2018-02-01T00:59:28.880Z,0,50,,41.8,40.1,,2
2018-02-01T00:59:38.880Z,,50,38,45.9,40,,
2018-02-01T00:59:48.882Z,,50,30,44.5,39.9,,
2018-02-01T00:59:58.884Z,,50,29,42.8,39.8,,
2018-02-01T01:00:08.892Z,,,,40.5,,,
2018-02-01T01:00:18.879Z,,50,29,39.7,39.8,,
2018-02-01T01:00:28.879Z,,50,,39.1,39.6,,
2018-02-01T01:00:38.879Z,,50,,,39.5,,
2018-02-01T01:00:48.883Z,,50,,39.9,39.5,,
2018-02-01T01:00:58.886Z,,50,30,40.3,39.4,,
