Time,HwTOutlet,PrimT,HwTSet,PrimTSet,ChActive,HwActive,ActPow
2018-01-21T00:17:39.162Z,31.2,35.2,50,,,,
2018-01-21T00:17:49.161Z,31.2,,50,,,,
2018-01-21T00:17:59.162Z,31.2,35.3,50,,,,
2018-01-21T00:18:09.162Z,31.2,35.4,50,,,,
2018-01-21T00:18:19.161Z,31.2,,50,,,,
2018-01-21T00:18:29.162Z,31.2,35.5,50,,,,
2018-01-21T00:18:39.161Z,31,35.6,50,,,,
2018-01-21T00:18:49.162Z,31,,50,,,,
2018-01-21T00:18:59.161Z,31,35.7,50,,,,
2018-01-21T00:19:09.162Z,31,35.8,50,,,,
2018-01-21T00:19:19.163Z,31,,50,,,,
2018-01-21T00:19:29.162Z,30.9,35.9,50,,,,
2018-01-21T00:19:39.161Z,30.9,36,50,,,,
2018-01-21T00:19:49.167Z,30.9,,50,,,,
2018-01-21T00:19:59.162Z,30.9,36.1,50,,,,
2018-01-21T00:20:09.162Z,30.9,36.2,50,,,,
2018-01-21T00:20:19.161Z,30.9,,50,,,,
2018-01-21T00:20:29.161Z,30.8,36.3,50,,,,
2018-01-21T00:20:39.161Z,30.8,,50,,,,
2018-01-21T00:20:49.162Z,30.8,36.4,50,,,,
2018-01-21T00:20:59.161Z,30.8,,50,,,,
2018-01-21T00:21:09.161Z,30.8,36.5,50,,,,
2018-01-21T00:21:19.161Z,30.8,,50,,,,
2018-01-21T00:21:29.162Z,30.7,36.6,50,,,,
2018-01-21T00:21:39.161Z,30.7,,50,,,,
2018-01-21T00:21:49.161Z,30.7,,50,,,,
2018-01-21T00:21:59.161Z,30.7,,50,,,,
2018-01-21T00:22:09.165Z,30.7,,50,,,,
2018-01-21T00:22:19.162Z,30.7,36.7,50,,,,
2018-01-21T00:22:29.161Z,30.7,36.6,50,,,,
2018-01-21T00:22:39.194Z,30.6,36.7,50,,,,
2018-01-21T00:22:49.161Z,30.6,,50,,,,
2018-01-21T00:22:59.161Z,30.6,36.6,50,,,,
2018-01-21T00:23:09.163Z,30.6,,50,,,,
2018-01-21T00:23:19.161Z,30.6,,50,,,,
2018-01-21T00:23:29.162Z,30.6,,50,,,,
2018-01-21T00:23:39.163Z,30.4,,50,,,,
2018-01-21T00:23:49.162Z,30.4,,50,,,,
2018-01-21T00:23:59.162Z,30.4,36.5,50,,,,
2018-01-21T00:24:09.162Z,30.4,,50,,,,
2018-01-21T00:24:19.161Z,30.4,,50,,,,
2018-01-21T00:24:29.162Z,30.4,,50,,,,
2018-01-21T00:24:39.161Z,30.4,36.4,50,,,,
2018-01-21T00:24:49.161Z,30.3,,50,,,,
2018-01-21T00:24:59.161Z,30.4,,50,,,,
2018-01-21T00:25:09.163Z,30.3,,50,,,,
2018-01-21T00:25:19.161Z,30.3,36.3,50,,,,
2018-01-21T00:25:29.161Z,30.3,,50,,,,
2018-01-21T00:25:39.162Z,30.3,,50,,,,
2018-01-21T00:25:49.162Z,30.3,36.2,50,,,,
2018-01-21T00:25:59.161Z,30.3,,50,,,,
2018-01-21T00:26:09.161Z,30.2,,50,,,,
2018-01-21T00:26:19.162Z,30.2,,50,,,,
2018-01-21T00:26:29.161Z,30.2,36.1,50,,,,
2018-01-21T00:26:39.161Z,30.2,,50,,,,
2018-01-21T00:26:49.161Z,30.2,,50,,,,
2018-01-21T00:26:59.161Z,30.2,36,50,,,,
2018-01-21T00:27:09.161Z,30.2,,50,,,,
2018-01-21T00:27:19.169Z,30.1,,50,,,,
2018-01-21T00:27:29.161Z,30.1,35.9,50,,,,
2018-01-21T00:27:39.171Z,30.1,,50,,,,
2018-01-21T00:27:49.162Z,30.1,,50,,,,
2018-01-21T00:27:59.161Z,30.1,35.8,50,,,,
2018-01-21T00:28:09.166Z,30.1,,50,,,,
2018-01-21T00:28:19.161Z,30.1,,50,,,,
2018-01-21T00:28:29.162Z,30.1,,50,,,,
2018-01-21T00:28:39.161Z,30,35.7,50,,,,
2018-01-21T00:28:49.161Z,30,,50,,,,
2018-01-21T00:28:59.162Z,30,,50,,,,
2018-01-21T00:29:09.161Z,30,35.6,50,,,,
2018-01-21T00:29:19.161Z,30,,50,,,,
2018-01-21T00:29:29.161Z,30,,50,,,,
2018-01-21T00:29:39.161Z,30,,50,,,,
2018-01-21T00:29:49.163Z,30,35.5,50,,,,
2018-01-21T00:29:59.226Z,29.8,,50,,,,
2018-01-21T00:30:09.161Z,29.8,,50,,,,
2018-01-21T00:30:19.161Z,29.8,,50,,,,
2018-01-21T00:30:29.205Z,29.8,35.4,50,,,,
2018-01-21T00:30:39.187Z,29.8,,50,,,,
2018-01-21T00:30:49.180Z,29.8,,50,,,,
2018-01-21T00:30:59.180Z,29.8,,50,,,,
2018-01-21T00:31:09.161Z,29.8,35.3,50,,,,
2018-01-21T00:31:19.161Z,29.8,,50,,,,
2018-01-21T00:31:29.161Z,29.7,,50,,,,
2018-01-21T00:31:39.161Z,29.7,,50,,,,
2018-01-21T00:31:49.162Z,29.7,35.2,50,,,,
2018-01-21T00:31:59.161Z,29.7,,50,,,,
2018-01-21T00:32:09.161Z,29.7,,50,,,,
2018-01-21T00:32:19.161Z,29.7,35.1,50,,,,
2018-01-21T00:32:29.161Z,29.7,,50,,,,
2018-01-21T00:32:39.161Z,29.7,,50,,,,
2018-01-21T00:32:49.161Z,29.6,,50,,,,
2018-01-21T00:32:59.161Z,29.6,,50,,,,
2018-01-21T00:33:09.163Z,29.6,,50,,,,
2018-01-21T00:33:19.161Z,29.6,34.9,50,,,,
2018-01-21T00:33:29.161Z,29.6,,50,,,,
2018-01-21T00:33:39.161Z,29.6,,50,,,,
2018-01-21T00:33:49.173Z,29.6,39.1,50,,1,0,38
2018-01-21T00:33:59.161Z,29.6,39.6,50,,,,29
2018-01-21T00:34:09.162Z,29.6,36.7,50,,,,29
2018-01-21T00:34:19.161Z,29.6,34.8,50,,,,
2018-01-21T00:34:29.161Z,29.5,33.6,50,,,,
2018-01-21T00:34:39.161Z,29.5,33.2,50,,,,
2018-01-21T00:34:49.161Z,29.5,33.5,50,,,,
2018-01-21T00:34:59.161Z,29.5,34,50,,,,29
2018-01-21T00:35:09.161Z,29.5,34.3,50,,,,
2018-01-21T00:35:19.161Z,29.5,34.5,50,,,,
2018-01-21T00:35:29.161Z,29.5,34.6,50,,,,
2018-01-21T00:35:39.161Z,29.5,34.7,50,,,,
2018-01-21T00:35:49.161Z,29.5,35.1,50,,,,
2018-01-21T00:35:59.163Z,29.3,35.2,50,,,,30
2018-01-21T00:36:09.161Z,29.5,35.5,50,,,,29
2018-01-21T00:36:19.161Z,29.5,35.7,50,,,,30
2018-01-21T00:36:29.161Z,29.3,35.9,50,,,,29
2018-01-21T00:36:39.161Z,29.3,36.1,50,,,,30
2018-01-21T00:36:49.161Z,29.3,36.3,50,,,,29
2018-01-21T00:36:59.161Z,29.3,36.5,50,,,,
2018-01-21T00:37:09.161Z,29.3,36.6,50,,,,30
2018-01-21T00:37:19.161Z,29.3,36.8,50,,,,29
2018-01-21T00:37:29.163Z,29.3,37.1,50,,,,
2018-01-21T00:37:39.161Z,29.3,37.2,50,,,,
2018-01-21T00:37:49.161Z,29.3,37.4,50,,,,30
2018-01-21T00:37:59.161Z,29.3,37.5,50,,,,29
2018-01-21T00:38:09.161Z,29.3,37.7,50,,,,
2018-01-21T00:38:19.161Z,29.3,37.8,50,,,,
2018-01-21T00:38:29.161Z,29.3,38,50,,,,
2018-01-21T00:38:39.162Z,29.3,38.1,50,,,,30
2018-01-21T00:38:49.161Z,29.3,38.3,50,,,,29
2018-01-21T00:38:59.164Z,29.3,38.5,50,,,,
2018-01-21T00:39:09.161Z,29.3,38.6,50,,,,
2018-01-21T00:39:19.161Z,29.3,38.8,50,,,,30
2018-01-21T00:39:29.161Z,29.3,38.9,50,,,,29
2018-01-21T00:39:39.161Z,29.3,39.2,50,,,,
2018-01-21T00:39:49.161Z,29.3,39.3,50,,,,30
2018-01-21T00:39:59.161Z,29.3,37.6,50,,1,0,0
2018-01-21T00:40:09.161Z,29.3,35.6,50,,,,
2018-01-21T00:40:19.161Z,29.3,34.7,50,,,,
2018-01-21T00:40:29.163Z,29.3,34.5,50,,,,
2018-01-21T00:40:39.161Z,29.3,,50,,,,
2018-01-21T00:40:49.161Z,29.3,,50,,,,
2018-01-21T00:40:59.161Z,29.3,,50,,,,
2018-01-21T00:41:09.161Z,29.3,34.4,50,,,,
2018-01-21T00:41:19.161Z,29.3,34.3,50,,,,
2018-01-21T00:41:29.161Z,29.3,34.2,50,,,,
2018-01-21T00:41:39.161Z,29.3,34.1,50,,,,
2018-01-21T00:41:49.162Z,29.3,,50,,,,
2018-01-21T00:41:59.161Z,29.3,,50,,,,
2018-01-21T00:42:09.161Z,29.3,,50,,,,
2018-01-21T00:42:19.161Z,29.3,,50,,,,
2018-01-21T00:42:29.161Z,29.3,36.6,50,,1,0,42
2018-01-21T00:42:39.161Z,29.3,41.4,50,,,,31
2018-01-21T00:42:49.161Z,29.3,40.3,50,,1,0,0
2018-01-21T00:42:59.161Z,29.3,36.6,50,,,,
2018-01-21T00:43:09.161Z,29.3,34.8,50,,,,
2018-01-21T00:43:19.161Z,29.3,34.1,50,,,,
2018-01-21T00:43:29.161Z,29.3,33.8,50,,,,
2018-01-21T00:43:39.164Z,29.3,34,50,,,,
2018-01-21T00:43:49.161Z,29.3,34.2,50,,,,
2018-01-21T00:43:59.166Z,29.3,34.4,50,,,,
2018-01-21T00:44:09.161Z,29.3,,50,,,,
2018-01-21T00:44:19.164Z,29.3,34.3,50,,,,
2018-01-21T00:44:29.161Z,29.3,34.2,50,,,,
2018-01-21T00:44:39.161Z,29.3,34.1,50,,,,
2018-01-21T00:44:49.162Z,29.3,,50,,,,
2018-01-21T00:44:59.163Z,29.3,34,50,,,,
2018-01-21T00:45:09.161Z,29.3,,50,,,,
2018-01-21T00:45:19.161Z,29.3,,50,,,,
2018-01-21T00:45:29.161Z,29.3,,50,,,,
2018-01-21T00:45:39.161Z,29.3,33.9,50,,,,
2018-01-21T00:45:49.168Z,29.3,,50,,,,
2018-01-21T00:45:59.160Z,29.3,,50,,,,
2018-01-21T00:46:09.161Z,29.3,,50,,,,
2018-01-21T00:46:19.191Z,29.3,33.8,50,,,,
2018-01-21T00:46:29.161Z,29.3,,50,,,,
2018-01-21T00:46:39.161Z,29.3,33.9,50,,,,
2018-01-21T00:46:49.181Z,29.3,33.8,50,,,,
2018-01-21T00:46:59.161Z,29.3,,50,,,,
2018-01-21T00:47:09.161Z,29.3,,50,,,,
2018-01-21T00:47:19.161Z,29.3,,50,,,,
2018-01-21T00:47:29.161Z,29.3,,50,,,,
2018-01-21T00:47:39.166Z,29.3,,50,,,,
2018-01-21T00:47:49.161Z,29.3,,50,,,,
2018-01-21T00:47:59.161Z,29.3,,50,,,,
2018-01-21T00:48:09.163Z,29.3,,50,,,,
2018-01-21T00:48:19.161Z,29.3,,50,,,,
2018-01-21T00:48:29.985Z,29.3,,50,,,,
2018-01-21T00:48:39.161Z,29.3,,50,,,,
2018-01-21T00:48:49.161Z,29.3,,50,,,,
2018-01-21T00:48:59.161Z,29.3,,50,,,,
2018-01-21T00:49:09.196Z,29.3,,50,,,,
2018-01-21T00:49:19.161Z,29.3,33.9,50,,,,
2018-01-21T00:49:29.161Z,29.3,,50,,,,
2018-01-21T00:49:39.163Z,29.3,,50,,,,
2018-01-21T00:49:49.161Z,29.3,,50,,,,
