Time,HwTSet,HwActive,ActPow,PrimTSet,ChActive,PrimT,HwTOutlet
2017-12-05T00:31:18.823Z,,,,,,34.9,
2017-12-05T00:31:28.823Z,50,,,,,35.1,35.7
2017-12-05T00:31:38.826Z,,,,,,35.2,
2017-12-05T00:31:48.823Z,50,,,,,35.3,35.6
2017-12-05T00:31:58.881Z,50,,,,,35.4,35.5
2017-12-05T00:32:08.869Z,50,,,,,,35.5
2017-12-05T00:32:18.824Z,,,,,,35.6,
2017-12-05T00:32:28.823Z,50,,,,,35.7,35.3
2017-12-05T00:32:38.837Z,50,,,,,,35.3
2017-12-05T00:32:48.826Z,50,,,,,36,35.2
2017-12-05T00:32:58.823Z,50,,,,,36.1,35.2
2017-12-05T00:33:08.822Z,,,,,,36.2,
2017-12-05T00:33:18.823Z,50,,,,,36.3,34.9
2017-12-05T00:33:28.823Z,50,,,,,,34.9
2017-12-05T00:33:38.823Z,,,,,,36.6,
2017-12-05T00:33:48.824Z,50,,,,,36.7,34.8
2017-12-05T00:33:58.823Z,50,,,,,36.8,34.7
2017-12-05T00:34:08.823Z,50,,,,,,34.7
2017-12-05T00:34:18.823Z,50,,,,,37.1,34.6
2017-12-05T00:34:38.839Z,50,,,,,37.2,34.5
2017-12-05T00:34:48.823Z,50,,,,,,34.4
2017-12-05T00:34:58.823Z,50,,,,,37.4,34.4
2017-12-05T00:35:18.823Z,50,,,,,37.5,34.3
2017-12-05T00:35:28.822Z,50,,,,,,34.3
2017-12-05T00:35:48.825Z,50,,,,,,34.1
2017-12-05T00:35:58.823Z,50,,,,,,34.1
2017-12-05T00:36:08.823Z,50,,,,,,34
2017-12-05T00:36:28.822Z,50,,,,,,34
2017-12-05T00:36:38.823Z,50,,,,,,33.9
2017-12-05T00:36:48.823Z,,,,,,37.4,
2017-12-05T00:36:58.824Z,50,,,,,,33.8
2017-12-05T00:37:08.823Z,50,,,,,,33.8
2017-12-05T00:37:18.822Z,,,,,,37.3,
2017-12-05T00:37:28.822Z,50,,,,,,33.7
2017-12-05T00:37:38.826Z,50,,,,,,33.6
2017-12-05T00:37:48.822Z,,,,,,37.2,
2017-12-05T00:37:58.823Z,50,,,,,,33.6
2017-12-05T00:38:08.823Z,50,,,,,,33.5
2017-12-05T00:38:18.826Z,,,,,,37.1,
2017-12-05T00:38:28.823Z,50,,,,,36.9,33.4
2017-12-05T00:38:48.822Z,50,,,,,,33.3
2017-12-05T00:38:58.828Z,50,,,,,36.8,33.3
2017-12-05T00:39:08.823Z,50,,,,,,33.3
2017-12-05T00:39:18.822Z,,,,,,36.7,
2017-12-05T00:39:28.822Z,50,,,,,,33.2
2017-12-05T00:39:38.822Z,50,,,,,,33.1
2017-12-05T00:39:48.822Z,,,,,,36.6,
2017-12-05T00:39:58.822Z,50,,,,,,33.1
2017-12-05T00:40:08.822Z,50,,,,,,32.9
2017-12-05T00:40:18.823Z,,,,,,36.5,
2017-12-05T00:40:28.823Z,50,,,,,36.4,32.8
2017-12-05T00:40:38.841Z,50,,,,,,32.8
2017-12-05T00:40:58.824Z,50,,,,,36.3,32.7
2017-12-05T00:41:08.822Z,50,,,,,,32.7
2017-12-05T00:41:18.822Z,50,,,,,36.2,32.7
