Time,PrimT,ActPow,ChActive,HwActive,HwTOutlet,HwTSet,PrimTSet
2017-12-15T00:18:00.316Z,36.7,,,,35.7,50,
2017-12-15T00:18:10.315Z,37.1,29,,,35.7,50,
2017-12-15T00:18:20.312Z,37.2,,,,35.6,50,
2017-12-15T00:18:30.312Z,37.4,,,,35.6,50,
2017-12-15T00:18:40.315Z,37.6,,,,35.6,50,
2017-12-15T00:18:50.314Z,37.8,30,,,35.6,50,
2017-12-15T00:19:00.312Z,37.9,,,,35.6,50,
2017-12-15T00:19:10.312Z,38.1,29,,,35.5,50,
2017-12-15T00:19:20.315Z,38.2,,,,35.5,50,
2017-12-15T00:19:30.315Z,38.3,,,,35.5,50,
2017-12-15T00:19:40.312Z,38.5,,,,35.5,50,
2017-12-15T00:19:50.312Z,38.6,,,,35.5,50,
2017-12-15T00:20:00.312Z,38.8,,,,35.4,50,
2017-12-15T00:20:10.312Z,38.9,,,,35.4,50,
2017-12-15T00:20:20.311Z,39.1,,,,35.4,50,
2017-12-15T00:20:30.312Z,39.2,30,,,35.4,50,
2017-12-15T00:20:40.312Z,39.4,,,,35.3,50,
2017-12-15T00:20:50.312Z,39.5,29,,,35.3,50,
2017-12-15T00:21:00.312Z,39.6,,,,35.3,50,
2017-12-15T00:21:10.312Z,39.8,,,,35.3,50,
2017-12-15T00:21:20.315Z,40,30,,,35.3,50,
2017-12-15T00:21:30.315Z,40.1,29,,,35.3,50,
2017-12-15T00:21:40.312Z,40.2,,,,35.3,50,
2017-12-15T00:21:50.312Z,40.4,,,,35.3,50,
2017-12-15T00:22:00.314Z,40.5,,,,35.3,50,
2017-12-15T00:22:10.317Z,40.7,,,,35.2,50,
2017-12-15T00:22:20.324Z,40.8,30,,,35.2,50,
2017-12-15T00:22:30.312Z,41,29,,,35.2,50,
2017-12-15T00:22:40.312Z,41.1,,,,35.2,50,
2017-12-15T00:22:50.312Z,41.3,,,,35.2,50,
2017-12-15T00:23:00.312Z,41.4,,,,35.2,50,
2017-12-15T00:23:10.312Z,41.5,,,,35.2,50,
2017-12-15T00:23:20.312Z,41.7,,,,35.2,50,
2017-12-15T00:23:30.312Z,41.8,,,,35.2,50,
2017-12-15T00:23:40.312Z,42,30,,,35.2,50,
2017-12-15T00:23:50.312Z,42.1,29,,,35.2,50,
2017-12-15T00:24:00.312Z,42.2,,,,35.3,50,
2017-12-15T00:24:10.313Z,42.4,,,,35.3,50,
2017-12-15T00:24:20.312Z,42.6,30,,,35.3,50,
2017-12-15T00:24:30.314Z,42.7,,,,35.3,50,
2017-12-15T00:24:40.312Z,42.9,29,,,35.3,50,
2017-12-15T00:24:50.314Z,43,30,,,35.4,50,
2017-12-15T00:25:00.312Z,42.6,0,1,0,35.4,50,
2017-12-15T00:25:10.312Z,40.4,,,,35.4,50,
2017-12-15T00:25:20.312Z,38.8,,,,35.4,50,
2017-12-15T00:25:30.312Z,38.4,,,,35.5,50,
2017-12-15T00:25:40.313Z,38.3,,,,35.5,50,
2017-12-15T00:25:50.320Z,38.2,,,,35.5,50,
2017-12-15T00:26:00.312Z,,,,,35.5,50,
2017-12-15T00:26:10.312Z,,,,,35.6,50,
2017-12-15T00:26:20.312Z,38.1,,,,35.6,50,
2017-12-15T00:26:30.312Z,38,,,,35.6,50,
2017-12-15T00:26:40.312Z,37.9,,,,35.7,50,
2017-12-15T00:26:50.366Z,37.8,,,,35.7,50,
2017-12-15T00:27:00.354Z,37.7,,,,35.7,50,
2017-12-15T00:27:10.339Z,,,,,35.8,50,
2017-12-15T00:27:20.335Z,,,,,35.8,50,
2017-12-15T00:27:30.314Z,,,,,35.8,50,
2017-12-15T00:27:40.316Z,37.6,,,,35.8,50,
2017-12-15T00:27:50.314Z,,,,,35.9,50,
2017-12-15T00:28:00.319Z,37.5,,,,35.9,50,
2017-12-15T00:28:10.314Z,,,,,35.9,50,
2017-12-15T00:28:20.315Z,,,,,36,50,
2017-12-15T00:28:30.314Z,,,,,36,50,
2017-12-15T00:28:40.314Z,,,,,36,50,
2017-12-15T00:28:50.314Z,,,,,36,50,
2017-12-15T00:29:00.314Z,37.4,,,,36.1,50,
2017-12-15T00:29:10.314Z,,,,,36.1,50,
2017-12-15T00:29:20.314Z,,,,,36.1,50,
2017-12-15T00:29:30.314Z,,,,,36.1,50,
2017-12-15T00:29:40.314Z,,,,,36.1,50,
2017-12-15T00:29:50.314Z,,,,,36.1,50,
2017-12-15T00:30:00.315Z,,,,,36.2,50,
2017-12-15T00:30:10.314Z,,,,,36.2,50,
2017-12-15T00:30:20.314Z,,,,,36.2,50,
2017-12-15T00:30:30.314Z,37.5,,,,36.2,50,
2017-12-15T00:30:40.311Z,,,,,36.2,50,
2017-12-15T00:30:50.311Z,,,,,36.2,50,
2017-12-15T00:31:00.311Z,,,,,36.2,50,
2017-12-15T00:31:10.314Z,,,,,36.2,50,
2017-12-15T00:31:20.311Z,,,,,36.2,50,
2017-12-15T00:31:30.312Z,37.6,,,,36.2,50,
2017-12-15T00:31:40.312Z,,,,,36.2,50,
2017-12-15T00:31:50.311Z,,,,,36.2,50,
2017-12-15T00:32:00.311Z,,,,,36.2,50,
2017-12-15T00:32:10.311Z,37.7,,,,36.2,50,
2017-12-15T00:32:20.312Z,,,,,36.2,50,
2017-12-15T00:32:30.327Z,,,,,36.2,50,
2017-12-15T00:32:40.311Z,,,,,36.2,50,
2017-12-15T00:32:50.311Z,,,,,36.3,50,
2017-12-15T00:33:00.312Z,37.8,,,,36.3,50,
2017-12-15T00:33:10.312Z,,,,,36.3,50,
2017-12-15T00:33:20.371Z,,,,,36.3,50,
2017-12-15T00:33:30.311Z,,,,,36.3,50,
2017-12-15T00:33:40.312Z,,,,,36.3,50,
2017-12-15T00:33:50.314Z,,,,,36.3,50,
2017-12-15T00:34:00.312Z,,,,,36.3,50,
2017-12-15T00:34:10.311Z,,,,,36.3,50,
2017-12-15T00:34:20.311Z,,,,,36.3,50,
2017-12-15T00:34:30.312Z,,,,,36.3,50,
2017-12-15T00:34:40.311Z,,,,,36.3,50,
2017-12-15T00:34:50.312Z,,,,,36.3,50,
2017-12-15T00:35:00.311Z,,,,,36.3,50,
2017-12-15T00:35:10.311Z,,,,,36.2,50,
2017-12-15T00:35:20.312Z,,,,,36.3,50,
2017-12-15T00:35:30.311Z,,,,,36.2,50,
2017-12-15T00:35:40.315Z,,,,,36.2,50,
2017-12-15T00:35:50.311Z,,,,,36.3,50,
2017-12-15T00:36:00.312Z,,,,,36.2,50,
2017-12-15T00:36:10.312Z,,,,,36.2,50,
2017-12-15T00:36:20.312Z,,,,,36.2,50,
2017-12-15T00:36:30.312Z,,,,,36.2,50,
2017-12-15T00:36:40.311Z,,,,,36.2,50,
2017-12-15T00:36:50.311Z,37.7,,,,36.2,50,
2017-12-15T00:37:00.312Z,,,,,36.2,50,
2017-12-15T00:37:10.312Z,,,,,36.2,50,
2017-12-15T00:37:20.311Z,,,,,36.2,50,
2017-12-15T00:37:30.311Z,,,,,36.2,50,
2017-12-15T00:37:40.311Z,,,,,36.2,50,
2017-12-15T00:37:50.311Z,,,,,36.2,50,
2017-12-15T00:38:00.314Z,,,,,36.2,50,
2017-12-15T00:38:10.311Z,,,,,36.2,50,
2017-12-15T00:38:20.311Z,,,,,36.2,50,
2017-12-15T00:38:30.311Z,,,,,36.2,50,
2017-12-15T00:38:40.311Z,,,,,36.2,50,
2017-12-15T00:38:50.311Z,37.6,,,,36.2,50,
2017-12-15T00:39:00.311Z,,,,,36.2,50,
2017-12-15T00:39:10.314Z,,,,,36.2,50,
2017-12-15T00:39:20.319Z,,,,,36.2,50,
2017-12-15T00:39:30.311Z,,,,,36.2,50,
2017-12-15T00:39:40.311Z,,,,,36.2,50,
2017-12-15T00:39:50.311Z,,,,,36.2,50,
