Time,ActPow,ChActive,PrimTSet,HwActive,HwTSet,HwTOutlet,PrimT
2018-02-08T00:22:08.690Z,30,,,,50,34.1,42.9
2018-02-08T00:22:18.691Z,,,,,,,43
2018-02-08T00:22:28.691Z,29,,,,50,34.2,43.2
2018-02-08T00:22:38.691Z,,,,,50,34.2,
2018-02-08T00:22:48.692Z,30,,,,,,43.5
2018-02-08T00:22:58.693Z,,,,,50,34.2,43.6
2018-02-08T00:23:08.691Z,,,,,50,34.2,
2018-02-08T00:23:18.690Z,30,,,,50,34.2,43.9
2018-02-08T00:23:28.691Z,30,,,,50,34.2,44.1
2018-02-08T00:23:38.690Z,29,,,,,,44.2
2018-02-08T00:23:48.690Z,,,,,50,34.2,44.4
2018-02-08T00:23:58.693Z,,,,,50,34.2,44.5
2018-02-08T00:24:08.690Z,0,1,,0,50,34.2,42.6
2018-02-08T00:24:18.691Z,,,,,,,40.6
2018-02-08T00:24:28.691Z,,,,,50,34.2,39.9
2018-02-08T00:24:38.690Z,,,,,,,39.6
2018-02-08T00:24:48.690Z,,,,,50,34.3,
2018-02-08T00:24:58.692Z,,,,,50,34.3,
2018-02-08T00:25:18.690Z,,,,,50,34.3,
2018-02-08T00:25:28.691Z,,,,,50,34.3,39.5
2018-02-08T00:25:38.690Z,,,,,50,34.3,
2018-02-08T00:25:48.690Z,,,,,,,39.2
2018-02-08T00:25:58.690Z,,,,,50,34.3,39.1
2018-02-08T00:26:08.690Z,,,,,50,34.3,
2018-02-08T00:26:28.690Z,,,,,50,34.4,
2018-02-08T00:26:38.718Z,,,,,50,34.4,
2018-02-08T00:26:48.690Z,,,,,,,38.9
2018-02-08T00:26:58.690Z,,,,,50,34.4,38.8
2018-02-08T00:27:18.691Z,,,,,50,34.4,
2018-02-08T00:27:28.749Z,,,,,50,34.5,
2018-02-08T00:27:38.743Z,,,,,50,34.5,
2018-02-08T00:27:58.754Z,,,,,50,34.5,
2018-02-08T00:28:08.690Z,,,,,50,34.5,
2018-02-08T00:28:18.700Z,,,,,,,38.8
2018-02-08T00:28:28.691Z,,,,,50,34.5,38.7
2018-02-08T00:28:38.691Z,,,,,50,34.6,
2018-02-08T00:28:58.692Z,,,,,50,34.6,
