Time,ChActive,HwTOutlet,HwTSet,HwActive,PrimTSet,ActPow,PrimT
2018-01-12T00:18:22.410Z,,29.8,50,,,,
2018-01-12T00:18:32.410Z,,29.8,50,,,,
2018-01-12T00:18:42.410Z,,29.8,50,,,,
2018-01-12T00:18:52.413Z,,29.7,50,,,,
2018-01-12T00:19:02.412Z,,29.7,50,,,,
2018-01-12T00:19:12.455Z,,29.7,50,,,,
2018-01-12T00:19:22.410Z,,29.7,50,,,,
2018-01-12T00:19:32.410Z,,29.7,50,,,,33.8
2018-01-12T00:19:42.433Z,,29.7,50,,,,33.7
2018-01-12T00:19:52.410Z,,29.7,50,,,,33.8
2018-01-12T00:20:02.410Z,,29.7,50,,,,
2018-01-12T00:20:12.410Z,,29.7,50,,,,
2018-01-12T00:20:22.410Z,,29.7,50,,,,
2018-01-12T00:20:32.413Z,,29.7,50,,,,
2018-01-12T00:20:42.426Z,,29.7,50,,,,
2018-01-12T00:20:52.410Z,,29.7,50,,,,
2018-01-12T00:21:02.414Z,,29.7,50,,,,
2018-01-12T00:21:12.410Z,,29.7,50,,,,
2018-01-12T00:21:22.416Z,,29.7,50,,,,
2018-01-12T00:21:32.412Z,,29.7,50,,,,
2018-01-12T00:21:42.410Z,,29.6,50,,,,
2018-01-12T00:21:52.427Z,,29.7,50,,,,
2018-01-12T00:22:02.415Z,,29.6,50,,,,
2018-01-12T00:22:12.437Z,,29.6,50,,,,
2018-01-12T00:22:22.425Z,,29.6,50,,,,
2018-01-12T00:22:32.410Z,,29.6,50,,,,
2018-01-12T00:22:42.410Z,,29.6,50,,,,
2018-01-12T00:22:52.410Z,,29.6,50,,,,
2018-01-12T00:23:02.410Z,,29.6,50,,,,
2018-01-12T00:23:12.410Z,,29.6,50,,,,
2018-01-12T00:23:22.410Z,,29.6,50,,,,
2018-01-12T00:23:32.410Z,,29.6,50,,,,
2018-01-12T00:23:42.410Z,,29.6,50,,,,
2018-01-12T00:23:52.410Z,,29.6,50,,,,
2018-01-12T00:24:02.410Z,,29.6,50,,,,
2018-01-12T00:24:12.410Z,,29.6,50,,,,
2018-01-12T00:24:22.410Z,,29.6,50,,,,33.7
2018-01-12T00:24:32.417Z,,29.5,50,,,,
2018-01-12T00:24:42.410Z,,29.5,50,,,,
2018-01-12T00:24:52.410Z,,29.5,50,,,,
2018-01-12T00:25:02.542Z,,29.5,50,,,,
2018-01-12T00:25:12.410Z,,29.5,50,,,,
2018-01-12T00:25:22.421Z,,29.5,50,,,,
2018-01-12T00:25:32.417Z,1,29.5,50,0,,39,37.7
2018-01-12T00:25:42.418Z,,29.5,50,,,33,40.4
2018-01-12T00:25:52.419Z,,29.5,50,,,29,38.6
2018-01-12T00:26:02.416Z,,29.5,50,,,30,36.9
2018-01-12T00:26:12.415Z,,29.5,50,,,29,35.9
2018-01-12T00:26:22.418Z,,29.5,50,,,,35.5
2018-01-12T00:26:32.423Z,,29.5,50,,,,
2018-01-12T00:26:42.423Z,,29.5,50,,,30,36
2018-01-12T00:26:52.412Z,,29.5,50,,,,36.3
2018-01-12T00:27:02.410Z,,29.5,50,,,29,36.6
2018-01-12T00:27:12.410Z,,29.5,50,,,30,36.7
2018-01-12T00:27:22.432Z,,29.3,50,,,29,37.1
2018-01-12T00:27:32.410Z,,29.3,50,,,30,
2018-01-12T00:27:42.410Z,,29.5,50,,,29,37.3
2018-01-12T00:27:52.409Z,,29.3,50,,,,37.5
2018-01-12T00:28:02.410Z,,29.3,50,,,,37.6
2018-01-12T00:28:12.410Z,,29.3,50,,,,37.8
2018-01-12T00:28:22.410Z,,29.3,50,,,29,38
2018-01-12T00:28:32.410Z,,29.3,50,,,30,38.1
2018-01-12T00:28:42.410Z,,29.3,50,,,29,38.3
2018-01-12T00:28:52.410Z,,29.3,50,,,,38.4
2018-01-12T00:29:02.410Z,,29.3,50,,,,38.6
2018-01-12T00:29:12.409Z,,29.3,50,,,,38.8
2018-01-12T00:29:22.415Z,,29.3,50,,,,39.1
2018-01-12T00:29:32.419Z,,29.3,50,,,,39.2
2018-01-12T00:29:42.430Z,,29.3,50,,,,39.3
2018-01-12T00:29:52.411Z,,29.3,50,,,,39.5
2018-01-12T00:30:02.410Z,,29.3,50,,,,39.7
2018-01-12T00:30:12.410Z,,29.3,50,,,30,39.8
2018-01-12T00:30:22.410Z,,29.3,50,,,,40
2018-01-12T00:30:32.410Z,,29.3,50,,,29,40.1
2018-01-12T00:30:42.410Z,,29.3,50,,,,40.3
2018-01-12T00:30:52.435Z,,29.5,50,,,,40.5
2018-01-12T00:31:02.414Z,,29.5,50,,,,40.6
2018-01-12T00:31:12.411Z,,29.3,50,,,30,40.8
2018-01-12T00:31:22.414Z,,29.5,50,,,30,41
2018-01-12T00:31:32.410Z,,29.5,50,,,,41.1
2018-01-12T00:31:42.410Z,,29.5,50,,,,41.3
2018-01-12T00:31:52.410Z,,29.5,50,,,29,41.5
2018-01-12T00:32:02.621Z,,29.5,50,,,,41.6
2018-01-12T00:32:12.415Z,,29.5,50,,,,41.8
2018-01-12T00:32:22.410Z,,29.5,50,,,30,42
2018-01-12T00:32:32.422Z,,29.5,50,,,,42.1
2018-01-12T00:32:42.410Z,,29.5,50,,,,42.3
2018-01-12T00:32:52.410Z,,29.5,50,,,29,42.4
2018-01-12T00:33:02.410Z,,29.5,50,,,30,42.6
2018-01-12T00:33:12.410Z,,29.5,50,,,29,42.8
2018-01-12T00:33:22.425Z,,29.5,50,,,,43
2018-01-12T00:33:32.426Z,,29.5,50,,,,43.1
2018-01-12T00:33:42.410Z,,29.6,50,,,,43.2
2018-01-12T00:33:52.427Z,,29.6,50,,,30,43.4
2018-01-12T00:34:02.410Z,,29.6,50,,,29,43.5
2018-01-12T00:34:12.410Z,1,29.6,50,0,,0,43.6
2018-01-12T00:34:22.410Z,,29.6,50,,,,40.9
2018-01-12T00:34:32.410Z,,29.6,50,,,,39.8
2018-01-12T00:34:42.410Z,,29.6,50,,,,38.7
2018-01-12T00:34:52.410Z,,29.6,50,,,,38.6
2018-01-12T00:35:02.411Z,,29.6,50,,,,38.5
2018-01-12T00:35:12.410Z,,29.6,50,,,,
2018-01-12T00:35:22.433Z,,29.7,50,,,,
2018-01-12T00:35:32.428Z,,29.7,50,,,,
2018-01-12T00:35:42.410Z,,29.7,50,,,,38.4
2018-01-12T00:35:52.412Z,,29.7,50,,,,38.3
2018-01-12T00:36:02.410Z,,29.7,50,,,,38.1
2018-01-12T00:36:12.410Z,,29.7,50,,,,38
2018-01-12T00:36:22.416Z,,29.7,50,,,,
2018-01-12T00:36:32.429Z,,29.7,50,,,,
2018-01-12T00:36:42.410Z,,29.7,50,,,,
2018-01-12T00:36:52.410Z,,29.8,50,,,,37.9
2018-01-12T00:37:02.410Z,,29.8,50,,,,
2018-01-12T00:37:12.409Z,,29.8,50,,,,37.8
2018-01-12T00:37:22.410Z,,29.8,50,,,,
2018-01-12T00:37:32.412Z,,29.8,50,,,,
2018-01-12T00:37:42.414Z,,29.8,50,,,,
2018-01-12T00:37:52.412Z,,29.8,50,,,,37.7
2018-01-12T00:38:02.417Z,,29.8,50,,,,
2018-01-12T00:38:12.410Z,,29.8,50,,,,
2018-01-12T00:38:22.416Z,,29.8,50,,,,
2018-01-12T00:38:32.410Z,,29.8,50,,,,
2018-01-12T00:38:42.411Z,,29.8,50,,,,
2018-01-12T00:38:52.411Z,,30,50,,,,
2018-01-12T00:39:02.426Z,,30,50,,,,
2018-01-12T00:39:12.410Z,,30,50,,,,
2018-01-12T00:39:22.410Z,,30,50,,,,
2018-01-12T00:39:32.410Z,,30,50,,,,
2018-01-12T00:39:42.410Z,,30,50,,,,
2018-01-12T00:39:52.417Z,,30,50,,,,
2018-01-12T00:40:02.411Z,,30,50,,,,37.8
2018-01-12T00:40:12.421Z,,30,50,,,,
2018-01-12T00:40:22.410Z,,30,50,,,,
2018-01-12T00:40:32.410Z,,30,50,,,,
2018-01-12T00:40:42.414Z,,30,50,,,,37.9
2018-01-12T00:40:52.410Z,,30,50,,,,
2018-01-12T00:41:02.422Z,,30,50,,,,
2018-01-12T00:41:12.410Z,,30,50,,,,38
2018-01-12T00:41:22.410Z,,30,50,,,,38
2018-01-12T00:41:32.411Z,,30,50,,,,
2018-01-12T00:41:42.409Z,,30,50,,,,
2018-01-12T00:41:52.410Z,,30,50,,,,
2018-01-12T00:42:02.410Z,,30,50,,,,
2018-01-12T00:42:12.410Z,,30,50,,,,38.1
2018-01-12T00:42:22.412Z,,30,50,,,,
2018-01-12T00:42:32.413Z,,30,50,,,,
2018-01-12T00:42:42.410Z,,30,50,,,,
2018-01-12T00:42:52.409Z,,30,50,,,,
2018-01-12T00:43:02.410Z,,30,50,,,,
2018-01-12T00:43:12.415Z,,30.1,50,,,,
2018-01-12T00:43:22.410Z,,30.1,50,,,,
2018-01-12T00:43:32.410Z,,30,50,,,,
2018-01-12T00:43:42.411Z,,30.1,50,,,,
2018-01-12T00:43:52.411Z,,30.1,50,,,,
2018-01-12T00:44:02.410Z,,30.1,50,,,,
2018-01-12T00:44:12.410Z,,30.1,50,,,,
2018-01-12T00:44:22.409Z,,30.1,50,,,,
2018-01-12T00:44:32.409Z,,30.1,50,,,,
2018-01-12T00:44:42.409Z,,30.1,50,,,,
2018-01-12T00:44:52.409Z,,30.1,50,,,,
2018-01-12T00:45:02.410Z,,30.1,50,,,,
2018-01-12T00:45:12.410Z,,30.1,50,,,,
2018-01-12T00:45:22.409Z,,30.1,50,,,,
2018-01-12T00:45:32.412Z,,30.1,50,,,,
2018-01-12T00:45:42.409Z,,30.1,50,,,,38
2018-01-12T00:45:52.410Z,,30.1,50,,,,
2018-01-12T00:46:02.415Z,,30.1,50,,,,
2018-01-12T00:46:12.409Z,,30.1,50,,,,
2018-01-12T00:46:22.410Z,,30.1,50,,,,
2018-01-12T00:46:32.410Z,,30.1,50,,,,
2018-01-12T00:46:42.410Z,,30.1,50,,,,
2018-01-12T00:46:52.415Z,,30.1,50,,,,
2018-01-12T00:47:02.413Z,,30,50,,,,37.9
2018-01-12T00:47:12.410Z,,30,50,,,,37.9
2018-01-12T00:47:22.412Z,,30.1,50,,,,
2018-01-12T00:47:32.410Z,,30.1,50,,,,
2018-01-12T00:47:42.409Z,,30.1,50,,,,
2018-01-12T00:47:52.409Z,,30,50,,,,
2018-01-12T00:48:02.410Z,,30,50,,,,
2018-01-12T00:48:12.409Z,,30,50,,,,
2018-01-12T00:48:22.417Z,,30.1,50,,,,37.8
2018-01-12T00:48:32.416Z,,30,50,,,,
2018-01-12T00:48:42.412Z,,30,50,,,,
2018-01-12T00:48:52.414Z,,30,50,,,,
2018-01-12T00:49:02.419Z,,30,50,,,,
2018-01-12T00:49:12.409Z,,30,50,,,,
2018-01-12T00:49:22.409Z,,30,50,,,,
2018-01-12T00:49:32.409Z,,30,50,,,,
2018-01-12T00:49:42.410Z,,30,50,,,,37.7
2018-01-12T00:49:52.409Z,,30,50,,,,
2018-01-12T00:50:02.409Z,,30,50,,,,
2018-01-12T00:50:12.434Z,,30,50,,,,
2018-01-12T00:50:22.410Z,,30,50,,,,
2018-01-12T00:50:32.409Z,,30,50,,,,
2018-01-12T00:50:42.466Z,,30,50,,,,
2018-01-12T00:50:52.409Z,,30,50,,,,37.6
2018-01-12T00:51:02.410Z,,30,50,,,,
2018-01-12T00:51:12.409Z,,30,50,,,,
2018-01-12T00:51:22.411Z,,30,50,,,,
2018-01-12T00:51:32.409Z,,30,50,,,,
2018-01-12T00:51:42.410Z,,30,50,,,,
2018-01-12T00:51:52.410Z,,30,50,,,,
2018-01-12T00:52:02.410Z,,30,50,,,,
2018-01-12T00:52:12.409Z,,30,50,,,,37.5
2018-01-12T00:52:22.411Z,,30,50,,,,
2018-01-12T00:52:32.412Z,,30,50,,,,
2018-01-12T00:52:42.410Z,,30,50,,,,
2018-01-12T00:52:52.411Z,,30,50,,,,
2018-01-12T00:53:02.410Z,,30,50,,,,
2018-01-12T00:53:12.410Z,,30,50,,,,
2018-01-12T00:53:22.431Z,,30,50,,,,37.4
2018-01-12T00:53:32.429Z,1,30,50,0,,39,41.2
2018-01-12T00:53:42.410Z,,30,50,,,31,43.7
2018-01-12T00:53:52.414Z,,30,50,,,29,40.7
2018-01-12T00:54:02.410Z,,29.8,50,,,,38.9
2018-01-12T00:54:12.426Z,,29.8,50,,,29,36.9
2018-01-12T00:54:22.421Z,,30,50,,,,36.4
2018-01-12T00:54:32.414Z,,29.8,50,,,30,36.5
2018-01-12T00:54:42.414Z,,29.8,50,,,30,37.1
2018-01-12T00:54:52.416Z,,29.8,50,,,29,37.4
2018-01-12T00:55:02.421Z,,29.8,50,,,,37.6
2018-01-12T00:55:12.419Z,,29.8,50,,,,37.8
2018-01-12T00:55:22.418Z,,29.8,50,,,30,38
2018-01-12T00:55:32.413Z,,29.8,50,,,29,38.1
2018-01-12T00:55:42.532Z,,29.8,50,,,30,38.3
2018-01-12T00:55:52.410Z,,29.8,50,,,29,38.5
2018-01-12T00:56:02.409Z,,29.8,50,,,,38.7
2018-01-12T00:56:12.409Z,,29.8,50,,,29,39.1
2018-01-12T00:56:22.513Z,1,29.8,50,0,59,29,39.2
2018-01-12T00:56:32.413Z,,29.8,50,,,30,39.4
2018-01-12T00:56:42.411Z,,29.8,50,,,,39.6
2018-01-12T00:56:52.513Z,,29.8,50,,,29,39.8
